User Name,Review Time,Rating,Review Text
Mckatog DP,2025-12-18,5,hotel bintang 3 harga bintang 4 tapi sangat masuk akal karena pegawainya sopan2 tidak kalah sama pelayanan hotel bintang 5 secara hotel ini dianjurkan mengingat lokasi nya sangat strategis untuk akses ke malioboro cukup berjalan kurang dari 5 menit sudah bisa menikmati hiruk pikuknya keramaian malioboro untuk sarapan sudah tersedia makanan tradisional yogya gudeg yang legenda tinggal cemilan nya saja menurut saya yang suka jajanan tradisional waktu tgl 16 desember 25 tidak tersedia di resto berikutnya nginap d situ mudah2an ada secara keseluruhan oke lah bisa dicoba lagi klo ke yogya
Endi Sitompul,2025-10-08,5,Saya tinggal 1 malam hanya dengan rekan-rekan saya dan memiliki kesempatan untuk makan masuk di restoran dengan putri kami hanya dua dari kita staf sangat membantu pak ruli dan tim untuk membantu kita masuk memilih menu untuk kita kami memerintahkan lupa nama tapi seperti roll untuk sultan untuk starter dan itu adalah 3 bagian roll dengan rasa lezat versi dingin wedang uwuh begitu cocok dalam hidangan utama kami tanggal makan malam yang luar biasa terima kasih untuk tim resto dan kami akan kembali untuk yakin
Fariez Nurkholiq Ashshiddiqie,2025-12-08,4,hotelnya bagus pelayanan ramah suka karena disediakan alquran dan sajadah di kamar ukuran kamar juga cukup luas tidak bisa kasih penuh 5 bintang karena kebetulan bisa kamar yang udara panasnya tidak bisa tetapi di kamar teman infonya lancar saja sudah memanggil petugas bisa tapi saat mencoba sendiri tetap tidak bisa tetapi secara keseluruhan memuaskan
aurelia valen,2026-01-01,3,hotelnya di atas semua lokasi juga deket sekali dengan malioboro hanya saya klo untuk pengguna tangkap mesti xtra sabar karna menunggu lama sekali dan sering di batal dengan alasan jalan malioboro macet ditutup jadi sulit klo mau pergi2
sarah,2025-12-18,5,pertama kali ke jogja inap di hotel khas untuk sarapannya enak lengkap krna saya pecinta makanan sereal yang ini lemgkap smpai 3 macam cco crunch honey star dan jagung nasi goreng dan lauk lainnya enak dan segar semua kamar bersih dan gongnya untuk jaringan tv dan istri kencang dan cukup puass inap disini apalg lengkap dengan sejadah dan al quran tinggalin sepatu di sana biar bjsa kembali ke jogja
Nolianto Ananda,2025-12-08,5,Hotel dengan nilai yang besar bersih dan nyaman kamar sarapan yang baik ramah dan membantu staf lokasi yang bagus hanya 10 menit berjalan kaki ke 0 km jogja 10 menit berjalan kaki untuk membawa pasar harjo harga terjangkau
fx alvin k,2025-12-11,4,lokasi cukup dekat jl malioboro tinggal jalan kaki 5 menit layanan oke dengan menu sarapan yang cukup oke juga ruang kamar oke bersih nyaman tv berfungsi dengan baik mau youtube dll kasur bantal empuk selimut tebat hanya saja kamar mandi tidak bisa di kunci dan luas ruangan cukupan saja
255_fabian setyawan,2026-01-01,4,Hotelnya bagus pelayanya tamah tapi aku menunggu cek masuk dari jam 2 sampai jam 4 seharusnya sesuai jadwal jam 2 sudah siap semuanya
den yoga,2025-12-08,5,Deket sih dengan malioboro banyak tamu dengan bus ke hotel ini terutama saat sarapan terlihat sering penuh orang atau malah sempat harus antri padahal hanya untuk sarapan untuk orang yang membutuhkan tempat nginap dekat dengan titik nol malioboro saat sih memilih sini
Angel Angel,2025-12-18,4,Kami memilih hotel ini karena terlalu dekat malioboro kamar bersih juga kamar mandi ramah staf menu sarapan lebih tradisional menyan hanya kualitas jam dan roti mungkin perlu ditingkatkan atau dapat menempatkan mesin espresso haha kopi pagi Anda terlalu ringan m hanya merasa beberapa staf hanya baik sementara kita tinggal di sana mereka berubah ketika kita sudah memeriksa keluar jangan lakukan itu tidak baik dengan cara terima kasih atas layanan Anda
