User Name,Review Time,Rating,Review Text
TANAKA Tanaka,2025-12-25,3,Saya pesan hotel via agoda melihat rating tertinggi di sini karena bintang 3 dan melihat ulasan bagus kamar bagus saat datang cek masuk tidak bisa di persepsi biarpun saya ingin membayar tambahan biaya ac bermslah di hari ke 9 dan akhirnya kami pindah kamar tapi menurut saya makin tidak enak mau mengeluh ud malas ketika ingin memeriksa keluar jam 12 saya minta negosiasi untuk minta waktu untuk kami berdoa 5 menit tapi jawaban nya tidak bisa alasan penuh mau bayarpun tidak bisa makan nya selama saya menginap itu itu itu itu itu itu menu nya ikan ikan ayam ayam ayam ikan ikan ikan ikan enggk ada variasi nya dan soto nya seperti sekelas bintang 3 menurut
Fuad Fauzi,2026-01-01,5,menginap di sini saat liburan natal 2025 harga lagi mahal dan memang semua hotel naik 50 100 menurut saya kamarnya nyaman sudah ada tv pintar jadi cocok untuk anak2 bisa menonton youtube lokasi yang ditengah kota dekat tugu staf hotel dari resepsionis sampai keamanan friendly menu sarapan lengkap tapi tidak banyak berubah pada hari berikutnya minusnya di kolam renang yang hanya dewasa dan tempat parkirnya sempit jadi bantu walet parkir
Freshmax Bali,2026-01-01,5,Hotel yang sangat nyaman hanya 3 menit ke jl mailboro sarapan adalah luar biasa semua karyawan sangat baik kamar bersih ada masalah masuk kamar mandi kami dan mereka memperbaikinya dengan benar cara kami suka kamar sarapan
indrasmara ilham perdana,2025-12-08,5,kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel meskipun hotel ini bukan hotel syariah peralatan shalat di dalam kamar juga cukup lengkap ada sajadah mukena dan juga qur an untuk lokasi hotel ini sangat strategis tak jauh dari tugu jogja yang ikonik mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional dan sebelahan persis dengan lupis yang viral kemarin mendapatkan kamar yang dapat melihat langsung merapi untuk menu sarapan di hotel cukup lengkap meskipun untuk resonya lumayan sempit ada kolam renang untuk anak anak bermain
ARI,2025-12-08,5,gila sih khas tugu hotel ini memang memang best banget buat yang cari hotel di deket tugu jogja lokasinya strategis parah mau ke malioboro atau kuliner melipir dikit saja nyampe pokoknya mudah banget aksesnya ke mana mana mana trus mereka juga punya counter yang khusus jualin oleh dari jogjakarta jadi tidak perlu pusing kalau tidak sempet belanja oleh ya awalnya sih ikut kata pacar yang merekomendasikan buat nginep disini eh ternyata beneran dong semua fasilitas dan pelayanannya bikin betah dan layaknya abis saya pesan 4 hari 3 malam dan meskipun sarapannya cuma bisa jatah sekali menu nya ini adalah juara banget isinya full kuliner
Anna,2025-12-08,4,Sebenarnya kami tidak mengharapkan banyak dari hotel ini karena satu-satunya alasan kami memilih hotel ini adalah Lupis mbah Satinem itu hanya di seberang hotel ini kembali ke hotel staf yang ramah dan membantu kamarnya sedikit sempit dan sedikit kotor di dinding dan lembaran tempat tidur kamar mandi tidak cukup bersih juga Anda dapat meminta untuk meminjam besi tapi tidak ada papan besi jadi hanya besi di meja atau di tempat tidur sarapan adalah lezat bahkan ada hanya beberapa variasi dari hidangan
Ahma Muniyatini,2025-12-11,1,lorong menuju kamar panas hotelnya pelit ac di lorong koridor tidak dinyalain hotel yang sangat pelit di lorong dari lift menuju kamar ac nya tidak dinyalakan tetapi area baru penuh tertutup kaca jika tidak mau rugi ada ac di lorong yaa buatkan jendela lahh hargamu itu sudah termasuk fantastis sangat mahal lohh hotel di yogyakarta itu sudah mahal mahal lohh hotel di pol tik tok konten pencipta cuma mau fyp saja tidak detail ngasih tau nya dengan harga semahal ini tidak ada kulkas kalau parah oke ini woy tidak mahal jatohnya meresnya
Alex WS (Alex),2025-10-08,2,punya pengalaman tidak menyenangkan di hotel ini saya menginap 2 hari hari kedua hari kedua tidak melakukan makan karena tahu bahwa tangan yang sudah kotor bekas pakai sehari dan dipakai ngelap gelas dilipat rapi lagi dan ditaruh seolah olah tangan baru sangat tidak nyaman mau komplain sudah malam tempat tidur tutup juga terlihat kotor komplain saya ditanggapi dengan ramah tapi saya tidak pernah menginap lagi di sini karena masih terbayang tangan kotor yang dipakai membersihkan gelas di kamar pengalaman saya tinggal di hotel lain tangan diganti setiap hari
A,2025-12-18,1,sangat tidak layak dengan harga segitu jatuhnya nya kaya hotel tua kacaau sarapan pun lauknya tidak ada yang enak jika tidak karna kecapean mungkin akan cari hotel lain dan tidak akan memeriksa masuk dsni kacau sangat memeras harga 1jt permalam gk ada apa semua tertutup view nya pun biasa saja
Corie Anissa,2025-10-08,3,Maaf harus memberikan review ini awal cek masuk tempat tidur banyak noda lama mau minta ganti tapi sudah capek segera mandi dan istirahat sarapan saat bfast rasanya enak tapi mungkin bukan selera saya ya secara keseluruhan sudah baik tapi kebersihan tidak dijaga dengan baik tangan sudah kusam semoga bisa menginap kembali dengan performa terbaik
agung jaya,2025-12-08,5,Lokasinya strategis dekat dengan tugu pasar kranggan jl mangkubumi cukup banyak hotel di sekitar perempatan tugu belum sempat nginap disini karena kemarin jalan ngantar saja oleh satpam baru diarahkan ke tempat parkir yang kosong
Mukhamad Arif,2025-11-08,5,hotel de besh lah kami menginap dua kamar menghubungkan satu sama lain menginap akhir pekan lokasi tidak jauh dari tugu mau ke titik 0 yogya mahal pakai bentor akhirnya kami jalan kaki sambil melihat2 pemandangan jogja fasilitas lengkap udara panas jempolan hanya minusnya udara tidak tiris dikarenakan sudut kemiringan tidak saat jadi udara menggenang alias tidak nyaman kalau ke toilet fasilitas kamar ada brankas kulkas smart tv wifi 2 mbps
Anisatun Nuzula Fitriani,2025-08-08,5,hotel nyaman lokasi strategis pelayanan juara pertama kali nginap di khas tugu hotel dan langsung jatuh hati lokasinya super strategis dekat banget sama tugu jogja malioboro dan stasiun tugu jalan kaki pun bisa kamarnya bersih rapi dan nyaman interiornya sederhana tapi tetap modern dan khas jogja banget ada sentuhan etnis yang bikin betah pelayanan stafnya juga luar biasa ramah dan membantu dari check masuk sampai check keluar semuanya cepat dan menyenangkan sarapan di restorannya juga enak banyak pilihan menu hangat dari makanan khas indonesia sampai yang lebih modern bonus kopinya enak dan view nya menghadap ke jalan utama tambah poinnya ada mushola suasana islam yang terasa
Sofie Riz,2025-09-08,4,nginap 4 malam disini 1 resepsiis pelayan dan keamanan ramah dan semua membantu 2 makanan kurang karena kebanyakan terlalu asin nasi goreng mie goreng yang mana hampir setiap pagi menu itu ada minta indomie rebus dibuatkan saat sarapan indomie kyk direndam pakai air termos atau dispenser 3 kamar bersih kamar mandi bersih udara lancar baik keran bawah mandi dan wastafel semua oke tapi kebersihan seprei dan sarung bantal yang seperti bekas org 4 restoran kurang luas sih kolam renang kecil amat lihat di rumah 5 minta pengering rambut lgsg diantar 6 klu boleh penerangan di kamar dan di kamar mandi ditambah
Okta Viani Saputri,2025-10-08,5,Rekomen sangat kamar bersih pelayanannya sangat ramah terutama di resepsionis menjelaskan tempat tempat dengan hotel ramah strategis dekat dengan lupis mbah satinem yang masih ragu ilangin ajaa rekomen bgtt pokoknyaa
yeni saraswati,2025-08-08,5,baru kali pertama menginap di sini menginap tgl 14 15 juli 2025 saat sangat hari minggu dan anak2 baru masuk sekolah jadi hotel kerasa lega dan sepi tapi tenang enak karena itu yang kita cari kali pertama datang parkir mobilnya tidak banyak mobil sih mungkin karena hari senin juga saat mau check masuk parkirnya itu dihalaman depan area hotel itu tidak ada ruang bawah tanah jadi kalau hujan ya kehujanan kalau panas terik ya pastinya kepanasan juga sekitar pukul 1an kita berkumpul dulu ke resepsi seperti biasa dimintai ktp juga bukti pemesanan trs kita disuruh menunggu karena kamar baru dibersihkan kita menunggu tidak
Sri Widati,2025-11-08,3,tinggal 3 hari di sini alhamdulillah makanan oke tapi proses cek keluar satu jam menunggu kata kamarnya jelas kita sudah turun jam 11 35 sampai jam 12 35 belum juga kelar kamar cek nya semoga bisa diperbaiki
diah ikawati,2025-12-08,5,pengalaman menyenangkan di tugu khas yogyakarta nasgor merahnya enak makanan variasi dan pelayanan yang bagus akan menjadi tujuan menginap jika ke jogya lagi
cicil ya,2025-07-08,2,kemarin pesan kamar deluxe panoramik jadi bisa yang ujung2 depan atau belakang secara keseluruhan kamarnya cukup baik ada mini zoo kelinci dibelakang namun kolam renang dekat sekali dengan resto dan kafe jadi kurang nyaman kami sampaikan kekecewaan kami dengan pelayanan khas hotel tugu yang tidak profesional pertama terkait layanan kebersihan kami tidak memasang tulisan ya tolong untuk dibersihkan tau2 saat kami sarapan kamar sudah dibersihkan dan itu jam 8 padahal di review sebelumnya juga ada yang telah menyampaikan hal serupa setelah diperhatikan pelayanan mengetok pintu 3x jika tidak ada jawaban ybs di mana masuk kamar dan itu di jam pagi kami tidak mempersiapkan mengaman
W christina,2025-08-08,2,Kami tiba lebih awal dari waktu masuk dan memutuskan untuk makan siang di restoran hotel sementara menunggu Sayangnya makanan memakan waktu lebih dari satu jam untuk tiba dan hanya datang setelah kami mengikuti dengan pelayan ketika akhirnya datang kedua chip ikan dan sate dingin meskipun kami diberitahu mereka baru saja dimasak nasi goreng juga terlalu asin kami mengeluh dan untuk menjadi adil hotel tidak membebankan kami untuk sarapan makanan begitu jadi salad hanya mengandung 4 sayuran ketika mangkuk sayuran kosong itu membutuhkan berabad-abad untuk mereka untuk menggantikannya satu-satunya hal positif adalah kuat
Kris Ipoenk,2025-08-08,3,pengalaman menginap 2 hari untuk perjalanan bisnis baik titik 1 lokasi strategis dekat tugu jogja dan malioboro cocok yang mau jalan2 ke malioboro titik yang kurang 1 kebersihan kamar tidur penutup yang warnanya sudah menjelang coklat begitu juga dengan tangan mandi yang terlihat sudah menggunakan warna sudah tidak putih lagi dan sudah rusak pinggirannya 2 makanan sarapan bervariasi sedikit saya tidak menemukan menu daging atau daging ayam saya makan pecel dan rasa sambal baru tidak terasa sapi kemudahan 1 kolam renang kecil sekali hanya cocok untuk bermain anak2 tapi tempatnya sempit dan tidak nyaman 2 parkir mobil kecil dan harus vallet kalau
M Amin,2025-12-11,5,kamar bersih dekat malioboro dan pelayanan ramah senyum dan sopan yang mencari hotel di yogyakarta saya rekomendasi kan hotel ini
Dita Murliandari,2025-07-08,5,baru minggu kmren nginap disini pelayanan oke skala untuk sarpaan juga tersedia berbagai macam menu ada menu khusus anak2 kamarnya bersih parkir luas pokoknya kalau ke jogja pasti akan ngjnap sini lagi tq ya khastugu hotel
Yosia Octafreira Iyandraputra,2025-08-08,5,Saya beri bintang 5 untuk apresiasi pada pak sugeng staf yang membantu berjalannya seminar kami di ruang dansa lantai 1 meskipun sebenarnya ada keramahan yang kurang baik dari salah satu tim yang lain terima kasih pak sugeng untuk keramahan kesigapan dan keramahan yang top semoga sehat dan dilancarkan selalu urusannya
Novariyanto Abdullah,2025-08-08,5,nyaman ada kolam renang kamar bersih wifi bagus makanan banyak jenisnya dekat pusat kota untuk olahraga joging atau berlari sangat layak untuk anggaran hotel
Suherdian Suprapti,2025-12-08,5,dekat banget sama malioboro jalan kaki saja kesana saat 17 n Agustus layanan makanannya wuenak
7r15n0 Jatayu,2025-08-08,5,kamar bersih dan pelayanan ramah lokasi dekat tugu yogya walaupun tidak terlalu dekat dengan malioboro bisa jajanan pasar di mbah satinem di sebelah hotel atau jalan kaki ke pasar kranggan nginap 2 malam via agoda ternyata tidak termasuk sarapan mungkin saya tidak membaca secara detil he he
Deddy Taufik Hidayat,2025-08-08,5,hotel berlantai 8 yang dekat tugu dengan pelayanan baik lengkap bersih keramahan cepat saat cek masuk jam 04 45 tetap baik dan tersenyum sarapan sangat lengkap dan tersedia jajanan untuk anak-anak kamar bersih lengkap dekat daerah malioboro
Eko Prakoso,2025-11-08,5,Hotel sangat bagus bersih nyaman kemana mana mana deket wangi pelayanan ramah dan cepat terjangkau pokonya terbaik
Nelson Holong,2026-01-01,5,hotel bersih pelayanan memuaskan dan lokasinya strategis
Faisal Fikri,2025-06-08,5,lokasi hotel ini strategis karena dekat ke beberapa tempat wisata jogya dan tempat nongkrong suasana hotel ini nyaman dengan interior yang modern minimalis yang menarik menginap di sini untuk urusan pekerjaan tukar kamar ke kamar merokok dikasih di lantai 8 paling atas kamarnya luas bersih nyaman dan komplit wifi gratis tv pemandangan dari kamar di lantai atas memberikan sudut pandang yang berbeda terhadap jogya terutama saat malam ada kolam renang di lantai bawah bersebelahan dengan resto cukup buat berendam dan santai di sini tapi sebaiknya tidak berenang anak balita ke kolam ini karena di dalamnya 1 meter 12 meter untuk mencegah hal yang tidak diinginkan sarapan menu pagi sangat bervariasi dan dom
Fio nny,2025-07-08,3,sarapan oke kamar nya kecil bbrp hari nginap dsini ada 1 jam yang bkin agak emosi karena lg posisi sarapan bawah saat masuk kamar kaget sudah bersih tanpa izin yang dmn disitu ada barang2 berharga dan posisi tas terbuka dan ada uang tunai aku bukan suudzon tapi tidak berharap bakal ada yang masuk kamar buat bersih2 seharusnya klo misal di ketok tidak di buka jangan langsung masuk bukan tentang barang hilang tapi lebih ke etika saya pun gk hitung brp uang tunai saat itu karena habis belanja oleh2 di roboro dan perhiasan dan mali dompet saya ada di kamar trsbt jadi saya bnr2
Dinna Aprilianie,2025-08-08,5,kamar hotel bersih semua pegawai ramah banget mulai dari penjaga yang di dpn resepsionis dan yang spesial yang belum pernah kutemukan di hotel2 lain yang aku pernah menginap adalah di khas tugu hotel disediakan mukena sajadah dan al quran sukses terus membuat khas tugu hotel yogyakarta
Man LI,2025-06-08,5,menginap di sini katena beli paketan bundling lentera waisak di loket com keadaan kamarnya lumayan bersih dengan standar kamarnya minimalis tidak terlalu besar ac lumayan cukup dingin lokasi sangat strategis di kota ini
Wadi Yah,2025-12-08,5,semuanya oke banget sangat dianjurkan untuk kelas bintang 3 wajib menginap di hotel khas tugu
Ida Ayu Pradnya Dwi Cahya,2025-09-08,5,layaknya tempat strategis harga terjangkau staf membantu dan ramah bf lumayan enak fasilitas lumayan lengkap
Farras Rika,2025-08-08,5,tempatnya strategis banget depannya langsung lapis mbah santinem staf nya super ramah semuua cuma minus nya handuk nya agak sedikit bau apek di dua hari aku tinggal
Harry Permana,2025-09-08,5,menginap 2 malam memberikan pengalaman yang menyenangkan mulai dari pelayanan yang baik dan staf yang ramah terlabih kamar yang saya dapat bersih dengan semua fasilitas berjalan dengan baik lokasi hotel yang strategis cukup berjalan kaki ke pusat kota jogja dan lupis mbah satinem dekat sekali dengan hotel
JBM1987,2025-07-08,4,hotel ini letaknya cukup strategis ke tugu jogja cukup dengan berjalan kaki saja akses ke malioboro juga dekat meskipun ke malioboro saat ini itu harus muter dulu saling padatnya lalu lintas yang agak jauh itu lokasi minimarket seperti indomaret circle k dan alfamart
Setyo Surya,2025-12-18,4,bagus hanya lobi depan hotel kurang nyaman kalau saat hujan
Leo Gio,2025-06-08,4,pilih di sini karena mau makan lupis mbah satinem ya jujur pilih hotel ini karena lokasi yang dekat dengan lupis legenda mbah satinem yang pernah masuk netflix posisinya persis di sebelahnya begitu masuk ke lobi ac dingin dan wangi ini top sih bikin kesan hotelnya lebih baik n menarik untuk ukuran kamarnya sendiri ya lumayan standar hotel lah ya disediakan 2 kartu ini nilai tambah sendiri kamar mandi air panas dan drain oke jalan tidak ada pintu sehingga risiko udara ciptaan bisa keluar2 lokasi jg strategis dekat dengan tugu dan malioboro
Kristison Situmorang,2025-06-08,5,saya tidak menginap tapi menghadiri suatu acara berkumpul di tugu khas lokasi hotel mudah di temukan karena dekat dengan tugu jogja yang terkenal itu kesan pertama saat parkir motor adalah sangat baik saat itu parkir motor penuh dan keamanan mempersilahkan kami masuk lobi hotel dan parkir motor mereka atur kemudian ruang berkumpul bersih dan cukup luas dan bagus dengan suara akustik yang enak cemilan kopi dan makan malamnya enak dan memuaskan toilet bersih matangnya khas tugu
Zahra Dimasepta,2025-05-08,2,Lokasi sangat strategis keluarga saya dan saya sering hanya berjalan ke tempat yang ingin kami kunjungi seperti tugu gudeg yudjum kafe dan bakpia toko sayangnya itu adalah tentang satu-satunya hal yang baik saya dapat menyebutkan untuk hotel ini fasilitas kamar hanya dinilai dua bintang karena beberapa alasan 1 kamar mandi hanya memiliki mandi tetap dengan head head head besar dan tidak ada kotak mandi yang membuatnya sangat sulit bagi kita untuk nyaman mandi 2 kami meminta handuk tambahan dan hotel tidak dapat menyediakan 3 pengering rambut disediakan hanya jika kita meminta layanan kamar
Novi Trihastuti,2025-07-08,5,Lokasinya enak kemana2 cari makan juga mudah daerah pasar kranggan poncowinatan dan kafe2 banyak di sekitar pegawaimya ramah kamarnya bersih dan housekeepingnya gercep teruskan
Mohammed Elfadil,2025-12-08,5,Layanan hotel bagus sangat luar biasa bersih juga
Arsih Kasiruta,2025-05-08,5,lokasi kamar layanan oke semua harus memperbaiki untuk menu sarapan lebih bervariasi dan tata letak restoran bisa lebih ramah anak dan lansia ada tangga yang bisa berisiko jika anak lari2an
Rani Puspa Sari,2025-07-08,5,Tempat menginap yang sangat nyaman kamar dan kamar mandi bersih pelayanannya ramah letaknya jg strategis di tengah kota senang bisa menginap di sini
mariska dewi,2025-09-08,5,ada gudeg enak samping hotel dekat pasar kranggan kuliner lengkap ramah bersih parkir tersedia
Adel Kwok,2025-12-18,5,Trimksh buat pelayanan yang sangat ramah prkir luas dkt pusat kota juga
