"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Yenny Hong","6","2026-01-01","5","Pelayanan yg sangat ramah, kamar hotel yg bersih. sekamar kami ber 3 dengan anak, di hari pertama minta extra handuk. di hari kedua dst otomatis disediakan 3 handuk tanpa request lagi. sungguh pelayanan yang baik. kami pesan 2 kamar, hanya kamar kedua ada sedikit bau rokok entah kenapa. karena kami menginap 4 malam diberikan juga complimentary makan siang. rasa makanannya enak sesuai selera. anak2 senang menginap disini. tapi syg kolam renangnya kecil dan ckp dangkal."
"2.","Puteri Dwi Kusuma","274","2025-12-08","5","Lokasinya strategis banget. Dekat dengan lokasi wisata dan stasiun kereta. Dari awal masuk, staff sudah ramah. Lobby hotel sangat nyaman, karena kursinya benar-benar banyak. Kamarnya oke, gak ada masalah. Nyaman, handuk juga bersih. Gak ada masalah. Hanya saja, kamar mandinya gak cepet kering setelah digunakan. Saya lebih suka yg kamar mandi cepat kering. Terus untuk saya, kaca pembatas antara kamar mandi dan toilet, nanggung banget. 1) perbedaan ketinggian lantai, hampir sama, cuma beda tipis 2) kaca pembatas, cuma 1/2. Jadi klo mandi, airnya bakal nyiprat ke area toilet. Mending dikasih pintu kaca sekalian buat kamar mandi. Terus utk menu makanan.. Hmmm lebih baik kalian masak, yang kira kebanyakan orang suka. Oseng pare, oseng terong (bukan terong balado ya. Cuma terong di oseng-oseng tok), oseng brokoli, menurutku masakan kalian kurang bervariasi untuk per-sayur-an dan per-lauk-kan 🥲 Mending kalau mau oseng... Oseng buncis tempe, oseng jamur, oseng jagung muda. Terong bisa kalian, balado.. Yang menggunggah selera lahhh intinya .... 🙏🙏🙏 Untuk pastry mereka lengkap. Ada roti tawar gandum, Sourdough, croissant, waffle, kue lumpur, dll Ada jenang, ada bubur"
"3.","Muhammad Ichsan Nasution","7","2026-01-01","5","Lokasi sangat strategis sekali dekat kemana2, air juga tersedia di dispenser semakin mudah kalau butuh air. Masukannya menu sarapannya dibuat lebih variatif lagi , contoh untuk live cooking bisa dibuat bervariasi menunya. Begitu juga dengan menu hidangan lain setiap hari tampilannya sama , bisa dibuat lebih variatif. Utk yang lainnya sudah OK !!"
"4.","frdnsyh","1","2026-01-01","5","sangat memuaskan. kolam renangnya cukup besar dan terawat, cocok untuk relaksasi. pelayanannya sangat ramah dan profesional, early check in oleh kak April, memberikan kesan yang baik. fasilitasnya lengkap dan kamar-kamarnya bagus, bersih, serta nyaman untuk beristirahat."
"5.","Cahaya Aja","1","2026-01-01","5","So comfy, Pengalaman menginap di hotel ini sangat menyenangkan! Kamar yang bersih dan nyaman, fasilitas yang lengkap, dan pelayanan yang ramah dan profesional apalagi mbak april. Lokasinya juga strategis, dekat dengan pusat kota dan tempat wisata. Sangat direkomendasikan untuk siapa saja yang mencari penginapan yang berkualitas!"
"6.","Zahwa Fanesa","1","2026-01-01","5","Hotelnya bagus, kamar rapi dan bersih. Pegawai semua sangat ramah dan baik, di resto, perlengkapan, keamanan, resepsionis maupun housekeeping. Menu makanan beragam, rasa makanan oke. Terimakasih khususnya untuk pelayanan mbak April yang sangat membantu...."
"7.","cindy purwaningrum","5","2026-01-01","5","Experience yang OK punya. Lokasi strategis, dapat room di lantai 8 yang bisa lihat gn. Merapi, kamar spacious dan bersih, breakfast yang variance nya beragam dan always enak. Terimakasih kepada mbak Arvel dan team resto yang sigap banget, padahal lagi rush our di breakfast. Next, akan kembali kesini"
"8.","Liana Aprilianti","2","2026-01-01","5","Hotel Harper Malioboro Yogyakarta memberikan pengalaman menginap yang sangat menyenangkan. Kamarnya bersih, nyaman, dan modern. Stafnya ramah serta responsif terhadap kebutuhan tamu. Lokasinya strategis dan mudah diakses dari pusat kota. Sarapan yang disajikan juga bervariasi dan lezat. Sangat direkomendasikan untuk perjalanan bisnis maupun liburan keluarga! Tidak lupa terima kasih atas pelayanannya Mbak April."
"9.","dhiena puspita","220","2026-01-01","5","Kamar nyaman, makanan banyak variasi dengan rasa yg enak. Lokasi dekat kemana2..semua staff dari satpam, resepsionis, resto, ramah dan sangat helpfull. Next Pasti akan menginap lagi disini"
"10.","Sally Marselina","4","2025-12-08","5","I recently stayed at Harper Hotel Malioboro and it was truly a satisfying experience from start to finish. The service was exceptional — every staff member was friendly, helpful, and genuinely made me feel welcomed. The room was clean, comfortable, and spacious, with a warm ambience that made it easy to relax after a long day around Malioboro. For the price, I honestly feel the value was totally worth it — affordable, but the quality feels above the price point. One of the highlights was definitely the breakfast. They serve many options, but my absolute favorite was the bubur gudeg. Super delicious, comforting, and uniquely Yogyakarta — a perfect start to the morning! Overall, Harper Hotel Malioboro exceeded my expectations in every way. Highly recommended for anyone looking for great service, great rooms, and great food in the heart of Jogja. Will definitely come back!"
"11.","Emanuella Widianto","6","2025-12-25","5","Hotelnya bersih, lokasinya sangat strategis dekat malioboro dan tugu jogja, pelayanannya bagus, ramah, menu breakfastnya bervariasi, dan enak, tersedia juga ice cream favoritnya anak2 kami. Sangat direkomendasikan. Terima kasih keramahannya Mbak Rani and team."
"12.","Rossy Hening Pratiwi","12","2026-01-03","5","Pelayanan oke semua resto okee bangett kamar sesuai dengan ekspetasi kamar aman semua free snack juga makasi team especially mb april next akan kesjni lagi ya"
"13.","Nugroho Tri Wibowo","32","2026-01-01","5","Hotel bagus tengah kota, sayangnya apes pas kemarin nginap semalam disana. Dapat kru hotel yg kurang kerjasama, gak punya empati antar kru. Dapat kamar yg kuncinya macet ga bisa dibuka, nungguin hampir sejam di depan kamar pas teknisinya perbaikan. Cm ya ttp saya kasih bintang 5 biar ada perbaikan di sisi manajemen dan teknisnya."
"14.","Nadilla Tasya Natasa","5","2025-12-25","5","kamarnya bagus, lumayan luas, layanannya bagus dan worth it utk harga segitu, sm ditawarin minuman baru jg sm kaka lely dan chelsy, pelayanan ramah dan baagus"
"15.","Indriani Rusydi","1","2026-01-01","5","Dekat dgn Tugu, tp blm rame spt di Malioboro. Kamar luas yg kami pesan cukup, handuk ada bbrp jenis. Breakfast, makanannya variatif, staf nasi goreng station melihat saya menawarkan nasi gorengnya, saya menolak tp msh bingung, mba nya menawarkan mungkin mau coba sedikit Bu? (Seneng dgn perhatiannya). Stafnya semua sigap."
"16.","Tasya","11","2025-12-25","5","Paket half day di Harper dapat coffeebreak dan lunch yang enakk. Menu lunch favorit daging empal, tapi cepat habis, sepertinya memang favorit semua orang, enak! Ballroomnya besar dan nyaman. Pelayanannya sangat memuaskan, ramah, dan gercep. Ketika lunch diampiri oleh Chef Vieri dan Chef Ilda, sangat ramah dan menerima masukan. Terima kasih!"
"17.","adinda maya","18","2025-12-08","5","We booked from 1 till 5 December 2025, and the hospitality is AWESOME. All the staff here is very supportive and helpful. The restaurant team, Chef Anas-Mas Fendy-Rafi-and all the waiterss team’s service is very excellence. They were genuinely served and cooked the best meals ever! The front office desk also informative and so kind. Especially Mba Amelia, and Mba Rare who really sweet and helpful. All the services was excellence, I ain’t lie. Even the Security and Bell Boy, was very rigid to help us with the luggage. Great job Harper Maliboro by Aston! Keep it up Team!"
"18.","Fauzan Iyas","5","2025-12-08","5","I had an excellent stay at Harper Malioboro. The room was modern, spotless, and pleasantly fragrant, creating a very comfortable atmosphere. One of the highlights was the Google Nest feature—having advanced voice-command controls made everything incredibly convenient, and I barely had to get up for anything. The complimentary minibar snacks were also a wonderful touch and were replenished daily, which is something you rarely find in most hotels today. Overall, Harper Malioboro exceeded my expectations in both comfort and service. Highly recommended for anyone looking to stay in Yogyakarta!"
"19.","Auxillio Andy Kwee","42","2026-01-01","5","Hotel yg oke banget: bersih, aman, n great value. Terletak tdk terlalu jauh dengan Malioboro, bisa dicapai dengan jalan kaki skalian olahraga. Service n hospitality top notch. Kamar tidur excellent, kmr mandi jg 👍. Breakfastnya amazing dari variety, quality n quantity. We truly enjoyed our staying."
"20.","Vidya R","3","2026-01-01","5","Pelayanan di Hotel Haper sangat mantap mulai dari kamar, parkir, dan sarapannya. Staf nya sangat ramah dan helpful sekali terutama Mba Arvel. Plus dapet free upgrade kamar pula. Very recomended 👍🏻👍🏻"
"21.","anak sholeh","1","2026-01-01","5","Pelayanannya ramah, kamarnya sangat wangi, bersih dan nyaman. Saya di bantu oleh mbak april yang sangat humble dan baik. Ini salah satu hotel yang bakal saya kunjungin lagi"
"22.","chobin martanto","2","2026-01-03","5","Semuanya sangat memuaskan, pelayanan dan kualitas kamarnya oke bgt, sedikit minusnya adalah krn saya dpt lantai 3 yg gak dpt view keluar yg bgs, tp overall memuaskan dan saya pasti akan memilih harper malioboro lagi kalau liburan di Jogja"
"23.","stephanus cahyo adiraja","7","2026-01-01","5","Awalnya sempet terjadi miskom dgn tim reservasi tapi bisa solved dgn baik. Utk pelayanan mnrtku juara sih, semua stafnya ramah2 & helpful. Utk mbak Anin yg tadi bertugas di egg station, semangat ya mbak, mbak Anin gak salah kok, cust-nya aja yg rada error & gak sabaran. Udh tak sampein jg ke mas Fendy & chefnya dari pov sy yg td ada disana. Semangat tim Harper Jokja yg sdh melayani dgn sepenuh hati di saat peak season spt skg ini 👍👍👍"
"24.","Amalia Astri","2","2025-11-08","5","Hotel Harper Malioboro Yogyakarta adalah hotel yang paling strategis di pusat kota Jogja, butuh beberapa menit jalan kaki untuk sampai ke Malioboro, tempat yang terkenal dengan suasana malam yang ramai, kuliner khas. Lokasinya juga dekat dengan Stasiun Tugu, jadi gampang banget dijangkau buat mahasiswa atau wisatawan yang datang naik kereta. Hotel ini modern tapi tetap hangat dan nyaman. Saat masuk ke lobi, kita melihat desain interior yang elegan dan tentunya pelayanan staf yang ramah. Kamarnya bersih, dilengkapi berbagai fasilitas. Jadi, meskipun konsepnya modern, tetap terasa homey dan cocok buat mahasiswa yang ingin istirahat setelah seharian jalan-jalan atau ikut kegiatan di kota Jogja. Fasilitas di hotel ini juga cukup lengkap. Ada kolam renang outdoor, tempat fitness untuk yang mau relaksasi. Restorannya, Rustik Bistro & Bar, menyajikan makanan dengan cita rasa lokal dan internasional, jadi ngga perlu repot cari makan keluar kalau lagi mager. Sarapan di hotel ini juga terkenal enak dan banyak macamnya. Harganya memang nggak sehemat hotel budget, tapi kualitasnya sebanding dengan fasilitas dan lokasi yang ditawarkan. Apalagi kalau kamu ingin pengalaman menginap yang nyaman, dekat Malioboro, dan mudah kemana-mana — hotel ini bisa jadi pilihan yang pas."
"25.","ayis","1","2025-12-08","5","Hotel ini bener-bener memanjakan tamu. Kamarnya nyaman dan luas, cocok buat keluarga atau pasangan. Yang paling berkesan buat aku pelayanannya, terutama Kak April yang ramah banget. Dia bantu semua kebutuhan dengan cepat. Sarapannya banyak pilihan dan enak. Kolam renang dan areanya bersih dan cantik. Udara di sekitar hotel juga segar banget. Rasanya pengin stay lebih lama."
"26.","Atha Abdulrahman","1","2025-12-25","5","Kamar bgus pelayanan oke dari mbak Anin dan partner nya yang cowok( lupa namanya)dalam hal pelayanan breakfast juga dalam merapikan kamar serta membantu klien yang kesusahan membuka pintu"
"27.","Muhammad Pasha Faiz Januarta","4","2026-01-01","5","hotel terbaik di jogja cocok buat staycation bareng keluarga, breakfastnya enak menu bervariasi, all staf ramah sekalii terutama mba rani, wallody dan arvel😍🫶🏻"
"28.","AMILIA","1","2025-12-08","5","Lokasi strategis banget – cukup jalan kaki ke Malioboro & kuliner sekitar. Staf ramah & pelayanan cepat. Fasilitas lengkap: kolam renang, gym, spa, restoran, WiFi stabil. Kamar bersih & nyaman, cocok untuk keluarga atau perjalanan bisnis. sangat direkomendasikan untuk kamu yang ingin menginap di pusat kota Yogyakarta dengan kenyamanan dan layanan berkualitas staff baik banget mas vento, mb april dan mas andon"
"29.","xafiryy.","2","2025-11-08","5","kamar bener bener nyaman dan sesuai dengan pesanan. semua staff ramah dan membantu selama stay. meeting berjalan dengan lancar AC dingin kaloo kata saya sih pilih hotel ini ya buat liburan ke jogja tersedia free welcome drink dan snack dan minibar di kamarpun di berikan gratis plus direfil tiap hari"
"30.","mega nila","1","2025-12-18","5","Kamar bersih & dilengkapi dengan smart tv. Namun suara kulkas lumayan terdengar nyaring. Staff ramah & proses check in/out tidak sangat cepat, menu sarapan favorit kami nasi goreng 👍🏻 Lokasi sangat dekat dengan tugu, malioboro & di depannya juga terdapat angkringan, bakmi jawa, byk toko oleh2 & dagadu 👍🏻"
"31.","Pevita Levia","1","2025-12-08","5","beneran excited banget nulis ini karena pengalamannya tuh seseru itu!! kak april bantu check-in dengan super cepat dan super ramah. kamar bersih dan cozy banget. kolam renangnya cantik, bersih, dan enak banget buat healing sore. 10/10 bakal balik lagi."
"32.","Nanaii","1","2026-01-01","5","pelayanan nya top banget sih, room nya bagus, bersih, sarapan nya juga oke banget. tadi di bantu juga sama ka arvel"
"33.","Ari Wibowo","2","2025-12-08","5","Sangat-sangatlah puas menginap disini tempatnya bagus,nyaman,bersih apalagi fasilitasnya lengkap pelayanannya juga ramah dan gercep.Lokasinya strategis dekat dengan tugu dan sangat direkomendasikan untuk yang cari hotel nyaman dengan pelayanan bintang lima tetapi harga tetap bersahabat.Dan terimakasih kepada ibu security yang tetap ramah saat kami bolak-balik keluar masuk hotel. Over all good 🫶"
"34.","Breina Oksyaraini","2","2025-12-08","5","Sangat puas menginap di sini! Pelayanan ramah, kamar bersih dan nyaman, serta fasilitas lengkap — mulai dari kolam renang, gym, hingga restoran yang makanannya enak. Lokasi strategis dan Wi-Fi cepat juga jadi nilai plus. Pengalaman menginap yang menyenangkan dan pasti akan kembali lagi! ⭐️⭐️⭐️⭐️⭐️"
