"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","TANAKA Tanaka","34","2025-12-25","3","Saya pesan hotel via agoda Melihat rating tertinggi disini Karena bintang 3 , dan melihat ulasan bagus , kamar bagus. Pas dtg chek in ga bisa di percepat biarpun saya ingin bayar tambahan biaya Ac bermslah di hari ke 9 dan akhirnya kami pindah kamar , tp menurutku makin ga enak. Mau komplain ud malas . Ketika mau chek out jam 12 . Saya mnt negosiasi utk mnt waktu utk kami sholat 5 menit. Tp jawaban nya tidak bisa alasan full. Mau bayarpun ga bisa. Makanan nya selama saya menginap itu itu mulu menu nya Ayam , ikan Ayam ,ikan Ayam , ikan Enggk ada variatif nya Dan soto nya asin Sekelas bintang 3 menurutku mirip ke bintang 2. Kamar nya sangat kecil Padahal pesan nya yg paling bagus menurut aplikasi ."
"2.","Fuad Fauzi","88","2026-01-01","5","Menginap di sini pas liburan natal 2025. Harga lagi mahal dan memang semua hotel naik 50-100%. Menurut saya kamarnya nyaman sudah ada smart TV jadi cocok untuk anak2 bisa nonton Youtube. Lokasi yang ditengah kota, dekat tugu. Staff hotel dari resepsionis sampai securitynya ramah. Menu sarapan lengkap tapi tidak banyak berubah di hari berikutnya. Minusnya di kolam renang yang hanya dewasa dan tempat parkirnya sempit jadi dibantu valet parking."
"3.","Freshmax Bali","5","2026-01-01","5","Very comfortable hotel just 3 minute to Jl. Mailboro. Breakfast is awesome👍. All employees were very nice. Room was clean. There was an issue in our bathroom and they fixed it right a way. We loved the breakfast room."
"4.","indrasmara ilham perdana","325","2025-12-08","5","Kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan. Sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel, meskipun hotel ini bukan hotel syariah Peralatan shalat di dalam kamar juga cukup lengkap, ada sajadah, mukena, dan juga Al-Qur'an. Untuk lokasi hotel ini sangat strategis, tak jauh dari tugu jogja yang ikonik. Mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional, dan sebelahan persis dengan lupis yang viral. Kemarin mendapatkan kamar yang dapat view langsung gunung merapi. Untuk menu sarapan di hotel cukup lengkap, meskipun untuk resonya lumayan sempit Ada kolam renang untuk anak-anak bermain, karena tidak begitu luas."
"5.","ARI","100","2025-12-08","5","Gila sih, KHAS Tugu Hotel ini memang bestie banget buat yang cari hotel di deket Tugu Jogja! Lokasinya strategis parah, mau ke Malioboro atau kulineran melipir dikit aja nyampe, pokoknya gampang banget aksesnya ke mana-mana. Trus, mereka juga punya counter yang khusus jualin oleh-oleh dari Jogjakarta jadi ga perlu pusing kalo gak sempet belanja oleh-oleh ya! Awalnya sih cuma ikut kata pacar yang recommend buat nginep sini, eh ternyata beneran dong, semua fasilitas dan pelayanannya bikin betah dan worth it abis! Saya pesan 4 hari 3 malam, dan meskipun sarapannya cuma dapat jatah sekali, menu breakfast-nya itu juara banget, isinya full kuliner Jawa Tengah yang enak-enak semua. Pokoknya, kalau liburan ke Jogja lagi, fix banget saya bakal balik nginep di KHAS Tugu Hotel lagi! Nggak ada lawan deh!"
"6.","Anna","357","2025-12-08","4","Actually we didn’t expect much from this hotel because the only reason we chose this hotel is Lupis Mbah Satinem. It’s just across this hotel. Back to hotel, the staff were friendly and helpful. The room was a bit cramped and little dirty on the wall and the bed sheets. The bathroom was not clean enough too. You can request to borrow iron but no iron board so just iron on the table or on the bed. Breakfast were delicious even there were only a few variations of the dishes."
"7.","Ahma Muniyatini","13","2025-12-11","1","LORONG MENUJU KAMAR PANASSSS HOTELNYA PELIT AC DI LORONG KORIDOR GAK DINYALAIN!!! Hotel yang sangat pelit di lorong dari lift menuju kamar AC nya tidak dinyalakan, tetapi area nya full tertutup kaca. Kalo gak mau rugi ada AC di lorong, yaa buatkan jendela lahh. Hargamu itu udah termasuk fantastis/mahal banget lohh. Hotel di Yogyakarta itu udah mahal-mahal pol lohhhh. Di tik-tok content creatornya cuma mau FYP aja, gak detail ngasih tau nya. DENGAN HARGA SEMAHAL INI, TIDAK ADA KULKAS PARAHHHH. KALO MAHAL BAGUS OKEEE, INI TIDAK JATOHNYA MERES WOYYY"
"8.","Alex WS (Alex)","122","2025-10-08","2","Punya pengalaman tidak menyenangkan di hotel ini, saya menginap 2 hari. Hari kedua ga doyan makan karena tahu bahwa handuk yg sdh kotor bekas pakai sehari dan dipakai ngelap gelas, dilipat rapi lagi dan ditaruh seolah olah handuk baru. Sangat ga nyaman, mau komplain sdh malam. Bed cover juga terlihat kotor. Komplain saya ditanggapi dengan ramah, tapi saya kapok menginap lagi disini karena masih terbayang handuk kotor yang dipakai membersihkan gelas di kamar. Pengalaman saya menginap di hotel lainnya, handuk diganti setiap hari."
"9.","A","5","2025-12-18","1","SANGAT TIDAK WORTH IT DENGAN HARGA SEGITU!! JATUH NYA KAYA HOTEL TUA. kacaauuuuu breakfast pun lauknya gak ada yg enakkk😭🫵🏻, Kalo gak karna kecapean mungkin bakal cari hotel lain dan gak bakal chek in dsni. Kacauuu kacauuuu sangat memeras harga 1jt permalam gk ada apa” semua tertutup view nya pun biasa aja"
"10.","Corie Anissa","73","2025-10-08","3","Maaf harus memberikan review ini🙏🏻 Awal check in bed cover banyak noda lama, mau minta ganti tp sudah capek mau segera mandi dan istirahat. Sarapan saat bfast rasanya enak, tp mungkin bukan selera saya ya.. overall sebenarnya sudah baik. Tp kebersihan tdk dijaga dg baik. Handuk sudah kusam. Semoga bisa nginep kembali dg performa terbaik."
