No,User Name,Review Count,Review Time,Rating,Review Text,Cleaned_Readable,Cleaned_NLP
1.0,Mckatog DP,36,2025-12-18,5,"Hotel bintang 3 harga bintang 4... tapi sangat masuk akal, karena pegawainya sopan2, ga kalah sama pelayanan hotel bintang 5... Secara hotel ini recomended, mengingat lokasi nya sangat strategis untuk akses ke Malioboro, cukup berjalan kurang dari 5 menit udah bisa menikmati hiruk pikuknya keramaian Malioboro... Untuk sarapan sudah tersedia makanan tradisional Yogya, gudeg yg legend... tinggal snack nya aja menurut saya yg suka jajanan tradisional waktu tgl 16 desember '25 tidak tersedia di resto..(next nginap d situ mudah2an ada) Overall ok lah, bisa dicoba lagi klo ke Yogya..","Hotel bintang 3 harga bintang 4.. Tapi sangat masuk akal, karena pegawainya sopan2, ga kalah sama pelayanan hotel bintang 5.. Secara hotel ini recomended, mengingat lokasi nya sangat strategis untuk akses ke malioboro, cukup berjalan kurang dari 5 menit udah bisa menikmati hiruk pikuknya keramaian malioboro.. Untuk sarapan sudah tersedia makanan tradisional yogya, gudeg yg legend.. Tinggal snack nya aja menurut saya yg suka jajanan tradisional waktu tgl 16 desember '25 tidak tersedia di resto..(next nginap d situ mudah2an ada) overall ok lah, bisa dicoba lagi klo ke yogya..",hotel bintang harga bintang tapi sangat masuk akal karena pegawainya sopan ga kalah sama pelayanan hotel bintang secara hotel ini recomended mengingat lokasi nya sangat strategis untuk akses ke malioboro cukup berjalan kurang dari menit udah bisa menikmati hiruk pikuknya keramaian malioboro untuk sarapan sudah tersedia makanan tradisional yogya gudeg yg legend tinggal snack nya aja menurut saya yg suka jajanan tradisional waktu tgl desember tidak tersedia di restonext nginap d situ mudahan ada overall ok lah bisa dicoba lagi klo ke yogya
2.0,Endi Sitompul,119,2025-10-08,5,"I stayed 1 night only with my colleagues and had the opportunity to have dine in at the Restaurant with our daughter. Just two of us. The staff was very helpful, Pak Ruli and team to assist us in selecting menu for us. We ordered forget the name but like roll for SULTAN for starter and it was a-3-piece rollade with tasty flavor. The cold version of wedang uwuh was so fitted into our main course. Superb dinner date! Thank you for the Resto team and we'll be back for sure!","I stayed 1 night only with my colleagues and had the opportunity to have dine in at the restaurant with our daughter. Just two of us. The staff was very helpful, pak ruli and team to assist us in selecting menu for us. We ordered forget the name but like roll for sultan for starter and it was a-3-piece rollade with tasty flavor. The cold version of wedang uwuh was so fitted into our main course. Superb dinner date! Thank you for the resto team and we'll be back for sure!",i stayed night only with my colleagues and had the opportunity to have dine in at the restaurant with our daughter just two of us the staff was very helpful pak ruli and team to assist us in selecting menu for us we ordered forget the name but like roll for sultan for starter and it was apiece rollade with tasty flavor the cold version of wedang uwuh was so fitted into our main course superb dinner date thank you for the resto team and well be back for sure
3.0,Fariez Nurkholiq Ashshiddiqie,138,2025-12-08,4,"Hotelnya bagus, pelayanan ramah, suka karena disediakan alquran dan sajadah di kamar. Ukuran kamar juga cukup luas. Tidak bisa kasih full 5 bintang karena kebetulan dapat kamar yang air panasnya tidak ngalir. Tapi di kamar teman infonya lancar saja. Sudah panggil petugas bisa, tapi pas dicoba sendiri tetap tidak ngalir. Tapi overall memuaskan.","Hotelnya bagus, pelayanan ramah, suka karena disediakan alquran dan sajadah di kamar. Ukuran kamar juga cukup luas. Tidak bisa kasih full 5 bintang karena kebetulan dapat kamar yang air panasnya tidak ngalir. Tapi di kamar teman infonya lancar saja. Sudah panggil petugas bisa, tapi pas dicoba sendiri tetap tidak ngalir. Tapi overall memuaskan.",hotelnya bagus pelayanan ramah suka karena disediakan alquran dan sajadah di kamar ukuran kamar juga cukup luas tidak bisa kasih full bintang karena kebetulan dapat kamar yang air panasnya tidak ngalir tapi di kamar teman infonya lancar saja sudah panggil petugas bisa tapi pas dicoba sendiri tetap tidak ngalir tapi overall memuaskan
4.0,aurelia valen,11,2026-01-01,3,"Hotelnya over all bgus, lokasi juga deket sekali dgn malioboro. Hanya saya klo utk pengguna grab mesti xtra sabar karna nunggu lama sekali dan sering di cancel, dgn alasan jalan malioboro macet /ditutup. Jd susah klo mau pergi2.","Hotelnya over all bgus, lokasi juga deket sekali dgn malioboro. Hanya saya klo utk pengguna grab mesti xtra sabar karna nunggu lama sekali dan sering di cancel, dgn alasan jalan malioboro macet /ditutup. Jd susah klo mau pergi2.",hotelnya over all bgus lokasi juga deket sekali dgn malioboro hanya saya klo utk pengguna grab mesti xtra sabar karna nunggu lama sekali dan sering di cancel dgn alasan jalan malioboro macet ditutup jd susah klo mau pergi
5.0,sarah,22,2025-12-18,5,"first time ke jogja inap di hotel Khas, untuk sarapannya enak, lengkap, krna saya pecinta makanan sereal, yg ini lemgkap smpai 3 macam (cco crunch,honey star, dan jagung) nasi goreng dan lauk lainnya enak dan segar semua. kamar bersih dan GONGnya utk jaringan TV dan WIFInya kencang👍 dan cukup puass inap disini, apalg lengkap dgn sejadah dan al Quran. tinggalin sepatu di sana biar bjsa kembali ke jogja. ❤️","First time ke jogja inap di hotel khas, untuk sarapannya enak, lengkap, krna saya pecinta makanan sereal, yg ini lemgkap smpai 3 macam (cco crunch,honey star, dan jagung) nasi goreng dan lauk lainnya enak dan segar semua. Kamar bersih dan gongnya utk jaringan tv dan wifinya kencang dan cukup puass inap disini, apalg lengkap dgn sejadah dan al quran. Tinggalin sepatu di sana biar bjsa kembali ke jogja.",first time ke jogja inap di hotel khas untuk sarapannya enak lengkap krna saya pecinta makanan sereal yg ini lemgkap smpai macam cco crunchhoney star dan jagung nasi goreng dan lauk lainnya enak dan segar semua kamar bersih dan gongnya utk jaringan tv dan wifinya kencang dan cukup puass inap disini apalg lengkap dgn sejadah dan al quran tinggalin sepatu di sana biar bjsa kembali ke jogja
6.0,Nolianto Ananda,1694,2025-12-08,5,"Great value hotel. Clean and comfy room. Nice breakfast, friendly and helpful staff. Nice location only 10 minutes walking to 0 km Jogja, 10 minutes walking to Bringharjo Market. Affordable price.","Great value hotel. Clean and comfy room. Nice breakfast, friendly and helpful staff. Nice location only 10 minutes walking to 0 km jogja, 10 minutes walking to bringharjo market. Affordable price.",great value hotel clean and comfy room nice breakfast friendly and helpful staff nice location only minutes walking to km jogja minutes walking to bringharjo market affordable price
7.0,fx alvin k,25,2025-12-11,4,"Lokasi cukup dekat jl. Malioboro tinggal jalan kaki 5 menit. Service oke dengan menu breakfast yg cukup oke juga. Ruang kamar oke bersih, nyaman, tv berfungsi dengan baik mau youtube dll, kasur bantal empuk selimut tebat hanya saja kamar mandi tidak bisa di kunci dan luas ruangan cukupan saja.","Lokasi cukup dekat jl. Malioboro tinggal jalan kaki 5 menit. Service oke dengan menu breakfast yg cukup oke juga. Ruang kamar oke bersih, nyaman, tv berfungsi dengan baik mau youtube dll, kasur bantal empuk selimut tebat hanya saja kamar mandi tidak bisa di kunci dan luas ruangan cukupan saja.",lokasi cukup dekat jl malioboro tinggal jalan kaki menit service oke dengan menu breakfast yg cukup oke juga ruang kamar oke bersih nyaman tv berfungsi dengan baik mau youtube dll kasur bantal empuk selimut tebat hanya saja kamar mandi tidak bisa di kunci dan luas ruangan cukupan saja
8.0,255_fabian setyawan,12,2026-01-01,4,"Hotelnya bagus pelayanya tamah, tapi aku nunggu check in dari jam 2 sampai jam 4, harusnya sesuai jadwal jam 2 udah ready semua","Hotelnya bagus pelayanya tamah, tapi aku nunggu check in dari jam 2 sampai jam 4, harusnya sesuai jadwal jam 2 udah ready semua",hotelnya bagus pelayanya tamah tapi aku nunggu check in dari jam sampai jam harusnya sesuai jadwal jam udah ready semua
9.0,den yoga,147,2025-12-08,5,"Deket sih dengan malioboro, banyak tamu dg bus ke hotel ini terutama pas sarapan terlihat sering penuh orang or malah sempat harus antri padahal hanya utk sarapan. Utk orang yg butuh tempat nginap dekat dg titik nol malioboro pas sih milih sini.","Deket sih dengan malioboro, banyak tamu dg bus ke hotel ini terutama pas sarapan terlihat sering penuh orang or malah sempat harus antri padahal hanya utk sarapan. Utk orang yg butuh tempat nginap dekat dg titik nol malioboro pas sih milih sini.",deket sih dengan malioboro banyak tamu dg bus ke hotel ini terutama pas sarapan terlihat sering penuh orang or malah sempat harus antri padahal hanya utk sarapan utk orang yg butuh tempat nginap dekat dg titik nol malioboro pas sih milih sini
10.0,Angel Angel,19,2025-12-18,4,"We choose this hotel because close too Malioboro..The room is clean, also bathroom, friendly staff, the breakfast menu is more traditional, yummy.., only the quality of jam and bread may need to be improved, or can put espresso machine, haha, your morning coffee too light.. mmm I just feel some staff only kind while we stay there, they change when we already check out.. don’t do that, not nice, by the way thanks for your service","We choose this hotel because close too malioboro..the room is clean, also bathroom, friendly staff, the breakfast menu is more traditional, yummy.., only the quality of jam and bread may need to be improved, or can put espresso machine, haha, your morning coffee too light.. Mm i just feel some staff only kind while we stay there, they change when we already check out.. Dont do that, not nice, by the way thanks for your service",we choose this hotel because close too malioborothe room is clean also bathroom friendly staff the breakfast menu is more traditional yummy only the quality of jam and bread may need to be improved or can put espresso machine haha your morning coffee too light mm i just feel some staff only kind while we stay there they change when we already check out dont do that not nice by the way thanks for your service
11.0,Mega Arina,7,2025-09-08,1,"kamar lumayan bersih, handuk seperti sudah lamaa tidak diganti baru. ac rusak tidak dingin, cuma kipas. udah coba dibenerin tp tetep ngga dingin. karena konslet jadi listrik kamar sampai padam 2x. tv jg kadang eror. pesen 2 kamar, dan sama minus semua. ac ngga dingin","Kamar lumayan bersih, handuk seperti sudah lamaa tidak diganti baru. Ac rusak tidak dingin, cuma kipas. Udah coba dibenerin tp tetep ngga dingin. Karena konslet jadi listrik kamar sampai padam 2x. Tv jg kadang eror. Pesen 2 kamar, dan sama minus semua. Ac ngga dingin",kamar lumayan bersih handuk seperti sudah lamaa tidak diganti baru ac rusak tidak dingin cuma kipas udah coba dibenerin tp tetep ngga dingin karena konslet jadi listrik kamar sampai padam x tv jg kadang eror pesen kamar dan sama minus semua ac ngga dingin
12.0,Rio Yusuf,4,2025-12-18,5,"Baru kali ini nginep di hotel bukan termasuk bintang 5 tapi pelayanannya supeeerrr ramah sekali, mulai dari security, resto, resepsionis semua nya gak ada yang gagal, untuk kamar sangat bersih tapi sayang dipan nya ngejeblos kebawah pas di tidurin, jadi kasur otomatis keangkat sedikit, untuk lokasi strategis sekali, sepertinya next liburan kejogja mau singgah ke hotel ini lagi","Baru kali ini nginep di hotel bukan termasuk bintang 5 tapi pelayanannya supeerr ramah sekali, mulai dari security, resto, resepsionis semua nya gak ada yang gagal, untuk kamar sangat bersih tapi sayang dipan nya ngejeblos kebawah pas di tidurin, jadi kasur otomatis keangkat sedikit, untuk lokasi strategis sekali, sepertinya next liburan kejogja mau singgah ke hotel ini lagi",baru kali ini nginep di hotel bukan termasuk bintang tapi pelayanannya supeerr ramah sekali mulai dari security resto resepsionis semua nya gak ada yang gagal untuk kamar sangat bersih tapi sayang dipan nya ngejeblos kebawah pas di tidurin jadi kasur otomatis keangkat sedikit untuk lokasi strategis sekali sepertinya next liburan kejogja mau singgah ke hotel ini lagi
13.0,Mike Staton,137,2025-09-08,5,"The only place to stay in Depok, 4 star all round, the staff are amazing, super friendly. The rooms are very well presented and very clean. The beds are comfortable, nice pillows, and white sheets. The room size is perfect, you don't feel cramped. Access to the mail below is very close and you can keep out of the rain. Great selection of room service meals available, not overly expensive. Do yourself a favour and pay the little bit more and stay in a great hotel its well worth it. We will definitely be back next time we are in Depok. Highly recommended.","The only place to stay in depok, 4 star all round, the staff are amazing, super friendly. The rooms are very well presented and very clean. The beds are comfortable, nice pillows, and white sheets. The room size is perfect, you don't feel cramped. Access to the mail below is very close and you can keep out of the rain. Great selection of room service meals available, not overly expensive. Do yourself a favour and pay the little bit more and stay in a great hotel its well worth it. We will definitely be back next time we are in depok. Highly recommended.",the only place to stay in depok star all round the staff are amazing super friendly the rooms are very well presented and very clean the beds are comfortable nice pillows and white sheets the room size is perfect you dont feel cramped access to the mail below is very close and you can keep out of the rain great selection of room service meals available not overly expensive do yourself a favour and pay the little bit more and stay in a great hotel its well worth it we will definitely be back next time we are in depok highly recommended
14.0,Dewi Rezkiana Putri,105,2025-11-08,5,"Dengan harga segitu terbayar dengan fasilitas yang bagus, kamarnya super nyaman, staffnya juga ramah bangettt, aminities lengkap, kalau mau jogging pagi atau jalan malam ke malioboro bisa bangett 🤩","Dengan harga segitu terbayar dengan fasilitas yang bagus, kamarnya super nyaman, staffnya juga ramah bangett, aminities lengkap, kalau mau jogging pagi atau jalan malam ke malioboro bisa bangett",dengan harga segitu terbayar dengan fasilitas yang bagus kamarnya super nyaman staffnya juga ramah bangett aminities lengkap kalau mau jogging pagi atau jalan malam ke malioboro bisa bangett
15.0,Bernadeta R,155,2025-12-08,5,Lokasi mudah temukan walaupun di dlm gang.. Bis bs parkir di parkiran hotel Kamar tdk terlalu luas tp cukup nyaman.. Kebetulan kamar tdk dpt view.. Sarapan oke..,Lokasi mudah temukan walaupun di dlm gang.. Bis bs parkir di parkiran hotel kamar tdk terlalu luas tp cukup nyaman.. Kebetulan kamar tdk dpt view.. Sarapan oke..,lokasi mudah temukan walaupun di dlm gang bis bs parkir di parkiran hotel kamar tdk terlalu luas tp cukup nyaman kebetulan kamar tdk dpt view sarapan oke
16.0,Meirina Putri,37,2025-09-08,5,"Hotel bintang 3 yang terletak sekitar 300 meter dari malioboro. Lokasi sangat strategis bisa jalan kaki ke malioboro atau naik becak. Kamarnya luas dan bersih, ada corner untuk sholat di setiap kamar dan disediakan sajadah serta Al Quran. Breakfastnya juga cukup lengkap, berbeda dengan hotel bintang 3 biasanya, menu protein ada beberapa varian,pilihan minuman lengkap, dessert juga cukup banyak, ada foods for kids. Parkiran besar. Hanya saja harganya memang cukup mahal untuk hotel bintang 3.. waktu itu saya weekend di bukan Juli harga 900 an per room","Hotel bintang 3 yang terletak sekitar 300 meter dari malioboro. Lokasi sangat strategis bisa jalan kaki ke malioboro atau naik becak. Kamarnya luas dan bersih, ada corner untuk sholat di setiap kamar dan disediakan sajadah serta al quran. Breakfastnya juga cukup lengkap, berbeda dengan hotel bintang 3 biasanya, menu protein ada beberapa varian,pilihan minuman lengkap, dessert juga cukup banyak, ada foods for kids. Parkiran besar. Hanya saja harganya memang cukup mahal untuk hotel bintang 3.. Waktu itu saya weekend di bukan juli harga 900 an per room",hotel bintang yang terletak sekitar meter dari malioboro lokasi sangat strategis bisa jalan kaki ke malioboro atau naik becak kamarnya luas dan bersih ada corner untuk sholat di setiap kamar dan disediakan sajadah serta al quran breakfastnya juga cukup lengkap berbeda dengan hotel bintang biasanya menu protein ada beberapa varianpilihan minuman lengkap dessert juga cukup banyak ada foods for kids parkiran besar hanya saja harganya memang cukup mahal untuk hotel bintang waktu itu saya weekend di bukan juli harga an per room
