"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Rafael Pastria","3","2025-12-26","5","Dua hari menginap di hotel ini, saya ras cukup bagus. Kamar yang cukup luas, kasur yang empuk bikin nyaman, dan pendingin ruangan untuk menghilangkan panas. Menu sarapan yang variasi dengan rasa yang enak. Pelayanan yang ramah bagi semua tamu.cekout dibantu oleh mas ezii."
"2.","Fadillah Pratama","1","2025-12-27","5","pelayanannya ramah,lokasinya strategis,room sama bathroomnya juga bersih dan wangi,linennya fresh,ga nyesel kalo nginep disini.thanks mas yusuf atas pelayanannya.nextnya bakal ngajak keluarga buat nginep sih🥰🥰"
"3.","hadi massyahid","2","2025-12-27","5","hotel nyaman buat istirahat,kamar dan kamar mandinya bersih,staffnya ramah,baik,sopan juga the best lah ,petugas kamar yang bernama mas yusuf juga membantu banget,top lah, makasih buat mas yusuf atas pelayananny 👍🏻🙏🏻"
"4.","fika hapsah","1","2025-12-02","5","Saya sangat puas dengan pengalaman menginap di hotel ini. Kamarnya bersih, rapi, dan terasa nyaman sejak pertama masuk. Kamar mandinya juga sangat bersih, perlengkapannya lengkap, dan air panas berfungsi dengan baik. Sangat direkomendasikan bagi yang mengutamakan kebersihan dan kenyamanan selama menginap. thank you, Harper ✌🏻"
"5.","Widya Selia Rizki","4","2025-12-12","5","Pelayanan dan fasilitas sangat nyaman, makanan direstaurant nya enak enak bangett, rekomenddd banget!! tq juga buat mba cs mba sherly yang sangat ramahh, all off good!🥰"
"6.","EL","2","2025-12-26","5","Bersih dan oke bgt pelayanannya, mulai dari check in, breakfast sampai check out lancar. Thanks to mba Sherly jg yg membantu kita! Recommend! 🤘✨"
"7.","Muhammad Raldo","3","2025-12-27","5","menginap disini nyaman banget sih,lokasinya strategis,kamarnya juga rapih serta kamar mandinya bersih,staffnya juga ngebantu banget,terimakasih mas yusuf,bakalan balik lagi kesini sii"
"8.","ale ale","1","2025-12-12","5","Lokasinya strategis dan Kamarnya nyaman, sebelah kamar berisik terdengar sampe ke kamar saya, tapi setelah saya komplain ke Resepsionis langsung di tangani dgn baik dan tidak berisik lagi.untuk menu sarapan juga variatif dan rasa enak.Terimakasih atas pelayanannya resepsionis yg responsifnya mba Andin."
"9.","Bobby Heryunda","3","2025-12-02","1","Ngga pernah denger nama hotel ini sebelumnya walaupun saya tinggal di Jakarta. Karena saudara menikah di HK Tower, kami disarankan WO untuk book kamar di hotel ini, total 30-an kamar. Kebayang kan gimana riwehnya persiapan hampir 100 orang keluarga untuk resepsi? Jadi kami minta ke pihak hotel supaya setidaknya 2-3 kamar (dari 30-an kamar yang sudah kami bayar lunas) diijinkan untuk early check-in (dari jam 11) dan late check-out (jam 2), terutamq untuk para lansia dan yang dari luar kota. Hasilnya? Ditolak mentah-mentah oleh pihak hotel. Ada saudara yang katanya punya akses ke manajemen hotel pun tetap ngga ditolak. Alhasil anggota keluarga numpuk di lobby (yang kecil) udah kayak pengungsi Rohingya :( Review lainnya: Lokasi = dikelilingi kemacetan luar biasa, terutama jika datang dari arah JORR (keluar tol Cawang/Halim). Kamar = Kecil, tanpa karpet. Saya di suite room, tetap ngga ada karpet, air di kamar mandi tergenang karena lantainya cekung di tengah (salah konstruksi?) Koridor kamar = karpet kebanyakan kusam dan kotor. Banyak dispenser (karena kita ngga dikasih air mineral dalam kamar), tapi galonnya kosong atau ngga ada galonnya. Fasilitas = so so. Pool biasa banget. Breakfast = jenis makanan lumayan variatif, rasa B aja."
"10.","Siti Maulidya","1","2025-12-26","5","Hotel nya bagus , kamar dan kamar mandi sangat bersih dan wangi, sangat nyaman karna kebersihan cukup terjaga, untuk staf nya pun ramah ramah sekali🤩 sangat rekomendasi untuk liburan maupun perjalanan bisnis"
