"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Gabriella Paramita","246","2025-12-17","5","Senenggg banget akhirnya cobain lunch buffet di Aston dan ini jujur salah satu buffet paling lengkap yang pernah aku datengin akhir-akhir ini. Dari awal masuk lobby udah kerasa vibesnya festive banget karena dekor natalnya gemes bgt, tempatnya adem, staff yang ramah n very helpful, dan makanan tersusun rapi — literally everything looked fresh & inviting. 😍🫰🏻 1. Indonesian Food, jujur kaget karena ini proper banget, sekali lagi banget!! Ada ikan utuh goreng yang bisa kita ambil jd puas makannya, pepes ikan kuning yang lembut dan flavourful, ayam garang asem empuk seger, gudeg dan tahu tempe bacem (orang jogja approve ahaha), oseng ati usus cabe ijo yg super umamii😋. Jujur Indonesian corner-nya niat banget, bukan sekadar formalitas buffet. Rasanya beneran kayak masakan rumahan versi “lebih rapi”. Cocok ngajak ortu yg nggak suka makanan aneh-aneh. 2. Perkuahan ada Laksa Singapore dan Empal Gentong. Laksanya creamy, gurih dan super comforting. ✨ Apalagi pas kmrn aku makan agak mendung dan ngadep kolam beneran nyaman! Empal gentong kuahnya rich dan potongan dagingnya gede mantep! 👍🏻 3. Masuk ke western food, dan aku langsung jatuh cinta sama Nashville chicken with waffle. Crispy, pedes gurih, terus waffle nya lembut. Terus ada beef slice stir fry pakai jamur — ini jujur salah satu makanan terenak hari ini. Beef-nya empuk, seasoning-nya pas, jamurnya masih kres-kres (sbg pecinta jamur aku sukaaa)🥰 4. Ada stall khusus pecel madiun yang beneran fresh. Sayurnya bersih, sambelnya gurih, porsinya bisa disesuain. Ini jarang ada di buffet sih, jadi plus banget! 5. Ada sushi corner yg cukup lengkap dan nasinya nggak keras (penting!). Healthy corner-nya juga proper, salad bar rapi, topping lengkap, sayurnya crunchy semua. Buah potongnya manis semua — literally nggak ada yang asem. Love! 6. Dessert-nya beneran berlapis-lapis macemnya: * Thai milk bun (soft & manis tipis) * jajanan pasar khas Betawi lengkap * stall khusus BANDOS yang dimasak langsung (rare banget di buffet!) * aneka cake yang plating-nya cantik bgt, cookies, puding, dan Christmas-themed desserts everywhere. Kalau aku nggak mikir kalori mungkin udah aku ambil semua wkwk 😭 7. Dari minuman panas sampai dingin, semuanya lengkap. Red velvet drink-nya surprisingly enak dan bukan yang rasa sirup abal-abal.Ada infused water, juices, tea, coffee — lengkap banget. 8. Dessert es nggak cuma itu aja, ada es teller, es semangka sampe asinan jg ada manis asinnya pas! DAN GONGNYA, ada yogurt ice cream heavenly blush asem seger penghapus dosa gitu rasanya😭 Ini honestly salah satu hal paling menyenangkan. Asem seger, bikin mulut fresh setelah makan banyak. 9. Seafood on Ice jg proper dan seger. Udangnya manis, dagingnya firm. Bukan yang watery atau lembek. Seafoodnya semuanya dingin fresh, bukan bau kulkas. 👌🏻 Overall, Buffet-nya LENGKAP BANGET — literally dari makanan rumahan sampai internasional, dari yang ringan sampai heavy, dari dessert lucu sampai jajanan pasar tradisional. Dan karena dekor natalnya, vibes makan siangnya jadi makin happy. 🥰 Semua yang aku coba mostly enak dan proper. Sebanyak itu dan semua konsisten enak, literally buffet niat no asal. 😭🤚🏻 Aku pulang beneran puas banget dan menurutku ini salah satu buffet yang worth the price + worth the experience! Fix bakal balik lagi! 💛✨"
"2.","Cuncun Asmarah","1","2025-12-24","5","pengalaman saya menginap disini 3 malam sangat baik dan mengesankan. kamar nya luas dan bersih, saya suka dengan pelayanan mba jovita dan mba widi sangat responsif dan juga ramah. Housekeeping juga cekatan dalam membersihkan kamar setiap hari. Makanan dan minuman saat breakfast sangat beragam dan enak sekali. Menu berganti setiap hari membuat tidak bosan saat menikmati, hotel sangat kids friendly karena tersedia kolam renang untuk anak dan playground di weekend"
"3.","Nur Fauzia Khasanah","183","2025-12-17","5","Please normalize WFA di hotel (S&K berlaku). Kalau zaman dulu hotel identik sama stay/bermalam, kalau sekarang hotel tuh nggak cuma nyediain stay aja. Bahkan cafe dan restoran pun ada (ya emang udah ada dari lama). Aku mau makasih banget buat petugas di Aston Priority yang ngebolehin stay meeting di restoran dari jam makan siang sampai jelang persiapan dinner. Nggak diusir, nggak disuruh pindah. Cuma dibilang, Enjoy aja, ya, Kak. Cuma memang, makanan udah nggak ada aja selepas jam 3. Ini normal, kok. Memang sudah waktunya persiapan dinner juga kan. Awalnya cuma berniat mau makan aja terus meeting di tempat lain, tapi pilihan makanannya yang sangat banyak itu bikin diri ini tertahan pengin coba semuanya. Best food: Nashville & Mongolian BBQ Menu makanannya benar-benar beragam. Mulai dari yang local sampai internasional ada semua. Rasa makanannya, nggak ada yang zonk. Ada beberapa food stall live cooking yang juga nambahin pilihan makanannya. Nah, Nashville & Mongolian BBQ itu adanya di food stall. Niatnya mau dua kali balik di food stallnya, tapi ramai banget. Jadinya keliling nyobain yang lain. Sadly, aku nggak sempat nyobain heavenly blush yoghurtnya karena keburu meeting 😭 katanya sih kayak sour sally gitu (overheard obrolan orang). Buat yang suka salad, pilihan salad dan sausnya beragam banget. Bisa dilihat ya kalau saya juga nyicip sejumput dari masing-masing jenis, saking penasarannya pengin coba semua 🤣 paling suka sih salad mangga-nya. Perpaduan manis dan gurihnya balance. Ada juga fresh seafood sampai sushi dan makanan Korea untuk side dishnya. Makanan utamanya juga beragam. Mulai dari empal gentong, pecel Madiun, pecel biasa 🤣 sampai baso ikan berkuah juga ada. Desertnya yang paling mantap, sih. Satu meja besar sendiri dan pilihannya dijamin bikin Waguri Kaoruko happy. Akhirnya saya juga mencoba chocolate fountain untuk yang pertama kalinya 🥹👍 Sempat ngobrol sama hoteliernya, katanya kalau weekend ada kids corner gitu. Jadi makanannya lebih spesifik buat taste anak-anak. Jadi parent nggak perlu khawatir kalau liburan sama anak. Menu paling lengkapnya ada di lunch, sih. Jadi, kalau mau nyobain makan siang yang puas banget (karena malamnya diet), harus banget ke sini, sih. Restorannya cukup luas, bahkan luas banget. Tapi, kalau lagi full okupansi atau lagi ada acara di hotelnya, wajar kalau kehabisan tempat duduk. Ya namanya juga lagi ramai. Bahkan resto viral saja bisa terasa sangat sempit kalau lagi ramai. Dan kebetulan kemarin saingan ambil makanannya sama tamu dari corporate yang lagi meeting. Jadi, yah, sabar-sabar aja antrinya. FYI, bukan cuma makanannya aja yang luar biasa. Bahkan kamarnya pun keren dan vibes Korea banget. Buat yang suka nonton drama Korea dan dengar pemeran utamanya tinggal di hotel, yes. Kamarnya mirip kayak gitu(untuk yang tipe pertama dan kedua yang paling besar). Ada ruang meeting dan ruang kamar yang terpisah. Jadi, kalau ngajak keluarga staycation, bisa banget memisahkan diri pas butuh meeting. Bahkan kamar mandinya ada bathub lohhh. Yang paling keren, kalau hotel lain biasanya mau panggil receptionist harus lewat telepon, kamar ini dilengkapi google nest. Mau call receptionist tinggal bilang, Ok google, call receptionist. Makin vibes Drakor banget, kan. Habis jalan-jalan, capek, langsung rebahan dan minta google nyalahin ini itu aja. Stay di sini dijamin puas banget, sih! Apalagi kalau WFA dan malas ke mana-mana 😭"
"4.","Arabella Kanaya","1","2025-12-24","5","Suka deh stay disini, pelayanan nya oke banget. Saya stay di aston bisa sebulan sekali, di lantai dan kamar yang berbeda-beda. Saya lebih sering di handle sama staff kebersihan yang cowo, biasanya saya selalu remind ke staff kebersihan untuk ganti sprei, tapi baru ini ada staff cewe yang baru ketemu 2 kali sama saya tapi udah paham dengan habits saya. Saat kamar saya di handle dengan mba mia dia udah tau apa kebiasaan saya tanpa harus saya remind, mba mia ramah juga saat dikamar, kebetulan saya talk active dan pas banget ketemu staff yang humble juga. Thank you mba mia atas pelayanannya🥰"
"5.","Noordama","1","2025-12-17","5","“Pengalaman Menginap dan Meeting yang Sangat Memuaskan” Menginap di Hotel Aston Priority Simatupang & Conference Center merupakan pengalaman yang sangat menyenangkan. Kamar bersih, nyaman, dan tertata dengan baik, sangat mendukung untuk beristirahat maupun bekerja. Ruang meeting sangat baik dan nyaman, fasilitas lengkap, serta mendukung kegiatan rapat dan konferensi dengan optimal. Pelayanan staf sangat sopan, ramah, dan profesional, selalu sigap membantu kebutuhan tamu. Kualitas makanan sangat enak dan bervariatif, baik untuk sarapan maupun jamuan meeting. Secara keseluruhan, hotel ini sangat direkomendasikan untuk keperluan menginap maupun kegiatan bisnis. Terima kasih Aston atas pelayanan yang luar biasa. Terima kasih juga untuk kak Via atas keramahtamahannya."
"6.","Imran Rashid","13","2025-12-17","4","Stayed in the hotel for 14 days.Room no 1027. The first thing i noticed, the warm and genuine taking care mentality of every staff here. After three days of stay, they even remember my name and greet you while passing by. Room service guy Mr. Fendi was taking personal care while cleaning my room everyday. He kept special attention on my likings and tidyness. Sometimes i was busy at my desk on a call...he silently kept water bottle at my desk and left room softly closing door...great person. Food was not a problem at all...plenty to choose from. In one dinner, cheff even cook seperately for me as per my taste...though it was a buffet. Getting a taxi was just immidiate...never had to wait. The room was quite big...a corner room with floor to roof size window at two sides...There was a small issue with my room TV. It had somd issue connecting with internet...not a big deal..who cares for a TV when you have monitors and smart phones all around you...wishing every staffs my best wishes."
"7.","A. Praz","176","2025-12-24","5","Lokasi hotel di TB Simatupang cukup strategis di JakSel. Dekat ke Pasar Minggu, Ragunan bahkan relatif ke PIM atau Blok M. Walau memang di jalur jalan yang selalu padat merayap. Makanannya variatif mulai dari salad hingga ke cemilan sebagai menu pembuka. Makanan utama ada variasi lontong dan nasi. Disini baru tau ada makanan namanya Lotek Padang. Awalnya kupikir Gado Gado Betawi karena letaknya berdampingan dengan Soto Betawi. Penyuka menu daging bisa coba tongsengnya. Mantap Betul. Ada juga menu makanan Jepang. Minuman cukup lengkap juga. Es campur dan Es Teler silahkan swalayan. Pastinya makanannya cukup ramah bagi lidah anti pedas seperti saya. Kurang pedas? Silahkan tambah sambal. Oia ini menu hari Senin di 22 Desember 2025 lalu. Bisa jadi berubah ubah."
"8.","Abbott Hsu","1144","2025-12-01","4","Strategic location for this hotel since it is close to the main road and entrance of highway. The room is neat and tidy for you to stay with. The parking lots are roomy for you to choose. The buffet breakfast is super yummy and tasty with various kinds of cuisines, such as Indonesian, Asian and International meals. The staffs are really professional with hospitality to serve you and fulfill your request all the time. To be honest, it is a hotel to revisit again any time. Enjoy."
"9.","ruth hutapea","45","2025-12-17","5","Nice & clean room. Suasana Business Suite-nya hangat banget, cocok untuk newly wed couple yang mau staycation dan romantic dinner di private room. Room-nya udah pake google assistant jadi lebih mudah untuk keperluan calling operator atau room services."
"10.","Denella PS","6","2025-12-03","5","Pertama kali ke Jakarta, lalu memutuskan nginep di Aston Priority Simatupang selama 3 malam, dan yaaaa tidak mengecewakan sama sekali. Pelayanan the best, staff semua ramah, kamar bersih & rapi, fasilitas lengkap. Menu breakfast setiap harinya bervariasi mulai dari menu nusantara, korea, jepang, jadi ga bakal bosen. Tiap hari ada menu sajian khas tiap kota yg berbeda, nasi megono, nasi uduk jakarta. Seneng banget ada toppoki, sushi, gorengan ala m4rugame. Dan yg paling the best ada jajanan pasar yg sangat dirindukan seperti nagasari, kue mangkok pandan, serabi, kue mangkok enak semuaaa. Pokoknya worth it nginep disini 💞🥰 Saran : mungkin bisa ditambah permainan seluncuran/yg lain di daerah kolam anak biar ga bosen hihi"
"11.","Jody Ruben","190","2025-12-17","5","Hotel terletak strategis di Jl. T.B. Simatupang, kali ini berkesempatan untuk lunch di resto buffet nya. Menunya sangat beragam dengan main course masakan Indonesia yang berganti sesuai tema (saat saya kesana masakan padang). Tersedia juga makanan lain (yang saya cicipi): sushi (ini ga kaleng2, sushi nya segar dan ga kalah dari resto sushi terkenal), pasta, nasi hainan bebek, soto betawi, pastry, lava choco dan banyak pilihan kue tradisional lain. Masakannya enak dengan bumbu yang medok pada tiap menunya. Jadi disini ga cuma pilihan menu yang banyak, tapi kualitas makanannya juga TOP 👍"
"12.","Rio Radityo","135","2025-12-17","5","Pengalaman yang sungguh luar biasa di Aston Priority! Stafnya sangat ramah dan sopan, membuat saya merasa seperti di rumah sendiri. Kamarnya sangat bersih dan nyaman, dengan fasilitas yang lengkap dan modern. Dan yang paling penting, makanannya sungguh lezat dan beragam, dengan pilihan yang memanjakan lidah! Saya sangat puas dengan pelayanan dan fasilitas yang diberikan, membuat saya ingin kembali lagi ke Aston Priority!"
"13.","Ufaira Nida","46","2025-12-17","5","No words can’t describe how satisfied and happy I was during my stay at this hotel 🥹❤️🥰 Aku stay disini buat rayain ulang tahun anak. Jujur.. awalnya aku pikir ini sekedar hotel bisnis biasa. Ternyataaa kalo musim liburan/weekend ramai sama family. Untuk keluarga aku rekomen stay di family suite, kamarnya luas.. bisa request kids tent kayak di fotoku (add charge) biar anak anak makin seneng. Semua staff hotel dari pintu masuk sampai resto, super ramah semua.. Big thanks to mba Bening, mba Riana.. Juga buat mba Abigail, mba Nisa, Mas Ilham dari Resto.. semua buat aku terharu. Makasih untuk birthday surprise buat anakku 🥰😍 Anakku happy banget sampe nangis nangis gak mau pulang. Udah dirumah pun minta balik ke hotelnya. Biasanya kalo ke hotel ga pernah segininya. Tanda hotelnya “BIG APPROVE” buat anak 😂🤣😍 Definitely will comeback! ❤️"
"14.","Assyifa Nur Ardyanti","1","2025-12-17","5","Overall sangat nyaman sekaliiii dan saya suka dapat view yang bagus karena kamar saya request high floor dan diberikan lt 19. Pelayanan the best, request tamu dpt dipenuhi dengan baik.."
"15.","Dyan Ahadiansyah","4","2025-12-01","5","Saya sangat puas dengan pelayanan di Hotel Aston. Semua staf menunjukkan sikap yang sopan dan membantu, membuat suasana terasa hangat dan nyaman. Yang paling berkesan adalah pelayanan di restoran hotel. Makanannya lezat, bervariasi, dan disajikan dengan tampilan yang menarik. Setiap menu terasa fresh dan menggugah selera. Saya juga ingin memberikan apresiasi untuk Mas Ibnu, salah satu waiter di restoran. Beliau sangat ramah, sigap, dan selalu memastikan tamu merasa puas dengan pelayanan dan hidangan yang diberikan."
"16.","Yuli Noviarti","5","2025-12-01","5","Hotel yg nyaman dan strategis, pelayanannya ok bgt, sarapan, makan siang dan makan malam semua menunya enak dan komplit bgt. Banquetnya gercep terutama ada mas riki di ruang meeting, di resto juga ada mas Ibnu yg sangat ramah. Untuk kamar bersih, wangi,nyaman."
"17.","Angelia Tobing","2","2025-12-01","5","Great stay. The room was clean, cozy, and bright with a beautiful morning view through the large windows. Comfortable bed, relaxing atmosphere, and friendly staff. Breakfast was nice and the fresh juice was a great touch. Would definitely come back. The staff (mba safa) very kind and nice."
"18.","andi adryansah","36","2025-12-01","1","Status hotel bintang 4, tapi satndar pelayanan & kualitas makanan, mohon maaf, sangat perlu segera diperbaiki. Terutama pelayanan di area resto saat jam breakfast. Semoga manajemen peduli & memperhatikan ini. Satu-satunya yg istimewa dari hotel ini hanya lokasinya yang startegis. Sayang sekali cuma itu saja."
"19.","icaa marisa putri handini","1","2025-12-01","5","Saya nginap di Hotel Aston Simatupang kemarin buat meeting di lt. 3, ruang Jagakarsa 2. Pas aku smpe di lt 3 aku liat mba2 service langsung saya tanya ke mbak Zahra soal ruang meetingnya, beliau jawabnya ramah dan langsung ngarahin aku ke ruangan tsb. Lalu waktu saya mau balik ke kamar saya minta tolong dibawain box makanan, dan mbak Zahra cepat banget nganterinnya Saya suka banget sama service dia cepat, baik, ramah, dan selalu senyum. Pelayanan seperti ini membuat pengalaman menginap saya jadi jauh lebih menyenangkan. Terima kasih, Aston Simatupang, dan terima kasih khusus untuk Mbak Zahra atas service-nya yang luar biasa! 🙌✨ recommended!!"
"20.","lulla","1","2025-12-10","5","pengalaman yang menyenangkan, anak saya seneng banget makanan pagi nya banyak yg dia suka, mba mba staff disini juga rama ramah banget dan kamarnya bersih"
"21.","Shafa Amanda","1","2025-12-01","5","Terimakasih mba lyra sudah membantu saya selama breakfast, pelayanan yang baik, tempat nyaman, makanan enak enak dan berbagai macam menu, juga tersedia mesin kopi. saya diambilkan kopi cappucino oleh mbak lyra. Cocok untuk liburan bersama keluarga karena mendapatkan pelayanan yang hangat dari staf staf disini❤️❤️❤️"
"22.","Ova Dhea Ariesta","8","2025-12-01","5","Pengalaman mengesankan mengadakan workshop di Hotel Aston Priority Simatupang. Fasilitas konferensi (Ballroom/Ruang Pertemuan) yang baik. Lokasinya sangat strategis dengan akses mudah ke tol, ideal untuk acara bisnis. Staf hotel sigap, ramah, dan membantu (bantuan teknis di ruang meeting). Menu coffee break dan makan siang mantap!"
"23.","daffasyabani daffa","1","2025-12-01","5","Terimakasih mba Lyra untuk bantuan nya disini. makan makanan Lunch sangat beragam, apalagi untuk dessert nya terbaik. pelayanan ramah, tidak membiarkan kebingungan. Walaupun sedang rame tapi staf staf nya siap membantu apa yang sedang dibutuhkan. Thank you🙏🏻 …"
"24.","yuni asih","7","2025-10-31","5","Sudah 3 hari 2 malam hari ini check out, saya dari grup meeting tapi menginap di sini, makanan enak semua dan pas, ga terlalu asin, dari awal masuk restaurant di sambut hangat oleh mba shafa, untuk kamar oke bgt, kolam renang luas dan lega, lampunya aga remang tapi gapapa, saya memang ingin tidur di sini"
"25.","NABILA RIZKYA","1","2025-12-01","5","kerenn bgtt, pengalaman makan di Hotel Aston kali ini bikin gue mau balik lagii, dan ini gara-gara greeter yang tadi kalo ga salah namanya Lyra. service yang dikasih juga, kaya dari mulai sarapan sampai makan siang, Lyra itu ramah parah, senyumnya tulus banget dan dia nyambut kita kayak ketemu teman lama, bikin suasana jadi nggak kaku dan super chill. Dia nggak cuma nunjukkin meja, tapi juga stand out karena perhatiannya, terus juga dia sempet ngecek kita lagi dengan sopan, buat mastiin semuanya oke tanpa berlebihan. semoga nanti kalo gue ke Aston lagi, gue di service sama Lyra deh soalnya anak ini asik banget, dia bikin sesi makan kita jadi happy dan memorable! Pokoknya Lyra topp bangett!"
"26.","iik amanah","12","2025-12-24","5","Menginap baru satu malam, semuanya sangat memuaskan dari segi pelayanan sejak awal check in reception sangat ramah. Service dari segala bagian sangat ramah dan cepat tanggap"
"27.","Danz Zidan","1","2025-12-01","5","Oke kamarnya nyaman, ada mesin coffee juga jd mantap sekali. Pelayannya oke banget ramah dan sangat membantu, terutama Mba Flavia yang beberapa kali bantu saya. Thank you Aston🙏"
"28.","Sedia Pelangi","4","2025-12-01","2","Numpang breakfast berbayar 250rb. Tpi pelqyananny gk bgt, kopi dan susu kosong dicoffemaker tpi gk diisi.malah mbaknya bengong. Kmudian piring kotor lamaa skli diambil sehingga susah cari tempt duduk. Kyknya pelayanny kurang deh, dan suka bengong kurng satset"
"29.","Radith","34","2025-12-01","5","Pilihan makanan dan minuman di resto sangat beragam. Tp sayang tamu yg datang sembrono tidak menjaga fasilitas kamar hotel; single sofa, meja dan karpet banyak yg kena puntung rokok."
"30.","devi luthfiah","5","2025-10-31","5","Dari meeting badan bahasa, dari masuk restaurant saya sudah mencium aroma yang wangi dari makana makanannya, saya suka seafood, crepesnya dan daging di chinese food, pelayanan dari staff ruang meeting dan mba shafa di resto sangat informatif dan friendly, rekomend hotelnya"
"31.","Khansa Qonita","6","2025-10-31","5","Puas banget nginep di Ashton Simatupang. Kamar luas dan nyaman, breakfast di buffet selalu enak dan ganti terus menunya. Staf di front desk dan resto jg ramah semua, terutama kak shafa sama kak anisa. Next mauu nginep sini lagi"
"32.","Putri Suci Ramadhani","6","2025-12-01","5","Pengalaman yg menyenangkan nginap di aston simatupang, kamar bersih, makannya juga nenyesuaikan, jangan khawatir anak2 ga bisa makan, karena ada menu special kids. Pelayanan semuanya jg bagus, terutama mba Lyra."
"33.","Luthfan f","8","2025-10-31","5","Dari badan gizi nasional mengadakan acara di sini, makanan semuanya wuenak, semua saya cobain, saya meeting sehari di sini disambut baik dan hangat oleh staff hotel terutama mba shafa, rasa makanan semua sama sama enak jadi bingung mau yg favorit yg mana"
"34.","afkar Taufiq","1","2025-10-31","5","Sarapan paginya seru, ada pilihan makanan lokal sampai western. Saya paling suka bagian kopi dan omelet bar-nya, mba shafa ramah banget. Tempat makannya juga luas, jadi gak rebutan meja. Kolam renang dan gym-nya bersih, suasananya tenang. Cocok banget buat yang pengen rehat sejenak dari kerjaan atau hiruk-pikuk Jakarta. Lokasinya juga strategis, mau ke mall atau cari makan di luar gampang banget. Menurut saya, Aston ini termasuk hotel yang nyaman tanpa harus mahal banget. Cocok buat yang cari tempat singgah dengan pelayanan bagus dan suasana tenang. Pasti balik lagi kalau ada kesempatan."
"35.","mhmd rafly","1","2025-12-01","5","Aston the bestttt, pelayanan dan kebersihan kamar serta area hotel sangat oke. Makanan pagi cukup beragam dan enak. So far menyenangkan menginap disini, thank you Mba Flavia atas pelayanan dan bantuannya"
"36.","Firstando","1","2025-10-31","5","Bagus, kamarnya bersih, makanan pagi enak enak juga, beberapa hari menginap disini semuanya smooth dan memuaskan. Pelayanan staff juga sangat ramah, terutama dengan Mbak Flavia sangat baik. Terima kasih"
"37.","rivo tentero","125","2025-10-01","5","Saya sangat puas menginap di hotel ini. Stafnya ramah dan sigap membantu sejak proses check-in hingga check-out. Kamar bersih, rapi, dan nyaman, dengan fasilitas lengkap sesuai standar hotel berbintang dan Ada mesin kopi di kamar . Lokasinya strategis sehingga mudah menjangkau pusat kota maupun tempat perbelanjaan. Sarapan yang disajikan juga variatif dan lezat. Banyak pilihan menu yang di sajikan, tiap hari beda2 menu dan semua makanannya lezat. Sangat direkomendasikan untuk liburan bersama keluarga maupun perjalanan bisnis. Pasti ingin kembali lagi menginap di sini."
"38.","Sheila Ayu Rachmadiena","3","2025-10-31","5","Good food, good room, good room view. Kamarnya nyaman. Sarapan dan makan malam di Canary Restaurant juga enak dan beragam, terutama dessertnya yang lightweight di lidah. Ada kendala sedikit di kamar terkait shower, bukan masalah besar untuk saya dan rekan saya jadi gak dilaporkan, tapi ternyata di akhir stay ada staf yang menanyakan terkait kendala. Terima kasih kak Shafa sudah follow-up terkait kendalanya ☺️ Staf restaurantnya juga ramah dan helpful, sayang saya lupa namanya, tapi bertugas di resto saat makan malam di tanggal 24 Oktober Saat datang ada kendala di FO ketika check-in, mungkin karena kami datang rombongan dan tidak di waktu yang sama. Tapi bisa terselesaikan walaupun agak menguras tenaga dan pikiran"
"39.","Eileen Rizq","1","2025-10-31","5","kamarnya bersih, kamar mandi juga wangi dan bersih. pelayanan nya sangat cepat, request apapun bisa dengan mudah karena ada operator hotel yang stand by 24 jam😻 terimakasih hotel aston untuk pelayanan nya terutama mba widi"
