"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Rick Antonio","297","2025-12-24","4","Lokasi asri dilengkapi fasilitas lapangan golf, EV charging, musholla, kolam renang. Strategis dipusat kota, bersih bangunan lama dengan pemandangan gunung."
"2.","Suprihanto Notodarmojo","30","2025-12-10","1","Saya berkunjung untuk urusan bisnis..Hotelnya bagus, kamar bersih juga kamar mandinya. Sarapan juga menunya lengkap dan enak.. Hanya lokasinya jauh dari keramaian...cocok bagi yg mencari ketenangan..."
"3.","FERA WATI","2","2025-12-03","1","Saya sangat kecewa sama pelayanan hotel ini. Tidak responsif terhadap komplain pelanggannya. yang lebih fatal lagi, saya cukup kaget karena kunci kamar saya bisa di buka oleh kunci kamar lain. Padahal hotel ini bukan hotel biasa. Dengan kamar kelas deluxe saya tdk mendapatkan experience pelayanan yang baik, bahkan keamanannya perlu dipertanyakan. Padahal hotel ini bukan hotel MURAH."
"4.","triyana damayanti","2","2025-12-01","5","Hotel yang sangat saya rekomendasikan untuk kalian tempat nya nyaman makanan yang enakk dan staf ramahh ,sangat membantu khusus nya mba devii Good service trimakasihh bakal balik lagi kesinii 🥰🙏"
"5.","Andriyanto Hadiawan","199","2025-08-31","5","Dengan ruang type cottage, ruangan secara umum bersih, namun harus di treatment dulu agar tidak bau rokok, karena type ini adalah bebas merokok. Makanan untuk breakfast banyak pilihan. Ruang meeting Saphire 1 cukup luas dengan golf view nya."
"6.","Gina Prameswari","41","2025-10-01","5","Salah satu hotel legend di cilegon. Nyari yg room dgn pemandangan lapangan golf tp sayangnya ga kebagian krn lg peak season. Dpt room yg berasa lumayan tua, di jam maghrib menuju malam listrik sempat padam bbrp kali tp langsung nyala lagi"
"7.","fari yono","230","2025-10-31","5","Hanya di ballroom tidak menginap, tak bisa kasih ulasan kamar layanan. Untuk lokasi sangatlah pas, sebelah nya ada masjid"
"8.","ayu wira","60","2025-08-31","5","Dpt kamar yg cottage...kamar lama sih tp ya msh oke lah... Breakfast ok, cukup variatif samoe ada sushi segala.. Pool nya ada 3, buat anak2 jg enak terpisah..cuma kursi nya terbatas... Ada aviary kecil, lumayan menghibur buat bocil"
"9.","Shekar Marimuthu","38","2025-07-31","2","This place has rooms in the main hotel and also outside the hotel so you need to check which room you arr getting. The room I booked was about 200m away from the main hotel and was a terrace type unit. Aged furniture and cleanliness is below expectation. Kinda creepy at night. Maybe the hotel building rooms are better but definitely not the landed units."
"10.","Yuli Anto","18","2025-10-31","5","Secara keseluruhan, Hotel Royal Krakatau adalah pilihan terbaik di Cilegon untuk perjalanan bisnis maupun liburan. Kombinasi lokasi strategis, kenyamanan kamar, dan pelayanan ramah membuat saya pasti akan kembali lagi."
"11.","tebu ireng","1","2025-08-31","1","saran saya pada pihak hotel tolong di adakan kamar mandi untk dever.. hotel kecil aja meyediakan kamar mandi untuk dever ini mah gak ada pisan .."
"12.","Kusuma Rahmawan","2","2025-07-31","5","Tempatnya nyaman untuk menginap apalagi jika bersama keluarga. Ada fasilitas kolam renang dan beberapa area bermain anak. Deket juga jika anda ada pekerjaan di daerah kompleks krakatau. Recommended sekali."
"13.","Jauhari Efendi","437","2025-07-01","5","Hotel yang bersih dan nyaman, kamarnya luas, bisa untuk staycation bareng keluarga, ada kolam renang yang bersih dan tidak terlalu bau kaporit. Kamar-kamar juga ada dalam bentuk rumah2 kecil yang cocok untuk keluarga besar atau gathering banyak orang, yang lokasinya terpisah dengan gedung utama. Sarapan cukup banyak variasinya, dengan rasa dinilai 7 dari 10. Area hotel yang luas dan dikelilingi lapangan golf sehingga enak untuk jogging atau jalan santai disini."
"14.","Viktor Yan","5","2025-10-31","5","Mantab hotel nya ,bintang 5 pokoknya. Bawa anak2 sangat bahagia mereka the best lah sangat nyaman bangettt"
"15.","Ia","272","2025-12-01","5","Kamar AC nya sering mati2.. selebihnya nyaman.. & menu sarapan sgt2 bervariatif"
"16.","Louist Yan","223","2025-08-31","4","Nginep disini 2mlm, di cottage nya, untuk kamar luas dan amenities lengkap, tapi agak spooky buat sendirian, lokasi lumayan strategis ke pusat kota"
"17.","Fresha Pahlevie","2","2025-12-01","5","Pelayanan nya ramah semua karyawan nya, kamarnya sangat nyaman, makanannya enak semua.."
"18.","M.Hashfi Shidqi","281","2025-07-01","4","Hotel bintang 4 di pusat kota cilegon Banyak fasilitas seperti kolam renang,padang golf dll Kekurangannya dr jalan raya masuk terlalu jauh jika jalan,kalau order gofood harus ambil dulu di pos sarpam"
"19.","Denny Hermawan","6","2025-12-17","5","Bagus dan nyaman sekali hotelnya, dengan suasana yang asri"
"20.","Dany Dwi Irawan","62","2025-10-01","5","Hotel yg asri asik dan menyenangkat buat liburan keluarga diCilegon, ada aviari mininya dan si Beo lucu bisa ngomong"
"21.","Abdulmumin Musa","47","2025-12-01","5","Beautiful...you live with nature, everything is close to perfect, I enjoyed my stay and recommend it to all especially the delicious delicacies at The Kaibon"
"22.","Aa Fahmi","555","2025-05-31","5","Suasananya sejuk, banyak pepohonan Untuk kamar superior king, ditempatkan di area terpisah dari gedung utama, bisa parkir pas depan kamar Ukuran kamar cukup luas, ada bath tub juga Menu sarapan oke dan bervariasi"
"23.","Why rill26","1","2025-07-31","5","kamarnya rapih pelayanan nya bagus ramah+anktraining nya pada baikramah apalagi yg namnya amara"
"24.","Andrian F","4","2025-08-31","5","Good resto, good food…. Nice view, nice service…. Appreciate buat mas/mbak ade, intan, ian..👍🏼"
"25.","raffasha 12","2","2025-07-31","5","Tempatnya nyaman bgt buat stay keluarga.. Kamar bagus breakfast juga enak"
"26.","Marthen","92","2025-05-01","1","Hotel bintang 4 rasa hotel melati.. proses check in menunggu lama kurang lebih 45 Menit, dapat di emerald cottage, ketika masuk ruangan sangat panas ada 4 AC di lobby tapi tidak hidup satu pun. Dan dilorong juga panas. Dan masuk ke kamar dapat dudukan toilet sangat jelek, sarung bantal kekuningan dll, ditambah suasananya malam hari horor. Fasilitas kamar sudah sangat tua. Harga 700rb/malam tapi dapat fasilitas hotel melati. Sy pesan 2 kamar tgl 18 Apr c/o 19 Apr, dapat 809 dan 811. kapok nginap di hotel ini. Komplain ke resepsionis, minta maaf dan di pindah ke 812. Tapi tetap sama saja 11 12 tua dan horor. capek komplain lagi."
"27.","Jeng Armala","82","2025-05-01","4","Hotel luas banget. Tipe kamar ada banyak banget. Aku pilih kamar yg deluxe double room. Bagunannya digedung yg baru. Kamarnya luas, ada betubh, view kamar aku langsung kolam renang Kalo pilih yang superior, ini bangunan yg kayak rumah gitu. Terpisah dari gedung. Kolam renang ada 3 tapi ga ada perosotan. Lapangan golf bayar lagi. Bisa keliling hotel, minta naik mobil golf gratis. Klo masuk lapangan golf, bayar."
"28.","indy cnet","46","2025-10-01","4","Kamarnya suram. Kelihatan sekali hotel jadul yg suasana kamarnya remang2."
"29.","Rizal Dwi Listio","45","2025-07-31","5","Room 710 is ok. Restaurant is awesome. Breakfast is awesome. The roomboy is returned my colleague's iPhone that left behind after check out."
"30.","Ismi Ismi","204","2025-05-01","4","hotelnya lumayan bagus tapi tipe kamar superiornya itu lumayan jauh mesti naik go cart dulu kalau mau ke resto dan resepsionis.. untuk makanan variatif banget, swimming poolnya juga besar"
"31.","Budi Setiawan","20","2025-08-31","5","A comfortable place to stay — cool, lush, and far from the hustle and bustle of the city. Truly the best!"
"32.","windia “Syanditra Syanditri” ningrum","89","2024-12-31","5","It's a really good place to stay with your family. The buffet is also great. If you're staying with a family of more than 5, you can book two rooms which are a suite room and a deluxe executive room but ask for a connection door. So, you don't need to go around the corridor to get to another room. It's very convenient. So, have a good stay here at The Hotel Royale Krakatau 😎👍"
"33.","Muhamad Aril Aminudin","1","2025-07-31","5","pelayanan nya bagus+anak training nya ramah'apa lagi yg namnya amira atau Amara ramah banget"
"34.","Azizah Noormala","10","2024-12-31","5","Pelayanan dan fasilitas sesuai kelas bintangnya, sarapan enak kamar nyaman service excellent. Pintu masuk ke lobi hotel sungguh jauh, kalau mau delivery service dari luar harus nunggu lumayan lama dr security depan anter ke resepsionis. Jauh dari kuliner luar hotel, paling deket di transmartnya itu juga perlu ada kendaraan sendiri."
"35.","Ali Hamzah","894","2024-12-31","5","Salah satu hotel terbaik yang ada dipusat kota cilegon, tapi cukup tenang dan nyaman serta sejuk. Fasilitas cukup lengkap, ada resto, kolam renang, gym bahkan ada lapangan golf yang berada satu kompleks. Pilihan kamarnya ada yang di gedung utama, atau di villa-villa yang terpisah dari gedung utama. Untuk makanan cukup lengkap dan rasanya enak. Untuk parkiran mobil adanya outdoor di bagian depan hotel, dipayungi oleh pepohonan. Letak hotel dekat dengan mall transmart, pusat kota cilegon, kompleks krakatau steel, bahkan dengan pintu tol jakarta merak."
"36.","Aisya","1","2025-12-01","5","Makanannya enak, pelayananya bagus oleh pak Irul"
"37.","qiandra Bachtiar","94","2024-12-31","1","Kamar bagus. Lokasi kamar bagus. Saya terimakasih di kasih kamar nyaman. Tapi layanan makan pagi. Saya pesan booth Indomie, saya pegang indomienya saya kasih ke operatornya. Di bilang ke saya nanti di anterkan. Saya nunggu lama, saya datang kesana di bilangnya udah gak ada. PELAYANANNYA SANGAT MENGECEWAKAN Jangan bilang minta maaf. Cape orang komplain selalu bilang minta"
