"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Haju 1234","3","2025-12-24","5","Di bagian kamar sudah lengkap di sediakan alat mandi dll, juga tersedia snack & minuman jika sewaktu - waktu penghuni kamar membutuhkan. Kemudian hotel sudah menerapkan diet/minimalisir plastik dengan atau tanpa ada air mineral di kamar"
"2.","Farid Alwanny","5","2025-12-17","5","Kamar nya oke banget cocok buat transit, nyaman bersih pelayanan nya juga oge gercep dan crew nya juga sopan2 banget setiap berpapasan pasti di greating sama crew nya"
"3.","try budi","5","2025-12-24","5","Pengalaman pertama menginap di hotel dalam bandara. Cordia hotel ini termasuk hotel compact, tapi kita dibuat tetap bisa merasakan experience menginap di hotel keren dalam bandara 🤟🏼"
"4.","Dey Frog","6","2025-12-26","5","Staf sangat ramah.. kamar bersih dan air deras 🥰 Sangat strategis dan memudahkan untuk flight pagi.. 🥰"
"5.","Anton Priyono","123","2025-08-31","5","Pengalaman pertama menginap di hotel dalam bandara. Cordia hotel ini termasuk hotel compact, tapi kita dibuat tetap bisa merasakan experience menginap di hotel reguler. Ukurannya cukup tidak sempit, kamar mandi juga masih tergolong nyaman, makanan sarapannya juga banyak pilihan, dan yang perlu diapresiasi adalah servis dari staffnya sangat baik. Kekurangannya yaitu karena lokasi di dalam bandara, kalau mau beli makanan pilihannya cuma yang tersedia di dalam bandara aja. Overall Recomended ini cordia"
"6.","Nabsat 19","84","2025-08-31","5","Kamar bersih, ac central dingin ga ada bau apek khas ac central, pelayanan ramah, ada layanan check in kan bagasi serta ada layanan jalur masuk tembusan yg byr nya 50rb per kepala utk bagasi, sedangkan utk jalur tembusan bayarnya 50rb per kepala. makanan khas lounge bandara yg bebas makan sepuasnya, namun menunya khas dunia perhotelan."
"7.","Lazarus Christova","4","2025-10-01","3","Hotel bersih, pelayanan baik, Minusnya nya berisik sulit untuk tidur disini antara jam 04.00-22.00 (suara layanan pnggilan dari bandara sangat terdengar)."
"8.","Petrisia Inriany","7","2025-12-17","5","pelayanan oke tapi kamarnya ga kedap suara tp so far good si"
"9.","Komang Pradnyana","955","2025-03-03","2","Hotel di dalam lingkungan bandara Syamsudin Noor, Banjarbaru... Lokasi masuk via pintu kedatangan, ada tangga dan lift untuk bisa ke resepsionis di lantai 2. Waktu check in diminta untuk deposit 50rb (karena buat jaga-jaga kalau ada pemakaian mini bar di kamar)... Untuk check in pesawat bisa dibantu di resepsionis ya, tunjukkan aja boarding pass nya. Nanti juga ada tempat pemeriksaan barang pakai x-ray di pintu keluar hotel... Btw, kamarnya saya di 307 itu cukup jauh dari resepsionis, kira2 melewati lorong sepanjang 300-400 meter lah ya, lumayan juga jauhnya. Untuk kamar sih ya cukup bersih dan luasnya cukup buat saya. Cuma kurangnya ga ada jendela aja, jadi kaya di kotak tertutup rasanya... Toilet dan kamar mandi bagus, air hangat juga tersedia dan handuk juga ada (dan wangi) meskipun warna nya ga putih lagi hahaha.... Disini ga disediakan air mineral dalam botol, tapi disediakan gelas dan teko kaca buat nanti ambil air di dispenser yang disediakan di lorong.... 1 hal yang sangat mengganggu adalah kamar nya ternyata TIDAK kedap suara, jadi kalo pas pagi-pagi itu mulai jam 5 sudah tembus suara announcer entah dari mana, dan juga ada suara rombongan penumpang pesawat yang terdengar dekat sekali. Jadi tidur saya sangat terganggu dengan suara itu. Ampun dah, kayanya gak lagi nginep disana kalo ga terpaksa banget..."
"10.","noorlydia febrianty","3","2025-12-26","5","tempatnya strategis, bersih dan nyaman. cocok buat transit"
"11.","NATASHYA TOBING","1","2025-12-17","4","tempatnya strategis, bersih dan nyaman. cocok buat transit"
"12.","Riefky Prajasa","67","2025-03-03","5","Sudah beberapa kali menginap disini dan selalu puas. Pertama, karena pastinya lokasi di dalam bandara, jika penerbangan pagi tidak perlu khawatir karena ada akses khusus penghuni hotel untuk langsung menuju ruang tunggu melalui pintu pemeriksaan sendiri. Kedua, air panas gak pernah gagal, deras dan panas banget. Ketiga, karena kamar bersih dan nyaman. Kekurangannya mungkin juga ada beberapa ya, pertama makanannya kurang bervariasi. Jadi kalo menginap beberapa malam nanti sarapannya menunya itu-itu aja. Kedua, suara pengumuman keberangkatan dan kedatangan kedengaran banget sampai di kamar. Tidur jadi agak tidak nyaman. Tapi agak untung juga sih jadi bikin gak terlambat naik pesawat 😂"
"13.","Ronald Kurniawan","393","2024-12-31","5","Kondisi kamar bersih, rapi dan sedikit sempit ruangan kamar, karena memang lokasi didalam bandara. Fasilitas dalam kamar ada TV, air panas di toilet, dispenser untuk pengisian air minum air, meja dan kursi. Fasilitas lain ada tempat fitness dan gym, ada cafe didalam hotel. Ada akses langsung ke pintu Bandara dari hotel. Pelayanan cepat, baik, ramah dan responsif. Lokasi sangat strategis karena berada didalam Bandara, tidak takut untuk telat naik pesawat."
"14.","Syifa Al-Fathir M","10","2023-12-31","5","Lokasi hotel ini berada di area dalam bandara, nyaman bgt karena terhitung hotel baru. Gak nyangka bakal sebersih ini, dan pelayanannya juga cpt dan ramah ramah. Menu sarapannya memang gak terlalu variatif tapi lumayan enak. Hanya jarak dari lobby ke kamar memang cukup jauh karena luas memang. Tapi worth it untuk yang ada flight pagi bgt, atau waktu waktu nanggung, karena hotel ini bisa booking untuk transit atau fullday"
"15.","Nadira Nur'aini","32","2024-12-31","5","Nyari tempat istirahat yg dekat bandara, harga 300.000 untuk 6 jam oke lah. Kamarnya nyaman, cukup bersih, amenities kitnya lumayan, di lorong disediakan dispenser air, cuma untuk noise cancellationnya agak kurang."
"16.","chairunisa daulay","3","2025-12-17","5","Hotel di dalam bandara yg sangat nyaman"
"17.","agus salim w","690","2024-12-31","5","Kamar bagus, finishingnya rapi, AC Samsung tanam, sejuk sekali, kasur nyaman, tidur nyenyak. Snack dan air mineral 1,5 liter berbayar 50 ribu, yang gratis air dispenser di lorong. Sarapan (sahur)nya enak, ada soto Banjar, bubur ayam, nasi + lauk, kue, pudding, meski tak banyak pilihan. Pegawainya ramah, menyapa selamat pagi/siang/malam ke tamu. Lokasinya di dalam terminal kedatangan dekat Indomaret, AW dll akses pakai lift. Gratis parkir dan checkin pesawat. Nyaman, cocok buat yang tiba kemalaman (last flight) atau yang kejar penerbangan pagi (first flight). Minusnya cuma tarifnya agak ketinggian (400-500 ribuan) untuk bintang 3 dan tidak ada jendela di kamar standar. Overall, nyaman dan recommended. Saya suka. Mungkin hotel bandara terkeren yang pernah saya inapi (vs YIA, SUB, CGK)"
"18.","Opini Banua","1","2025-12-17","5","Pelayanan Mantap, Servis juga memuaskan, top bgt"
"19.","Cherry Belle","8","2024-12-31","3","Kecewaa... Merasa Tertipu Di telp di tanya' Udah smart Tv Belum? Bilang nya Uda. Giliran Uda Dipesan' Ternyata Sampe Sini Gak Smart Tv. Staff nya Smua Kurang UpDate. Staf & ME malah plonga plongo di tnya smart TV tu Apa. Ampun Dah... Sebeellll"
"20.","Haris Fatkhurokhman","2","2024-12-31","5","Kalau dapat kamar kepala 2 lumayan, tapi kalau kepala 3, jauhnya ampuuuunn jalannya ngelewatin 2 lorong. Service OK kenyamanan OK, tapi sayang tidak ada kamar yg punya jendela."
"21.","Pambasuhan Nilam","1","2024-12-31","5","Banyak keuntungan nginap disini,. 1. Chack in bisa melalui hotel 2. Bagasi di urus pihak hotel 3. Akses langsung keruang tunggu tanpa harus muter cuman fasilitas ini hanya berlaku sampai pukul 10.00 pagi, semoga jam akses keruang tunggu bisa lebih lama lagi, supaya tidak perlu muter,. 4. Pas chack in, semua fasilitas di tawarkan oleh FO,. 5. Parkir grtis Setiap bepergian keluar kota mending nginap di sini,."
"22.","AKMAL NUR MUHAMMAD FA SAJ","5","2025-12-17","5","Mantapu jiwa saya stay banjar selalu disini"
"23.","Whizz Wall","684","2025-07-01","5","Di dalam bandara.. pelayanan check in pesawat di hotel.. mantap kaliiii"
"24.","meutia fitri hasan","149","2023-12-31","5","So far pilihan terbaik kalau mau flight pagi, walaupun agak jauh dari terminal keberangkatan dan harus jalan kaki sekitar 15 menit. Jangan lupa cek dulu kamarnya sebelum dipakai ya, karena pernah kejadian air panasnya mati. Tapi saya males protes juga karena udh malem."
"25.","Junaidy Bpp","3","2023-12-31","5","Kamar ya sangat modern minimalis. Untuk breakfast nya sesuai kebutuhan dan tema Indonesia breakfast nya bagus mengangkat makan makan lokal di banjarmasin Pelayanan sangat baik dan cepat Tenang ngga usah buru buru lagi untuk mau berangkat dan bepergian karena area terletak pas di dalam bandara"
"26.","Andika Aziz","122","2023-12-31","4","Kamarnya sempit, tapi cukuplah untuk sekedar transit atau menunggu penerbangan besok. Lokasinya yang berada di dalam bandara sangat membantu penumpang yang malas ribet dari hotel di luar bandara. Harga terjangkau."
