"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Krisna MT","25","2025-12-24","5","Saya melakukan Table manner disni. Pelayanannya sangat bagus dan penjelasan tiap tiap department juga jelas dan para staff disni ramah dan baik^^"
"2.","pio","4","2025-07-31","1","WC nya bau banget kaya bau got huek, pintu kamar mandi keropos dimakan rayap, gorden nya KOTOR BANGETTT. lampu gabisa hidup satu, furniture debuan, handuknya KOTOR, rata rata banyak yg kurang ter urus disini dan tua, breakfast nya monoton (judes banget staff breakfast), jelek pokonya. Kalau mau nginep disini inget siapin mental aja klo liat kamar nya ya"
"3.","Andrianna Photo","1068","2025-12-01","5","Lokasi strategis, room nyaman, suasana enak banget, ke pantai tinggal jalan kaki dikit.. , staff ramah"
"4.","zara zara","3","2025-07-31","1","Staffnya kasar sekali, receptionis. Sy dimarah dgn nada dibentak krn sy kirim gosend untuk tamunya dan mereka tdk nemu. Pdahal saya udh blg mereka untuk coba cek dulu sambil saya kontak drivernya. Tapi mnjwab dengan kalimat “masa saya yang disuruh ngecek” padahal itu memang tugas staff anda. Aneh dan emotional intelligencenya sangat jelek."
"5.","ILHAM VLOG_GAMING","10","2025-07-31","2","Jangan putar balik atau menurunkan dilahan mereka. Dan tandai mukanya .kalau misalkan ketemu orangnya dan dia putar balik atau berhenti dihalaman anda .boleh disiram air. Buat staffnya gak usah sok keras ada orang nurunin tamu aja nada lu ngegas .inget lu disitu cuman kerja dan hotel juga sepi longgar parkirannya ."
"6.","Dx Hendruew","1058","2025-07-31","4","Hotel yg sudah lumayan tua. Menawarkan parkir mobil di areal hotel dengan biaya Rp. 20.000. Sudah saatnya direnovasi karena sudah sangat tua hotelnya. Lokasinya dekat dengan mall icon bali"
"7.","sherl berlin","13","2025-07-31","1","security depan dengan beberapa staff sangat tidak beretika. Galak banget, kasar juga. dan saya gak terima mereka memperlakukan saya dengan nada tinggi dan menbentak, didepan Anak anak saya. hotel kalian ok, tapi untuk staff maaf, KAPOK…"
"8.","putra suryawan","86","2025-07-01","4","Akses menuju hotel agak susah, karena ada parkir kendaraan yg ingin berkunjung ke pantai shindu. Untuk bangunan sedikit agak tua, namun pelayanannya bagus banget, stafnya ramah2 dan care banget"
"9.","Ni Putu Resa Amanda Putri","19","2025-08-31","1","Kamar dan wc bau banget,toilet gabisa di flush,minta tukar kamar karna ga nyaman gabisa di judesin,lampu mati aghh pengalaman buruk,tapi service hk nya sangat amat ramahhhh andai bisa pisah bintang:(,terimakasih"
"10.","lia setiaji","88","2025-08-31","5","Stay di cottage nya, buka pintu langsung pantai, mantep banget karna setiap pagi bisa lihat sunrise yang cantik 🥰"
"11.","Luh Made Sudimartini","31","2025-10-31","5","Mengikuti kegiatan seminar di hotel ini. Tempatnya nyaman dan makanannya jg enak"
"12.","Arta","1","2025-08-31","5","Tempatnya bagus dan sangat strategis yang dekat dengan pantai sanur, pelayanannya juga sangat baik"
"13.","Arya Gallant Respati Adler","233","2025-10-31","5","Tempat yang sangat nyaman untuk tinggal di Sanur. Dekat dengan pantai dan area wisata"
"14.","Pisces 22","16","2025-08-31","4","Hotel dg style Bali dg view pantai yg sangat recommended"
"15.","Yeni","4","2024-12-31","5","Kemarin acara wedding saya, bnyk terimakasih karna pelyanannnya sangat baik dan acara wedding kami berjalan dgn lancar, semua berkat team hotel, terimakasih juga utk pak angga dari awal sampai selesai mengurus wedding kami dengan baik beliau enak utk komunikasi terimakasih pak angga Tuhan memberkati 😇😇"
"16.","Fera Fe","26","2024-12-31","2","Satpamnya kasar sekali, sangat tidak ramah. Saya menurunkan orang tua dan anak bayi ditegur dengan tidak sopan. Walaupun Petugas keamanan tapi bisa kan punya Attitude dan ramah sedikit?? Sangat tidak mencerminkan Bali hospitality."
"17.","Andres Yanthi","64","2025-07-31","5","Buat event team building cocok banget, lokasinya strategis"
"18.","Melissa S","29","2024-12-31","5","Kamar : meski belum pernah di refurbish, masih acceptable kondisinya Layanan : staff front desk & housekeeping sangat ramah dan helpfull 👍 thank you so much for your service 🫶 Lokasi : Prime location! Love it Would love to come back again soon"
"19.","Dian Kurniawan","400","2022-12-31","5","Mantab pesan standar karena penuh free upgrade ke next level. Jadinya dapat kamar gede dan anak2 suka sekali. Pagi2 dah ke pantai dan ke kolam renang. Sarapan karena kami perlu early checkout mereka masih melayani makan diantar ke kamar. Sebuah pengalaman yang memuaskan. Jika ke sanur bisa diulangi kembali menginap disini"
"20.","Kurniatul Isnaini","12","2024-12-31","4","Hotel yang menyenangkan, nyaman dengan pelayanan yang ramah dan prima. Sangat dekat dengan pantai. Hanya air bersih nya kurang besar. Mungkin dari pihak hotel ada program penghematan air. Untuk semuanya okey. Pengen balik nginep kesana lagi dengn keluarga besar 👍"
"21.","Peek a Boo","354","2022-12-31","5","Bangunan hotel milik pemerintah ini sebenarnya cukup bagus. Tepi pantai, ada restaurant, halaman yang luas, kolam renang, dan meeting room. Karena Saya menginap di hotel bangunan lama, kamar bersih dan luas, dengan balkon. Namun untuk sikat gigi dan pasta gigi siapkan pribadi ya, karna tidak disediakan, hanya sabun dan shampo saja. Air panas di kamar saya juga kurang berfungsi, jd lama banget nungguin air panas, sdh begitu dpt panas sebentar, dingin lagi. Sepertinya perlu dicek."
"22.","Dewa Purnama Sidi Putra (DEWAP060)","681","2021-12-31","5","Pantai yang indah dan ramah dikantong. Sangat bagus untuk menikmati pemandangan atau digunakan untuk berenang dan beraktifitas dengan keluarga karena ombak yang kecil dan kedalaman pantai yang rendah. Selain itu harga makanan yang ditawarkan juga tersedia dari level kaki lima hingga bintang lima, saat ini sedang berlangsung renovasi terhadap trotoar dipinggiran pantai. Kedepan pantai ini sudah pasti akan lebih bagus lagi dan makin ramai dikunjungi."
"23.","Hera","130","2022-12-31","3","Ksini karena ada table manner dari kampus. Parkirnya ternyata kurang luas. Untuk makanan yang disajikan standar pada umumnya tapi pas dihidangkan soup di dalemnya ada lalat :) waktu itu sempet difoto temen tapi males minta fotonya. Untuk staffnya ramah cuma ya kurang dijaga lagi ke kebersihan dari pihak dapur"
"24.","Sudjiatmi -","45","2024-12-31","5","Saya dan kelg paling suka disini Walaupun bangunan jadul Ralatif terjangkau Yg paling kami (me n my husband) suka adlh akses ke pantai tinggal melangkah saja Sampai kapanpun, kami pasti nginap disini, entah 1 malam saja."
"25.","Wayan Yuliawan","4","2024-12-31","1","Karyawan nya perlu diajarkan hospitality... terutama satpam nya kasar....kurang diajarkan sikap yg bener untuk bekerja di hotel.... kurang rekomen pokoknya"
"26.","Gaby Siahaan","155","2022-12-31","5","Bayar parkir sebelum masuk, 2k / motor. Kalo untuk mobil kurang tau berapa biaya parkir nya. Jujur parkirnya kecil, jadi saat ramai kekurangan parkiran dan sampai di pinggir jalan parkirnya tuh dan jauh juga jalan ke pantai. Cocok untuk berenang dan bisa main kano. Tapi kurang tau biaya nya berapa krn belum pernah nyoba sih. Kebersihan pantai sangat bersih disaat ramai pun masih bersih. Untuk jajanan banyak pilihannya sampai bingung harus beli apa 🤣."
"27.","Mriya Afifah Furqania","50","2022-12-31","5","Niatnya mau liat sunrise, tapi ada awan besar pas bgt nutupin matahari. Dari rumah 20 menitan, masih pagi ga macet. Sampe sana lumayan ramai. Ada tempat konservasi penyu kecil gitu. Lumayan bersih pantainya. Ada cafe² juga bukanya jam 7"
"28.","Dwi Kurniawan","59","2024-12-31","5","Lokasi strategis, pinggir pantai. Variasi & rasa menu sarapan perlu diperbaiki. Bbrp bagian dlm kamar perlu direnovasi."
"29.","cahyo anggoro","81","2022-12-31","5","Akses langsung pinggir pantai dan didekatnya ada tempat penangkaran penyu juga. Tidak terlalu mengeksplor disini, karena hanya untuk istirahat semalam saja. Kalo bawa mobil sendiri mungkin akses masuknya saja yang sempit apalagi kalo papasan dengan mobil lain karena sebagian jalan untuk tempat parkir wisatawan yang ke pantai."
"30.","Ida Ayu Sri Eka Prawerthi","10","2021-12-31","5","Salah satu pantai ternyaman di wilayah Denpasar Bali, tidak jauh dari pusat kota dan bisa menjadi tempat wisata untuk kulineran sore sambil melihat view pantai dengan makanan yang enak dan super murah meriah, gak akan nyesel wajib kalau ke wilayah Sanur mampir ke pantai Sindhu yah"
"31.","Eveline Natania","7","2022-12-31","1","ada table manner dari kampus saya yang diadakan di hotel ini, tapi lihat apa yang saya temukan. 2 belatung hidup yang di atas piring bread n butter tidak tau datangnya dari mana, harap diperhatikan lagi. ini kesalahan fatal kalau orang tua atau orang rabun yang menerima hal seperti ini!😰🤢 sudah lapor ke staff tapi tidak ada permintaan maaf sama sekali."
"32.","Reza Nanda Iswara Ida Bagus","924","2020-12-31","4","Beberapa kali berkunjung kesini untuk event wedding. Venue weddingnya lumayan asik, makanannya okelah. Yang sangat kurang adalah tempat parkir. Beberapa wedding ga ada yg atur parkir, macet total jadinya. Tapi terakhir sudah disediakan mobil antar jemput, kita parkir di lokasi lain nanti dijemput disana."
"33.","Mocca Late","346","2022-12-31","4","Salah satu pantai favorit di kawasan sanur, pedagangnya di tata apik, pantainya banyak pohon jadi lebih teduh, cuma kadang kalo lagi weekend dan parkir yg di sediakan full kita mesti parkir mobil di hotel dg harga 10K, tapi overall bagus, bersih dan aman"
"34.","Dwi Joko Susilo","53","2021-12-31","3","Asri dn rapi, dapat menikmati pemandangan pantai sepanjang waktu. Krn baru mulai buka... kamar masih perlu pemeliharaan, seperti fasilitas Pendingin udarA dn kamar mandi.."
