"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Anugrah Maharany","14","2025-12-09","5","Saya menginap di hotel ini 10 hari dgn pengalaman yg baik. Lokasi sangat dekat dgn mall ratu indah dan TSM aksesnya mudah kemana2 dgn hrg kurang dari 300rbu sangat memuaskan sarapan bervariasi dan pelayanan ramah seperti hotel bintang 5 hotelnya bersih kamar mandi bersih ada air panas juga pokoknya kami akan kembali menginap disini kalau berkunjung di kota Makassar"
"2.","Andi Nurfadlina Munir","19","2025-06-30","5","Hotel dengan konsep semi islami karena pajangan dan hiasannya ngga aneh². Sederhana menampilkan hiasan kaligrafi, ayat kursi / syahadat / dzikir dan lainnya. Ada juga hiasan tempat wisata KHAS Sulawesi. Kami pesan kamar tipe deluxe room 1 bed .. ngga expect pas masuk disediain quran dan sejadah + arah kiblat juga ada. Ada welcoming drinknya juga. Untuk kamar tipe ini cukup luas, tipikal penerangan redup karena pencahayaan alami dari jendela kalau dibuka hordennya auto terang. Masyaa Allah bgus bangett 🤩. Minesnya cuma kurang wangi ajaa kamarnya, overal udah worth it dgn harga segitu. Dari resepsionis, satpam, staff lainnya ramah². Breakfest nya juga enak² , apalagi bubur ayamnya mnrutku rasanya ngga lebay. Otentik bubur ayam sehat mengenyangkan 😋 Harga menu²nya juga ckup terjangkau, ngga gila harga .. sempat nyobain menu minuman rempah yaitu > jahe lemon madu .. Bener² enak ngga pait .. harga cuma 15rb-an. Ada swimming pool for kids juga. Untuk lokasi udah strategis bnget, lokasi deket mall, cuma 10 menitan ke losari, trus ada warung , circle K, mini market, restoran, suki n grill, warmindo juga ada yg bs ditempuh cuma jalan kaki aja. Seneng bngett deh dsni .. so, yg mau nginap ngga usah ragu. Khas Makassar bs jadi pilihan kamu yaa 🤩 Smoga makin baik dan meningkatkan kualitasnyaa .. makasih Khas Makassar Sukses Terussss"
"3.","Kenjison Greatest","257","2025-11-30","2","Kunci kamar macet tidak bisa keluar kamar. Telp kamar tidak berfungsi. Pelayanan lambat. Perlakuan pesan beda kalau pesan dari aplikasi. Seperti di nomor 2 khan"
"4.","Wandy .s","4","2025-07-30","3","Awal msk kamar kaget krna engsel pintu kmr mandi rusak jd tidak bisa di tutup pintunya, trs di sela2 tembok antara ranjang twin itu kotor, ada noda cairan apa gtau, sprei bantal agak apek kya blm diganti bau keringat, handuk jg bau keringat org. Shower nya pun gmau nyala,"
"5.","Delfi Aquinowati","1","2025-07-30","5","The best sih ini hotel dr dlu pelayanannya smpe skrg tdk pernah mengecewakan. terakhir buat kegiatan di khas hotel Makassar maashhallah bener2 well prepare. Semua staff dr team sales, F&B, housekeeping sampai accounting nya pun excelent service. Kami dari MQ İstiqomah 3 Makassar sangat2 nyaman berkegiatan disana. Selain makanannya sangat enak, bersih dan hangat, pelayanannya pun ramah dan cepat. Jazakkallah khairan Khas Hotel Makassar. Sukses selalu...Barakkallah fiikum 💗💗💗💗"
"6.","Adrian Pkd","160","2025-07-30","3","Sudah booking, tp tidak jadi nginap karena parkiran full, nanya ke security diarahkan parkir pinggir jalan poros yg ramai dan jelas keamanan mobil kurang terjamin, saran : siapkan security yg ramah dan sigap mengarahkan tamu utk parkir di tempat layak."
"7.","Nur Atifah","2","2025-08-30","4","Menginap 2 malam di sini dengan 2 kamar berbeda, saluran pembuangan di t4 mandinya mampet smua, jadi kita mandi nga bisa lama2 , makanannya kurang berpariasi terus dalam kamar ada brankas tapi rusak, hanya sekedar pajangan. Tapi soal pelayanan benar2 bagus, smua staff ramah2 👍🏾"
"8.","Asrul Sani","1","2025-07-30","5","Sangat tdk sesuai ekspektasi, plih kamar dgn hrga yg pling murah krna dlu jga pernh nginap di t4 lain dgn hrga sgtu, krna sdh bljar dgn pngalaman sblumx, jdi dfkiran ruangan pengap, spray dn hnduk kuning, tdk ad welcome drink, resepsionis jutek, kmar bau asap rokok krna dapat kmar area smoking, masyAllah stelah masuk kamar Semua berubah jdi indah, ruangan luas, bersih, tampak baru spray hnduk putih bersih, kmar tdk bau asap rokok mskipun dpat kamar smoking, ada welcome drink, disediakan pmnas air, AC dngin full, kmar mandi bersih, dan resepsionisX MasyaAllah skali, klau ad ksmpatan lg insyaAllah mau nginap dsni lgi 😇😇"
"9.","Masmoz","32","2025-11-30","5","Rekomend budget hote, cheap tapi bersih. Lokasi nya strategis ditengah kota Dan dekat dengan kuliner Dan cafe"
"10.","Irent Albar","55","2025-12-09","5","Pelayanan ramah, Suasana nyaman, kolam renang nya jg safety banget buat anak"
"11.","Ahmad Syafii","67","2025-06-30","5","Pelayan oke, kamar dan toiletnya bersih, pemandangan kota yang bagus terlihat dari kamar, dekat dengan Mall Ratu Indah, Waroeng Steak, Circle K. Sedikit kurang di bagian AC yang kurang joss dinginnya tapi buat kalian yang kurang suka dingin tidak jadi masalah. Tersedia parkiran motor di basement. Selamat berkunjung"
"12.","sitti saddania","7","2025-08-30","5","Harga 400ribuan plus bf sangat2 worth it...sarapan enak, lokasi oke, pelayanan petugas sangat excelent"
"13.","aisyah ramadhani","5","2025-11-30","5","Aku ke hotel ini karena ada event. Suasannya bagus sekali dan lokasinya mudah di akses."
"14.","Bela RA","8","2025-12-02","4","standar, cukup oke, cuma keran kamar mandinya tuh rusak, copot terus"
"15.","nisaaa nisaaa","1","2025-07-30","1","pengalaman buruk teman saya mau naik katanya ditahan sama satpam, katanya hotel tp begitu bintang satu, air kolam jelek, air toilet nda berfungsi baik"
"16.","agum goms","1","2025-07-30","5","Lokasi yang sangat strategis, kamar bersih, ada juga kolam anak ditambah menu sarapan khas indonesia yang enak. Sangat direkomendasi untuk liburan keluarga"
"17.","Farrij Odie","25","2025-07-30","5","Salah satu hotel di Kota Makassar yang sangat direkomendasikan untuk rate harga 300an , lokasi strategis, breakfast variatif dan overall enak, pelayanan oke, cuma minus di air panas yang bermasalah"
"18.","Kalman CP","2","2025-06-30","5","Sangat menyenangkan selama liburan di hotel ini, karena fasilitasnya lengkap, kamar bersih dan sheetnya baru, putih bersih....breakfastnya enak dan banyak pilihan makanan dan minumannya, area pool sangat nyaman untuk nongkrong dan anak2 senang berenang karena airnya jernih...pokoknya Hotel Khas Makassar selalu jadi pilihan keluarga kami untuk liburan"
"19.","Sandy Dewanto","111","2025-05-30","4","Hotel affordable dekat mall MARI. Kamar cukup luas. Pelayanan ramah dan membantu. Stay di room Deluxe Double dengan sarapan. Sedikit masukan untuk sarapan lebih diperhatikan kesegaran makannya. Tapi saya juga tidak bisa complain dengan rate segitu. Dan ada poin plus yaitu hotel ini menyediakan ruang ramah anak di lobby untuk anak-anak bermain. Hotel ini cocok bagi orang-orang yang sekadar ingin staycation ringan atau transit/solo trip dengan budget terjangkau dekat mall."
"20.","OFFICIAL HIKARI","7","2025-10-30","5","Terima kasih buat pelayanannya yg sangat baik selama saya menginap🙏🙏🙏"
"21.","Andi Adriana Amdar","7","2025-04-30","1","First time nginap dsini tapi udah terakhir kalinya kyknya. Spreii sangat kotorr dan penuh noda,emang layak dipakai tamu?? Minta ganti lagi tapi sama aja cuman beda warna noda. Trus sabunnya juga nggk di refill hanya untuk cuci tangan udah habis. Masalahnya ini sabunnya cuman satu untuk semua. Trus lorong kamar berbau tidak sedap.Saran saja,dengan lokasi yg bgtu strategis seharusnya manajemen hotel memperbaiki apa” sja yg kurang klo sya lihat ulasan yg komplen seperti ini bukan hanya satu org tapi sudah banyak. Apakah manajemen memang tidak ada niat memperbaiki layanannya untuk meningkatkan kepuasan customer. Mungkin kalo layanan lebih ditingkatkan lagi kualitasnya mungkin ini bsa jadi rekomendasi para traveler untuk staycation mengingat bahwa hotel ini sangat strategis lokasinya karena tepat di tengah kota makassar. Menurut saya dengan kualitas seperti itu dengan harga 300an itu sangat tidak sebanding🙏🏻🙏🏻"
