"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Makde Official","1","2025-12-23","5","Lokasinya pas kemana mana Deket, mau kepasar dekat banget, cafe Baranya juga seru banget ada live music, banyak spot foto, makanan enak enak pkoknyo too deh"
"2.","Atri Sulistio","1","2025-10-30","5","Dari padang ke kota ombilin, apalagi nuansa masih zaman kolenial ditambah suasana bersih adem, Sempat makan dan minum di khas mobilin hotel, BARA RESTO , Semuanya pool habis enak enak minumannya ,Saya suka kopi gula Aren, Karyawan ramah dan SPV Selalu menawarkan produk yang handal dan tervavorite resto Sukse selalu buat kalian"
"3.","nia prima shartika","1","2025-10-30","5","Semua fasilitas dan layanan yang diberikan sangat memuaskan, karyawan hotel ini juga semuanya ramah ramah dan mengutamakan kepuasan tamu..semoga semin sukses Hotel Khas Ombilin👍👍👍"
"4.","Valetta andini putri","8","2025-11-30","5","Dari pelayanan, kamar, suasana, kebersihan, dan makanan top markotop. Rekom untuk menginap kalau ke sawah lunto. Tempat sangat dekat dengan wisata museum"
"5.","Vieee Juita","3","2025-10-30","5","Saya sempat mampir di sini..bahkan saya sempat minum,,untuk harga dan rasa minuman enak dan sesuai dengan selera.untuk pelayanan saya sangat puas,,saya dilayani sama kryawan yg namanya ridho. kualitas dan kenyamanan sangat baik..Nex saya bakalan kesini lagi sama keluarga dan teman arisan. Terima kasih Good"
"6.","Yuliya Anindhika putri","1","2025-10-30","5","Nongkrong di khas ombilin Bara cafee dan resto, sambil dengar live musiknya sangat bagus dan apalagi minuman di coffee promonya cocok dilidah saya dan sesuai permintaan saya tidak manis dan tidak pahit juga,dan untuk baristanya cwok sangt handle full service dan ramah, dan untuk ridho terima kasih yah udah kasih kami diskon , mudah2 an saya ada kesempatan pagi untuk mampir disini lagi karna pelayanan ny sngat bagus dan untuk harga dan rasa semua cocok"
"7.","Anggun Syari","2","2025-10-30","5","Terima kasih untuk Spu yang telah mempromosikan makan dan minuman Restonya. untuk pelayananya foul habis. walter Raf yg nama Gita juga FUUL senyum. next saya akan membawa kombongan Yy lebih banyak. Tas untuk pak Riki dan Tim."
"8.","Restu Pratiwi Gusvi","1","2025-10-30","5","Hotel berbintang yang paling nyaman di kota sawahlunto apalagi kalau dapat kamar yang menghadap ke gereja suasana heritagenya dapet bangettt 😍😍"
"9.","Syanti Asvia","48","2025-11-30","5","Hotel sederhana dengan nuansa masa lalu, nyaman dan uda yg melayani di FO, helpfull banget... terima kasih ya Da.."
"10.","Esron Daniel","6","2025-11-30","5","Hotel nya bagus, bersih,Sangat2 memuaskan sekali tempatnya, pelayanannya ramah, sangat rekomendasi 😍😍"
"11.","Rendra Parlente","1","2025-11-30","5","Minuman Dan nakan di bara resto nya enak,penyajian nya cepat pelayanan nya bagus,area nya bersih cocok buat nongkrong"
"12.","muhammad iqbal","2","2025-10-30","5","Kamar nya bersih,makanan di resto nya enak,pelayanan nya bagus, waiters nya mbak nadya full senyum🙏"
"13.","Putriindah Mayasari","2","2025-11-30","5","Semua fasilitas dan layanan yang diberikan sangat memuaskan dan memberikan kenyaman saat berada dihotelnya 👍"
"14.","Muhammad Gaza","1","2025-10-30","5","suasana nya asik dan cocok buat nongkrong sama teman,waiters nya mbak nadya dan mbak wimby ramah dan full senyum"
"15.","Devi Lucya","10","2025-11-30","5","Kamar bersih,layanan ok,makanan enak banget,terima kasih Hotel Khas Ombilin!"
"16.","fadhira irdi","2","2025-11-30","5","Terimakasih khas ombilin, fasilitas dan pelayananya sangat memuaskan. Sangat recommended untuk mengadakan acara♥️♥️"
"17.","Zeptin Alex Vildiro","1","2025-10-30","5","Cucok utk kerja dan santai.. Makanan enak, pelayanan ramah.. The best lah for Sawahlunto City"
"18.","Ronelia Anggi","9","2025-07-30","1","air panas agak aneh, panas sndiri kadang gak fungsi air panas nya.. pelayanan nol inisiatif, tidak s3, kurang rekomen, membayar pelayanan tapi tidak dapat layanan yg baik, harga family extra bed 700rb tidak dengan SARAPAN. jutek"
"19.","Muhammad Afif","1","2025-07-30","5","Hotel budget murah tapi gak murahan, terus kamarnya nyaman banget , dipusat kota, semua pelayanannya ramah"
"20.","Bimbs","1","2025-11-30","5","Nongkrong di bara resto Makan nya enak, tempatnya nyaman dan bersih pelayanannya bagus."
"21.","randa zulfianda","1","2025-07-30","5","Hotelnyaa adem dan tenang banget disini, fasilitas lengkap dan kalau sore” seru bisa nongkrong di kafenyaa dengan makanannya yg enak !!!"
"22.","Monica Pratiwi","2","2025-10-30","5","makanan di bara resto pilihannya sangat banyak. nasi goreng nya enak dan minumannya banyak pilihan"
"23.","Hafiza Eka Putri","2","2025-11-30","5","Hotel dengan kualitas seperti hotel di kota besar, kamar luas dan bersih"
"24.","Fenda Aulia Putri","1","2025-11-30","5","Pelayanan bagus banget ramahhhhh😍😍😍 Minumannya macha with coffee enak pollll😋😋"
"25.","Yul Hendrik","1","2025-07-30","5","Hotelnya nyaman banget !! Pelayanan sangat ramah !!! Dekat kemana” dipusat kota tinggal jalan kaki"
"26.","Fenny Trisnawati","98","2025-01-30","4","Kamar terakhir yg msh ada, yg lain udh dibooking PT BA. AC gk dingin, air panas agak aneh, krn tiba2 panas walau udh digeser kerannya. Ada TV, kulkas, hair dryer, teko listrik, dpt free minibar krn lg promo. Sarapan pagi agak mengecewakan, krn asin dn tdk variatif utk hotel dg harga kamar 600rb an. Tdk ada lift. Overall lumayan, tp dg harga segitu, harusnya lbh baik lagi."
"27.","Ficky Andhika","1","2025-07-30","5","Enak buat nongkrong..kamar bersih.. kryawannya juga pada ramah2.. ada live musik juga"
"28.","Rizki Prayudi","430","2025-06-30","5","Lokasi sangat strategis.. bisa sewa sepeda buat keliling tengah kota.. kamar nyaman.. mudah mencari jajanan.."
"29.","Fatmalia Khoirunnisa","115","2024-12-30","5","Mungkin satu satunya hotel di ombilin atau sawahlunto yg paling besar dan ternama. Lokasi sangat strategis, disekitar hotel banyak jajanan atau makanan mulai keban, sate padang, kopi, seblak, gorengan dll. Hotel juga bersih, kamar besar. Suasana kamar di pagi hari sangat sejuk. Akses ke stadion atau tempat olah raga sangat dekat. Kekurangan: tidak ada akses lift, hanya ada tangga. Tapi masih aman karena ga tinggi. Air shower sering kali keluarnya kecill seperti di video. But overall still good."
"30.","ibnu habibil","1","2025-10-30","5","hotel dengan kamar yang sangat bagus dan fasilitas yang sangat memuaskan"
"31.","Irvan Ali","1","2025-10-30","3","Kamar ya bersih dan tapi pelayanan memuaskan"
"32.","shelsa alyayosta","2","2025-10-30","5","pelayanan dan makanan nya, cocok untuk keluarga"
"33.","Fauziyati Yati","3","2025-07-30","1","Bayar mahal 550rb gak pakai sarapan, Gak WORTH_it"
"34.","wina meiliza","1","2025-10-30","5","Nyaman, bersih, pegawainya ramah ramah"
"35.","Afly Zainsty","5","2023-12-30","4","Saya dapat lantai 2, karena saya dengan orang tua sangat susah sekali buat orang tua untuk menaiki tangga sangat tinggi. Sebaiknya dibuatkan wacana fasilitas lift kedepannya. Sekaligus tambahan akses tangga lainnya sekaligus untuk kejadian darurat. Inisiasi petugas untuk membantu bawa barang barang tamu ke kamar, baiknya tanpa diminta terlebih dahulu. Mengingat saya membawa beberapa barang sekaligus memegang orang tua untuk membantu menaiki tangga. Suasana kamar sangat baik, untuk sofa dan lantai karpet diperhatikan kebersihannya. Karena beberapa tempat terlihat kusam dan kotor. Jadi tak nyaman untuk duduk di sofa. Suasana malam hari di Cafe sangat baik dan menarik sekali untuk bersantai melepas lelah. Saya order hot cappuccino tapi terlalu encer. Ketika saya komplain, baru diinfo kalo mesin kopi ada masalah. Sebaiknya diinfo terlebih dahulu sebelum dibuat dan dihidangkan. Sehingga tamu bisa memutuskan opsi lain atau tidak. Salam."
"36.","Hary Purwono","527","2024-12-30","5","Terbaik di Sawah Lunto, terdapat penyewaan sepeda untuk keliling lingkungan sekitar atau sewa mobil dengan tarif tertentu ke tempat wisata di sekitar hotel. Bagi anda yang suka jalan kaki bisa lebih explore ke beberapa tempat historis sekitar hotel Kamar cukup luas tanpa asap rokok"
