"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","guruh panji","9","2025-12-23","4","Sy tdk paham konsep peletakan kamar non smoking 116. Disampingnya smoking area resto. Waktu kamar mandi nyala. Bau asap rokok masuk. Selain itu ok, sy beberapa kali menginap di hotel ini."
"2.","Ardiansyah Syahzam","163","2025-12-23","5","Hotel baru dengan pelayanan yg ramah dan cepat. Kalau masuk pagi bisa ikut breakfast.. Kamar bagus dan bersih."
"3.","Samuel Simbolon","186","2025-10-06","5","Untuk akomodasi penginapan di palu, hotel KHAS bisa jadi salah satu top 3 pilihan untuk budget friendly. Hanya jangkauan yg sedikit tricky krna masuk2 kedalam. Untuk pertama kali setelah membayar lewat agoda/traveloka atau yll, kita akan di cek validitas booknya, dengan ktp dan tanpa deposit. Serta ada juga welcome drink yang sangat membantu menyegarkan saat suasan palu di siangharid yang panas. Untuk akses ke kamar bisa dengan tangga dan lift. Lalu akses ke kamarnya sangat enak, karna hybrid denganllingkungan sekitar tidak full ac semua. Kamarnya dibuka menggunakan kartu dan power kamarnya dinyalakan dengan kartu. Posisi penempatan tempat tidur untuk yg twin sangat baik dan mengisi space kamar dengan baik. Untuk kamar mandinya sangat bersih, amenities lengkap. Hanya saja ada peer, bahwa lap kakinya spertinya mesti diberikan 2 buah. Overall memuaskan"
"4.","Raden Kimung","315","2025-11-06","5","September 2025. Hotel yg menyenangkan. Surga bagi para smoker. Lokasi bersebelahan dgn perumahan & agak masuk dari jalan besar, jadi tenang utk istirahat. Bangunan hotel open space & tidak panas, sirkulasi udara bagus. Kamar lengkap dgn amnesti, bantal berlimpah, bersih, staff paten. Manajemen hotel tolong ganti botol plastik di kamar, cukup sediakan air isi ulang. Kurangi limbah plastik."
"5.","Yenita Amelia","6","2025-12-06","5","Hotel baru dengan harga murah tapi fasilitas seperti hotel bintang 4, interior kamarnya modern dan luass, makanannya beragam, hotelnya bersihh, sangat rekomended di Palu"
"6.","Adrian Pkd","165","2025-08-06","4","Saya berikan poin 4 sesuai kelasnya, hotelny baru. 3 kali ke Palu dan Khas jadi pilihan. Layanan reception sesuai standar, sarapan cukup bervariasi, room lumayan luas, air bersih, siaran tv lengkap. mungkin yg perlu di perhatikan kualitas kopi yg disajikan secara rasa dibawah standar."
"7.","yohanes haryadi","314","2025-08-06","5","Pertama masuk ke area lobby, tempatnya nyaman cozy dilengkapi dengan beberapa sofa dan ada 1 rak pajangan yg estetik Masuk ke kamar di lantai 2, kesan awal kamarnya bersih dan nyaman..kasurnya enak dan empuk serta bantalnya besar Kamar mandi ok dengan amenities yg standar (disediakan sabun & shampoo cair, 2 sikat gigi, sabun batang dan sanitary bag)..hanya air panas nya agak lama sehingga kita harus buka agak lama baru air panasnya keluar dan perlu di tambahkan gantungan baju di kamar mandi untuk men cantolkan baju saat mandi Makan pagi nya untuk kelas hotel seperti khas ini bisa di bilang wooowww untuk jenis makannya, tidak kalah pro dengan hotel bintang 4 (bisa di lihat di foto & video), hari 1 mencoba donut rasanya agak asin tapi hari ke 2 sdh normal rasanya Overall hotel ini menawarkan kenyamanan untuk di jadikan tempat beristirahat Note : tidak ada fasilitas kolam renang & gym yaa..."
"8.","Ogan_ Mkls09","22","2025-10-06","4","Hotel yg relatif baru dan bersih utk rate harga agak diatas nya sedikit dari hotel lama yg biasa sy nginep disebelahnya.pelayanan staff hotelnya bagus, sangat ramah.breakfast cukup lengkap.sangat happy sbb bisa jogging pagi2 dijalan jl zebra 1 dpn hotel aspal nya mulus dilokasi perumahan yg asri.dkt dgn masjid juga.saran utk pengelola hotel utk lbh ditingkatkan fasilitas WIFI nya yg dikamar,sangat lemott..next bakal balik kesini lg kalo jadwal tugas di palu.thanks"
"9.","Freeman TV","226","2025-08-06","5","Hotelnya dekat bandara. Fasilitasnya msh oke. Infonya sih boleh early checkin. Ga ada kolam renang ya. Utk stop n go aja. Cocok nih utk yg bisnis trip ke palu."
"10.","silfi yana","1","2025-08-06","5","Hotel terbaik dikelas nya kamar nyaman,bersih serta makanan room service yg enak serta terjangkau dan bfast sangat bervariasi dengan rasa pas dilidah.sukses slu khas hotel palu"
"11.","Gusrianto Yosep","1","2025-11-06","5","Kamar bersih, AC kamar nya berfungsi dengan baik lengkap dengan sarapan pagi yang enak. Pelayanan ramah."
"12.","hikmah sruni","2","2025-12-06","1","Konfirmaai awal terkait charge saat dikonfirmasi via telpon melalui kamar dan saatt pembayaran berbeda"
"13.","Ansar Sina","3","2025-08-06","4","Belum pernah nginap. Hanya pernah mengikuti kegiatan di hotel ini, pelayanannya mantap, makanannya enak tenan"
"14.","wisnu dhewa","112","2025-06-06","5","Pertama ke Palu, dan searching langsung nemu hotel ini..Bangunan baru (saat menginap baru 5 bulan dr opening), kamarnya cukup luas, bersih banget, TV uda android / google tv, staf ramah-ramah, breakfast juga enak dan cukup lengkap. Tetapi air panas nya cukup lama nunggunya. Overall oke banget, next kalo ke Palu akan kesini lagi"
"15.","Sugianto Effendy","206","2025-06-06","5","Hotel yang strategis lokasinya.. lingkungannya sangat tenang dan tidak berisik.. kamarnya luas untuk kelas sejenisnya. Untuk makanan biasa saja.. rekomendasi untuk hotel ini bila untuk keperluan kerja atau dinas."
"16.","seta extya","229","2025-12-09","5","Hotelnya sepertinya baru, nyaman sekali, ramah sekali"
"17.","Angel Artaniamoeis","3","2025-07-06","5","Semua yang Goodd🩷🩷🩷🩷 Dari breakfast yang banyak dan bervarian🩷🩷 Pelayanan yang sangat baik 🩷🩷🩷 Kamar bersih , toilet umum sangat bersih 🩷🩷 Ada air panasnya di kamar danemang cocok untuk perjalanan bisnis dan juga untuk staycation 🩷🩷🩷🩷🩷🩷"
"18.","Achmad Zulkifli","468","2025-09-06","5","Tersedia fasilitas antar jemput bandara free. kamar nyaman dan tenang"
"19.","Ayu Tiri","21","2025-05-06","5","Sangat cocok untuk perjalanan bisnis, ditengah kota, tapi jauh dari kebisingan, menu sarapan dan makan siang enak. Cocok untuk buat kegiatan kantoran seminar, tempatnya sangan cozy dan nyaman"
"20.","Vania Canisa","13","2025-06-06","5","Hotel baru. Super bersih. Dekat dengan bandara. Petugasnya ramah dan baik2 semua.. sarapannya juga enakkk."
"21.","Huzain Disfisik","4","2025-06-06","4","proses pemesanan yang mudah, check-in yang cepat dan ramah, kenyamanan kamar, kebersihan, fasilitas yang memadai, layanan kamar yang baik, serta staf yang responsif dan membantu."
"22.","Rizky Ardiana Bayuwerti","6","2025-02-06","5","Hotel yang bersih, semua karyawannya mulai fo sampai ob ramah dan helpfull sekali, sarapan enak banget unt harga yg terjangkau tdk kalah dgn hotel berbintang lainnya dan sangat variatif tiap harinya, hotel rekomendasi unt business trip"
"23.","Putra Abdee","25","2025-03-06","1","Saya tidak merasa aman menginap dihotel ini, sudah sy DOUBLE cek tanya sama security apakah kendaraan aman Mereka bilang AMAN kami jaga dipos parkiran motor, dan besok Helm saya hilang, saya minta tanggung jawab dan bertukar nomor WA dengan manager sampai sekarang etikat baik untuk follow up TIDAK ADA. Maaf helm memang barang kecil namun kami butuhkan juga rasa aman dan nyaman ketika menginap. jujur kecewa sekali"
"24.","NI GUSTI AYU OKTA REZKIANI","7","2025-05-06","5","Hotel yang sangat bersih , nyaman, pelayanan nya juga sangat sangattt ramahhh. Besttt pokoknyaaa❤️❤️, Sarapannya juga enak”. Soal harga pasti terjangkau😍✨ …"
"25.","Catherine Y","2","2025-02-06","5","hotelnya baguss sekali, dan juga sangat unik disekitar kamar ada atap terbuka dan juga dihiasi patung gorila yang sangat unik, untuk kamarnya sangat bersih. untuk makanannya sudah pasti enakk. senang bisa staycation di hotel ini terimakasih pelayanannya"
"26.","Mario Nathaniel","60","2025-08-06","5","Hotelnya enak, bersih dan good service"
"27.","Karlos Murib","1","2025-01-06","5","Hotelnya bagus pengalaman menginapnya juga sangat bagus,saya sangat nerasa senang dilayani dengan begitu baik mantap khas palu hotel semoga menjadi hotel yg terbaik dikelasnya terimakasih juga buat mas ade staf fb service yg melayani dengan setulus hati"
"28.","Muhammad Ghozy","2","2025-01-06","5","Pelayanan hotel khas sangat bagus kamarnya bersih,sarapannya juga menunya variatif terimakasih mas Ade atas pelayanannya yg sangat prima semoga kedepannya khas palu hotel menjadi hotel yang terbaik dikelasnya"
"29.","SINARDING","2","2025-01-06","5","Hotelnya Masih baru, Bagus, Bersih, nyaman, dan pelayanannya jga ramah, sangat di Rekomendasikan untuk teman Kantoran yg ingin melaksanakan kegiatan atau pertemuan Silahkan di hotel ini yaa. 👌"
"30.","I Ketut Sudarsana","931","2025-09-06","4","Menginap kembali disini untuk tugas. Kamarnya lumayan luas dan bersih"
"31.","Muh. Akbar","5","2025-01-06","5","Hotelnya bagus nyaman dan bersih pelayanan sangat memuaskan kamarnya Murah resto bisa merokok di dalam terimakasih buat pak Ade atas pelayanan"
"32.","Stephanie Maryanie","19","2025-05-06","5","Kamarnya bersih, kamar mandinya juga bersih.. Sandalnya unik dan lucu😍, shampo dan shower gelnya wangi.. Sarapannya lumayan.. Baguslah pokoknya"
"33.","reza rizaldy","1","2025-04-06","5","Pelayanan sangat baik dan ramah pada seluruh pengunjung hotel Kamar sangat bersih setiap kali menginap"
"34.","Fonny Huiyadi","1","2025-01-06","5","Hotel khas adalah hotel yang tepat untuk buat acara makan malam hidangannya lengkap dan makanannya enak2 staff dan pelayanannya juga sangat ramah the best buat hotel khas terutama untuk staff mas ade gercep pelayanannya terimakasih hotel khas dan mas ade"
"35.","Afdal Afdal","1","2025-01-06","5","Hotel bagus, nyaman dan dekat dengan bandara breakfast nya enak menu resti nua bervariasi dan enak terima kasih khas palu sukses slu"
"36.","ibah","3","2025-04-06","5","Kamarnya bersih, staf ramah dan helpful, suasana nyaman, fasilitas lumayan lengkap dan dekat dengan bandara"
"37.","Mu'minah","1","2025-01-06","5","Makanan mantap, snack mantap.. dan ruangan bersih ada aroma terapinya juga.. sepanjang kegiatan sangat menenangkan dan harum.. pelayanan juga bagus.. mas ade juga ramah dalam menjawab pertnyaan dan melayani.. manager juga ramah dalam menjawab prtnyaan staff logistic organisasi"
"38.","Fayss Story","2","2025-01-06","5","Pelayan yang diberikan sangat baik, timnya ramah terutama Mas Ade yang berinteraksi dengan baik. Kondisi ruangan dan gedungnya bersih dan nyaman, semoga bisa dipertahankan bukan hanya saat baru buka."
"39.","kerinus waker","1","2025-01-06","5","Terimakasih mas ade atas pelayanannya hotelnya sangat bagus dan kamar bagus bersih makanannya juga enak2 the best khas palu hotel"
"40.","Adil Muhammad","6","2025-01-06","5","Hotelnya bagus, nyaman. Makannannya enak..pelayanannya mantap ramah.."
"41.","Samsul Hakim","1","2025-01-06","5","Hotel bersih , Kamar luas, pelayanan sangat bagus"
"42.","I Wayan Pasek Suasta","23","2025-02-06","5","Hotel nya bagus, bersih & pelayanan ramah"
"43.","Novi Sasrini Alle","1","2025-02-06","5","Suasana hotelnya tenang, stafnya ramah, nasi goreng ikan asinnya juaraa 🤍"
