"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Dina Sartika Manurung","5","2025-12-16","5","Desember 2025 Kami menginap disana 1malam Anak-anak senang sekali karna ada akses langsung main di danau toba khusus yg nginap Kamarnya bersih juga , tidak begitu besar tapi ga juga sempit , terhitung lumayan lah Makanannyaa ?? Waaah puas banget, banyak macam2nya dan buat lidah kami yaaa .. enak 🥰 Sebenarnya tahun ini pengen nginap lagi tapi sayang kami ada tujuan lain yg harus dicoba .."
"2.","Tri Yunita","12","2025-12-06","5","Aku rekomendasi tempat ini buat kalian yg suka dan nyari hotel views Danau Toba,tenang banget kalau punya anak kecil udah ada pantai pasir putih nya,yg mau jalan2 keliling danau Toba,udah ada boat, speedboat,jetski nya,atau kalau sekedar mau nikmati pemandangan nya,udah banyak kali pondok2nya guys"
"3.","Arly Darmawan","4","2025-10-06","1","First time menginap disini. Tong sampah ada pop mie yg sudah bau. Tong sampah kamar mandi juga kotor. Dan pagi ini ketika breakfast menemukan serangga yg cukup besar dalam makanan : bubur ketan Not recommended deh."
"4.","Guntur S Nainggolan (Guntur)","60","2025-12-23","5","karena acara outbound bagus buat aktivitas dan sarapan baik, kolam renang belum ada dan wahana anak kurang"
"5.","Teguh Hariwibowo","20","2025-10-06","3","Hotel ini banyak kenangan keluarga bagi saya, sejak namanya masih natour saya dan keluarga sering menginap disini jika liburan ke parapat. September 2025 ini saya membawa orgtua utk liburan ke parapat dan memilih Khas Parapat karena histori bagi keluarga saya.. cukup puas dengan lokasi dan kondisi alam danau toba yang bisa kita rasakan melalui fasilitas yg ditawarkan Khas Parapat, yg saya rasa masih cukup baik kondisinya.. Saya sesalkan kamar yg diberikan, saya pesan kamar deluxe room melalui salah satu aplikasi travel.. dan menurut saya utk kamar tipe deluxe ukurannya terlalu kecil, meski lokasinya terletak tepat satu tingkat dari pantai hotel.. kamar nomor depan 00x Memng jika diperhatikan, dari foto yg disuguhkan dlm aplikasi, utk tipe deluxe room seperti ada beberapa versi, yg ada ruang tamunya, hingga yg berukuran kecil seperti yg saya dapatkan.. Diluar faktor kamar, saya rasa fasilitasnya terbilang baik"
"6.","Feradina Yuda","12","2025-11-06","1","Kapok ke sini. Tangga curam. Live musik dari penghuni kamar lain sampai pukul 23.00 blom juga kelar padahal dah kondae mandir ditegur!"
"7.","Aad Aad","82","2025-09-06","4","staff nya ramah, pas nginap saya gk jumpain porter, jd koper angkat sendiri, hotel gk ada lift. lokasi bagus tuk jogging, udara pagi segar, apa lagi dekat situs wisata rumah pengasingan soekarno, track jogging menantang dgn variasi elevasi jalur jogging."
"8.","Rolin Novandi Siregar","15","2025-12-06","5","salah satu hotel terbaik di parapat, nuansa hotel kontemporer tapi bersih, ada pantai yg disukai anak2, parkir mobil luas.."
"9.","Yandi Azhari","101","2025-08-06","4","positif: 1. lokasi strategis dekat dengan bibir pantai, bisa untuk anak² main pasir dan berenang 2. hotel asri dengan nuansa berbukit² 3. untuk yang ingin mengadakan kegiatan kantor dan acara disini ada beberapa spot yg bisa dijadikan spot acara 4. kebersihan overall masih kategori OK negatif: 1. makanan sarapan agar lebih bervariasi menunya"
"10.","Lince Loke","5","2025-07-06","3","Tolong menu sarapan dibuat lebih bervariasi. Stand ke1 menunya nasi putih + semur tahu + acar TIMUN. Stand ke2 menunya nasi goreng + ayam goreng + manisan TIMUN (lagi???). Tidak ada pilihan lauk lain..."
"11.","Waenk","5","2025-10-06","5","Pelayanan nya the best makanannya prasmanan enak la pokok nya air hangat nya d kamar mandi juga jempol x rekomended x buat yg mo liburan..."
"12.","Hui Wijaya","39","2025-07-06","4","kalo soal lokasi nya bagus ada pantainya untuk bermain,untuk kamar sih ok, cuma ada bbrp hal yg perlu di perhatikan..yang namanya kamar versi junior harusnya ada extra bed satu, karena adanya ruang tamu jg..alangkah baiknya d sertakan extra bed, kedua... itu gantungan baju perlu diganti dengan yang murni besi sehingga lbh kokoh, sabun yg seharusnya ada dekat bathshower pindah tempat di wastafel.. air panas nya si ok.. cukup. . breakfast nya enak, beraneka ragam jenis menunya dari mie bakso, bubur candu sejenis ciner enak, sampe lupis bu ur beras kuah , pokoknya enak la.. ada nasgor, minumannya pun beragam, ada susu putih, air infuse water, kopi, teh, jus sirsak lemon.. tempat tidurnya pun nyaman, bantal kepala cocok dgn aku.karena biasanya saya tidur d hotel bantalnya suka lembek ke bawah menyebabkan leher sakit...ada pemanas air juga untuk memasak air utk menyeduh kopi atau teh😄.. suasana malam nya jg menarik d restorannya ada musik band bagi yg mau makan lgsg d restorannya jg bisa atau manggil ke room.."
"13.","Nadia Tamba","30","2025-10-06","3","Kami menginap selama 3 hari 2 malam dgn 2 tipe Room yaitu family Room & superior room. Fasilitas ke 2 kamar ini sangat berbeda.. ya, saya memahami bahwa kami memilih family room lama untuk perjalanan ini l, tapi setidaknya untuk fasilitas room yg umumnya disediakan oleh kebanykan hotel/homestay seperti pengering rambut, sebaiknya disediakan. Lantai kamar di dekat kamar mandi juga terasa selalu basah 😟 dan lembab. Jumlah peralatan mandi juga terkadang kurang/tidak sesuai jumlah Pax yg tertanggung😩. But ya.. untuk pelayanan roomnya, saya cukup puas. Terima kasih🙏 Ini khusus saya tujukan kepada pemimpin di Restaurant khas Parapat.. Sepertinya tempat penyimpanan makanan anda perlu dilakukan inspeksi atau pembersihan secra rutin.. kejadian 2 minggu yg lalu, itu membuat kami terkhusus abang saya tidak slera makan. Tolong juga makan yg dihidangkan juga sebaiknya diletakkan dalam penghangat sehingga costumer masih dpt memakannya dalam keaadan hangat.. Terima kasih"
"14.","yessy aprianti","127","2025-09-06","5","Hotel dengan pemandangan danau toba, cantik sekali Pelayanannya dan kamar hotel nya baik Cocok untuk liburan dan menginap bareng dg keluarga"
"15.","Wati Salimin","8","2025-10-06","5","Kamar bersih sekali, makqnan enak dan lokasi gampang di temukan"
