"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Sakinah Baladraf","10","2025-11-30","3","Kamar yang saya booking adalah deluxe twin tanpa sarapan. Secara harga lumayan tidak terlalu mahal Untuk layanan yang diberikan sangat baik sekali. Lokasi juga sangat dekat dengan pusat jajan daerah ampel (bisa jalan kaki) tidak sulit untuk mencari makanan Namun menurut saya pribadi penerangan area kamar terlalu redup (kebetulan saya dapat di lantai 7) serta AC di kamar agak panas. Air kerannya warna putih gatau itu kenapa tapi keknya itu air yang mengandung tinggi kapur Dari segi sanitasi peralatan yang ada dikamar juga kurang memadai. Dapat dilihat cangkir yang diberikan selama tiga hari berturut” tidak diganti dengan yang baru. Hanya dicuci di kamar (sepertinya) karena masih ada sisa teh yang saya minum dihari sebelumnya. Dan juga batang pengaduk tidak diganti. Dapat dilihat pada foto batang pengaduk yang saya gunakan untuk membelah nasi masih ada sisa bekas kerak nasi dibatangnya. Area kamar juga berdebu disudut” tertentu (walaupun sudah dibersihkan tiap hari) Teko pemanas air tidak berfungsi. Semoga kedepannya penerangan dan kebersihan kamar dapat ditingkatkan kembali"
"2.","Friska Carolin","185","2025-12-23","5","Receptionist dan security ramah dan helpful. Kamar bersih, lumayan lega. Lengkap ada lemari, amenities, air hangat, meja kerja panjang dan tv. Ac lumayan dingin, pemandangan bagus. Suka banget nginep disini kalo pas ke Surabaya."
"3.","Fanny Funny","5","2025-12-23","4","Kamar mandi nya air panas nya gak panasss bikin BT bangettt. Tapi breakfast nya lumayan lah. Kopi nya ada yg berbayar wkkk.. tapi staff n security nya ramahh n helpful bangett."
"4.","Fajrul Falah","128","2025-10-30","5","Kamar bersih, ameneties juga lengkap, sikat, pasta gigi, sabun, shampo. Layanan on board lain juga sudah terbilang oke. Untuk lokasi juga strategis, 700 an meter dari Makam Sunan Ampel, masih bisa ditempuh dengan jalan kaki. Menu sarapan meski gak terlalu variatif, tapi rasanya enak."
"5.","Bahruddin Salam","15","2025-07-30","5","Welcoming: Petugas parkir ramah, selalu mengucap salam+waktu ketika bertemu. Selamat sore, selamat malam. Kendaraan diarahkan dengan ok. Ada Ibu ibu di depan pintu masuk juga. Anak saya disapa dengan ramah oleh ibunya. Sepertinya ibunya jajaran petinggi hotel😁 Check in: check in dari aplikasi agoda, tanpa ribet satset Kamar: amenities standar, teh kopi, air mineral. Ada brankas dan air shower air hangat. AC dingin tidak ada masalah. Hanya ada masalah di TV yang vignet. Pinggiran TV menghitam tidak enak ditonton. Saya abaikan karena saya tidak terlalu menonton TV. Ada mukenah & sajadah di kamar🫡. Good job Breakfast: ada menu yang tidak ada di hotel lain. Nasi kebuli sama kopi khas timur tengah. Breakfast cukup komplit dan menyenangkan. Ketika breakfast saya sudah selesai, saya dihampiri oleh staf hotel dan dimintai mengisi angket. Saya report kendala terkait TV dan dengan sigap tim engineering mendatangi saya di meja makan untuk troubleshoot. Karena saya tidak menonton TV jadi saya arahkan untuk perbaikan setelah saya check out saja. No problem. Good job, tim KHAS Hotel. Satset dalam penanganan masalah. Hotel ini sangat dekat dengan kawasan ampel. Kalau mau jalan2 malam sekedar cari kebab dan makanan arab. Sanget recommended 🫡"
"6.","nafier amrillah","39","2025-12-09","1","Satpam negure gk bois blas.. apa karena jaket kyk online harus di tegur sperti itu.. padhal kita saudara yg menginap di situ.."
"7.","Panut Widodo","173","2025-11-30","5","Sering menginap disini. Harga terjangkau. Menu sarapan juga ok. Sekitarnya banyak warung makan. Kamar bersih. Pelayanan ok"
"8.","Ahmad Zamroni","71","2025-10-30","5","Sangat puas menginap di sini... Pelayanannya jg Bagus ramah ramah, breakfast y juga enak2 khas masakan nusantara,Paling suka telur omeletnya, lumayan hbs banyak🤭🤭🤭 cocok yang mau ziarah di makam sunan ampel karena aksesy dekan, sambil jalan cm 10menit, bisa sambil liat liat, next time jika ke Surabaya bakal nginep di sini... Makasih"
"9.","mediana minura","20","2025-07-30","5","Best location utk transit sebelum perjalanan menggunakan kapal melalui pelabuhan Tanjung Perak. Pelayanannya juara, semua staff ramah dan helpful. Jangan lupa beli spikoe nya, rasanya enakkk ngga kalah sama spikoe yang terkenal biasanya. Menu breakfast juga cukup bervariasi. Jadi top list nih hotel transit di Surabaya. Thank you."
"10.","Frisky Octa W.","48","2025-08-30","5","Hotel yg dkt dengan wisata religi sunan ampel. Tempatnya strategis, nyaman. Kamar hotel bersih dan nyaman. Hanya saja AC nya kurang dingin"
