"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","TANAKA Tanaka","33","2025-12-23","3","Saya pesan hotel via agoda Melihat rating tertinggi disini Karena bintang 3 , dan melihat ulasan bagus , kamar bagus. Pas dtg chek in ga bisa di percepat biarpun saya ingin bayar tambahan biaya Ac bermslah di hari ke 9 dan akhirnya kami pindah kamar , tp menurutku makin ga enak. Mau komplain ud malas . Ketika mau chek out jam 12 . Saya mnt negosiasi utk mnt waktu utk kami sholat 5 menit. Tp jawaban nya tidak bisa alasan full. Mau bayarpun ga bisa. Makanan nya selama saya menginap itu itu mulu menu nya Ayam , ikan Ayam ,ikan Ayam , ikan Enggk ada variatif nya Dan soto nya asin Sekelas bintang 3 menurutku mirip ke bintang 2. Kamar nya sangat kecil Padahal pesan nya yg paling bagus menurut aplikasi ."
"2.","Ahma Muniyatini","13","2025-12-09","1","LORONG MENUJU KAMAR PANASSSS HOTELNYA PELIT AC DI LORONG KORIDOR GAK DINYALAIN!!! Hotel yang sangat pelit di lorong dari lift menuju kamar AC nya tidak dinyalakan, tetapi area nya full tertutup kaca. Kalo gak mau rugi ada AC di lorong, yaa buatkan jendela lahh. Hargamu itu udah termasuk fantastis/mahal banget lohh. Hotel di Yogyakarta itu udah mahal-mahal pol lohhhh. Di tik-tok content creatornya cuma mau FYP aja, gak detail ngasih tau nya. DENGAN HARGA SEMAHAL INI, TIDAK ADA KULKAS PARAHHHH. KALO MAHAL BAGUS OKEEE, INI TIDAK JATOHNYA MERES WOYYY"
"3.","indrasmara ilham perdana","326","2025-12-09","5","Kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan. Sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel, meskipun hotel ini bukan hotel syariah Peralatan shalat di dalam kamar juga cukup lengkap, ada sajadah, mukena, dan juga Al-Qur'an. Untuk lokasi hotel ini sangat strategis, tak jauh dari tugu jogja yang ikonik. Mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional, dan sebelahan persis dengan lupis yang viral. Kemarin mendapatkan kamar yang dapat view langsung gunung merapi. Untuk menu sarapan di hotel cukup lengkap, meskipun untuk resonya lumayan sempit Ada kolam renang untuk anak-anak bermain, karena tidak begitu luas."
"4.","A","5","2025-12-16","1","SANGAT TIDAK WORTH IT DENGAN HARGA SEGITU!! JATUH NYA KAYA HOTEL TUA. kacaauuuuu breakfast pun lauknya gak ada yg enakkk😭🫵🏻, Kalo gak karna kecapean mungkin bakal cari hotel lain dan gak bakal chek in dsni. Kacauuu kacauuuu sangat memeras harga 1jt permalam gk ada apa” semua tertutup view nya pun biasa aja"
"5.","ARI","100","2025-11-30","5","Gila sih, KHAS Tugu Hotel ini memang bestie banget buat yang cari hotel di deket Tugu Jogja! Lokasinya strategis parah, mau ke Malioboro atau kulineran melipir dikit aja nyampe, pokoknya gampang banget aksesnya ke mana-mana. Trus, mereka juga punya counter yang khusus jualin oleh-oleh dari Jogjakarta jadi ga perlu pusing kalo gak sempet belanja oleh-oleh ya! Awalnya sih cuma ikut kata pacar yang recommend buat nginep sini, eh ternyata beneran dong, semua fasilitas dan pelayanannya bikin betah dan worth it abis! Saya pesan 4 hari 3 malam, dan meskipun sarapannya cuma dapat jatah sekali, menu breakfast-nya itu juara banget, isinya full kuliner Jawa Tengah yang enak-enak semua. Pokoknya, kalau liburan ke Jogja lagi, fix banget saya bakal balik nginep di KHAS Tugu Hotel lagi! Nggak ada lawan deh!"
"6.","yeni saraswati","140","2025-07-30","5","Baru pertama kali nginep disini. Nginep tgl 14-15Juli 2025 Pas banget weekday dan anak2 baru masuk sekolah. Jadi hotel kerasa lega dan sepi. Tapi tenang enak karna itu yg kita cari. Pertama kali datang, parkiran mobilnya gak banyak mobil sih mungkin karna hari senin juga pas mau check in. Parkirnya itu dihalaman depan area hotel gitu. Gak ada basement jadi kalo hujan ya kehujanan, kalo panas terik ya pastinya kepanasan juga. Dateng sekitar jam 1an. Kita confrim dulu ke resepsionis, seperti biasa, dimintai ktp, juga bukti booking. Trs kita disuruh nunggu karna kamar baru dibersihkan. Kita nunggu gak lama 15menitan juga ada sih. Trs dikasih kartu akses kamar, juga dikasih tau breakfast mulai jam 6 sampai jam 10pagi, trs naik ke lift, susah banget kartunya pas mau di tap. Sampe 3x nutup sendiri pintu lift. Untung ada stafnya yg tau trs diganti sama kartu baru dan dibantu stafnya resepsionis. Ketemu sama staf stafnya, satpam ramah banget. Dan anakku juga disapa, diajak ngobrol. Dan memang seharusnya kalo orang perhotelan memang ramah2 ya. Pas masuk lift, lift besar, bersih, cctv juga ada. Kaya hotel lain yg pernah aku datengin ya, lantai 4 itu selalu gak ada. Ada yg bilang kalo pamali, kalo ada lantai 4 nya. Kamar bersih, rapi, akses wifi juga lancar, tv bisa lokal, apa youtube juga bisa. Kamar mandi bersih, rapi, toiletries juga lengkap. Tisu kamar mandi masih banyak. Tisu di kamar juga masih banyak. Yg keren ini sih, ada mukenah sama sajadah. Belum pernah nginep hotel ada peralatan sholatnya. Keren sih ini. Hotel ini strategis banget. Karna memang dekat dengan Tugu Jogja ya, jalan kaki aja gak nyampe 10menit udah nyampe. Sore kami jalan ke Tugu deket banget. Dekat hotel banyak kuliner juga, dekat dengan Pasar Kranggan, yg mana banyak kuliner nya juga. Angkringan juga banyak, pokoknya akses kuliner banyak pilihannya. Tinggal jalan kaki aja. Kami ada di lantai 6, pemandangan jogja malam hari dan pagi hari indah banget. Keliatan jelas di kamar kami. Breakfast mulai jam 6 sampai 10 pagi. Kita pagi jam 06.30 turun cek liat ke resto sepi hanya beberapa tamu, gak penuh, setengah aja gk ada. Tapi kami pilih jalan2 dulu. Balik hotel 07.30 baru ke restonya buat breakfast. Lengkap banget sih buat breakfastnya. Bubur, nasi putih, nasi goreng, pecel, gorengan, ubi rebus, kerupuk, sambal, air mineral, infuse water, orange juice, milk, aneka roti, omelette, bihun goreng, buah, pudding dll. Dan juga ada kids corner, makanannya gak banyak sih tapi untungnya sikecil doyan. Ada ayam kremes, mac n cheese. Donat, buah juga ada trs ada coklat cair juga. Tapi sengaja gak ambil. Kursinya banyak, ada yg kursi ada yg sofa juga. Kesorot matahari langsung sih restonya ini. Tapi gapapa masih tetep bagus kok. Setengahnya makan, didatengin stafnya, diminta ngisi penilaian makanan di resto tsb. Sikecil juga dikasih balon. Agak lama sikecil ditawarin mewarnai, dikasih kertas juga dipinjemin crayon. Stafnya semuanya ramah, entah stafnya atau anak training gak tau tapi ramah ramah. Check out jam 12 siang, jam 11 kita udah siap mau keluar kamar. Trs dapet telpon, ya kaya stafnya mengingatkan kalo check out dijam 12 siang. Kita pas mau check out, di kasih form penilaian hotel. Udah gitu kita disuruh nunggu dulu karna kamarnya baru di cek sama stafnya. Kata suami memang harusnya gitu sih. Mungkin takutnya kita ngrusakin barang atau bikin bed kotor dll. Setelah staf yg ada dikamar kami confrim oke. Baru kita boleh pulang. Karna selama ini kalo nginep, gak pernah gini sih. Cuma karna suami anak hotel juga jadi paham. Semuanya bagus keren. Cocok untuk di datangin lagi. Semoga lebih baik lagi kedepannya."
"7.","Alex WS (Alex)","122","2025-09-30","2","Punya pengalaman tidak menyenangkan di hotel ini, saya menginap 2 hari. Hari kedua ga doyan makan karena tahu bahwa handuk yg sdh kotor bekas pakai sehari dan dipakai ngelap gelas, dilipat rapi lagi dan ditaruh seolah olah handuk baru. Sangat ga nyaman, mau komplain sdh malam. Bed cover juga terlihat kotor. Komplain saya ditanggapi dengan ramah, tapi saya kapok menginap lagi disini karena masih terbayang handuk kotor yang dipakai membersihkan gelas di kamar. Pengalaman saya menginap di hotel lainnya, handuk diganti setiap hari."
"8.","Corie Anissa","72","2025-09-30","3","Maaf harus memberikan review ini🙏🏻 Awal check in bed cover banyak noda lama, mau minta ganti tp sudah capek mau segera mandi dan istirahat. Sarapan saat bfast rasanya enak, tp mungkin bukan selera saya ya.. overall sebenarnya sudah baik. Tp kebersihan tdk dijaga dg baik. Handuk sudah kusam. Semoga bisa nginep kembali dg performa terbaik."
"9.","agung jaya","705","2025-12-09","5","Lokasinya strategis dekat dg Tugu, pasar Kranggan, Jl. Mangkubumi. Cukup banyak hotel di sekitar perempatan Tugu. Belum sempat nginap disini karena kemarin hanya ngantar saja & oleh satpam nya diarahkan ke tempat parkir yg kosong."
"10.","M Amin","204","2025-12-16","5","Kamar bersih, dekat malioboro dan pelayanan ramah, senyum dan sopan. Yg mencari hotel di yogyakarta, Sy rekomendasi kan hotel ini"
