"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Ono Widadi","1","2025-12-17","5","Lumayan nyaman menginap di sini jarak dari bandara ke hotel sekitar sepuluh menit , makanya yang di sediakan juga cocok di lidah , kolam renang nya bagus luas pelayanan dari pihak resto mbak Desy sangat memuaskan terimakasih"
"2.","_ Black_Lotus","1","2025-12-17","5","Sebagai hotel bintang 3, fasilitas sarapan di Kyriad Airport Hotel Jakarta sudah cukup baik. Meskipun variasi menu breakfast tidak terlalu banyak, pengalaman sarapan tetap terasa nyaman berkat pelayanan Ms. Desy yang sangat profesional dan ramah. Ms. Desy dengan sigap membantu tamu, memberikan rekomendasi menu terbaik yang tersedia, serta memastikan kebutuhan tamu terpenuhi dengan baik. Beliau juga mendengarkan setiap masukan dan keluhan tamu dengan sopan, lalu mencatatnya sebagai bahan perhatian. Sikap ini membuat tamu merasa dihargai dan diperhatikan. Pelayanan Ms. Desy menunjukkan dedikasi dan tanggung jawab yang tinggi dalam memberikan pelayanan terbaik sesuai standar hotel. Terima kasih atas pelayanan yang sangat baik dan berkesan."
"3.","Siti Samsiah","1","2025-12-17","5","pengalaman menginap di sini sangat lumayan memuaskan untuk kamar nya , kamar nya bersih nyaman bisa buat tidur dan istirahat , makanan nya enak pelayanan dari staff mbk desy sangat baik dan ramah terimakasih"
"4.","Andri Suyanto","2","2025-12-17","5","Pengalaman menginap di sini sangat memuaskan pelayanan dari staff resto nya mbk Desy dan team benar benar memuaskan sekali semoga sukses semua kedepan nya, shower dikamar air nya lambat dan teko pemanas air tidak berfungsi hanya itu saja tetapi tidak masalah karna nyaman untuk menginap"
"5.","Hamonangan Sukses","1","2025-12-17","5","Pengalaman menginap di sini lumayan memuaskan walaupun ada beberapa bagian kamar yang perlu di cat ulang dan di perbaiki makanan nya enak dan memuaskan cocok di lidah dan tidak pelit bumbu pelayanan dari mbk Desy sangat ramah dan baik di pertahanan"
"6.","I’m a Happyman","4","2025-12-17","5","Pengalaman menginap di sini sangat memuaskan karna pelayanan dari semua staf nya yang sangat baik jadi membuat saya sebagai tamu merasa nyaman dan ingin kembali lagi menginap di sini terutama pelayanan dari pihak staf mbk Desy sangat memuskan terimakasih sukses terus kedepan nya"
"7.","DAP","352","2025-12-01","5","ac dingin, kamar bersih, kamar mandi bersih, wifi kencang, gak berisik, jalanan gak berisik, tidak ada smartTV, tidak ada uang deposit, check-in bisa masuk pukul 13.00, dapat free parking untuk 1 unit kendaraan saja, terdapat banyak ruang meeting. banyak colokan kabel, ada windows shade tebal. ada mesin vending minuman-makanan ringan di lobi. ada sandal kamar dan safety box. bantal besar dan tebal. lokasi jauh dari store, minimarket, pedagang makanan. kelebihannya cuma dekat dari Bandara. ada telepon berdering di malam hari, pas diangkat terputus (mengerikan). tak ada hairdryer. lobi panas dan gerah. SARAN: perbaiki telepon di kamar dan tambahkan kipas angin di ceiling lobi karena terasa panas, gunakan pembayaran non-tunai untuk parkir"
"8.","ilham kautsar","3","2025-10-31","4","hotel ini bagus, hanya saja harus di perbarui sedikit agar terlihat lebih fresh. Untuk kamar : Kamar bagus, AC dingin! wifi kencang, tapi beberapa spot kamar ada yg harus nya di perbaiki agar enak dilihat, seperti bekas bocoran AC, kayu yang sudah mulai mengelupas, keramik yang mulai kopong/tidak rekat lagi. Untuk kamar mandi : air shower tidak deras tapi masih ok, drainase tidak mampet, hanya saja agak lama untuk menyerap air sehingga membuat genangan yg cukup penuh saat mandi. Untuk staf : ramah, cekatan, semua sangat membantu, saya telfon untuk meminta piring, mangkok, sendok, garpu dan juga segelas es batu, datang sangat cepat. Untuk area pool sangat bagus untuk hotel sekelas ini, pool terbagi menjadi 3 bagian, olympic pool, kids pool dan jacuzzi. lokasi strategis, dekat dengan bandara soetta dan stasiun tangerang. tetapi jauh dari minimarket."
"9.","Al Hafis","1","2025-12-17","5","Saya menginal di kamar 206 , Kamar nya bagus tidak ada kendala apapun nyaman bersih cuma agak clasic saja kamar nya alias lama kamar nya jadi agak clasic saja di lihat tapi tetap nyaman , makanan nya lumyan enak pelayanan dari pihak resto mbak Desy sangat baik dan memuaskan tetimakasih"
"10.","Kim puL","3","2025-12-17","5","Pengalaman kenginap di sini sangat memuskan ,kamar nya bisa buat tidur bagus , pelaynan dari mbk Desy sangat memuskan sekali di pertahan untuk kedepan nyab"
"11.","Riris Nurbintari","198","2025-12-24","5","Stafnya sangat membantu karena saya double order karena kendala jaringan. Memilih hotel ini karena tidak jauh dari Bandara dan ada fasilitas antar jemput di jam tertentu."
"12.","neXus`ᴘʀᴏ࿐","2","2025-12-01","5","pengalaman yang sangat luar biasa saya sangat senang ketika berada di dalam hotel ini, pelayanannya ramah + baik² makanannya juga enak-enak tentunya, kolamnya bersih bening dan juga airnya sangat sejuk buat mandi, baik pagi/malam, dan juga staf² baik² pelayanannya mantap abisss,"
"13.","adiwijaya ananda putra","1","2025-10-31","5","Pengalaman menginap di Kyriad Hotel secara keseluruhan cukup baik. Fasilitas dan suasananya lumayan oke, walau sebaiknya jangan berekspektasi terlalu tinggi. Namun, pelayanan dari Mbak Desy dan tim benar-benar luar biasa ramah dan sangat membantu. Semoga kualitas pelayanan seperti ini bisa terus dipertahankan. Terima kasih untuk pelayanannya"
"14.","Yuni Yuni","4","2025-12-03","1","Seumur hidup baru ada nemuin hotel resepsionisnya mukanya tanpa ekspresi boro2 Tya stlah cek in cuma dikasih kunci g di kasih tau jaln dimana arahnya mana Hotelnya tua jelek fasilitas g bgt G SESUAI HARGA CUKUP SEKALI dan jaaaaaaauh dr bandara"
"15.","Lia Indah lestari","1","2025-12-01","5","Kolam renang nya bagus hotel nya bagus banyak promo makanan nya keren , ada kopi harga 20k dan makanan 35k ,kolam renang nya bagus ,pelayanan nya sangat bagus dari semua staff , dari pihak resto mbk Desy sangat ramah dan baik terimakasih"
"16.","Muhammad Rizal","1","2025-10-31","5","Luar biasa! Pelayanan dari Mbak Desy saat sarapan di Kyriad Hotel Airport Jakarta saat pagi hari pantas diacungi jempol berkali-kali! Ia bukan hanya ramah dan sigap, senyum hangatnya benar-benar membuat kami jatuh cinta dan menjadi energi positif pertama yang kami dapatkan. Dari memastikan pesanan hingga membantu dengan detail kecil, ia bekerja dengan hati. Terima kasih, Mbak Desy, Anda telah memberi standar pelayanan terbaik!"
"17.","arie sp","489","2025-07-31","5","1. Hotelnya dari bandara cukup dekat hanya ±30menit 2. Lokasinya bersebelahan dengan apartment 3. Lantai kamar seperti sudah bergelombang. 4. Awalnya dikasih kamar 214 ternyata masih ada orangnya dan langsung ganti ke 216. 5. Menu sarapan cukup variatif 6. Ada kolam renang tapi belum ada area bermain anak² 7. Meskipun masuk apartemen parkiran tetap gratis"
"18.","Araz Jimmy","1","2025-10-31","1","Tanggal 6 -7 saya check in by traveloka kamar Deluxe queen 1 bed...kamar tidak sesuai foto..tak ada sofa kursi dan lantai keramik rusak..saya menempati hanya 4 jam dan pindah hotel"
"19.","Rian Sastranegara","2","2025-12-01","5","Kamar nyaman pelayanan bagus baik, chek in cepat, makanan breakfast enak pelayanan dari mbk desy di restoran sangat baik dan ramah terimakasih"
"20.","Kafi Kun","26","2025-10-31","5","Kamar nya ok cuma keran air nya lambat jadi agak mengganggu untuk pelayanannya di resto bagus dari mbk desy dan mbk anggi bagus di tingkat kan lagi kedepan nya Dari kamar 505"
"21.","Wahyudin Wahyu","9","2025-12-10","5","Mengantarkan ka Shella tadi semoga bsk sampai tujuan yaa... Ke Banjar masim, maaf ya blm sempat kenal tady ya ka Shella☺️🙏🏻, …"
