"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Jennifer Calida","2","2025-12-23","1","Air panas gak ada. Alesan cuma hotel sedang penuh. Buat mandi aja nunggu 1.5 jam lebih cuma buat benerin air panas. Gak ada kejelasan sama sekali. Telpon resepsionis sampe 3 kali cuma buat konfirmasi kapan ada air panas. Kalo lagi high season mending jangan ke sini deh. Mereka kayaknya gak siap kalo kondisi full capacity. Parah bgt Karyawannya juga sangat tidak sopan. Saya tanya sampai kapan harus tunggu kepastian air panasnya ready, dan tanya juga apa iya harus tunggu sampe jam 12 malem hanya untuk mandi, malah dijawab silahkan tunggu sampai jam 12 ya bu kalau begitu Customer udah nunggu dari setengah 10 malem sampe jam 11 malem tidak ada kepastian, tidak satu kalipun pihak hotel yang telpon kita balik, malah harus nunggu lagi sampe jam 12 malam tanpa solusi? Hotel macam apa yang servicenya begini? Sangat sangat tidak recommend!!!!"
"2.","Emanuelle Natasha","148","2025-12-23","4","petugas hotel cukup ramah dan helpful, terutama bagian concierge / valet parking nya nginap semalam, check out di hari selasa biasa sempat request late check out di jam 12.30, namun diberi sampai 12.15 saja karena alasan full book akses ke hotel harus masuk dari lajur paling kiri ring road. kalo kelewatan, bisa muter lewat gang kecil di belakang hotelnya tidak ada laundry bag dalam kamar. malah ada timbangan badan😁"
"3.","ari kusuma yudha","29","2025-12-06","5","Menginap di Lafayette Boutique Hotel benar-benar pengalaman yang berkesan. Suasananya tenang, kamarnya nyaman, dan setiap sudut hotel terasa elegan. Stafnya sangat sopan dan sigap membantu. Suka banget sama pemandangan dari rooftop pool-nya, romantis banget di malam hari. Pasti bakal balik lagi kalau ke Jogja!"
"4.","Kristanto 0910","19","2025-11-06","2","Saya menginap dari tanggal 5 s/d 10 Oktober 2025, sebenarnya secara bangunan dan fasilitas bagus sekali gaya Eropa. Tapi pelayanan perlu ditingkatkan keramahan dan kesopanan, dan juga kecepatan. Ada 1 hal yang saya garis bawahi yaitu breakfast di lantai SF. Di dekat tombol lift jelas sekali No Smoking dengan lambang rokok dicoret. Tapi baru rokoknya luar biasa bahkan sampai tercium di area kolam renang yang notabene terbuka. Untung saya tidak ambil include dengan breakfast, karena waktu saya ambil welcome drink sesak sekali nafas karena asap rokok. Mohon dipertimbangkan lagi untuk kesehatan tamu, kan tidak semuanya perokok. Jadi kesannya ruangan yang tidak terlalu besar, jadi pengap. Demikian, terima kasih."
"5.","Davis Yonathan","106","2025-12-06","5","Bagus banget. Staff juga melayani sangat baik, makanan disini juga enak. Dari segi harga sangat worth it dengan kualitas yang diberikan, meskipun di hari2 tertentu harga naik, tetep worth it kok. Cuman gym aja sih yang aga kecil, tp ini case by case aja, ada orang yang suka gym kaya saya, jadi butuh space. Terima kasih atas servicenya yang sangat baik. 😊🙏🏻"
"6.","Galuh Sari","15","2025-12-06","5","Bener bener kaget tiba-tiba dijemput dikasih surprise birthday kesini. Tempatnya bener2 romantis buat dinner. Selain nyaman, makanannya enak kita juga bisa ngobrol santai sambil nikmat in city light ringroad? Makin romantis bukan? Wkwk. Kalian wajib coba sih dinner disini bareng pasangan. Huhuuu jujur ini momen terindah selama tinggal dijogja. Terima kasih sayangku, terima kasih lavayette 🥺🫶🏻🫶🏻"
"7.","alkana enterprise","165","2025-11-06","5","lokasi lumayan strategis. kamar dan toilet bersih, kamarnya wangiiii banget. AC dingin. menginap 1 malam saat hari ulang tahun, berujung diberikan kartu ucapan dan kue ulang tahun juga. welcome drink diberikan di restoran, bisa diambil sampai malam hari. kolam renang bersih, disediakan handuk, ruang bilas jg bersih. sarapan pagi menu nya sedikit, resto nya juga kecil. saat chekout, ternyata ada barang kami yang tertinggal dikamar. pihak hotel langsung menghubungi via WA dan akhirnya barang bisa kami ambil kembali. terimakasih ya Lafayette"
"8.","Ch Junior","5","2025-12-06","1","Today, cekin dikasih kamar lt 4. Pas naik ke kamar, kondisi kamar tidak di kunci, seperti tidak ready. Laci laci kebuka satu satu berantakan. Kaya habis digeledah kamarnya. Kamar belum ready, kok bisa dikasih ke tamu ?"
"9.","Arif Widiyanto","5","2025-11-06","1","Mohon maaf, untuk kamar dan layanan saya anggap sangat bagus. Minusnya dari hotel ini adalah lahan parkir sempit serta security yang mengarahkan untuk parkir terlalu memaksa memenuhi deretan parkir yg belum terisi mobil padahal sisi lain parkiran masih kosong banget. Next kedepannya jangan terlalu memaksakan pengunjung untuk parkir memenuhi kuota kecuali memang tidak ada pilihan tempat parkir lain. Jujur kecewa dengan peristiwa yang menimpa saya & keluarga."
"10.","Noviana Syahidatin","8","2025-12-06","5","Salah satu hotel terbaik di Yogyakarta • pelayanan cepat dan ramah • Fasilitas memuaskan dan sangat nyaman • dapat voucher welcome drink dan free snack di kamar, di sore hari dapat free kue • lokasi strategis di ring road utara jogja"
"11.","Upit upit","46","2025-10-06","5","Best hotel banget buat budget segitu. Kamarnya luas, bagus, cantik, bersih, ada bathtub, air panas mantap, kolam renang, service juga bagus, friendly & helpful staffs, lokasi juga oke deket mau kemana2. Already had my second stay here. Definitely and an easy first list kalo mau nginep di jogja."
"12.","jenita rusli","8","2025-12-06","5","Suka banget sama hotel ini, bikin kangen utk balik menginap disini, dekornya bagus, kamarnya mewah, setiap sudut memberi kesan romantis, makanan di resto juga ok"
