"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","nunung nurhayati","4","2025-12-26","5","Worth it banget sih kalo menurut saya, pertama hotelnya bersih, pelayanan ramah, makanan lumayan enak, serunya lagi terkoneksi dengan mall, yaa meskipun agak sepi mall nya tapi foodcourt nya cukup bersahabat di lidahku yg dari Jakarta, dan yang paling saya suka hotelnya dekat Masjid, hmmm kebetulan kamar saya bersebrangan dengan Masjid dan setiap masuk waktu sholat pasti diingatkan dengan bacaan Alquran atau sholawatan, hmmm adeemmm bawaanya, jam 3 udah dibangunin sama murottal, recommended deh 👍👍👍"
"2.","Bagas Pamenang","1","2025-11-02","1","Barusan saya Cek in Parkir jauh di atas tidak sesuai penanda sampai harus tanya security 3x. Sampai di lobby saya yang pergi ke Surabaya untuk perjalanan dinas bawa Koper dan barang2 tidak ada Team hotel / security yang bantu bawa barang. Saya pesan Kamar Deluxe dengan single bad tapi d berikan yang Twin , mngkin karena pesannya lewat online jadi d kasih kamar yang jarang laku yaa. Saya minta kamar yang single bad ga dikasih sama pihak hotel dengan alasan smua kamar penuh , padahal dari tatapan mata aja keliatan kalau petugas receptionsnya bohong . Padahal mah kalau memang ada dan harus tambah budget sayapun gpp. Akhirnya dapat room twin yang saya harus pisah ranjang dengan istri. Intinya pelayanannya kurang Profesional dan not solution , mending Palm Park Hotel Review bulanan pegawai deh dan Breafing teamnya. Dan rajin2 pelajari undang2 perlindungan konsumen biar bisa lebih profesional dan menghargai Konsumen."
"3.","andie rilangi","205","2025-10-02","1","Plusnya kamar luas, itu saja Kamar super jorok! Yah jorok! Kamar mewah tapi jorok! Kecoa lalu lalang sampai masuk ke dalam gelas minum, super trauma gegara kecoa disini, ampun…. Petugas datang menyemprot baunya minta ampun kaya kita yg mau mati di dalam kamar sedang kecoanya masih berkeliaran Di resto pun kecoanya masih berkeliaran, malah kecoanya mondar mandir di atas meja roti, sadar diri wahai pemilik hotel, tutup dulu hotelnya sebelum selesai masalah kecoa nya, dines kesehatan harus cek hotel ini, bahaya sekali masalah hiegenis makanan dll, sayur dan buah pada gak seger… ampun dah…. Barusan ngereview hotel masih terbayang kejorokannya Jangan tanya bmn di kamar mandinya 🤮 Minus yg lainya yg gak kalah nyusahinnya, parkir mobil harus naik klo gak salah 7 lantai untuk nyampe lobi"
"4.","Rovallgio Lucky","405","2025-11-02","3","Pernah mengikuti acara di lokasi hotel ini,untuk parkiran gabung dengan Kaza Mall. Untuk hallnya ada dua ruangan yang cukup luas dengan sound cukup oke. Menu makanannya enak, namun sayang kebersihan lokasi kurang terjaga, dimana saat itu kecoa kecil berseliweran. Hal yang seharus tidak terjadi. Begitu pula kondisi lorong-lorong yang kurang terjaga kebersihannya. Seharusnya hotel ini punya potensi yang bagus asal bisa memperbaiki kebersihan. Agar kenyamanan pengunjung dapat lebih ditingkatkan."
"5.","Yogi Ananto","61","2025-11-02","5","Hotel termasuk baru (2019) jadi fasilitas masih bagus dan terawat Terintegrasi dengan mall kaza dan bioskop, dekat dengan pasar Noted : jangan lupa parkir diatas sendiri lt P3 dan kalau bawa mobil jangan lupa untuk minta stempel karcis parkir di resepsionis untuk parkir FREE tamu hotel"
"6.","Alfiya","42","2025-09-02","5","Parkir nya langsung gabung sama mall nya, turun dari hotel bisa atau langsung menghubung ke dalam mall nya, tempatnya luas, kamar mandi nya bersih, Aula besarr, cocok untuk acara wedding dan lain-lain, ada musholla nya juga👍👍👍"
"7.","Indah Hutasoit","19","2025-11-02","4","Lokasi nya cukup strategis. Kamar tidak terlalu sempit. Ada area dan space utk santai. Kids friendly"
"8.","allan gusdorofamokti","8","2025-12-27","1","Banyak kecoa dikamar dimana mana meskipun sdah pindah Kamar.. G akan stay dsini lagi😭😭😭"
"9.","Hanif Fadhil","1","2025-12-26","5","Bersih, Kamar sesuai Aplikasi, pelayanan sangat ramah dan menyenangkan"
"10.","erlyna sita","94","2025-12-02","5","Waktu itu ngikutin seminar Eljo .. hall nya luas .. pelayanan bagus .. makanannya lumayan .. snacknya byk .."
"11.","faradila faizah","40","2025-09-02","5","kamar luas, semua berfungsi dg baik. aula luas dan nyaman untuk acara kajian dan semacamnya"
"12.","dini muliani","1","2025-10-02","5","Pelayanan di resto dan makanan enak, dan saya sangat suka atas pelayanan mba Regina, sangat humble dan menyenangkan....."
"13.","adi wisnugraha","55","2025-10-02","4","Menggunakan Aulanya untuk pertemuan, cukup nyaman, resto nyaman toilet bersih. Berada di atas Kaza Mall"
"14.","Norehan Abdul Karim","2","2025-08-02","5","Semua nya bagus. Makanan nya enak,recommended sgt siapa nk stay kat hotel nie 😁..good service by regina friendly,"
"15.","Fransisca Nuning","171","2025-06-02","5","Ke sini dalam rangka workshop selama 3 hari 2 malam. Dapat kamar untuk berdua. Hotel letaknya strategis, keluar hotel bisa ke mall dan pasar. Tinggal jalan kaki aja. Awal masuk hotel agak heran sih kok resepsionisnya kecil...kayak bukan hotel, ternyata harus naik dulu... Ruangan untuk workshop juga nyaman, kondisi AC normal, ruang makan/ restoran besar, interior juga bagus"
"16.","Dewi Paramitha","33","2025-08-02","3","Hotelnya sebenernya bagus. Hanya saja sayang karna dibawah nya pasar tradisional jadi ada kecoa didalam kamar."
"17.","anasti sagita","52","2025-06-02","5","Pertama kali kesini bukan untuk menginap tp mengikuti daurah ustad Firanda. Hotelnya bagus, untuk desainnya keren Kalo kamarnya blm bs review karna bLm pernah masuk dan menikmati kamar. Ketika daurah kami berada di hall. Dengan jumlah peserta kurang lebih 2000 orang, fasilitas sangat bagus mulai dr toilet, tempat wudhu, dll"
"18.","Siti Nawangsih","50","2025-08-02","5","Ini Adoh hotel bintang 3 daerah sby timur yg recom mnrtu aku krna stafnya ramah” breakfastnya juga enak,blh deh kl kalian mau kesini"
