"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Khazanah Fadhilah N","419","2025-12-02","4","Hotel strategis di Dago dekat dengan ITB dan Sabuga. Dilengkapi kolam renang dan mini gym, baru bisa dipakai jam 6-6.30 katanya untuk kolam. Kamar twin bed style minimalis tapi serba ada, namun untuk TV hanya ada layanan Netflix Prime yang terafiliasi Israhell (tidak bisa diakses tanpa password admin). Lobby tapi jauh memutar ke belakang, searah dengan ruang makan. Makan hotel tidak bisa dibawa keluar katanya, tapi saya sendiri belum selesai habiskan yoghurt sudah diangkat duluan, padahal ada teman saya duduk di seberangnya bisa ditanya. Nasi goreng juga karena belum jadi maksudnya saya cancel, ternyata malah diantar seporsi di akhir sarapan. Jadilah dibekal karena sudah kenyang. Heran juga, rasanya hotel lain bisa-bisa saja dibawa makanan ke kamar/ keluar."
"2.","Priscilla Ariani","151","2025-10-02","4","HONEST REVIEW : 8/10 Hotel Patra Bandung letaknya di Jl Juanda, enak banget lokasinya pas di tengah, paling rame pas lg ada CFD aja tiap hari Minggu pagi buat kamarnya : bersih, ada 2 bantal, tp untuk water heate rga berfungsi dengan baik jd air ga panas at all, kalo ruangan lumayan kedap suara buat swimming pool : perlu ditingkatin lg kebersihannya krn di bawah pohon jd banyak daun jatuh2, tp viewnya okk buat breakfast: BEST banget! variatif dan nginep 2 hari ini breakfastnya beda sm hari kemarinnya p.s : kalo mau pakai hairdryer perlu call ke room service + handuk buat after swimming jg bisa minta di area pool + breakfast ada INDOMIEEEE"
"3.","Admin Elsa","33","2025-11-02","5","Tempat strategis, Hotelnya bersih, nyaman, AC nya dingin, dan pelayanan petugas paripurna. Ada kolam renang yang cocok untuk keluarga. Untuk sarapan makanan beragam untuk hotel bintang tiga dan enak semua. Malah ada mie instan plus telur bagi yang mau mencicipi indomie telur dimasak oleh chef. Rasanya mantap..."
"4.","Yoga Fauzi tohar","5","2025-10-02","5","Saya sangat puas dengan pengalaman menginap di Hotel Patraja Bandung. Lokasinya strategis, dekat dengan pusat kota namun tetap terasa tenang dan nyaman. Suasana hotel bersih, rapi, dan tertata dengan baik sehingga membuat istirahat jadi lebih menyenangkan. Kamar luas, tempat tidur nyaman, serta fasilitas lengkap mulai dari AC, TV, air panas, hingga akses Wi-Fi yang lancar. Kebersihannya juga sangat terjaga, membuat betah berlama-lama di dalam kamar. Pelayanan staf ramah dan responsif, selalu siap membantu dengan senyum. Proses check-in dan check-out juga cepat dan mudah. Sarapan yang disajikan cukup variatif, rasanya enak, dan cocok dengan selera keluarga. Kolam renang dan area hotel juga menyenangkan untuk bersantai. Cocok untuk liburan keluarga, perjalanan bisnis, maupun sekadar staycation singkat di Bandung."
"5.","Prida Pramudianti","7","2025-12-02","1","Saya mengantar pesanan shopeefood ke salah satu karyawan di hotel ini. Ketika pesanan tidak sesuai beliau menyalahkan saya. Dan memberi rating buruk terhadap saya. Sudah saya jelaskan itu kesalahan dari resto tapi beliau tidak memiliki etika yg baik. Semoga di pecat deh itu karyawan nya."
"6.","do pras","689","2025-12-02","5","Hotel nya nyaman, bersih, lokasinya ok banget, pelayanan nya ramah, kolam renang nya nyaman, besar, dan tidak bergabung dengan lokasi breakfast, sudah ada perlengkapan ibadah juga di kamar, dan harganya sangat affordable.."
"7.","Wita Hadhe","32","2025-10-02","5","Udah kesekian kalinya nginep di sini. Super love, kamar bersih, pelayanan sopan, makanan breakfast ataupun dinner suprB!! mereka beneran perhatiin rasa. Ngga asal-asalan. Pas weekend kmrn ada cfd, bisa lari pagi. Deket cafe two handsfull, kartika sari, wheels dkk. Super recomended 🩷🩷"
"8.","Naja Muddin","13","2025-12-02","5","Security nya atas nama mas Agung sangat ramah dan membantu sekali ketika diperlukan, Sales Hotel atas nama mba kelana sangat responsif ketika kami butuh informasi untuk pelaksanaan kegiatan di Patra Hotel Bandung. Mba Sofy dan mba Indah yg sedang training di F&B very humble."
"9.","Hari Anggono","542","2025-09-02","4","Good location, good services, not appealing room; datang lagi hanya jika gratis dibayar kompeni. (+) Lokasi strategis sekali, persis di depan mie Gacoan dan bisa langsung ikut CFD jika berminat; staff sangat helpful dan cekatan; sarapan sangat lengkap n enak u/ hotel bintang 3; suasana parking lot sangat teduh. (-) Desainer geblek, kok bisa-bisanya lobby hotel letaknya di belakang gedung; fasilitas n kualitas kamar tidur + kamar mandi jauh di bawah hotel sebelah yg selevel."
"10.","Sri Praptowati","69","2025-10-02","4","2malem berada di hotel ini ,semula gogle map menunjuk arah masuk lewat belakang sehingga pemandangan dibelakang tdk sesuai( seram dan sepi terkesan kumuh),kebetulan kami mendapat tugas ke ITB jd tdk terlalu jauh.. untung dibelakang ada pos satpam jd bisa ditanya... he he he. Harga lumayan mahal sih dibanding tempat lain yg setara."
