"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Rinie M","9","2025-12-19","5","Saya menginap di sini karna ada lamaran ponakan. Dan memilih hotel Patra karena nama besar Pertamina. Dan saya amazed siy melihat hotel dan pelayanannya. Interior sederhana tapi bersih dan rapih. Saya ambil tipe deluxe 1 bed, sangat bersih dan rapih. Cuma memang kamar mandinya kecil tapi tidak apa, saya memaklumi kondisinya. Lokasi strategis di jalan sutan syarif kasim dan hanya 2 km dari jalan sudirman. Untuk leisure dan staycation ok siy.. bisa olga rumning, walking atau sepedaan di sekitar hotel. Dekat dari kulineran legendaris bakso rahayu… definitely akan datang lagi dan sangat merekomendasikan ke temen2…"
"2.","Eliyus Wisnawaty","3","2025-11-02","5","Kamarnya bersih, ac nya dingin, sarapannya enakkk dan beragam. Nginep disini karena transit mau ke melaka, pas co nanya alamat pelabuhan eh malah dikasih tau ada service anter ke pelabuhan free dari hotel whaaaaa sangat terbantu sekali"
"3.","Syalwa Niroha","27","2025-12-26","5","salah satu hotel di dumai yang nyaman dan bersih untuk sarapan pagi nya enak-enak dan bervariasi pelayanan nya juga ramah dan cepat!"
"4.","ghazian luthfi","11","2025-09-02","5","Pengalaman menginap yang pertama kali berlibur dengan keluarga, kondisi kamar yang bersih serta terawat, kasur dan bantal yang empuk seperti hotel bintang 4-5, menu pilihan sarapan yang cukup lengkap bagi hotel bintang 3 dimana ada beberapa stall live cooking. Cukup rekomendasi sebagai pilihan hotel di Dumai. Selain itu reservasi bisa dilakukan by phone berhubung harga langsung lebih murah dibanding applikasi online."
"5.","Santy Angelica","1","2025-12-02","5","Bentuk hotel nya sangat bagus dan elegan, pelayanan nya sangat baik dan ramah, dan memiliki fasilitas kamar yang bagus dan elegan, cocok untuk tempat liburan bersama keluarga"
"6.","Kanaya Nativa","1","2025-12-02","5","di hotel dumai patra ini,sangatt baguss dan fasilitass nyaa cukupp lengkap,dann nyaman bangett di sinii, sangattt bersihhh bangettt, Dann makanan nyaa enakk bangettt."
"7.","Hilal Bakhtiar","61","2025-11-02","1","Menu breakfast cuma 1 lauk ayam doang atau udang doang, nasi putih keras, bubur pernah 2 hari gak di topup. Jauh dari rumah makan atau supermarket. 7 malam yang sangat fak di dumai, diseberang refinery habis meledak pula. Kalau 1 malam 200rb gpp sih"
"8.","Anggi Anggraini","1","2025-12-02","5","hari ini sedang di ajakannya tabel maner di hotel patra, pelayanannya luar biasa sekali dan makanannya sangat enak, saya suka steak ayamnya bintang 5"
"9.","Syarifah Annisa A","3","2025-12-02","5","tempatnya cukup bagus dan nyaman, pelayanan nya juga sangat oke, fasilitas nya juga banyak dari sky lounge, kolam renang, tempat gym, restoran dan tempat rabbit"
"10.","Try Nova yanti","1","2025-12-02","4","jujur pengalaman ke hotel patra ini sangat bagus sekali, pemandangan yg baguss, lingkungan nya juga asri, pelayanan nya juga sangat baik"
"11.","Fiqa Noor","29","2025-12-02","5","Hotel yg sangat nyaman buat dipilih kalo ke dumai, hospitality nya top bangett, staf nya sangat helpful banget dan ramah, jasa antar ke pelabuhan nya sangat membantu"
