"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Muhammad Irfan Hilmi","2","2025-11-07","5","Sangat baik dalam pelayanan nya, tapi masih ada kekurangan nya, yaitu pintu kamar mandi tidak bisa dikunci"
"2.","andani danu","40","2025-09-07","5","Saya gak nginap. Cuma berkunjung saja. Kata adek saya makanannya enak bgt"
"3.","M. ANDRES SAPUTRA","1","2025-11-07","5","-makanan enak enak -snack bervariasi -kebersihan kamar sangat baik"
"4.","Abdullah Alfarras","3","2025-11-07","5","Tempatnya nyaman, petugasnya ramah, dan lokasi gampang untuk akses kemana-mana"
"5.","Supriyatna","228","2025-12-07","5","Tempat menarik.... Jajanan,, ATM mandiri .rumah sakit . Dekat dengan transmart"
"6.","NBA 2013","875","2025-01-07","4","Hotel ini dari jalan penampakannya sekilas tidak terlalu besar dan tidak terlalu tinggi dibanding gedung-gedung lain di sekitarnya. Hanya terdiri dari 5 atau 6 lantai saja. Meskipun tidak besar dan tidak tinggi, tetapi fasilitas di hotel ini sangat lengkap. Hotel ini termasuk kelas bintang 3. Tetapi fasilitasnya setara dengan bintang 4. Kamar tamunya cukup luas. Luas kamarnya setara dengan kamar hotel bintang 4. Kamarnya cukup bersih dan terawat dengan baik. Hotel ini sering menjadi tempat diklat atau workshop, atau seminar, atau rapat para karyawan Pertamina dan berbagai anak perusahaan Pertamina. Karena hotel ini memang merupakan salah satu anak perusahaan PT Pertamina (Persero). Tetapi banyak juga tamu-tamu umum dan rombongan wisatawan menginap di hotel ini. Hotel ini memiliki beberapa ruang pertemuan, dan salah satunya cukup besar ruangannya. Selain itu juga punya kolam renang yang cukup besar dan bagus bentuknya. Juga ada restoran yang bagus dan luas di samping kolam renang. Di samping lobi hotel juga ads cafe yang tidak terlalu luas tapi cukup nyaman. Fasilitas lain yang jarang atau tidak tersedia di hotel-hotel bintang 4, tetapi dimiliki oleh hotel ini adalah, lapangan tenis outdoor dan kantor cabang salah satu bank. Selain itu hotel ini punya fasilitas ruang fitness."
"7.","Faathir ahsan","1","2025-11-07","5","Pelayanan mantap. Dijamin ramah Fix bintang 5 asli no tipu tipu 👍"
"8.","Eka Fajrin Fahrezy 53_02","3","2025-11-07","5","Staffnya baik dan ramah. Makanannya enak bikin nagih 👍"
"9.","Harum Budi","1","2025-01-07","1","Mengecewakan sekali. Buffet breakfast diubah menjadi room service karena pengunjungnya sepi. Kolam renang sedang dimaintenance. Channel TV sedikit, tidak seperti di keterangan daftar channel di meja, mungkin karena pengiritan juga. Tidak bisa beraktivitas apa-apa selama menginap di sini. Kemungkinan hotel tidak bisa bersaing, makanya sepi. Menyesal menginap di sini."
"10.","Daud Daffa Harkansas","3","2025-11-07","5","Tempat bersih, pelayanan baik, staff ramah"
