"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","iie tri","3","2025-12-01","2","“Dengan harga yang saya bayarkan, fasilitas yang diberikan hotel ini kurang sebanding. Jika dibandingkan dengan hotel lain dengan harga yang sama, pelayanan dan kenyamanannya masih kurang,kamar sempit ,slot pintu kamar rusak ,berisik sekali krn tidak kedap suara,sampai jam 1 malam tidak bs tidur karena kamar sebelah ngobrol ramai sekali,kolam renang tidak bs digunakan krn kotor ,tanaman sekitar kolam tidak terawat ( kering ) ,ini kunjungan pertama dan terakhir"
"2.","Andri Mulyana","3","2025-10-31","2","2x nginep disini dua2nya berisik bgt tamu lain teriak2 di kamar maupun luar kamar sampe pagi, entah kenapa pihak hotel gaada yg tegur padahal mereka kamarnya dekat resepsionis"
"3.","Reina Aurelia Putri","4","2025-07-31","5","kemarin abis nginap disini ambil kamar executive king bedroom. pas masuk kamarnya ternyata puass banget, kasurnya bersih, wangi, rapih, kamar mandi nya juga bersih. kulkasnya dingin, ac nya dingin, water heater oke, hair dryernya juga bisa dipakai. handuk yang dikasih pun bersih dan wangi. apalagi pelayanan nya juga oke bangett, pegawai nya ramah dan helpful. tapi menurut saya parkiran untuk motor kurang dan kolam renang juga kurang bersih. tapi gapapa, overall saya yang lagi staycation merasa sangat terbantu oleh service di hotel ini. terima kasih banyak the silk at Dago👏🏻💓"
"4.","Thai Kotok","8","2025-07-31","4","Saya sudah menginap di The Silk Bandung sejak sekitar tahun 2017. Hotel ini dulunya menjadi pilihan utama setiap kali ke Bandung karena lokasi yang strategis dan suasana yang nyaman. Namun, dalam dua kunjungan terakhir, kualitasnya sangat menurun dan cukup mengecewakan. Kamar terasa pengap dan kurang terawat. Kasur terlalu landai sehingga tidur tidak nyaman. Sprei dan handuk terlihat kusam, dan baunya pun tidak sedap — seperti belum benar-benar kering, sehingga tercium campuran aroma parfum laundry dan bau apek. Yang paling mengganggu, saya dan keluarga mengalami gatal-gatal serta bentol-bentol setelah tidur. Kemungkinan besar berasal dari kondisi kasur yang kurang higienis. Sebagai tamu yang sudah cukup lama loyal, saya sangat menyayangkan hal ini. The Silk sebenarnya punya potensi besar, tapi tanpa perawatan yang baik, kenyamanan tamu jelas akan menurun. Semoga ada perbaikan segera dari pihak manajemen agar pengalaman menginap bisa kembali menyenangkan seperti dulu."
"5.","Rachie Lychee","45","2025-07-01","1","Saran yg perlu management lakuin 1. Room : - masing2 kamar perlu deep cleaning yg mendetail di setiap sudutnya secara berkala - perlu ditambal nat di kamar mandi, ada cacing nongol sela2 nat 😭 - backsplash wastafel plis dibersiin juga, item bgt 😭 - seluruh drainase perlu dibersihkan (mampet) - matress dan Bedding set kalian sih perlu di kumpulin semua disatu tempat terus di bom nuklir karena ADA KUTU KASUR 😭😭😭 - deep cleaning gordennya 🙏🏻 2. Kalau dibuat more kids friendly pasti lebih oke, misal ada perosotan anak gt 3. Pasang net di atas dinding dekat pool, brp kali anak2 sebelah main bola, bolanya masuk pool pas kita lagi berenang 😂 kan kita gatau ya tu bola bersih apa ngga 😭 4. Sy pikir kmrn ada restaurant. Abis berenang anak sy laper tapi pas ke lantai 3 kosong 😭 Kalau consider buat restaurant plis bikin menu yg kids friendly dan bergizi adekuat. Sy liat potensi hotel ini harusnya bisa jadi lebih mahal karena lokasi sangat strategis dan juga hotelnya super homey. Kalau 1 point paling atas sudah diperbaiki sy sangat dengan senang hati nginep lagi disini 💕"
"6.","Natalia Sn","10","2025-07-01","2","Kemarin stay di Silk Hotel ini Sabtu - Minggu, karena ada kawinan di daerah dago atas, jadi nyari yg deket lokasi tujuan dan yang aman di kantong. Walo ini hotel bintang 3, dg harga 450rb di wiken, dan plus kondisi hotel nya, kok jadi merasa overpriced. Harga itu tanpa breakfast (karena resto mrk lagi kosong), kondisi kamar kecil and lembab, kotor dan gelap. Kamar mandi dg air hangat (bukan panas) sebentar, handuk berwarna coklat muda. Kasur nya king (sambungan 2 kasur😢). Aku tertipu oleh foto di online nya yg mungkin itu foto saat masih baru ya. Nginep disini bener bener ketolong krn dekat lokasi tujuan dan untungnya pegawai/service ok jadi masih bisa tarik nafas panjang. Intinya Ga akan nginep disitu lagi pokoknya. Kalo belum di perbaharui. Tolong ya management hotel/owner, hotel nya di rapihkan donk biar sesuai dg gambar yang ditawarkan🙏🏻trimakasih."
"7.","Lukman NurHakim","2","2025-07-31","5","Hotelnya rekomen banget,betah ngeninap di hotel ini punya view bagus taman sama kolam dan karyawan nya sangat ramah"
"8.","Hafidh","535","2025-12-01","5","Kamar kurang kedap, suara dari luar terdengar jelas dari dalam, tapi lokasi strategis dan adem"
"9.","Wreko Mikoko","67","2025-05-01","3","Saya bingung dg hotel ini. Resepsionis, satpam, housekeeping ramah dan bekerja dg baik. Lokasi strategis. Saya pesan kamar dg harga 575rb di weekend. Ekspektasi saya cukup tinggi, mungkin setara dg hotel viral Bandung dg harga yg sama. Tapi ternyata hotel sangat tidak terawat. Komplain yg saya keluhkan sama dengan pengunjung lain yg sudah lama mengeluhkan hal sama. Berikut keluhan saya: - Lampu kamar remang2 yg bikin mata sakit kalau melihat layar HP - Handuk yg sudah kusam, bahkan warnanya hampir sama seperti keset kaki - Plafon banyak bercak2 seperti genangan air yang akan bocor - Pintu yg berisik bunyi token listrik yg mengganggu. Kata resepsionis, kurang rapat menutup pintu Mohon pihak manajemen bisa berbenah. Komplainan ini adalah hal yg bisa diperbaiki."
"10.","Alfreds Family","220","2025-05-01","3","Sepertinya manajemen hotel perlu diperbaiki lagi, terutama fasilitas di kamar. Lampu kamar terlalu remang², agak sulit untuk wanita jika dandan. Kamar tidak kedap suara,jadi obrolan & suara² berisik masuk ke kamar, apalagi pas tamu kemarin teriak² depan kamar, mau liburan bangun siang jadi susah. Atas plafon tempat tidur sptnya ada bekas bocor & tidak diperbaiki, hanya ditutup lakban saja, blm lagi tamu bebas merokok & bau rokok masuk sampai dlm kamar. Tambahan lagi bunyi seperti token listrik yg terus-menerus & lumayan mengganggu. Posisi hotel sebetulnya strategis, hanya parkir agak susah, untungnya kami disediakan satpam parkir depan bekas outlet kosong Sebaiknya kamar² lbh diperhatikan lagi fasilitasnya,.kami dpt kamar di typo 2"
