"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Fich29","15","2025-12-19","5","Baru pertama kali dapat kamar hotel yg menyediakan ear plug. Ternyata memang wajib dipake bagi yg punya masalah susah tidur . Lokasi hotel memang dipinggir jalan , tapi ga nyangka suara dari jalan bisa terdengar sampai kamar ( malam hari ). Overall tetap bisa jadi pilihan hotel untuk menginap di Semarang ya, karena dekat dari Simpang Lima."
"2.","Anastasia Aulia","30","2025-12-02","3","Gabisa tidur semaleman dari jam 21.30 di malam sabtu sebab bising suara balap motor kedengeran jelas sampe kamar 605 & the management offer no solution. Bisa refund ga sih jni? hotel gunanya buat istirahat tp gabisa istirahat sama sekali. rugi banget mau healing & get some proper rest tapi experiencenya malah zonkkkkkk. buat yg jadwal padet & nyari efisien waktu weekend, sangat ga recommend untuk ke sini krn waktu istirahat lu bakal keganggu. Update: the team did move me to a higher floor the next day after I complained which I really appreciate. Their service is super friendly & the room’s actually pretty tidy, so it sucks that the soundproofing from outside noise is such a letdown. Really hope u guys can fix this soon, coz the stay could’ve been perfect if not for the noise."
"3.","Flora Putri rachmawati","2","2025-12-26","5","Pengalaman disini sangat menyenangkan, pelayanan ramah dan friendly , Harga juga oke. Tempatnya nyaman dan bersih cocok untuk wfh , acara atau yang lainnya sangat rekomen ga kalah juga makanannya juga yummy!🤗🤗"
"4.","Fellipe Hartono","13","2025-12-02","1","Kamarnya gila suara dr luar masuk banget. Brisik parah apalagi klo pas ada balap motor. G bakal bsa tidur. Kamarnya ga kedap anti suara. Suara lalu lintas, motor dll kedengeran semua. Pihak hotel cuma nawarin earbuds tp saya ga bisa dan ga nyaman pakai earbuds. Jadi yasudahlah gimana lagi. Sepertinya cukup 1x saja. Sangat disayangkan dari awal pembangunan tidak dirancang sedemikian rupa…sangat merugikan pengunjung. Hotel tempat beristirahat jadi keganggu2 tidurnya…"
"5.","Danendra Pratama","2","2025-10-02","5","Saya sangat merekomendasikan Up Peak Hotel bagi siapa saja yang mencari pengalaman menginap yang nyaman, modern, dan berkesan di Kota Semarang. Dari awal check-in hingga check-out, pelayanan yang diberikan sungguh luar biasa! Kamar: Kamar yang saya tempati sangat bersih, luas, dan didesain dengan gaya modern minimalis yang elegan. Tempat tidurnya empuk dan nyaman, pencahayaan kamar juga sangat pas—baik untuk istirahat maupun bekerja. AC dingin, air panas berfungsi dengan baik, dan koneksi Wi-Fi sangat stabil. Pelayanan Staf: Staf hotel sangat ramah, profesional, dan sigap membantu. Proses check-in cepat dan efisien. Saya juga sempat meminta bantuan untuk beberapa kebutuhan tambahan, dan semuanya ditangani dengan cepat tanpa ribet. Fasilitas & Sarapan: Fasilitas hotel sangat lengkap. Area lobi nyaman, ada restoran dengan menu yang bervariasi dan lezat, serta suasana yang tenang dan bersih. Sarapan pagi juga memuaskan—menunya beragam, dari makanan lokal hingga internasional, semuanya disajikan segar dan hangat. Lokasi Strategis: Terletak di pusat kota Semarang, sangat dekat ke berbagai tempat kuliner, pusat perbelanjaan, dan destinasi wisata seperti Lawang Sewu dan Kota Lama. Lokasinya membuat saya mudah berkeliling kota tanpa harus menempuh jarak jauh. Kesimpulan: Menginap di Up Peak Hotel benar-benar pengalaman yang menyenangkan. Cocok untuk liburan keluarga, perjalanan bisnis, maupun solo traveler. Saya pasti akan kembali lagi jika berkunjung ke Semarang."
"6.","Dwi Murtini","2","2025-10-02","4","Overall oke, kamarnya bagus dan bersih, staffnya ramah2 dan sangat responsif, lokasinya juga strategis bgt karena dekat dengan simpang lima. Tapi kekurangan nya yaitu suara bising diluar yang sangat sangat mengganggu. Saya menginap dua hari disini dan setiap malam tidak bisa tidur gara2 suara bising yg berlebihan. Diatas jam 2 malam pasti banyak aktivitas motor dengan knalpot brong yg di geber2. Luar biasa sekali suaranya 😭😭😭."
"7.","Selomita Bintang Putri Aningrum","5","2025-12-26","5","hotelnya nyaman bgt dan makanan nya juga enak enak serta pelayanan ramah rekomended buat yg cari hotel, mau nugas, sama mau makan” ajaa enak bgt💗"
"8.","Pantar Purnawan","369","2025-11-02","5","Wah ini hotel minimalis yang oke banget. Strategis, tempatnya bersih, pelayanan staf ramah, kalau sarapan, restonya posisi hadap jalan, jadi berasa sarapan di tengah kota. Nah kelemahannya kekedapan kamarnya sedikit kurang, jadi suara mobil kedengaran dikit ke kamar, bagi yang tipe tidur sangat hening bisa jadi gangguan. Tapi overall sih oke ya..."
"9.","Baphomet Lilith","87","2025-12-02","3","ac hembusan angin kurang kenceng entah apa ini inverter merk yg ini begini jd berasa kurang nendang ademnya dan parkiran mobil klo full agak repot jg jdnyaaa oiya kamar mandi kurang kedap suara orang sebelah bersenandung tembus ya kita sahut2an bernyanyi pas berak jdnyaaa"
"10.","Rani Sri Wahyuni","3","2025-10-02","3","Sebenarnya untuk sekelas hotel bintang 3, menurut ku oke yaa. Sevice OK, lokasi strategis, menu sarapan juga OK. Kurangnya cuma minim lahan parkir, sistem parkirnya pakai valley (jadi agak enggak bebas untuk keluar masuk karena ribet minta kunci), dan paling mengganggu adalah berisik suara kendaraan motor (berisiknya tuh yang berisik banget, berisiknya tuh kayak kalian lagi ada di arena balap). Ini posisi gue stay di room lantai 6 yaa. Mungkin kalau dapat lantai 7/8 enggak terlalu kedengeran. Pake earbuds enggak ngefek soalnya."
"11.","anisa ramadhani","22","2025-11-02","3","Design hotel modern minimalis bagus banget. Akses privasi tamu juga oke, setiap lantai perlu akses di lift. Rate room good deals banget untuk lokasi nya yang ada di tengah kota. Tapi parkiran nya sempit dan harus dibantu valley."
"12.","Erria Dilasetiara","2","2025-09-02","5","Terimakasih banyak telah jadi bagian dari anniversary kami. Terasa di spesial kan karena pelayanan jempol, room bersih, makanannya enak. Terimakasih untuk kejutan kecil dan complimentary cake untuk kita. Kami bahagia dan sangat amat menyenangkan Semoga Up Peak Hotel semakin besar lagi"
"13.","Janche Christ","181","2025-12-02","5","Kamar bagus, bersih, modern style, nyaman, yg OK banget lokasinya deket banget sama simpang lima, terutama menu sarapan pagi nya juga bervariasi dan tergolong lengkap"
"14.","Sugesti Manua","4","2025-11-02","5","Saya dari hipkabi menginap 2 hari untuk kamar nyaman makanan sudah baik dan di bantu mas Pras petugas meetingnya ramah. Cuma Parkir kurang luas"
"15.","Albertus Kendrick Hirano","13","2025-11-02","5","Salah satu hotel bintang 3 terbaik versiku. Kamarnya bersih, nyaman, toiletriesnya lengkap. Breakfast enak pol sesuai sama bintang 3. Lokasi strategis deket simpang lima dan dkt wisata. Gak worry kalo stay disini. 🤩🤩🤩"
