"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Ricca Rahmasari","34","2025-12-16","5","Hotel akses langsung ke pantai. Anak-anak happy bisa main ombak di tepi pantai. Kamar tipe : deluxe suite beach view King bed, kamar menghadap langsung ke pantai, living room, kamar mandi ada bathub. Ada sewa atv di area pantai. Breakfast menunya lumayan lengkap. Komplen ditangani dengan cepat. Mantap pelayanannya. Recommended"
"2.","Hana Mutiara","3","2025-11-30","5","Been here today, makanannya variasi dan ada kids sectionnya juga. Viewnya langsung ke pantai, staffnya ramah, overall the services are good but kekurangannya ada di admin hotel yang slow respon pada saat coba ingin reservasi via whatsapp dan kurangnya penjelasan secara mendetail mengenai yang ditanyakan. And the last, i hope it's just my feeling that the girls staff have noticed me for too long from main entrance, i don't know what's the reason. But that's not a big deal, ALL THE SERVICES ARE GOOD & THE STAFFS ARE FRIENDLY. Very satisfied and will be back here again next time! Thanks, what an experience :)"
"3.","Maggie Nuansa","65","2025-09-30","4","Udah dua kali nginep di sini meski hotel tua tapi cukup terawat. Tahun lalu nyaman, puas. Memang ada beberapa masalah minor seperti ada tai cicak di balkon, handle pintu balkon seret, air kurang hangat sampai harus minta respsionis naikin derajatnya. Namun apapun yg dikeluhkan sejauh ini selalu ditangani. + sarapan ada jamu dan makanan tradisionalnya enak + view bagus + kamar luas dan fungsional Tapi kemarin merasa kurang nyaman krn musik dari cafe terdengar sampai dalam kamar, hampir seharian. Paling kenceng pas Live Music malam Minggu, itu jam 22:12 baru kelar. Padahal jam tidur anak2 kan jam 9an ya. Terus pagi2 jam8 udah jedak-jeduk lagi. Akhirnya saya telepon resepsionis untuk complaint. Alhamdulillah beberapa saat kemudian volume musik dikecilkan hingga saya bisa lanjut istirahat di kamar. Kepada manajemen GISBH, mohon kiranya dievaluasi lagi terkait speaker musik ini. Konsep hotel kan hotel keluarga semi resort, ya di mana tamu yang datang ingin menikmati alam, suara burung, suara ombak, suara monyet berantem. Mohon dipertimbangkan untuk meminimalisisasi volume musik buatan agar tamu di kamar tidak terganggu dan masih isa mendengar debur ombak. Terima kasih, sukses selalu."
"4.","Hadeta Premiesyani","34","2025-09-30","4","Jam 4 sore kamar masih dibersihkan, ac netes, kamar mandi lobby kotor terlihat tissue berserakan belum dibersihkan, apa karena keterbatasan staf ya. Untuk kamar view memang sangat cantik. Karena lokasi dekat pantai alangkah baiknya bila ditambahkan menu seafood di resto/room service"
"5.","boy ferry","532","2025-12-16","4","Hotel lama yang masih bagus dan view nya cakep..... View kamar semua menghadap laut.... Hotelnya luas....."
"6.","Sany","1","2025-10-30","3","Pesan kamar via Agoda, tetapi fasilitas yang di dapat tidak sesuai dengan yang ada di tiket. Hair dryer & Shower di kamar rusak, sampai harus komplain dulu, pada hal sebaiknya sebelum tamu masuk sudah harus di cek dulu Untungnya pemandangan hotel bagus, jadi bisa hilangin Bad mood"
"7.","Dian Herdiana","148","2025-11-30","5","Hotel terbaik di Pelabuhanratu. Berdiri sejak tahun 1966 namun masih terawat dengan baik. Pemandangan pantai yang indah, cocok untuk melepas penat."
"8.","febriani wahyu_","47","2025-07-30","5","mau ngucapin makasih yaa grand inna samudra beach .. Pertama saya request compliment cake birthday di penuhi dong padahal mintanya lewat dm ig aja. Tapi adminnya ramah banget dan perhatian.. Kedua saat saya pesan di aplikasi , minta kamar di lantai atas dan posisi ditengah. Dan itu pun di penuhi.. sumpah baik banget deh . Seneng banget bener2 dengerin permintaan tamu 🥹❤️ Kamarnya bersih, wangi , handuk dan compliment lainnya tersedia. Emang dari luar bangunan terlihat tua ya tapi pas ke dalem bersih dan modern . Checkin juga ga ribet cepet banget.Checkout nya juga sama … Pada saat sarapan makanannya enak2… suka banget sama pastry nya juga enak2.. Dan view dari kamarnya itu bagus banget.. Pantainya juga enak deket banget sama hotel .. duh pengen balik lagi deh"
"9.","Wisnu Triyanto","1","2025-11-30","5","Bagus tempat ya apalgi view ya laut ya dri hotel bagus bgt..tempat sejarah kalau kalian pengen apa disitu ada tapi niat kalian..selamat mencoba"
"10.","Umar Yadi","16","2025-08-30","5","Pengalaman yang luar biasa dengan pelayanan dan fasilitas yang terbaik yang dimiliki oleh Hotel tersebut. Insyaallah kami akan kembali ketempat ini dilain waktu dan kesempatan, karena pengalaman kami sekeluarga mengginap disini cukup memuaskan dari segala aspek"
