"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Hendra Ardi Kurniawan","165","2025-12-01","5","I’ve stayed at Hotel Grandhika Blok M several times during business trips, and it has always been a pleasant experience. The hotel offers a comfortable and relaxing atmosphere, perfect for resting after a full day of meetings. The location is very strategic, just a short walk from Blok M area where you can easily find plenty of food options, cafes, and convenience stores. The breakfast is quite varied, serving both local and international selections. You can find a range of dishes from rice and main courses to bread, salad, and even a small noodle station that serves instant noodles🤤 The staff, both at the front office and housekeeping, are consistently polite and helpful. Their hospitality makes the stay even more enjoyable. Overall, Hotel Grandhika Blok M is a solid choice for short business trips. The combination of comfort, good service, and convenient location makes it easy to come back again and again. Definitely recommended! ⭐️⭐️⭐️⭐️⭐️"
"2.","Elsa Natalia","1","2025-12-01","5","​I recently stayed at the Hotel Grandhika Iskandarsyah and I wanted to specifically commend the excellent housekeeping service. The overall cleanliness of the room was immaculate throughout my stay, which significantly contributed to a very comfortable experience. ​A special thank to Mr. Hendri, who was responsible for clean my room. He was polite and greeted me with genuine smile and he made sparkling clean my bathroom. And thank you very much to all staff for the best service and friendly attitude"
"3.","shilke winda","2","2025-10-31","5","Lokasi hotel sangat strategis, persis belakang mall blok m hanya jalan kaki sampai. Interior hotel yang begitu mewah dan megah dengan ciri khas bintang 4. Thanks to resepsionis saya lupa namanya yang telah menyambut kami dengan hangat dan ramah. Sangat beruntung mendapat special upgrade kamar executive yang sangat bersih kan wangi. Menu breakfast hotel yang begitu beragam dan enak.. Overall kualitas pelayanannya yang luar biasa memuaskan, kami sangat menikmati menginap di hotel Grandhika Iskandarsyah Jakarta."
"4.","Husen Psw","1","2025-12-17","5","Hotel nya bagus kamarnya juga selalu dibersihkan setiap hari sama mas Husen, untuk fasilitas kamar nya lumayan lengkap,untuk respon staf dan karyawan nya juga baik,disini juga tersedia gym kolam renang dan spa jadi lumayan kalo kita bosan di kamar kita bisa olahraga dikit, recommend banget buat liburan apalagi tempatnya Deket sama kuliner di blok m"
"5.","STOCK RAFISTORE","1","2025-10-31","5","Tempatnya mewah dan bersih sekali kamar dan ruang meetingnya juga bagus, menu sarapan ada banyak variasi baru coba sebagian & enak semua. Karyawan ramah pelayanannya begitu oke, shoutout untuk Kak Shelly dari laundry team yg mencuci baju saya . Rekomend banget untuk nginap 👍"
"6.","Janahtan Nathan","290","2025-10-31","5","Bagus komplit ada gym kolam renang bersih Staffnya humble Masakan jepangnya enak2 Wifi Kenceng (pas bgt buat ngerjain tugas and ujian kuliah) Bisa late check out sampe jam 2 siang"
"7.","Shelly Enjelika","1","2025-10-31","5","Menyenangkan sekali menginap di grandhika iskandarsyah bersama keluarga, mulai masuk lobby yang cantik & mewah, kamarnya bagus, bersih dan nyaman dengan amenities lengkap. Hari minggu ada tempat bermain anak, katanya ada kids aktivity juga , We really enjoy our stay so far"
"8.","Warsidi Diduk","310","2025-12-01","5","Lokasi strategis dekat dengan pusat perbelanjaan blok m.... perlu di catat kalau menginap Disni kalau bawa kendaraan mobil besar seperti Alphard...landcuser ...parkir valet ...diloby hotel kalau mobil Fortuner. Pajero masih bisa tapi harus maju dan mundur berkali kali...kalau belum handal bawa mobil dipastikan lecet ...baret ..karena sangat sempit parkiran nya ..🙏🙏🙏."
"9.","Tyo Ardiansyah","2","2025-12-17","5","pelayanan yang terbaik, kak husen sangat ramah saat pembersihan kamar,kamar bersih,kamar sangat nyaman,kamar luas,ac dingin,kamar selalu di bersihkan,makanan enak, banyak jenis makanan, suasana hotel menyenangkan, terima kasih hotel grandhika"
"10.","RoHMA Rohma","1","2025-12-10","5","Hotel yang sangat nyaman untuk akhir pekan dengan keluarga. Kamarnya luas, toilet luas dan bersih, ada kids activity dan staff sangat ramah, terima kasih kepada Mas Fadly yang membersihkan kamar saya dengan baik untuk pelayanannya untuk kami sekeluarga. Semoga bisa kembali kesini segera. Thanks Mas Fadly dan grandhika Iskandarsyah Jakarta"
"11.","firda Maghfira","8","2025-12-01","5","Senang banget menginap di Hotel Grandhika. Fasilitas oke, kamar bersih, dan proses check-in cepat. Terima kasih banyak untuk Firza yang sudah melayani dengan sangat baik. Pokoknya top mantapp is the bestttt 👍👍👍👍"
"12.","Agis Sifawalith","8","2025-12-10","5","Dengan fasilitas hotel yang sangat baik serta makanan yg sangat enak dan makanan jepang nya, wifi kencang serta pelayanan yg sangat ramah dari staff bernama wahyu keren touching kamarnya serta komunikasi sangat baik dan humble dari staff nya 👍👍 Sangat recommended Oh iya proses saat cekin nya cepat loh."
"13.","Enung Yeti","2","2025-12-10","5","Kami dari grup bandung pelayanannya bagus, ramah ramah sangar kekeluargaan di sini , makanannya enak enak dan variatif sekali . Kebersihan sangat bagus dari restaurant dan kamarnya . Pelayanan di resto kalandara baik sekali dari team nya terutama bu jenny dan mba aisyah . Terima kasih"
"14.","Mirna Oktaviani","223","2025-10-31","5","Lokasinya strategis, persis di seberang Pasaraya Blok M. Staf-stafnya sangat ramah dan membantu, ruangan bersih, musola juga sangat proper di lantai 2, makanannya juga enak-enak. Worth it banget lah di sini."
"15.","Arrierty","1","2025-10-31","5","Saya telah menginap di belasan hotel di jakarta selatan . Hotel ini berada di puncak daftar pengalaman/penginapan terbaik yang pernah ada. Staf yang ramah dan membantu selalu siap membantu setiap kebutuhan saya. Terima kasih banyak."
