"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Hellow Tango","25","2025-12-17","2","Kamar mandi mampet. Mandi langsung menggenang airnya, gak kering sampai 30 menit. Gak ada kaca dikamar (hanya kaca wastafel. Makanan 4/10 Makanan kurang variatif dan rasa biasa saja. Telur gak ready, sekalinya ready nunggu lama banget. Umpetin terus telornya hahaha bye Anak magang semua yang ngelayanin, ditanya apa jawabnya gak yakin Lokasi strategis"
"2.","Sawi Skyarlo","2","2025-12-01","1","Meja kerja di kamar banyak semut hitam, bau tidak sedap dr toilet, alas duduk toilet tidak bersih. Pagi2, pada 7 Nov 2025 pagi listrik padam lebih 1 jam. Ada tamu terjebak dlm lift Krn listrik padam. Prihatin."
"3.","Ahmad Dzulfiqar","510","2025-10-31","5","Lokasi strategis di tengah area kota lama, di Kota Semarang. Depan hotel ada museum kota lama di tengah bunderan strategis. Kamarnya nyaman, viewnya juga bagus dengan area perkotaan. Wifi aja sih yg agak kurang cepat kecepatannya sehingga harus menggunakan data pribadi untuk mengakses media sosial. Untuk breakfast sangat variatif, banyak pilihan dan banyak petugas yang melayani sehingga tidak kebingungan atau bisa dibantu berbagai hal."
"4.","Amhal Falah","86","2025-08-31","4","⭐⭐⭐⭐ (4/5) Saya menginap di Horison Hotel Kota Lama Semarang pada 14–15 Agustus 2025, tipe kamar Superior, 1 bed besar dengan sarapan. Agenda saya kombinasi perjalanan kesehatan (RSI Sultan Agung & RSUP dr. Kariadi) dan jalan-jalan di sekitar hotel. Kelebihan: Lokasi strategis: bisa jalan kaki ke area Kota Lama, dekat kuliner, dan akses ke dua rumah sakit sangat mudah. Staf ramah & sigap: FO cepat, housekeeping cepat merespon permintaan. Kamar nyaman: kasur firm, AC dingin, air panas lancar. Sarapan cukup bervariasi: menu Indonesia & roti/buah, rasa standar tapi mengenyangkan. Kekurangan: Ada noda kecil di lantai dekat pintu & tanda usia di kamar mandi (tidak mengganggu fungsi, tapi terlihat). Wi-Fi upload agak lambat untuk kirim file. Refill sarapan sedikit lambat di jam ramai. Tips: Minta kamar jauh dari lift jika sensitif suara. Sarapan lebih awal untuk pilihan menu lengkap. Malam hari bisa eksplor Kota Lama untuk foto dan ngopi. Kesimpulan: Hotel ini cocok untuk yang ingin akses mudah ke Kota Lama sekaligus mobilitas ke RSI Sultan Agung/RSUP dr. Kariadi. Nyaman untuk istirahat setelah perjalanan kesehatan, dengan pelayanan yang cukup baik. Akan lebih mantap jika detail perawatan kamar dan kecepatan Wi-Fi ditingkatkan"
"5.","Wisnu Wardhana","649","2025-07-31","4","Hotel lama yg mewah pada jamannya sebenernya masih cukup terawat, namun perlu beberapa perbaikan mengikuti perkembangan jaman. 1. Saat check in kami membawa 4 tas namun tidak ada petugas bellboy yg membantu membawakan. 2. Kamar 601 sejak masuk tercium bau saluran kamar mandi, mungkin krn exhaust di dekat pintu yg selalu menyala sehingga bau dari saluran kamar mandi tersedot. Kamar lain mungkin memiliki problem yg sama. 3. AC central jadul yg walaupun masih sangat dingin namun terlihat kuno (tp juga unik sih, vintage). 4. Tidak ada kaca rias di dalam kamar (biasanya dekat lemari/pintu), hanya ada kaca di dalam kamar mandi. 5. Tidak ada hanger baju di dalam kamar mandi, adapun hanger handuk saat digunakan menjemur handuk malah copot (mungkin krn sudah tua). 6. Wifi yg agak lemot. 7. Breakfast tidak ada seksi telur dan sosis (telur harus diminta dulu ke dapur), pastri terbatas dan dingin, bubur maaf hambar. Variasi cukup ok tapi rasa makanannya kurang ok, walau pelayanan nya boleh diacungi jempol. Intinya sebenarnya ini hotel yg nyaman, namun perlu sedikit sentuhan perbaikan disana sini supaya tidak tertinggal dengan hotel² yg baru bermunculan."
"6.","Yosua Freddyta'tama","14","2025-10-01","2","Pesan kamar disini untuk mama saya yang mau liburan di semarang lewat traveloka. Untuk pelayanan karyawan hotel bagus, Dapat kamar yg suara AC nya berisik nya diluar standar AC yang biasa saya dan mama saya punya di rumah(berasa pakai ac murahan/ac rusak) sehingga mama saya terpaksa pakai AC dengan fan terkecil dan tidur kepanasan. Sudah panggil karyawan ke kamar infonya semua AC di kamar berisik(saya dapat kamar 309 paling pojok) Maaf tapi ini jadi pengalaman pertama dan terakhir saya untuk pesan hotel disini"
"7.","Mina Hani","1","2025-10-31","3","plus nya lokasinya bagus, pegawainya ramah. minusnya, waktu saya menginap special request saya tidak ada jd harus upgrade jenis kamar dan tambah bayar. wifinya lemah banget, mungkin karna dikasih kamar paling ujung jd sinyal wifi nya sering hilang. tv nya hanya channel tv kabel, belum smart tv, padahal jenis kamar yg eksekutif. trus di hari terakhir listriknya mati hidup mati hidup. jadi sory ya, saya kasih bintang 3 dulu."
"8.","Rizka Mersiana","8","2025-08-31","3","Airnya bau, kolam renangnya licin berlumut seperti tidak pernah dibersihkan dan bau, fariasi makanannya pun kurang enak, roti disediakan ngepas banget, telur kl gak diminta gak disediakan, semoga lbh bagus lagi"
"9.","alfi noor","19","2025-10-01","5","Lokasi strategis dekat kota lama yg memang jadi tujuan. Pelayanan siip. Gak ada amenities langsung diantar ke kamar. Gak taunya mata minusku yg gak liat sudah ada di shower. Maaf ya HK"
"10.","Happy Farkha","7","2025-10-31","4","pelayanan sangat ramah... Letak strategis... Dekat dengan kota lama, kamar lumayan. Untuk breakfast mungkin bisa ditingkatkan lagi. Nasi goreng hambar, soto hambar... Kolam renang agak kotor"
"11.","Nolla Bitta","13","2025-07-31","5","Awalnya sempet takut check in di sini, karena baca review² negatif Hotel Horison Kota Lama. Tapiii setelah mengalaminya sendiri, itu beneran bedaaa banget. 1. Pelayanannya ramah banget Aku dateng ke Hotel jam 12an, kami dibantu registrasi sama Kak Juliete yg baik banget. Ga sampai sejam (kira² jam 13) kami udah dibolehin masuk kamar. Mas²nya yg di depan juga ramah banget ☺️ 2. Fasilitasnya oke kok 👍 Aku baca di review, katanya AC nya kurang dingin. Tapi setelah aku nyalain AC nyaa brrrrr, dingiinn banget. Trs malemnya aku pinjem Hairdryer, tanpa babibu langsung di kasih dong. Masnya bilang, 45 menit ke depan biar kami yg ambil di kamar, jadi ga perlu turun (oke bgt kan pelayanannya). Tp aku sm adekku sekalian beli sesuatu, jd sekalian turun kita balikin hairdryernya. 3. Kamarnya wangi 🫶 Di review bilang katanya kamarnya bau, sprei kotor, sarung bantal bau dll. Tapi aku pas masuk kamar, wangiiii dan bersiiih. Sprei putih bersih, sarung bantal bersih wangi juga, lantai & toilet juga bersih. 4. Lokasinya strategis👍 Aku kebetulan naik kereta, turun stasiun Tawang. Jalan kaki ga sampai 7 menit, langsung sampai Hotel. Enak banget kalau jalan² ke kota lama deket. 5. Harganya terjangkau ❤️ Kita pesen kamar superior double untuk 1 hari, kebetulan kita dapet potongan harga dari point di tiket.com, jd dpt harga sekitar 200an. Pokoknya jangan takut pilih Hotel ini, kalian pasti ga akan nyesel nginep di Hotel Horison di Kota lama ini. Semoga review ini bisa bantu kalian yg mau nginep di sini🫰"
"12.","dyna dheeno","38","2025-07-31","5","Pertama kali ke Semarang memilih nginep di sini karena low budget dan dekat kota lama tinggal jalan kaki saja. Ke tempat kulineran yg terkenal juga tidak jauh. Sengaja memilih hotel ini karena agenda kita full traveling di luar jadi tidak perlu hotel yg mahal karena bukan untuk staycation. Over all hotel nya bagus, nyaman ada kolam renang indoor. Makanannya sarapan banyak menunya rasa biasa saja."
"13.","atogms","21","2025-07-31","4","Tempat yang strategis, saat tinggal satu malam disini kamar diskon kondisi air washer toilet (kran tekan utk WC airnya bau) kurang nyaman. Peralatan kamar mandi terkesan lama (obsolate) Tapi di 🚿tempat mandi normal, tidak bau, air panas+dingin normal."
"14.","Kay Traveling","344","2025-07-01","5","Hotel dengan lokasi strategis di kota Semarang, cukup jalan kaki 10 menit dari Stasiun Semarang Tawang Bank Jateng, dekat dengan kota lama, diseberang hotel ada Museum Kota Lama. Harga sangat terjangkau sdh dapat sarapan dan ada kolam renangnya juga, recomended buat menginap disini saat liburan ke Semarang."
"15.","Tris","72","2025-07-31","5","Pelayanan front desk oke.. staff ramah selalu tegur sapa.. makanan cukup bervariasi hanya saja dalam Refill makanan agak lama ya.. kamar cukup okelah.. house keeping harus lbh teliti krn diujung2 msh ada debu.."
"16.","cahyo sasongko","9","2025-07-31","3","merasa bingung saat makan pagi . di resto mayoritas adalah anak training smk . dimana yang bekerja sangat bagus malah yang training dari smk . tapi dimana seniornya , staffnya . jam setengah tuju sextion telur / omelete belum ready . padahal ini makan pagi staff chef nggak terlihat ready memastikan semua ready . bingung juga dimana staff chef nya karyawan yang digaji . yang training di taruh depan untuk melayani tapi persiapanmu ? telur untuk makan pagi jam setengah tuju klo nggak ada ya mending tutup restomu ."
"17.","Lukman Syarif","21","2025-10-31","5","Kartu akses kamar nya sering bermasalah sehingga harus bolak balik ke receptionist untuk reset kartu lg. Sangat merepotkan."
"18.","Abi Cuki","2","2025-08-31","2","Maaf tapi saya bukan menjatuhkan hotel anda tetapi kebijakan yang anda lakukan salah, saya ojek online biasanya di hotel lain boleh titip resepsionis dan satpam tetapi di hotel sini malah tidak mau semua, trus gimana kalau semisal pemesan tidur/pergi makanan taruh kemana? Kalau membuat kebijakan jangan merugikan orang lain itu saja terima kasih."
"19.","Callysta Chanel","16","2025-10-31","2","Bersih bagus,tarif lumayan mahal 650rb/kamar,prasmanan makanan kurang enak secara keseluruhan...."
"20.","Poundra Windyanto","326","2025-07-01","5","Hotel Horison Kota Lama Semarang. Hotel cukup dekat dengan kota lama Semarang, dengan jalan kaki 300 meter sudah sampai di pusat keramaian kota tua. Cukup dekat dengan Museum Kota Tua, 50 meter. Pelayanan cukup baik. Kebersihan kamar baik. Design kamar sepertinya membutuhkan perbaikan ulang, seperti hotel lama 😆. Rasa makanan di resto oke dengan menu dan pilihan beragam. Parkir untuk mobil terbatas/cukup. Harga menengah."
"21.","Andry Sose","92","2025-07-31","4","Considering the price, the value is indeed quite good. However, the cleanliness of the room, particularly in the bathroom, could benefit from some improvement. The room's generous size is a definite highlight, and the location is also quite convenient."
