"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Dongjae Lee","40","2025-12-17","5","I had a flight departing at around 1AM, so I checked into this hotel near the airport. The staff were incredibly kind and made the whole check-in process smooth. I was able to rest really well before my flight, which I really appreciated. I also visited the Premium Lounge, and the food was noticeably better compared to other lounges. Special thanks to Ms. Sri Wiyani, who was very friendly and helpful, even accommodating requests for my child. Thank you for everything — it was a great experience and strongly recommend!"
"2.","Cindy Nguyen","46","2025-12-01","5","BEST OPTION if you have an early flight, but not only ! Very warm welcoming. Staff are nice and helpful. The room is great, very clean, big enough. We got a voucher for their lounge and decided to try the tea time one. The food there is nothing special and not great but its still nice experience. The pool is great. We didnt try the gym but it looked nice as well. We went in town for dinner, not too far. Totally recommended"
"3.","LGW","14","2025-12-17","5","We had a lovely experience at the Novotel restaurant. Everything we ordered was very tasty, well prepared, and clearly made with care. The service really stood out. Sri Wiyani took excellent care of us, was attentive and genuinely helpful, and made the whole experience feel warm and easy. We would happily come back and highly recommend it."
"4.","Rana Islamiah Zahroh","28","2025-12-01","5","I had such a good night’s sleep after a long-haul flight, genuinely better than I expected! The bed was super comfy and felt really homey, which is exactly what you need after hours in the air. The staff were all so friendly and genuinely helpful. Breakfast was a surprise too, so many choices, way more than I thought an airport hotel would have! Location-wise, it doesn’t get more convenient than this. It’s just a short walk from both international and domestic terminals, which makes everything so easy. I’ve stayed here three times already, and every stay has been consistently good. It’s honestly one of the best airport hotels I’ve ever stayed at. I’ll definitely come back whenever I have an early flight or need an overnight stay in Bali 🩷❤️"
"5.","Tito Haris","115","2025-12-17","5","I highly recommend Novotel Bali Airport for transit stays, especially for travelers with late international arrivals and early domestic departures. ​Choosing Novotel instead of waiting at the domestic terminal was the right decision. Its location between the terminals is extremely strategic. The 24-hour restaurant (Nasi Goreng Oxtail was excellent!), reliable Wi-Fi, and available Musholla offered great comfort. The only minus is just the AC was turn off. , which i can understand for saving as there is rarely a customers at around 12-1am.. ​The security is top-notch, and the staff service is proactive and excellent. Special thanks to Director Ibu Indri and the team for a safe and comfortable stopover."
"6.","p e","12","2025-12-24","5","Very clean and comfortable hotel to stay at. They always have plenty of staffs available anytime and they’re all really helpful too. Breakfast buffet was also great. Loads of selection to choose from and they actually taste good as well. Thanks to Erika and other lovely staffs for taking care of my table !!"
"7.","preethi rao","8","2025-12-17","2","convenient for flights, but for a four star hotel the service was not up to the mark. the breakfast was not great. towels and bed sheets smelt a little off, we had requested for spoons to eat the food we ordered from room service and they gave us plastic spoons. overall it was fine, we needed a place to stay to get to our flight as soon as possible in the morning so it worked out"
"8.","FEB_Ekonomi Pemb_E2***_1023_Debri Adriana Ndun","2","2025-12-01","5","My short layover in Bali turned out to be a treat thanks to Novotel Bali. The hotel's seamless connection to the airport terminal made it incredibly convenient, saving me from dealing with traffic hassles. The rooms were modern and comfortable, offering just the right amount of space to unwind. But the real highlight was the breakfast buffet - a delightful mix of local and international flavors, beautifully presented and full of surprises. The staff were attentive and friendly, adding to the warm atmosphere. If you're looking for a practical, comfy spot to rest before or after your flight, Novotel Bali is a solid choice. It's not a destination resort, but for ease and comfort, it ticks all the boxes."
"9.","Latisha Dutch","289","2025-10-31","5","I stayed at Novotel Bali Airport for just one night, and it was exactly what I needed — convenient, comfortable, and surprisingly stylish. The biggest plus was the location. Being directly connected to the airport made it incredibly easy for a short stay. I didn’t have to deal with shuttles or taxis — just a quick walk from arrivals, and I was checked in and settled. The staff were wonderful — super friendly, polite, and helpful from start to finish. Everyone I encountered seemed genuinely eager to make sure guests were comfortable. Check-in was smooth, and I appreciated how welcoming the team was even for a quick overnight stay. The hotel itself has a really nice ambience — modern design, clean spaces, and plenty of little photo-worthy spots throughout. I especially enjoyed the fun tech touch of the contactless elevator, where you don’t press buttons but wave your hand to select your floor — a small detail, but one that amused me and felt very on-brand for a modern airport hotel. I also had the breakfast buffet, which was plentiful and fun to explore. There were tons of options — most of them new to me, which made it a bit of an adventure. The food presentation was great, and it offered a nice blend of local and international dishes, even if I didn’t recognize all of them. It’s definitely one of those breakfasts that’s worth waking up for, especially if you enjoy trying something different. Between the convenience of being attached to the terminal, the friendly service, and the relaxing atmosphere, Novotel Bali was exactly what I needed for a short layover. It’s not the kind of place you’d go for a long resort-style stay, but for ease, comfort, and a touch of luxury before or after a flight, it’s absolutely perfect."
"10.","Mark W","44","2025-10-31","4","Nice hotel with great access directly to the international airport. Staff are so friendly and helpful, although the spa staff not so. Lovely pool to relax by although would benefit with a ramp access to the pool area. We saw many people having to carry prams with babies down the steps. Food in the restaurant was great with a good range of food choices on the menu. We will definitely stay again when arriving and departing from the airport."
"11.","Ayla Tan","72","2025-12-17","5","Did a layover and the service staff is fantastic. When I left things behind in the rooms, the staff were very helpful in assisting with the retrieval and did so speedily. Shoutout to Erika at the buffet breakfast session for her attentiveness and great service."
"12.","Nurfatma Perveen","8","2025-10-31","5","Just checked out this morning. Had a nice and easy overnight stay while waiting for my flight. Rooms were clean and getting room service was also easy. Special thanks to Asma and Ifan who handled my check-in. They were really polite and made the check-in process smooth and easy. I also appreciate how the hotel is liked to international terminal. Within 5 minutes of check-out, I was alr in the airport's check-in counter. It's my first time staying with ALL but it won't be the last!"
"13.","Ervina Atan","2","2025-12-17","4","A good transit hotel within close proximity to the international terminal of Ngurah Rai. A good overnight stop if you arrive late in Bali. Standard rooms, nice pool, lovely breakfast. (It’s Indonesia anyway, breakfasts are always fab! 😉) Most of the cheaper alternatives are a short transfer ride away. But if you just want to park for the night after a long haul flight (especially for international travellers out of Asia), this is a good overnight stay before your big Bali retreat or next long haul flight out. (This is based on my review as a seasoned traveller in Indonesia and Nusantara.)"
"14.","jnfd cdsw","4","2025-10-31","5","Very nice hotel, Nice room with a nice comfortable bed not like the other hotels with their hard Asian mattress this one was comfortable. Nice bathroom Nice location withing the airport. you almost don't hear any noise from the airport. Perfect if you wanna spend 1 night before leaving Bali"
"15.","Javkhlan Khajidmaa","2","2025-12-10","5","Great hotel for families! Our room was clean and cozy, the staff were very welcoming, and everything was convenient for travelling with kids. Breakfast was enjoyable and the airport access is extremely easy. Thank you for your warm hospitality, Novotel Bali!”"
"16.","Tina Nand","31","2025-10-31","5","We had the pleasure of staying here for a 6days. We had a wonderful experience the rooms were really modern, clean and very new features. I wanted to thank : Novi From the administration front office she was amazing, she helped us with everything we needed.they actually arrange a little something for my husbands 40th. She good with explaining and understanding exactly what you need during our stay. Erika from the square restaurant was so amazing she was very polite, knew everything we liked and accommodated accordingly. Always going the extra mile. Gede from the rooftop bar was a top notch bartender 👌 he made yummy delicious 😋 cocktails and his service was amazing. Thank you again everyone 💗"
"17.","chantal O’Rourke","3","2025-10-01","4","Great location very practical being at the airport. The dinning, food area is very good and the breakfast buffet is amazing. Staff are so kind and helpful. The rooms were a bit damp smelling but they did their best the fix it. After the rains they have had everything is damp."
