"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Dian Indriany","77","2025-12-01","4","Hotel cukup mahal di kota cirebon, kamar spacious, rapi dan bersih, byk tempat utk menyimpan barang²... nice. Sabun dan shampoo nya enak harum. Menu breakfast nya ternyata biasa aja, byk pilihan memang dg menu tdk hanya ayam tp byk daging sapi jg. Tp utk harga yg lumayan tinggi ya...begitulah...pastries nya dan rotinya biasa aja bgt huhu...mdh²n bs ditambah dessert dong ya..ga ada kyknya. 😁 Overall kamar dan kasur bantalnya enak buat istirahat ya dg view gunung ciremai, if you lucky enough.. Mdh²n bs geser² harganya ga terlalu mahal bgt as if menu breakfastnya huhu... Terimakasih byk Hotel Patra..."
"2.","Deddy Taufik Hidayat","1038","2025-12-10","5","Hotel ini adalah berasa Bintang 5, karena Kamar Luas, isi lengkap, elegan, interior bagus, breakfast internasional, mulai dari Salad, bubur ayam, nasi goreng, omelette, pastry, masakan lokal, buah, kopi, teh, cornflake, miso soup dll."
"3.","Rangga Ardian","177","2025-10-31","5","Enak pemandangan gunung dr jendela kamar,,, di atas kolam renang bisa lihat pemandangan luas,,, emang sih tempat gym nya kecil banget,,,, Sekitar hotel byk coffee shop,, & ada area yg sering dipake orang2 joging,,,"
"4.","Khoerunnisa Rahayu","8","2025-10-01","5","Menginap cukup lama di hotel Patra Cirebon ini, dan sangat puas dengan pelayanannya! Makanannya enak, selalu fresh, dan bervariasi setiap jam makan. Overall, sangat puas oleh hospitality, service, dan tempat yang diberikan oleh hotel Patra Cirebon. Terima kasih."
"5.","Nanda Cipta Gunadi","48","2025-12-01","5","thanks to give me service excellent Mrs. Sasa and Mr. Fajar staff of Pandansari restaurant, Ramah Bangettt team resto yang lainnya juga... Bersih dan Makanan pun enak enak..."
"6.","Mhd. Ibkar Yusran Asfar","3","2025-07-31","5","Kamar bersih dan nyaman dengan view Gunung Ciremai. Makanannya cocok dilidah. Fasilitas lainnya seperti gym, kolam renang dan masjid juga tersedia. Yang paling disuka adalah jogging track diarea patra cirebon. Terima Kasih🫶🏻."
"7.","sulastini Suyanto","15","2025-07-31","5","Tidak menemukan playground dsni..kolam renangnya adem,tp klo siang nungguin anak renang kepanasan yg nunggunya.. tmpt gymnya sempit bgt. Makanan enak semua.."
"8.","Nidia Shinta","5","2025-08-31","5","Ada karywan namanya pa Satria nganterin smpe ke dlm krn ga tau posisi lift dmn dr parkiran bawah basmant itu keren seeeh dia br dtng loyality ke cust luar biasaa pertahankan trs layanan terbaiknya"
"9.","Dandy Saputra","7","2025-08-31","5","Pertama kali berkunjung ke Cirebon dan menginap di hotel ini Fasilitas sangat baik terutama terdapat kolam renang dengan view Gunung Ciremai"
"10.","Mas Fadli","8","2025-07-31","5","Overall pelayanan, kamar, fasilitas bagus smua, Saya training di sini sudah semingguan, bagus si pelayanannya. Sukses selalu yaa buat Patra Hotel. Semoga tetap komitmen untuk terus memberikan yang terbaik."
"11.","Rudi Manto","64","2025-10-01","5","Kamarnya nyaman, restonya juga ok, bisa buat tempat istirahat yg layak baik u bisnis ataupun vacation"
"12.","Didi Story","190","2025-07-01","2","Kamar bagus dan bersih, pelayanan juga ok, tapi saat pagi turun mau olahraga di jalan sekitar hotel, ada bau yang kurang sedap dari instalasi septic tank hotel, sangat disayangkan hotel milik BUMN ternama pengelolaan IPAL nya kurang diperhatikan"
"13.","Achmad Syaifullah Yusuf","1","2025-08-31","5","Pelayanan terbaik, makanan enak, lokasi strategis. Recomended sekali untuk dijadikan salah satu pilihan terbaik keluarga anda."
"14.","Karisma Amalia","2","2025-08-31","5","Untuk breakfastnya cukup variatif, di kamar juga ternyata disediakan air purifier cocok untuk saya yang sensitif dengan debu, dapat pemandangan dari kamar di lantai atas juga bagus menghadap ke gunung, sama staffnya cukup kooperatif dengan mba nage klo ga salah namanya sudah bantu saya beberapa kali akses lift karena saya lupa bawa kartu akses saat naik turun, dan ada security yang bantu parkir saat penuh."
"15.","Anita Sukmawati","41","2025-07-01","5","Kamar luas. Hotel lama yang sangat terawat. Menu breakfast enak. Mohon bisa diperbaiki untuk sabun cair dan shampoo, sukar dikeluarkan dari wadah. Lebih baik pakai multi dispenser untuk body lotion, sabun dan shampoo dari pada single use yang sukar dikeluarkan isinya. Atau mungkin suplier bodylotion sabun shampoo cek ulang formulanya, kenapa sukar mengalir dari wadah."
"16.","Mochamad Fiqih Afifuddin F","4","2025-07-31","5","Room rapi, bersih,nyaman dan viewnya bagus.. Fasilitas lengkap, ada gym dan kolam renang.. pelayanan/service ramah dan memuaskan"
"17.","Nidia Fitriani","13","2025-07-31","5","Kedua kalinya kesini dalam rangka birthday staycation anak2. Kebersihan kamar selalu memuaskan. BF enak dan bervariasi."
"18.","Prayoga Achmad","2","2025-07-31","5","Makanan nya sama fasilitasnya ok banget sih, nga nyesal nginap sinii"
"19.","Haikal Yutub Chanel","121","2025-05-31","5","Patra suka siiii brrt ini kunjungan ke 5 saya d patra untuk mudik Jujur saya suka sm makanannya Sayanganyyaaaa kmrn saya datang lg ada org2 diklat sepertinya dr /ta**** jujur bad attitude anak2 mudanya Terutama yg cowok,,, Makananpun jadi ga seenak dulu perasaan dan kebetulan kmrn birthday boy anak saya thank you buat compliment Saya pesan kamar yg premier room sayang bgt kmrn crb lagi bising ga tau ada apa suara klakson kedengeran smp atas 🫠 pehl d lt 10 Btw kmrn juga tumbn slm 5x nginep br ada cooking activity biasanya ga pernah dpt event ini.."
"20.","Wahyu Setiawan","403","2025-05-31","4","Satu hotel yang cukup representatif di Cirebon, baik untuk berwisata maupun bisnis. Lokasi sangat strategis, dekat ke lokasi kuliner maupun belanja (batik Trusmi). Kamar cukup luas, fasilitas kamar cukup, menu dan rasa makanan resto lumayan. Hanya menurut kami, kamarnya kurang kedap, baik suara luar maupun dari kamar sebelah. Note: mohon typo di menu room service/dinning diperbaiki."
"21.","NFL RAT","15","2025-05-31","4","Kamar nya lumayan luas juga, kolam renang nya udh bagus, bersih, pemandangan nya juga oke bgt. Di kamar juga di sediain alat beribadah seperti sajadah, alqur'an, dan alkitab juga ada. Hanya saja kamar nya menurut saya kurang kedap suara, khawatir privasi orang yang menginap di sebelah kamar kita di ketahui oleh orang lain"
"22.","Putri Marsyaluna","1","2025-03-31","5","Hotel ini memiliki lokasi yang strategis di pusat kota Cirebon, membuatnya mudah diakses dari berbagai tempat penting. Fasilitasnya juga lengkap, mulai dari kolam renang, restoran, hingga ruang rapat. Kamar hotel ini sangat nyaman dan bersih. Pelayanan staf juga sangat ramah dan profesional. Restoran hotel ini menyajikan makanan yang enak dan beragam. Saya sangat menikmati sarapan di sini. Kolam renang hotel ini memiliki pemandangan yang indah, membuat saya merasa sangat santai dan nyaman."
"23.","Muhammad Iqbal Rahmadhani","11","2025-07-31","5","Hotel nyaman, enak buat jogging di sekitar hotel (view gunung), terbaik!"
"24.","Cutri Harsiwi","2","2025-08-31","5","Kamar sangat nyaman, bagus, layanan ok, menu sarapan enak"
"25.","Andhika Akbar","43","2025-12-01","5","Untuk pelayanan oke dan ramah tapi untuk peralatan untuk di kamar mandi kurang"
"26.","Yuli Wulandari","5","2025-07-31","5","Terimksh hotel patra cirebon,anak2 happy orgtuanya jga happy, nyaman bgt d patra, makananya enak, stafnya ramah, insallah kita staycation lagi d hotel patra"
