"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Uni Anila","255","2025-12-10","4","Mohon maaf, late post. Stay di patra sekitar awal september 2025. Masih bruntung, bisa berenang. Tanggal 15 september 2025, kolamnya direnovasi. Semoga sekarang sudah selesai ya. Hotel *4 di sekitar semarang, letaknya agak masuk ke dalam tapi gak jauh sih dr jalan raya. Tempatnya superrr luas.. Sekarang ada vila nya juga.. Next time klo ke semarang semoga bisa ke vilanya.. Kamar luas, amantities nya lengkap. Water heater oke, kasur twin juga lumayan luas. Untuk masalah parkir (banyak keluhan tentang parkir) alhamdulillah kemarin aman aja (tamu hotel untuk free). Kurang tau juga klo tamu untuk acara pernikahan atau yg lainnya."
"2.","Aurellia Cindy","5","2025-12-24","1","HP sy hilang waktu acara wisuda di sini, tp waktu mau cek CCTVnya (yg di lorong) malah mati dgn alesan renovasi, security yang berjaga pun minim dan tdk kompeten shg banyak orang luar yang tdk berkepentingan masuk"
"3.","dwi wahyudi","8","2025-12-01","1","AC kamar bermasalah meskipun sudah berpindah kamar 2 kali. Pelayanan breakfast sangat tdk profesional, terdapat ULAT Pada sayuran SALAD, pesan OMELET SANGAT LAMA sampai makanan sudah habis, padahal sdh 2 kali ditanyakan dan kalo tidak ditanya tidak juga selesai.. selama itukah membuat omelet, haruskah customer Ngomel dulu baru disiapkan pesanannya...???"
"4.","Ali Ghes","7","2025-12-01","5","baik dalam semua hal, lokasi best view dengan kemewahan kamar dan ruangan villa juga yg didalam. ini gatau termasuk minus atau tidak, divilla tidak bisa menambah extra bed, sedangkan di hotel bisa. menurut saya kebalik ya, atau mungkin dua dua nya kalau bisa di adakan. terimakask"
"5.","Aji","144","2025-08-31","5","Pesan tipe deluxe, kamarnya luas dan bersih untuk tipe ini tidak ada smooking room kecuali yang tipe deluxe balkon, bisa ngrokok di balkon. Kamar mandi bersih, dapat view kota. Sarapan banyak variasinya, cuma mesin kopi bisanya espresso (perlu diganti mesin, biar layak sesuai dengan harga per kamar) Lokasi jauh dari tempat makan kalau jalan kaki, jadi milih ke pesan online."
"6.","Bimo Nurendro","45","2025-12-01","5","Hotel yang aangat nyaman di Semarang. AC bagus, tempat tidur nyaman, bersih. Sangat puas menginap disini, dan lain kai kalau ke Semarang lagi mau menginap di hotel ini. Kenyamanan jauh melebihi harganya."
"7.","Bunga Rifka","12","2025-10-31","1","petugas parkir tidak bisa memberi solusi untuk saya yang tidak membawa cash. Saya jam set 3 pagi ke hotel ini utk makeup, pulang jam 5 pagi, ditagih parkir 10rb, dan karcis tidak tertulis nominal juga. Saat saya bilang tidak bawa cash, saya membebankan ongkos parkir kpn client saya yang merupakan tamu hotel namun petugas parkir tidak setuju, harus saya yang bayar. Saya tawarkan untuk transfer ke petugas, tp tidak bisa juga. Tidak ada solusi dr petugas. Jaman ini udh serba cashless dan digital. Tolong melek teknologi ! Hotel sebagus dan sebesar ini masih kuno pembayaran parkirnya 🤦🏼‍♀️ Baru ini di hotel bayar parkir juga, kecuali kalau jd satu dengan mall yg parkir berbayar itu wajar."
"8.","ayu agustin","105","2025-12-01","5","the best banget sih interiornya cakep kamarnya nyaman deket kemana2. sayang lagi renov jadi kolam renang ga bs dipake"
"9.","Rifqi Achmad Bachtiar","87","2025-10-01","5","kamarnya bagus, bersih, luas, walaupun saya pilih smoking room karena saya bawa vape tetapi tidak bau rokok, fasilitas cukup lengkap, parkirannya luas, lokasinya cukup strategis, pelayanan sangat ramah 👍"
"10.","Rudy Siahaan","87","2025-10-01","1","Waktu lalu sabtu dan minggu 30-31 Agustus 25 saya ikut seminar di Rama Sinta Auditorium, hari 1 tgl 30 sore charger handphone saya warna putih tertinggal di gedung auditorium, waktu saya sudah pulang di rumah baru saya ingat, jadi selang 2 jam baru saya kembali ke gedung itu. Saya tanya ke penjaga gedung katanya tidak melihat, saya tanya sekuriti hanya bilang kalau ada yang menemukan pasti di titip ke lobi. Tolong kalau ada merasa mengambil semoga hidup mu bahagia. Petugas baik di gedung dan di lobi kurang membantu, tolong kalau ada kamera pengawas di dalam gedung kejadian antara jam 14-16 sore. Terimakasih banyak kalau pihak hotel dan gedung mau menangggapi ini"
