"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Fathur Rahmi","3","2025-09-30","3","Menginap selama 4 hari namun tidak puas 1. Permintaan di app diabaikan. Pdahal kita sudah kasih tau kondisi. Alhasil dikasih kamar yg connecting. Tengah malam suara dari kamar sebelah sangat berisik (awalnya saya pikir kedap suara jadi okelah gpp kalau connecting) dan sangat mengganggu kenyamanan. 2. Bau masakan sampai ke kamar. Sungguh tidak nyaman untuk menginap selama 4 hari. 3. Cleaning service tiba-tiba masuk ke dalam kamar, tidak ada regulasi terkait pembersihan kamar. Ini mengganggu keamanan karna tiba-tiba ada yg masuk. 4. Minta ganti selimut seprai alas bantal karna gatal. Tapi tidak diganti sama sekali yg dirubah hanya tata letak nya saja. 5. Keluar hotel siang, area lift lt 4 ada bau tidak menyenangkan, ternyata malam pas balik masih tetap sama. 6. Makanan selama 4 hari tidak mengalami perubahan (menu yg sama), begitu pula dengan rasanya. Sayur tidak segar, nasi goreng tidak enak. Kemudian sekoteng sama jamu tidak ada pegawai yang menunggu, padahal tidak semua tamu bisa meramu jamu dan sekoteng. Harusnya ada yg cek habis nya makanan atau minuman. Air putih habis, ditunggu setengah jam ttp belum ada isi ulang padahal baru jam 9. 7. Pengering rambut dikamar mandi tidak berfungsi. 8. Harusnya saat check out di cek dlu kamar nya. Mungkin regulasi di hotel ini berbeda dengan lainnya."
"2.","Deni Hakim","80","2025-11-30","1","Saya nginap 3 malam di hotel ini dengan type kamar junior suite utk kegiatan bisnis. Ga rekomen hotelnya, hotel bintang 4 tapi rasa bintang 2. AC kamar bocor netes dimana2. Lupa bawa room akses minta tolong tap in akses masa disuruh lewat lift barang/staff saja katanya. Punya acara 2 hari berturut di lt 1 tp eskalatornya dimatiin, disuruh olahraga emang pesertanya. saran untuk semua karyawannya di didik lg hospitality terhadap semua tamunya."
"3.","Atika Novela","2","2025-11-30","1","Pelayanan satpamnya kurang sopan dlm bertaya ke tamu hari ini terjadi pukul 23:20 minggu tgl 09 nov 2025 . Satpam : kama diak , kamar bara diak , bara urang di kamar diak ! Pantas ka bertanya seperti itu sekelas hotel truntum pelayananya ? . Tidak ada kata “ sapaan” sebelum bertanya tidak ada kata “ maaf mengganggu mlmnya “. Saya nginap 2 hari lo kamar 218 di truntum ,ini hotel yg saya pilih karna deket tadi tempat kerja saya . Hanya gara” saya keluar pada saat mlm hari cari mkn dan pakaian saya biasa saja badan saya kecil jadi harus di curigai kah ?"
"4.","Fajar Yudhatama","14","2025-09-30","1","Cek in 2 mlm, 28-29 Agustus. Dr awal sdh feeling ga enak: 1. Kamar yg sdh di book habis dikarenakan ada acara 2. Kamar 506 : internet ga stabil, AC panas hanya keluar angin 3. AC sdh diperbaiki, tp masih panas. Kami tdk disarankan pindah kamar 4. Handuk robek, lbh bagus handuk hotel level dibawahnya 5. Sprei ada bolong Kecewa menginap disini dan tidak ada kompensasi."
"5.","M. Asyraf Shariffuddin","163","2025-06-30","4","We had a pleasant 1 night stay in this hotel before flying back to Malaysia. Everything was decent about this hotel. Counter service was good, very welcoming. We booked for 2 connecting rooms for us and my mom. Being traditional, my mom just disliked the fact that the toilet does not have a bidet. Breakfast was also decent. They have a variety of options to choose from what they served. And I saw a lot of Malaysians too. I guess this hotel is one of the top choice hotels for people travelling to Padang. But just do not expect much for the swimming pool since it is quite small."
"6.","Reza Putri Ramadhani","9","2025-08-30","1","Pelayanan manager bapak B*mb*ng terhadap tamu sangat tidak patut untuk disebut sebagai manager , kesalahan terhadap update sistem dari hotel yang bermasalah sehingga kami sabagai tamu menunggu dari jam 8 malam - 11 malam untuk checkin, tidak ada terucap perkataan MAAF dari bapak manager karna kesalahan sistem mereka , dan hanya melempar kesalahan kepada tamu serta pihak aplikasi yg terkait , memberi alasan yang berubah ubah. Menghindar dalam menyelesaikan masalah dan melemparkan kepada recepsionist untuk menyelesaikan masalah. Sekelas hotel bintang 4 , tetapi manager sangat tidak profesional , terutama manager yg menghadapi masalah saya tersebut!!"
"7.","Emil","5","2025-07-30","5","It was once a hotel that suits the presidential visits. Overall, my family and I had decent stays in the hotel. Check-in was smooth. Communication was clear. Room was spacious. Amenities were functioning. Ambience was great. Views from the balcony were amazing. Location was strategic as it was close to the beach and city center."
"8.","Moses Heryanto - TX TRAVEL Bogor","1106","2025-10-30","3","Huge building hotel, huge classy lobby, representative meeting hall, huge varieties of breakfast, good staff services. Room is spacious, but pity the amenities is bad : dark old towels, old bed sheets, dated room furniture."
"9.","Elvina Roza","4","2025-08-30","1","Hal yg paling mengganggu adanya live music dr magrib hingga malam. Sangatlah mengganggu karena suaranya sampai kekamar dan kita yg mau istirahat jdi tidak bisa. Ditelpn berkali2 untuk dikecilkan suaranya tpi tidak ada perubahan, bahkan terdengar lebih kuat lgi. Kita ke hotel kalo malam untuk istirahat dan mencari kenyamanan. Tolong dikondisikan lh , hal2 yg mengganggu konsumen Tolong di perhatikan. Terimakasih."
"10.","Larisa Yeni","1","2025-06-30","2","Baru kali ini hotel bintang 4 ngasi kartu akses cuma 1, pas komplen ke resepsionis bukannya dikasi malah bilangnya “memang ini yg kami tunggu komplen dr customer, krna management kami gak dengerin klo ftont office yang ngomong” trus customer malah disuruh lewat lift barang Malah nambah kerjaan customer yaa buat komplen"
"11.","dicky rachmawan","65","2025-08-30","5","Bagus dan enak makanannya. Lokasinya sangat strategis dekat dengan pantai, supermarket, cafe hingga toko alat tulis kantor."
"12.","Iman Suhadha","887","2025-06-30","5","Bagus 👍 Mengesankan menginap semalam di sini Hotel pertama setelah sekian lama menginjakan kaki di Padang Semoga kesan akan lebih baik lagi beberapa hari dinas di Padang Kamar bersih dan luas ( Lengkap,kulkas mini,bad agak keras,AC dingin,udara di luar juga lebih terbuka dan banyak di bandingkan beberapa hotel tertutup dan pengap 👍 Dekat dengan kuliner, dan dekat tempat meseum. WiFi ngebut banget 👍 Makanan ok... saran perbanyak makanan khas padang karena rindu sekali khas Padang 🤩🥰 After dari Bukittinggi saya rasa saya akan ke Hotel ini kembali untuk menginap. Thanks @hoteltruntumpadang See you again hotel Truntum 🙏"
"13.","Bilal Ahmad","9","2025-08-30","2","I have tried to call the reception many times, no one is answering. I have tried to call room service many times, no one is answering. 1. The food did not taste good. 2. I got overcharged with 20k. 3. I ordered dessert but got nothing and with no explanation"
"14.","Agus Kurniawan","1","2025-07-30","5","Recomended untuk liburan keluarga dan acara kedinasan, lokasi strategis, dekat taman kota dan tempat hiburan, parkiran luas, mudah untuk cari makanan&minuman... Menu sarapan banyak Pilihanya..."
"15.","Nanda","582","2025-06-30","3","Hotel Truntum Padang, formerly known as Hotel Inna Muara and once a colonial-era property, unfortunately falls short of the expectations associated with a 4-star rating. The room condition suggests a lack of proper maintenance—dirty walls with visible markings, old and stained bed sheets, outdated furniture, and misaligned lighting create an uninviting first impression. These are basic elements that should be addressed in any hotel, let alone one claiming premium status. The swimming pool itself is decent, but the surrounding area is poorly maintained, with broken and aged deckchairs diminishing the overall experience. Water pressure in the bathroom is reportedly weak, and the absence of a bidet highlights a lack of standard hygiene features. Air conditioning also underperforms—guests have reported feeling warm even when the thermostat is set to 16°C, which suggests inefficiency in room climate control. On a brighter note, the hotel’s historical value adds an interesting dimension. Paintings in the lobby narrate fragments of the building’s past and Padang’s colonial legacy, which could appeal to guests who appreciate heritage. The staff are also consistently praised for their friendliness, and the breakfast service stands out with its variety and quality, offering a genuinely pleasant start to the day. Despite its strategic location and historical charm, the overall guest experience is significantly affected by cleanliness issues, outdated facilities, and underwhelming maintenance. Without major improvements, it risks being remembered more for its nostalgic potential than for actual comfort. Many guests, while acknowledging its potential, have expressed hesitation to return—an unfortunate verdict for a property that once held prestige."
"16.","Jiří Pfeifr","31","2025-05-30","3","Dirty walls, bed sheets and very old furniture. Pool is nice but the area not really. Deckchairs are broken and old. Does not correspond to the price I paid to be honest. On the other hand they have really good breakfast and employees were so kind."
"17.","magnus prawira william","2","2025-10-30","5","Truntum Padang Hotel is the best hotel that I stayed when I went to Padang especially when I ate at the restaurant, the food was amazing and the service that Miss Khaila gave me was so good and great"
"18.","Marisa Utari","2","2025-09-30","1","Resepsionis tidak menyerah terimakan pesan yang di sampaikan tamu kepada House skiping sehingga membuat barang tamu yang ketinggalan hilang !"
"19.","ichank rusman","7","2025-08-30","5","Alhamdulillah, ada hotel yg menyediakan t4 ibadah masjid ntuk jumatan dg berkah jumat yg di nanti2 sebagian jamaah😁 …"
