"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Ian B","2","2025-12-24","5","We selected the newly revitalised Bali Beach Hotel for our family getaway in December, and it proved to be an inspired choice. The restoration of this icon is truly impressive, the hardware exudes a sense of grandeur, and the location in Sanur is simply unbeatable. The Olympic-sized pool and the engaging Kids Club were absolute highlights for my son, providing endless entertainment. We also delighted in the two on-site dining venues and took full advantage of the generous 1-for-1 promotion at the spa, which was a wonderful touch for in-house guests. Our room was a sanctuary of modern luxury, boasting excellent design and build quality. The view from the balcony was, in a word, priceless—a breathtaking panorama that I understand graces every room in the hotel. That said, there were two minor details that I felt did not quite align with the otherwise opulent standards of the property: the refrigerator struggled to maintain a cool temperature, and the bath linens felt slightly past their prime. Aside from these small points of feedback, the accommodation was superb. However, what truly sets this hotel apart is its software—the service. The hospitality we received was nothing short of flawless, epitomized by Mr. Eka Subawa. He became far more than a staff member to us; he was our unofficial, personalized concierge, ensuring our stay was perfect even on his days off. His level of care, dedication, and genuine warmth is a rare find and truly priceless. Finally, the location is perfection. The beachfront promenade offers a vibrant array of activities and dining options should you wish to venture out. It strikes a magnificent balance; avoiding the manic energy of Kuta and the pretension of Canggu. Sanur, and specifically the Bali Beach Hotel, offers the perfect equilibrium for anyone seeking the very best of Bali."
"2.","Gerald Soliman","81","2025-12-24","5","Impressive even on arrival, with a beautifully constructed hallway leading to the spacious and relaxing main lobby. Excellent service, comfortable rooms, and a great view. Huge clean swimming pool and a very usable gym compared to typical hotels. Very close to the Bali Beach Convention Center and with easy access to the beachside street walk, but just far enough from the nearby restaurants to be very quiet and pleasant. The breakfast buffet had a satisfactory variety of well-prepared local and international dishes. All for a price that is much cheaper than what I am used to in other countries. Definitely worthy of consideration for a leisurely stress-free vacation."
"3.","Lylac","8","2025-12-24","5","Overall, the hotel had a calm, cozy atmosphere and all the staff were very kind, so we really enjoyed our stay. The breakfast was a bit disappointing, to be honest… but everything else made up for it. What stood out the most was the kids club — our children absolutely loved it. They had such a great time that even now they keep asking for Miss Astri , Ayu, desak and laksmi 🥹 We’re staying at a different hotel right now, but they keep saying they want to go back to Bali Beach Hotel, haha. Thank you so much for taking such great care of our kids. We truly appreciate it! 💛"
"4.","linda Newstadt","6","2025-12-24","5","We have visited Bali many times over the past 20 years, and have particularly fallen in love with Sanur. We've spent the last 5days at The Meru Sanur and then transferred to the sister hotel The Bali Beach Hotel for a further 5days...we have absolutely loved our stay at both these stylish, well located hotels, there are many fabulous restaurants and cafes and the lcon mall within walking distance. The pool, fitness centre as well as the breakfast are all amazing. The service at both hotels has been superb and a particular mention and shout out to Aris who has gone above and beyond in making our experience particularly memorable...thank you Aris, you are a valuable member of staff at this hotel!"
"5.","Philip Connor","127","2025-12-01","5","The Perfect stay, absolutely love this hotel. The breakfast selections were true 5 star you could not wish for more. Rooms spacious, clean, nice balcony superb views. The pool is the best in Sanur we have stayed at most 5 star hotels, this pool beats all, especially appreciate the cool water temperature. The architectural features of this hotel are truly splendid. Our most memorable experience was of course the Balinese hotel staff, incredibly helpful and friendly. The path from the hotel to Bali Icon shopping Mall is an easy 10minute walk. We loved our stay at Bali Beach Hotel, highly recommended."
"6.","Jelena M","13","2025-12-01","5","The hotel is absolutely beautiful and exceptionally clean, with every detail carefully designed. The food is very diverse and delicious – truly worth praising! The staff are incredibly kind, always smiling, and available to respond to any request in no time. Altogether, it makes the stay extremely pleasant and relaxing. Highly recommended 🫶🏼"
"7.","Selin S","9","2025-12-10","5","Amazing location, lovely staff gorgeous hotel! Try to avoid seafood grill restaurant on beach as there is not fresh seafood and sister got sick. But the rest of the stay was lovely. Amazing beach view and the beach is crystal clear! Breakfast buffet was lovely and we got complimentary 5 course dinner with famous chef."
"8.","Karen O'Keefe","18","2025-10-01","5","I stayed at this hotel many years ago and the renovation has breathed new life into a classic older Bali Hotel. The rooms are very nicely decorated and the bed is very, very comfortable but above all that the service is incredible. The staff were lovely, helpful and are some of the best I have experienced. The breakfast range and variety is amazing. I also had a massage and, whilst it on the more expensive side, it was well worth it. The spa surroundings and room are very relaxing and Meli, my massage therapist was excellent. Hope to return often here and can I recommend it highly enough."
"9.","Boyke Aveanto","6","2025-12-24","5","Great hotel ! Service is a bit too much, staff are too attentive thus making my privacy a bit disruptive. Staff are not able to let guest sit alone in peace but keep asking standard unimportant question such as how is your stay, anything I can help. This leads to too much attention but less peaceful enjoyment of the hotel !"
"10.","Angelia Ayu Setiadewi","11","2025-12-01","5","Saya sempat nge-gym selama kurang lebih 1 jam di Bali Beach Hotel Sanur tempat saya menginap, dan pengalaman saya cukup menyenankan. Tempat gym-nya bersih, nyaman, dan alat-alat gym-nya juga terbaru, jadi enak banget buat latihan. Yang jaga di sana juga sangat ramah, ada Ka Yoga yang siap membantu. Dia baik banget, tidak hanya menjawab pertanyaan saya, tapi juga memberikan tips dan panduan untuk latihan glutes yang benar. Secara keseluruhan, suasana di gym sangat mendukung untuk berolahraga, dan saya merasa puas dengan fasilitas yang tersedia. Menginap di hotel ini juga sangat nyaman, dekat dengan pantai, jadi setelah gym bisa langsung menikmati suasana santai di sekitar hotel."
