"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Michelle Chong","2","2025-12-03","5","We stayed here for a few hours before our early morning flight on 29 November and had a really good experience. The check-in process was smooth because the receptionist was incredibly friendly and welcoming. The only room available was the suite, but the price was still affordable. When we entered the room, we were honestly amazed by how spacious and clean it was. It had all the amenities and facilities we needed, which made our short stay very comfortable. The staff were also very helpful during both check-in and checkout. They even helped us move our luggage to the lift, which we really appreciated. The interior of the hotel was beautiful too and gave a very pleasant first impression. Unfortunately, I didn’t get to take many photos because I was already tired, but I would definitely come back here next time and recommend this place to friends."
"2.","Mr Big Bang","1","2025-12-01","4","The hotel's location is brilliant, for business travelers, arriving late and leaving early the next day. The reception staff is nice and polite, and check-in is quick, something you need after a long trip. Room is clean and nice, breakfast starts early wich is very good. I thought a good massage was what my body needed now, so I ordered from their spa department, Therapist Karin came to my room, polite and professional. Her massage did wonders for a tired body, so that night I slept like a baby 😁. She spoke good English, so you could converse a bit during the treatment. I travel here often, and will of course order a massage with Karin next time too 👍"
"3.","GermanTryHarder","8","2025-12-01","5","Had a great stay at the hotel, it was very clean and comfortable! Much more than I expected from an airport hotel, defensively recommend to stay here if you arrive late or fly early. The breakfast was absolutely amazing and the staff at the reception was super nice and friendly, especially Amelia, such a lovely person with a kind soul :)"
"4.","Hayu Paramita","21","2025-12-24","5","Nyaman sekali stay di sini. Kamarnya bersih dan rapi. Fasilitas lengkap. Bfastnya enak2 dan menunya melimpah. Staff nya ramah² dan helpfull sekali terutama mbak amel yg membantu saat cek in dan mbak okti yg melayani saat bfast. Semoga bs dipertahankan pelayanan baiknya. Great services ⭐️⭐️⭐️⭐️⭐️"
"5.","Jeremia Febrian","4","2025-12-26","5","Lobby looks clean and still new. the receptionist, Ms. Amelia and Ms. Tria are very polite and handled our check in really well. location it is inside the airport, so convenient. would highly recommend this"
"6.","Marilyne St-Jean","9","2025-12-01","5","It’s our second time staying at this hotel, and once again, we weren’t disappointed! The room is spacious, super comfortable, and the breakfast is great. Today, Tria kindly offered us an early check-in at no extra cost since we arrived around noon. After several hours of traveling, we were so grateful for her impeccable and friendly service."
"7.","Adam","1","2025-12-27","5","Ini ke tiga kalinya saya menginap di grand anara, dari segi pelayanan nya sangat baik, kamarnya juga bersih dan wangi. Interior nya mewah dan comfy, saya juga spa dengan mba gendis, sangat baik, ramah, pijatannya merilekskan dan pegal” saya juga hilang. Saya akan menjadi langganan grand anara karena sudah nyaman."
"8.","Ben Littlechilds","370","2025-10-31","4","As a few others have mentioned, signage to get here could be better. The hotel is a typical business style hotel, it was clean, great shower, comfortable beds, quiet. It’s a bit of a walk to get here if at the other end of the terminal, and be sure to know there are 2 Anara hotels, one grand, one regular. The included breakfast is also highly recommended. Only complaint is, it’s hard to understand the billing format with the service charges and such. Also, coffee in the room would be nice."
"9.","Yunisa","325","2025-12-01","4","Hotelnya bagus pelayanannya baik. Saya pesan group dinner juga masakannya enak2. Kurangnya adalah: 1. Suara antar ruang tidak kedap suara (mungkin krn saya dapat yg bagian connecting room. Jd ckup mengganggu di malam hari kalau ada yg baru datang dan ngobrol. 2. Tidak ada amenities kapas didalam ruangan, saya request kapas tp tidak kunjung datang. 3. Waktu checkin group booking petugas kurang cekatan dan juga beberapa jenis room ada yg salah tidak sesuai request. Jadi rombongan harus menunggu. Semoga bisa diperbaiki. Terimakasih. Selain itu sudah baik. Terimakasih."
"10.","Amine Remmal","33","2025-12-26","5","Check In , Rooms , service and Location are prime top quality. We booked a room, it’s very accessible from the Airport Terminal 3. Thank you Grand Anara Airport hotel Team especially Tria. The service inspires confidence and peace for a beautiful stay."
"11.","Vincentius Reinaldi","81","2025-10-31","5","Hotel terbaik di bandara jakarta , terletak di terminal 3 domestik jadi kl perlu ke terminal 2 harus lewat skytrain (11-15 mins) Interior nya mewah dan kamar nya sangat nyaman. Fasilitas jg lengkap ada gym , kolam renang , & sauna. Lounge nya jg asik banget sangat nyaman Breakfast variasi menu nya standard tapi rasa enak & tempatnya nyaman Plusnya lagi dgn posisi di terminal 3 , naik 1 lantai lgs ke area resto” bandara"
"12.","Felix Marcus","1","2025-10-31","5","This place is a great option for a transit stopover — safe and reasonably priced. The location is super strategic, just a 10-minute walk to the flight check-in area. The rooms aren't super spacious, but they're cozy. The staff are friendly, especially receptionist Amelia and waitress Sila, as well as the other restaurant staff. One suggestion for improvement would be to offer more vegan options."
"13.","Herlina Zainani","3","2025-12-01","5","Nginep 1 malam utk check in pagi hari keesokan hari ini, kamar bersih, luas, gk berisik dng view gate 14, 15 serta pesawat garuda lalu lalang. Masakan utk sarapan tasty, dibantu dorong trolleynya oleh mas mas staff dari hotel hingga ke counter check in. Alhamdulillah"
