"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Jessie Aussie","97","2025-03-31","5","The resort’s restaurant offers a delightful blend of Western and authentic Indonesian cuisine, with all ingredients being exceptionally fresh and reasonably priced. Its proximity to the beach allows guests to enjoy their meals accompanied by the soothing sounds of the waves, creating a unique dining experience. The resort is situated in a tranquil area, providing a peaceful atmosphere away from the city’s hustle and bustle. A short walk along the beach allows guests to interact with local fishermen, offering an authentic cultural experience. Nature enthusiasts will appreciate the resort’s surroundings, which provide ample opportunities for picturesque moments perfect for social media sharing. Overall, Wyndham Tamansari Jivva Resort Bali offers a serene retreat with a harmonious blend of natural beauty and modern amenities, making it an ideal destination for those seeking relaxation and cultural immersion."
"2.","Putu Nano","29","2024-12-31","4","Tempat yang asik buat nonkrong santai menikmati pantai, makan juga asik, dapat welcome snack gratis.. Pelayanan Staff yang ramah kepada tamu lokal adalah point penting... Mantap..."
"3.","Laksmi Cahyani","11","2024-12-31","4","tiga kali kesini buat sunsetan pada rentang waktu yang beda dan jauh, tapi soal makanannya belum ada peningkatan sama sekali. sorry to say, the food is worst lmao aku pernah pesen ayam bakar, nasi goreng, pizza, carbonara, dan ini paling parah fish and cips. dari segi rasa, plating, ga ada plusnya sama sekali. please learn more!💀"
"4.","Nellie H","129","2023-12-31","4","The food was really good. Was a bit concerned when reading the comments but the food was fantastic. A little more expensive, but it is hotel prices. Took the tuna and calamaris for starter and seafood plate for main course. The taste was really really good. Very impressive"
"5.","Sony Ganadhi","781","2022-12-31","4","Terletak didalam kompleks hotel Wyndham..sangat nyaman, pelayanan ramah, penataan bagus dan bersih.. Saat sore, bisa menikmati suara ombak sambil menikmati minuman beer. Sayangnya, selama kami menginap disana, pelayanan sangat lama. Mungkin krn kurang pelayannya. Maklum, selama libur lebaran, banyak room terbook."
"6.","Yenny Kartika","215","2023-12-31","1","things look great in photos but not in reality. the swimming pools, both in the hotel and the beach club, are dirty. the ladies toilet is horrible. you can see used towels everywhere! and there is dead gecko on the floor. if you look closely you can see how abandoned this place."
"7.","Nyonya Suka Dolan","227","2020-12-31","4","Pelayanan sangat memuaskan, makanan enak keren dan gede banget kolam renangnya. Sejauh mata memandang, tampak Nusa Lembongan di kejauhan."
"8.","Aloysius Benny","48","2024-12-31","5","Pesen sate ayam dan nasi goreng ayam. Rasa enak dan porsi juga pas. Bisa diantar kekamar juga. Tapi harganya termasuk mahal, mgkin karena kena pajak yg lumayan gede."
"9.","Alland Adrian Josep","253","2024-12-31","5","Resto dari hotel wyndham, tempat nya asik dekat dengan pantai, minumannya juga enak"
"10.","Dhika Ahmad Aulia","235","2019-12-31","5","Really nice and large pool area. The sound of the sea clashing with the beach are soothing. The staff are super friendly."
"11.","Elizabeth Prima","209","2021-12-31","5","Berenang disin kita, anak² happy.. Emaknya juga happy, view nya bagus sekali, lumayan promonya buy 1 get 1 trz anakku dibawah 5 th gratis masuk, bayar ngga terlalu mahal tp kita dapat minum dan lumpia goreng, mantab bgt promonya.. Terima kasih banyak yaaa👍🏻👍🏻 …"
"12.","Lucyana Hutagaol","285","2022-12-31","5","Beautiful places, tidak menyangka jalan masuknya kecil kiri kanan nya, sawah ternyata ujung pantai nya bagus, lokasi beach club sangat strategis dengan view laut yang bagus, tersedia banyak tempat duduk bagus di area terbuka, suasana sangat teduh & privat"
"13.","Mahakarya Bali","199","2018-12-31","4","Suasana pantai pasir hitam dgn konsep bangunan natural dgn taman bergaya ubud membuat tempat ini sangat cocok untuk bersantai.cuman makanan disini bercitarasa eropa kurang cocok untuk lokal yg belum terbiasa dgn makanan eropa"
"14.","Kowol Millenix","51","2022-12-31","5","Tempat istirahat yang nyaman dengan menyuguhkan view pantai & pulau nusa penida yang indah, nyaman dan jauh dari hiruk pikuk perkotaan"
"15.","Cahyadi tan","1457","2024-12-31","4","Tempat yang nyaman, bisa jalan2 ke pantai, parkir mudah, staff ramah & profesional"
"16.","Roozbeh","625","2020-12-31","4","it is a quiet and clean place. good for relaxing. alsi they had wi-fi and you can do your work."
"17.","Ahmad Bilal Mawardi","254","2020-12-31","5","Tempatnya bagus, viewnya luar biasa, diservice langsung sama Mbo Ayu yang baik dan ramah.. suka banget sama kakap bumbu jahenya.. It's really a great place to spend your vacation, nice view, good food, great pool.. Keep up the good work.. 👍👍👍"
"18.","Ni Wayan Shanti","63","2021-12-31","4","Viewnya bagus, tempat nyaman, masuk waktu promo 100k 2pax. Makanan minuman enak jg. Hanya kamar mandinya yg agak kotor."
"19.","Giana Ang","372","2019-12-31","4","If completely satisfied i cant say that, why? Unfortunately just because the rest room. Its so dirty. If you stay here, in the restaurant you will find unfriendly staff. From their face, it tell us that they are not happy with their job. The views and the pool its okay and beautiful"
"20.","Gung Ayu","10","2020-12-31","5","This is recommended place for you that want to chill and vibes together😍😍. Confused just stay at home??? Come to jivva Beach Club ❤️😍😍, Good place, good taste and good view👍👍 Still worry with corona?? Keep calm, this place is using with protocol side like check temperature body and using hand sanitizer. Dont forget to use face mask !!"
"21.","Polina Russkova","68","2023-12-31","4","Well, the food was good Tuna tataki 5 Pumpkin soup 4 Tom yam not Tom yam at all"
"22.","Charlie Jay","756","2023-12-31","5","Impromptu lunch with my companion. Food was great, service was quick and polite and the venue was quite wonderful. No complaints here"
"23.","Made Yogi","62","2018-12-31","5","Majestic view, tropical atmosphere. Voucher price is 175K you will get pool access + towel, food & beverages."
"24.","Era Suryatmaja","3","2020-12-31","5","Tempatnya asyik banget ada live DJ music dan pemandangannya bisa lihat pulau nusa penida.. kolam luas dan bersih. Cocok ajak teman2 dan keluarga dah kesini 😁👍👍 …"
"25.","Putra Wibawana","181","2017-12-31","5","Great place to relax and enjoy delicious food. Location near the beach. Recommended time here at 7pm. Recommended place."
"26.","andi khadijah","30","2021-12-31","4","Nice and quiet place located right in front of monkey forest gate. You can see monkeys roaming around the place. The host was really nice and helpful."
"27.","Ina Handayani","34","2018-12-31","5","Good place to chill and catch the sea breeze while the music playing nicely....Food amazingly good too....facing the black sand on the beach is another different experience in bali...I'll be back again 😍 …"
"28.","nonik menik","79","2020-12-31","5","cocok untuk ngobrol santai bersama teman dan keluarga, tempat luas dan nyaman dengan pemandangan pantai jadi ga bikin bosen. Kalau mau renang sekalian juga kalian bisa. Harga ga bikin kantong bolong."
"29.","Rhianna Loxton","260","2025-03-03","5","The service here is 5*! The food here is fantastic and recommended that you try the BBQ Platter, it's delicious!! Stayed at the hotel for 2 nights, and they are very accommodating and eager to help!! Thank you for making our stay more enjoyable 💕"
"30.","Mitha' Journey","61","2018-12-31","5","Very nice view..warm N friendly staffs.. Good food."
"31.","Ragni Sirilan","9","2025-03-03","4","We stayed here for the first time. The staff who were on when we arrived were more than welcoming. Big beautiful smiles and very helpful with us checking in. Our room wasn't ready witch was very fine with us as it gave us more opportunity to see more of this lovely Bali with our private driver. When we did get back our rooms were ready and Wayan who took us to our room was very helpful, talked the resort. Because we came from Adelaide, Wayan mentioned he had been to Adelaide, while working on a cruise, witch connected us stright away.Aw we checked our rooms we found some problems with the mini fridge as our children did too. We brought this up the the front desk, and also our plunge pool, witch was quite dirty. Risa and the general man working with her were very sympathetic about the situation and said they will get onto the following morning. We enjoyed the day out and got back to a very clean plunge pool and working mini fridges. The cleaners also did a great job on our rooms. The only negative thing about this place is the food at the restaurant, we ate in for dinner, the food was very dry and way too over cooked, the squid was very tastless and rock hard, witch the waiter said its ment to be like that. He was kind enough to take it off our bill. My husband got the duck witch was OK, but not as bad as our daughters chicken, now that was beyond dry,our son got a rice dish witch came with some meat, I have to admit one of the chicken on the plate was so over cooked, We first didn't know what kind of meat it was. I got the beef pizza that was very average. This experience did put us off from coming back to try out any other dishes. Over all the staff were very helpful and always greeted us with a smile. Definitely will come back but not for the food. Thank you all for making us welcome and making our stay lovely."
"32.","Bryan Martin","1464","2021-12-31","5","Great place to enjoy the beach, they also have a large pool."
"33.","Aprilia G","58","2019-12-31","5","Amazing place with beautiful view of Klungkung beach. The atmosphere is calm and romantic. Delicious food and the waiters are also very friendly. Recommended place to chill in Klungkung."
"34.","Sabrina Aisah","44","2020-12-31","5","Friendly staff. Good environment for the pool, sofa in the garden while you can take a look lepang beach in the same time"
"35.","Ngurah Dwi Arta","41","2017-12-31","5","A tranquil hideaway beach club in Klungkung regency. Has a good view, cozy place and nice foods. Come and enjoy the beauty."
"36.","Amelia 2012","123","2021-12-31","5","Baguus..tapi pantai tidak untuk bermain, apalagi berenang hanya view aja... Beach club ok tempat bersih, pool good makanan enak"
"37.","Nada M","2","2025-07-01","5","Thank you chef Gusti for always serving the best"
"38.","mega leviosa","5","2020-12-31","5","Such a great please to enjoy beach vibe with family and friends... Delicious food and huge pool. Will definitely comeback in the near future"
"39.","Satya Dharma","11","2020-12-31","5","Amazing beach club! Great food and drinks Huge pool and so many sunbed Will come back later with my family for sure"
"40.","Alison De Maria","85","2024-12-31","1","Most things on the drinks menu are not available. Wine was opened 2 weeks ago and was foul and oxidized. The staff didnt give a shit. The food was questionable in terms of quality, and preparation. Cold on arrival to the table, or undercooked and cold in the middle of the duck (which took a long time to arrive dispite obviously having bee precooked and reheated). Across 9 people one dish was ok, 3 dishes passable the rest discusting. We also noticed afterwards the menu price did not match the bill. DO NOT RECOMMEND."
"41.","Putu Cahyadi","1","2025-05-31","5","I was having diner around 7PM get a recommended menu from the staff Soto Betawi it was so tremendous and staff was really friendly giving recomendation also easy conversation I give food quality 5.0 Friendliness 5.0 overall dining 5.0"
"42.","Tiara Desita","5","2025-05-01","5","Suasana comfy dgn pelayanan bintang 5, makanannya enak dan bervariasi😍. Bakalan balik buat stay dan ngabisin waktu disini🥰"
"43.","Agung Wisnuari","109","2020-12-31","5","tempatnya bagus dan luas , makanan enak cocok sama keluargga kesini kalian harus coba"
"44.","Dewa Sudarma","65","2022-12-31","5","Hotelnya bagus nyaman fasilitasnya oke ada kolam renang tepat didepan pantai lepang yg berpasir hitam"
"45.","Indi Aryana","3","2020-12-31","5","I heard this place from social media and found its really great place to come with family and friends Delicious food and drink Large pool And the view tho! Its amazing"
"46.","Air Jaya Tour (Ady)","194","2018-12-31","4","Condotel & villa di tepi pantai lepang gianyar Bali.tempat menginap & nongkrong yang asyik di tepi pantai lepang Gianyar Bali."
"47.","sofian bachtiar","90","2020-12-31","3","Pelayanan bagus, lokasi mudah di tempuh, makanan biasa aja harga mahal, viewnya biasa"
"48.","Jelle Vergeer","9","2024-12-31","2","We came here to have a swim in the pool and have something to eat. Pool was closed, unmaintained and water that was left in it was dark. Food was not good. We had burgers and the bacon on the burgers smelled weird and didn’t even look like bacon. Structure and taste of the burger was also weird."
"49.","Teguh Sembada","7","2017-12-31","5","Keren banget hotel dan fasilitasnya apalagi siuite roomnya bikin betah gak mau klr kamar hahaha Beach clubnya jga asik tmpatnya"
"50.","Alan John taylor","56","2020-12-31","4","Nice family place.good location.food nice but experience.. Will come again."
"51.","Najeeb Olomi","2","2023-12-31","1","My stay at the Wyndham Jivva Resort was highly disappointing on multiple fronts. The service provided by the staff was abysmal. They appeared disinterested and indifferent towards guests, making interactions impersonal and unsatisfying. It was almost impossible to get any assistance or attention, leaving me feeling neglected and frustrated throughout my stay. The pool at the resort was a major letdown. It was poorly maintained and unclean, undermining any desire to take a refreshing swim. The water seemed murky and uninviting, suggesting a lack of regular maintenance and care. The pool definitely did not match the standard one would expect from a reputed resort, leaving me feeling cheated and displeased. The food served at the resort was another major disappointment. The quality was mediocre at best, and the options were limited and repetitive. The lack of flavor and creativity in the meals was evident, leaving me unsatisfied and unimpressed with the resort's dining options. It felt like a missed opportunity to provide a delightful culinary experience for the guests. The management at Wyndham Jivva Resort failed to meet expectations. They displayed a lack of organization and responsiveness to guests' concerns. It seemed that they were more interested in cutting corners than ensuring a pleasant stay for their patrons. Any attempts to address my concerns with the management were futile, leaving me feeling dissatisfied and ignored. Lastly, the staff's attitude was consistently unpleasant. They lacked professionalism and courtesy, which made interactions uncomfortable and unwelcoming. Their lack of dedication and enthusiasm created a negative ambiance, significantly impacting the overall experience. The staff's indifference towards guests was disappointing and far from what one would expect from a resort of this caliber. In conclusion, the Wyndham Jivva Resort fell far short of expectations. The inadequate service, poorly maintained pool, uninspiring food, ineffective management, and unwelcoming staff all contributed to a highly unsatisfactory stay. I strongly discourage anyone from choosing this resort if they desire a pleasant and enjoyable vacation. It was a regrettable waste of time and money."
"52.","ZEEDS","51","2021-12-31","4","Terletak di pantai lepang, pemandangan pantai lepang yang menawan dapat kalian lihat disini"
"53.","rene springall","151","2022-12-31","2","Although it's a nice little beach club at Klungkung area, the staff were friendly and tried their best to gave best service, however the food were awful. We ordered steak and pizza, it turned out were not as we requested and one of them was not cook properly (frozen). Despite they were apologized about it, however the foods has been served."
"54.","Gus Ady","39","2018-12-31","5","Tempat yg nyaman buat bersantai sore hari"
"55.","Ela Ratschiller","31","2018-12-31","4","Great weatern food, it tastes like at home and i am from italy! The pool is the best! Its huge and surrounded by white sand. The place is always clean and directly beside the beach. Staff are nice! We keep on going back there. Its very relaxing. We got small children and its suitable for them as well. The huge outdoor cinema screen is fun too, but they only use it in the evenings, which makes sense. Prices are okay for what you get because they cook with real salmon, seafood, cheese.... Only the local food is a bit overpriced."
"56.","Cho Hamsyonk","54","2018-12-31","3","Berkunjung kepantainya saja. Tidak sedang menikmati layanan jivva beach."
"57.","Anik Tini","624","2018-12-31","5","Great place, great fooad, great pool, great beach and great food with friendly staff"
"58.","Abdul Kader","29","2024-12-31","1","Bought a margarita pizza , made me sick and threw up the cheese and pizza all night. Something was wrong with the pizza. The pasta was cold. The spring rolls were a mess."
"59.","Arya Wiguna, Ikd","65","2019-12-31","5","Cozy place with good view of klungkung beach that will make your day amazing!"
"60.","Pawl Pawl","10","2022-12-31","1","Nice place, relaxing .. However they need a bartender who knows how to make drinks and a chef who can cook.. Mai tai cocktail was just a glass of guava juice and the food had no love or flavour.. Didn’t finish it and just went to get some street food which was $2 and delicious. Coffee was good, that’s all."
"61.","sukses oke","13","2021-12-31","1","Kecewa dengan pengalaman terakhir kesini tgl 12 oktober 2021. Saya tidak ambil paket renang namun hanya makan dan pesan 1 kentang goreng, 1 cocacola & 1 teh jahe. Namun yg datang adalah 1 kentang goreng, 2 coca cola, & 2 teh jahe. Saya sudah complain bahwa saya hanya pesan 1 cola dan petugas menarik kembali 1 botol cola. Dan saat pembayaran yg tertulis di nota adalah 1 kentang goreng, 2 cocacola, & 3 teh jahe ++. Sangat mengecewakan pelayanannya padahal sudah sangat sering pergi kesana & saya niatkan untuk support para pekerja yg terdampak pandemi & selalu saya posting dengan kesan yg bagus di IG agar orang2 tertarik datang ke JBC."
"62.","Fiqqi Pradityo","13","2019-12-31","4","Nice staff, amazing ambience, food is meh, toilet is a bit smelly."
"63.","Aldy deck pad","9","2023-12-31","5","Overall bagus keluarga senang liburan disini"
"64.","DayuDex Artami","41","2022-12-31","5","Senja hari yang indah antara keheningan, suara ombak dan pesta yang meriah"
"65.","Yenarto Journey","90","2024-12-31","1","Nungguin handuk dari awal kedatatangan jam 16.30 sampai kami pulang 18.05 tidak datang. Info dari staff restaurant Nanti STAFF saya akan bawakan... Benar benar SANGAT MENGECEWAKAN"
