"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Evita Hadiz","571","2025-12-23","5","Marusaka Hotel is such a gem in Nusa Dua. The rooms are spacious and beautifully designed, with a comfortable bed that guarantees a good night’s sleep. I loved having both a bathtub and a shower — perfect for choosing between a long, lazy soak or a quick refreshing rinse. Another highlight is the private swimming pool shared by every 3–4 adjacent rooms, which makes it feel exclusive yet social at the same time. The hotel also has great dining options. The Bistro is perfect for casual bites, while the Gading Resto offers a more refined dining experience with delicious dishes. And just steps away, you’ll find the private beach, a serene spot to relax, swim, or simply enjoy the view. Between the facilities, the comfort, and the location, staying here was a wonderful experience — highly recommended for anyone visiting Nusa Dua."
"2.","Lilly Hunady","9","2025-12-23","5","I truly had the most perfect stay here at Merusaka, I’m sad I only booked 5 nights because I could’ve stayed for so much longer. We had an all inclusive package which was so worth every cent. We had 4 spectacular restaurants to choose from with a mixture of western and indonesian cuisine. Breakfast had so much variety with such fresh foods. Lunch and dinner could be eaten at any of the restaurants which all had an awesome menu. Over 5 days we ate at every restaurant and couldn’t fault single thing. Service, outstanding. Food, fresh and absolutely delicious. Atmosphere, very clean, so well looked after. The rooms were no different… absolutely spectacular rooms; modern, super clean, well maintained, 100/10 for the comfort and size of the beds (super king) and pillows. The bathroom very clean, well stocked with high quality products. Again, this was no surprise given the presentation of the resort. 3 pools to choose from, one that had a swim up bar and 2 diving boards was our favourite, it had music playing all day and had a great atmosphere. There was another 2 pools that was for the quieter people. All pools extremely well maintained. The hotel also backed onto the beach (no need to take the shuttle like other nusa dua resorts), which was lovely. We also booked a spa treatment on site, which again was so beautiful! I truly couldn’t fault a single thing about this resort. Every single detail was so perfect. I cannot wait until next year when I return!"
"3.","Yijun Gu","9","2025-12-23","2","Extremely disappointing stay, would not recommend! This was by far one of the most frustrating hotel experiences I have ever had. We reserved a king bed room for multiple nights, but upon arrival, the hotel attempted to provide two single beds pushed together and present it as a king bed. Even after raising this issue and changing rooms, the exact same problem occurred again. This is not acceptable and does not match the room type we booked. The first room was located at the end of a long corridor, next to a small, poorly maintained pool. The moment we entered, there was a strong chemical and renovation odor, making the room uninhabitable. We requested a room change and were required to wait a long time in the lobby before anything was arranged. The lobby and public areas were hot, humid, and lacked air conditioning, which made the extended waiting period extremely uncomfortable. Staff mentioned that someone would contact us via WhatsApp, but no communication ever came, even throughout the entire stay. The second room had a very heavy artificial fragrance, seemingly used to mask underlying issues. The smell was overpowering and caused significant nasal irritation and an allergic reaction the following morning. Once again, the bed setup was incorrect, with two single beds pushed together instead of a proper king bed. Although the hotel acknowledged that these issues were their responsibility, they still refused to offer a full refund. What followed was prolonged and exhausting communication involving hotel staff and booking agents, with inconsistent explanations and a lack of professionalism. Additionally, the resort layout feels more like an aging apartment complex rather than a luxury resort. Rooms are spread far from the lobby and require shuttle transport, which adds unnecessary inconvenience. Overall, the service, room quality, facilities, and management fell far below expectations for a hotel of this category. The property is poorly managed and does not deliver the experience it promises. If you care about comfort, health, and a smooth travel experience, I strongly suggest looking elsewhere."
"4.","ATC_ EGGW TWR","22","2025-11-30","5","An unforgettable stay at a truly luxurious and beautifully maintained hotel. We stayed in a villa, and the level of privacy is absolutely mind-blowing. Surrounded by greenery, with a spacious and spotless private pool and a scenic river-pool just behind the villas, it felt like our own little paradise. The food is fantastic, the beach is clean with plenty of sunbeds, and the resort’s three massive pools and extensive gardens still manage to feel intimate and peaceful. But what truly sets this place apart is the staff. They can accommodate any request and went above and beyond to help us organize my mother’s 70th birthday on the beach with private dining, a birthday cake, and amazing music. The duty manager and the entire team were exceptional. Highly recommend this hotel — it’s perfect in every way."
"5.","Rebecca McInerney","12","2025-12-02","5","A truly wonderful experience. We’ve just had 5 very special days at this wonderful resort and it’s been magic. An older style resort, which I love…in beautiful, clean Nusa Dua. Rooms are lovely and cleaned daily with incredible care, lovely grounds and pools. Food exceptional and cocktails great. The thing I loved most was the team of people working there. Each and every one of them were friendly, helpful and always smiling. An absolute joy. I could not fault this establishment and I thank them for an incredible stay. We will return."
"6.","vani tyagi","7","2025-12-16","5","Hi, We stayed at Merusaka for a week, and it was an exceptional experience. The resort offers outstanding pools and excellent service throughout. We were warmly welcomed by Andre at the restaurant, and he truly made our stay memorable. He provided great food recommendations, arranged for our meals to be customised to our preferences, and even shared helpful travel suggestions. As a thoughtful gesture, he also gifted us a Merusaka coaster. His hospitality stood out, and he quickly became one of our favourite staff members. Highly recommended."
"7.","Krystal C","127","2025-11-30","5","Lovely hotel, large and grand and visually stunning. It was full of people, and kids. But there were so many options for pools that it was possible to find a peaceful spot and have your own space. We had a lagoon access room and that was an amazing saving grace that we could retreat to if all else failed. Location is unreal, we’ve stayed nearby before and love this strip for so many reasons. The views, the service, the walking paths, happy hours at all the beach hotel bars, and variety of restaurants . As well as a little ‘mini Seminyak’ treat about 3 minute drive away. Nearby massage spas will pick you up for free. What’s not to love?"
"8.","Jacqui Worrall","10","2025-11-30","5","We stayed here on our holiday and couldn't be happier. The staff, the facilities, the food, the entertainment, was everything we needed for a great holiday. It's close enough to some local spots like Bali Collection, Uluwatu, GWK Cultural Park. Ubud with the monkey forest, butterfly parks, etc, is a little further out but perfectly doable as a day trip. The staff were friendly and always eager to help. The food was incredible and generous, the drinks were fabulous. We had a ball at the foam party, the cultural dance night, we enjoyed quiet days by the pool. The inclusives like the spa treatments and photo shoot were additional bonuses that really made the trip. Highly recommend for families. My kids are teenagers, but young kids will also find things to do."
"9.","Tamas","17","2025-12-09","5","Our two-week stay at Merusaka Hotel in Nusa Dua was simply wonderful. The private pool attached to our room was absolutely fantastic and made the experience even more special. The hotel’s beachfront location and the many additional pools throughout the property offer endless opportunities for comfortable, relaxing downtime. The rooms, garden areas, and restaurants were all spotless — everything truly sparkled with cleanliness. The staff were consistently kind, attentive, and always ready to help with a smile. We had an unforgettable time, and I can wholeheartedly recommend this hotel to anyone looking for a relaxing, beautiful, and well-cared-for getaway."
"10.","Michal Novák","32","2025-11-30","5","My friend and I spent an unforgettable 7 days at MERUSAKA Nusa Dua, and we couldn't have made a better choice. The hotel is beautiful, modern, and kept spotlessly clean. ​Accommodation: We stayed in a room with direct pool access (Pool Access), which I highly recommend to everyone—it is incredibly convenient. Although the buildings are situated quite close together, the layout is designed so cleverly that we enjoyed complete privacy and peace. ​The food was a highlight in itself—absolutely fantastic. The buffet breakfasts were extensive, and for our other meals, we ordered à la carte. Everything was always fresh, perfectly seasoned, and beautifully presented. I appreciated the selection of several themed restaurants, so we never got tired of the food throughout the week. ​The Nusa Dua location is great. Apart from the beautiful hotel beach, there are plenty of opportunities for exploring and walking in the area, which we took advantage of often. I must also highlight the staff—everyone was constantly smiling, helpful, and made sure we felt completely pampered. ​If you are looking for a place to relax with perfect service, MERUSAKA is the right choice. We will definitely be back!"
