"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Punto Dewa","193","2025-12-01","5","Wyndham Tamansari Jivva Resort Bali is a beautiful beachfront property that exceeded my expectations. The beach is clean, calm, and perfect for relaxing, and the sunset views are absolutely incredible. The resort itself is big, spacious, and very peaceful, making it an ideal place for a quiet and romantic escape. I loved how well-maintained everything was, from the rooms to the garden areas. The atmosphere feels private and relaxing, far from the crowded tourist spots. The staff were extremely friendly and helpful throughout our stay, always ready with a smile and quick assistance. If you’re looking for a serene beachfront getaway in Bali with great service, beautiful scenery, and a calm environment, this resort is a perfect choice. I would definitely come back."
"2.","Didi Marsinta","19","2025-10-31","5","Lovely stay as this hotel has 2 magical pools that perfect for family escape. Rooms need some refreshments. Staff were generous and breakfast was available with many options. The hotel hosts many events and gladly they still assist food n drinks services over the beach club when the restaurant is way up near the lobby. This hotel has gym, spa and all the 5-star resort provides. Excellent hospitality. Many thanks Ibu Fransiska Ibu Widya and the entire Jivva members ❤️"
"3.","Imam Fahmi","193","2025-12-01","5","Pertama kali nginep di hotel bintang 5 selama 2 malam. Pelayanan sangat bagus, mulai dari resepsionis sampe staffnya ramah semua dan sangat helpful. Bahkan setelah check in nnti bakal dibantu dan diantar staff menuju kamar. Kebetulan dapat kamar dibawah jd gak perlu naik tangga/lift, dan view belakang kamar lgsg ke kolam renang. Disini setiap belakang kamar ada balkonnya, mungkin ada jg kamar yg menghadap ke laut (hotel ini lokasinya di pinggir pantai pas). Ukuran kamarnya sangat besar dan luas, amenities lengkap, ada sandal, hairdryer, alat mandi lengkap, handuk besar 2, kecil 2, trs baju mandi jg ada (yg model seperti handuk, sy gak tau namanya 🗿) ada teh, kopi, gula, krimer, dpt air botol 2, ada kulkas kecil juga, tp kebetulan di kamar sy tidak berfungsi, saluran tv sangat beragam, ac sangat dingin, ada sofa juga di dalam kamar, lalu di bagian balkon jg ada kursi dan meja, cocok kalau buat ngopi santai dengan view kolam renang. Kamar mandi ada bathtub nya, shower, wastafel. Air dingin dan panas berfungsi dengan baik. Sarapan nya beragam dan rasanya enak semua, tidak ada yg mengecewakan. Pelayan jg sangat ramah, saat sy ingin titip barang di kulkas hotel, pelayan lgsg menjemput ke kamar, dan ketika ingin diambil bisa langsung diantar ke kamar juga. Hotel ini lokasinya agak jauh dari kota jd cocok untuk yg mau mencari ketenangan dan kedamaian. Mungkin jika ada kesempatan, sy akan kembali ke hotel ini, terimakasih Wyndham Tamansari Jivva Resort 👌"
"4.","Ashley Charlton","3","2025-10-01","5","This place is remarkable. We stayed in one of the villas with a private pool and our stay was fantastic. The staff are amazing and super friendly and helpful. The villa is serene, the location is far away from anything which is perfect if you are looking for a relaxing stay. The prices for meals are the same as Australian prices and the menu isn’t the best, but I highly recommend this venue."
"5.","Jane","39","2025-12-01","5","⭐ A Truly Exceptional 70 Night Stay at Wyndham Tamansari Jivva. After spending 70 unforgettable nights at the Wyndham Tamansari Jivva Resort in Bali, My husband & I can honestly say this resort has become a second home to us. Every moment here has been shaped by the warmth, kindness, and dedication of the staff, who turned a long stay into an experience filled with joy, comfort, and genuine connection. A heartfelt thank you to Ariani and Awik in the restaurant, whose smiles and gracious service brightened every single day. Their attention to detail and ability to make each meal feel personal, truly made dining a pleasure. Our deep appreciation also goes to Chefs Gusti and Gede, whose passion in the kitchen is nothing short of remarkable. Every plate they crafted was a reflection of skill, heart, and Bali’s rich flavours. They, & their team made each meal something to look forward to. A big thank-you also to Adi, Yogi, and the entire room attendants team, who kept everything immaculate and comfortable throughout our long stay. Their hard work, friendliness, and thoughtful touches did not go unnoticed and meant more than they know. A special mention also to the wonderful Juniari from the TIRTA Spa, her variety of Balinese traditional massages, body treatments & facials, were a truly sensational experience. And of course, to all the wonderful staff across the resort, each of you contributed to an experience that was memorable in the best possible way. From warm greetings in the mornings to helpful conversations in the evenings, your kindness has left a lasting mark. This resort isn’t just a beautiful place to stay; it’s a place filled with people who genuinely care. We leave with gratitude, cherished memories, and a promise to return in 2026. Terima kasih, Wyndham Jivva. You all made our time in Bali truly special. 🌴✨"
"6.","Yuli Rahmayanti","13","2025-10-01","3","I stayed here about a month ago, and honestly the hotel really needs better maintenance as there are many rusty areas. The room itself was clean, but I didn’t like the smell of the linen—it felt a bit damp. The shower room was too small (I even saw a centipede on the shower wall), and the room wasn’t soundproof, so it was quite disturbing at night when I could hear guests next door arguing. On the positive side, the food was okay, the price was fair, and the service from the staff was excellent. It’s a pity, because the location, the view, and the staff are already great. With proper maintenance, this place could be amazing."
"7.","Gaga Santosa","282","2025-12-01","4","Located on the coastal area of Klungkung, Bali, this resort can be a good choice for staying and exploring the surrounding Klungkung area. The sound of the crashing waves is clear and calming; however, the vibration from the waves can be felt in the room and sometimes feels like an earthquake, which startled me at times. According to the hotel booking app, this property is categorized as a 5-star hotel. Personally, I would rate it 4 stars, considering the many maintenance issues that affect comfort. The building and garden areas, including the small lake near Jivva Beach Club, are not well maintained. The rooftops of several buildings are an eyesore, the metal pillars are rusty, and some rooms appear empty or damaged with doors left open. For these reasons, I would give a 3- or 4-star rating for the facilities. However, the service truly deserves a full 5 stars — the staff are well-trained, friendly, and professional. The main issue lies in the hotel’s building maintenance. I booked two rooms located in Unit 5 on the 2nd and 3rd floors. The room on the upper floor feels the vibrations from the waves even more strongly, almost like an earthquake. I’m not sure whether this was studied during the construction phase regarding its long-term impact, though I’m sure the project was planned carefully. One of my rooms had a balcony with a jacuzzi, and the other had a private pool on the terrace. The view featured a lush yard and coconut trees, which was quite relaxing. As for breakfast, I’d say it was just standard for a 4-star hotel. During my 3-night stay, the breakfast menu changed daily, but it still felt monotonous and lacked variety. I’m not sure whether the hotel’s official rating is 4 or 5 stars. Hopefully, in the future, the hotel will repair the damaged roofs, rusty pillars, lights around the lake, and the garden near the lake, so guests can feel more comfortable walking through that area on the way to JBC."
"8.","Krista Jensen","24","2025-10-01","1","NO WAY, NO STAY. this hotel should be condemned and closed. it is not a five star hotel. the number of extensive outstanding repairs that could result in serious injury are mind blowing. as an architect it is obvious that only time, lack of funding, and negligence allows a property to degrade to such an unsafe degree. there is a sign at the desk that says projects are a result of recent storms, but unfortunately that cannot be true…. all metal railings are corroded so badly they are no longer even in tact, even from upper 2 and 3rd floors. an issue of this magnitude takes time, not a one time storm…. all wood decking throughout is rotted out entirely and sagging. you literally fall through holes as you walk. rusted metal and nails everywhere. not to mention the massive overheard ceiling holes throughout the entire property. guests should be given a hard hat. we were so put off by the lack of safety throughout the buildings that we didn’t dare enter the pool. i would never bring small children here. windows in upper floor rooms open at least 1m wide without any safety latches. kids could lean right out and fall. this is all a lawsuit waiting to happen. we unfortunately packed our bags after only a few hours and departed. i feel for the kind and helpful staff that work here and wish them all the best. they are obviously the gift that keeps this place open….😔"
"9.","Veline Wandoyo","13","2025-12-10","1","fasilitas dan kebersihannya sangat kurang. kamar ada lalat mati dan fasilitas gym ny jelek sekali. alat2 usang berkarat dan kebanyakan tidak bisa dipakai. resort ini tidak rekomen. saya sengaja memilih resort ini dihari spesial ulangtahun saya tetapi malah mengecewakan"
"10.","Salma Al Hasan","230","2025-12-01","1","It's far to go anywhere, there's hair on the bed in the room, breakfast isn't varied, the waiter plays with his phone while serving, the staff isn't friendly at all. The building is spacious. The view is good."
