"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","nani nani","6","2025-11-30","5","In October 2025, my husband and I stayed two nights at Hotel Yulia in Gorontalo in North Sulawesi on our way to Pulau Una Una in Central Sulawesi. We stayed another night at the same hotel on our way back from Pulau Una. Both times, we requested, and were granted, early check-in and early check-out; this was to accomodate our boarding time on the public boat KMP Tuna Tomini, and on our flight home. In addition to the flexible hours, Hotel Yulia allowed us to partake of a wide variety of dishes for our breakfast, of which my favorite was the kwetiau goreng. In fact, our lunch and dinner via room service were not only appetizing but also of generous portions; my compliments to the chef. Lastly, I would like to convey my appreciation to the General Manager, Pak Pascal, for graciously taking my calls with regard to my check-in requests. I had gotten Pak Pascal's phone number from the owner of Sanctum Una Una Dive Center, who had only good things to say about him. I highly recommend Hotel Yulia. Nani Murtaqi"
"2.","Mergo Tresna Abdela","268","2025-09-30","5","Pengalaman luar biasa menginap disini. Hotel bersejarah di provinsi Gorontalo. Walaupun harus menaiki tangga untuk ke lantai 2. Tapi pelayanan resto, housekeeping, sampai front office semuanya ramah dan super helpful. Kamarnya luas dan ada jendela serta pintu ke balkon kecil."
"3.","Putri Wulan","2","2025-10-30","5","Yulia hotel yang sangat modern dan vibe yang sangat menawan, pelayanan nya ramah dan cepat membuat siapa saja nyaman pasti, kamar nya bersih dan bagus🤍"
"4.","Harit Heru Andiwibowo","13","2025-10-30","5","Sangat nyaman di Hotel ini, dapat rekomendasi dari teman langsung di berikan nomor telepon nya.... Terimakasih kepada Ibu Citra, yang baik serta ramah serta para pelayan melayani sangat baik.... 4 malam menginap di hotel ini seperti refreshing walaupun lelah dalam menjalankan tugas.... Terimakasih Bu Citra, Terimakasih kepada seluruh staf Hotel... Semoga Lelah mereka menjadi Lillah buat keluarga serta berkah.... Aamiin YRA 🤲"
"5.","Nazwa Tabo","1","2025-10-30","5","Hotelnya modern dengan vibes yang menawan serta staf yang sangat ramah dan murah senyum membuat nyaman🤎"
"6.","Dina Alfiah","4","2025-07-30","3","untuk fasilitas hotel sudah bagus dan nyaman. tapi respon dari admin hotel ketika di chat sangat tidak ramah terhadap customer. mungkin bisa ditingkatkan pelayanan dalam membalas pertanyaan customer karena itu juga menjadi nilai penentu customer akan memesan layanan kamar dll atau tidak🙏🏻 …"
"7.","uchwatul faizah","47","2025-11-30","5","Makanan ala cartenya enak2, kamar bersih, nyaman, luas...FOnya ramah2."
"8.","Hijrah Hasim","5","2025-10-30","5","hotelnya sangat modern dan stafnya cekatan dalam membantu i love u yulia👍🏼👍🏼👍🏼👍🏼"
"9.","Julius Amril","2","2025-06-30","1","Maaf saya nginap dihotel ini mau sambung nginap tapi di bilang sdh tidak bisa katanya sdh full, padahal saya blm habis waktu dan mau sambung tapi sdh dibilang melalui telpon tidak boleh nyambung sdh full kata petugas lobby menelpon ke kamar. Seharusnya dia tanya dulu apakah mau nyambung nginap atau tidak. Masukan buat hotel ini kalo mau terima order dari luar tolong pastikan dulu apakah orang yg nginap masih mau nyambung atau tidak."
"10.","Ari idqo","109","2025-10-30","5","Bagus cuma minus di air yg kurang deras, over all mantab"
"11.","Rahma Wati","4","2025-06-30","5","Pelayanan Ramah, Kamar Bersih, Makanan enak², insya allah ke sini lg nginap klo ke Gorontalo"
"12.","ТСЖ МАЯК","11","2024-12-30","5","The place is good and looks new. It is no way a big hotel but rather small and cozy. The room we had was spacious and the breakfast was nice. Our needs were attended by the reception staff 100%. The young man by the name of Clief was extremely helpful when it came to negotiating a long distance taxi ride and sorting it out with hopelessly dishonest taxi drivers. In the end he won but it was not that straight forward or easy. Thumbs up and my hat off!"
"13.","Wisnawaty Harun","2","2024-12-30","5","Menginap disini bulan februari 2024 selama hampir 2 minggu, booking 5 kamar. Staffnya sangat baiiiiik 🫶. Breakfast standar makanan hotel bintang 3, rasanya enak. staffnya gercep kalo dimintai tolong, bahkan via whatsapp bisa. Dan dapat 5 voucher diskon resto karna masih suasana imlek saat itu. Beberapa kali juga pesan makanan di resto, rasanya tidak mengecewakan. ♥️ dan mulai sejak pulang dari yulia hotel, setiap kali ada keluarga/teman yg mau menginap di gorontalo, selalu saya sarankan kesini saja. Harga masih ramah dikantong, tapi fasilitas kamar lumayan lengkap. 😁 bahkan kadang minjam setrika bisa berhari-hari lupa balikin, dan tetap dibiarkan di kamar. 🤣🙏 terima kasih ya yulia hotel. Semua penghuni 5 kamar yg saya booking mengaku sangat senang dan puas dengan segala fasilitas dan keramahannya. 🫶"
"14.","Shar News","6","2024-12-30","5","Saya stay semalam bersama keluarga (3 rooms) di Yulia Hotel. Kamarnya bersih, harum, luas, AC dingin. Kasur dan bantal bersih, seprei putih tanpa noda. Bathroom juga luas dan bersih. Peralatan mandi lengkap, sandal kamarnya unik (belum pernah liat model begini). Auto dibawa pulang buat kenangan 😊 Dapat welcome drink bisa pilih ada 3-4 pilihan. Menu sarapan enak, ikan balado, kwetiauw goreng, sayur cah, salad bar, aneka buah segar, aneka jus, susu segar, infused water, bisa minta di gorengin telur omelet/mata sapi. Ada bubur manado (tinutuan), panada, macam2 kue dan roti. Lobynya bagus 👍🏻 estetik Keluarga sepakat sungguh nyaman bermalam dihotel Yulia by HIG Gorontalo. Maaf foto room tdk sempat 🙏🏻"
"15.","Bhekti Lestari","218","2024-12-30","5","Lokasi dekat dengan jalan Utama, kemana-mana dekat, tinggal jalan, tempat makan di sekitar hotel banyak. Staf ramah, proses checkin cepat. Lobi hotel nyaman. Kamar besar, dan twin bed nya ukuran 120. Selain sabun dan shampo disediakan juga conditioner, hari pertama nginap air kecil dan air hangat tidak terlalu hangat, alhamdulillah hari kedua aman. Pinjam setrika, luar biasanya dikasih pinjam papan setrikanya juga. Hari pertama kami minta breakfast nya di take away, dan gak pelit, kami dikasih menu sesuai yang dipilih dan dapat 2 botol air mineral, packaging nya juga aman. Breakfast langsung di hotel makanannya enak, beberapa pilihan. Akan Menginap disini lagi, jika nanti ke Gorontalo."
"16.","Yuni Irawati","9","2024-12-30","5","Kamarnya luas, fasilitas lengkap, bersih, sandalnya unik dan beda dari hotel lainnya. Sayang cuma 2 lantai dan blum daa lift."
"17.","Asmaulhusna P. Poha","52","2024-12-30","5","Dari Awal Chek In sampai Chek Out untuk Pelayanannya sangat bagus, dan slalu menerapkan 5S🥰. Untuk Kamarnya Sangat Estetik dan Moderen. Kamar mandinya pun bgtu sangat bagus Airnya Juga asssiap kencang sekali keluarnya. Untuk Fasilitas Kamar Ada Teh,Kopi & Air. Handuk Mandi bersih harum, Sprei Juga Bersih & Harum, Oh iya Untuk Siaran TV nya ada loh Lengkap siarannya kecuali Netflixnya (pakai akun sndiri). Breakfast nya Enak banyak Varian , Apalgi Telur dadarnya Mantap Polll 🤤, dan ada cemilan juga. Pokoknya Hotel Yulia ini Recomended!!🤗💐..."
"18.","Sagela gorontalo Riyadh","96","2024-12-30","5","Ini hotel lama yang di bangun kembali. Jadi bagus skali. Lebih elegan. Lokal rasa nasional. Yg saya suka adalah pegawainya berbicara pake bahasa menyesuaikan dgn pelanggan. Tdk serta merta berubaha bahasanya ke pelanggan. Jadi ke tamu orang gorontalo bicara biasa. Ke tamu luar daerah juga pake bahasa indonesia baik dan benar. Tolong pertahankan itu. Spya juga orang luar daerah tau bahasa lokal seperti apa."
"19.","Ar Harun","1","2024-12-30","5","Thank God I can stay in a hotel as good as Yulia. The service is good, the employees are friendly, the food and snacks are also delicious. There's even a cafe too, and not just for hotel guests, we accept reservations from outside guests to hang out. And one more thing, I was able to meet the alumni of SMKN 2 Gorontalo, where I studied hospitality from 2002 to 2005. Anyway, the Best Yulia Hotel."
"20.","Arum Kinanthi","15","2024-12-30","5","Pilih hotel ini karena reviewnya bagus. Kamarnya bagus dan desainnya modern bgt. Kamar mandi luas dan bersih. Nyaman bgt nginep di sini. Sayangnya, wifi agak lemot dan chanel tv tidak ada (apa saya yg gak bs nyalain tv ya?). Sarapannya kurang variatif, staff di resto kurang knowledge product hotel."
"21.","Raden Sasongko","43","2023-12-30","4","Hotel yang baru di remajakan, tidak banyak pilihan hotel di gorontalo, dengan harga yang lebih tinggi dari biasanya. Interior cukup bagus, mengingat baru saja di bangun/renovasi. Hanya 2 lantai, tidak ada lift, tp tidak masalah karena petugas hotel dengan sigap membantu anda membawa koper. Taste makanan pada sarapan cukup oke, namun tidak banyak pilihan yang tersedia. Kebersihan hotel cukup bagus."
"22.","Sjifa Aulia","91","2023-12-30","5","Pelayanan personel FO sangat baik. Saat sampai kami disambut welcome drink dan handuk basah. Ruang meeting ballroom besar walaupun bentuk ruangannya melonjong. Layar video tron dan TV, sudah bisa tersambung Zoom Meeting. Kamarnya juga luas dan di lantai 2 ada balkon, sayangnya kamar 201 AC kurang dingin. Dan 1 lagi, driver CRV nya sangat lambat mengemudi kecepatan rata2 di 30 kmph, dari hotel ke bandara mencapai 1 jam 40 menit itupun sudah saya minta ngebut. Padahal waktu naik taksi dari bandara hanya 1 jam sampai hotel (di google maps juga hanya 1 jam). Bagi tamu yg menggunakan jasa antar ke bandara dari hotel ini saya sarankan spare waktu 2 jam."
"23.","Alfian Christianto","834","2024-12-30","4","Kamar bagus dan bersih. Untuk harga 400ribuan worthed. Full AC dan wifi kencang. Mencoba lunch di lantai 2. Mocca Cafe. Mbak Karin, staff yang bertugas menjalankan tugas dengan baik. Ramah dan informatif. Mencoba pisang goraga dengan sambal roa dan milu siram semacam jagung disiram kuah dengan topping ikan makanan khas Gorontalo. Bersih dan nyaman."
"24.","sakti agro","5","2025-03-30","4","hotelnya bagus sisa yg perlu diperbaiki jaringan wifinya dipermantap..krn jaringan hp juga susah di dalam kamar."
"25.","Ian Okta","129","2024-12-30","5","Kamar belum pernah coba. 3 hari kegiatan disini. Untuk lokasi bagus di pusat kota, dekat dengan mall dan kantor pemerintahan. Untuk parkir lumayan sempit. Kalo ada kegiatan, biasanya full. Harus taru kenderaan diluar. Musholla nya kecil banget. Makanannya agak kurang pas dileher saya (selera masing-masing ya). Pilihan menunya cukup banyak."
"26.","Melanie","50","2024-12-30","5","We were very happy with the hotel. The room was clean and had air conditioning. The bathroom was also clean. All the staff looked after us well. Irwan in particular helped us and answered all our questions and arranged for us a driver. Thank you for the nice stay!"
"27.","Gii","19","2023-12-30","5","Hotel nya bagus, kamarnya luas , pelayananya bagus, sudah smart Tv, Ac dingin, ambience di lobby modern, ada cafe nya di lantai 2. Pioner baru untuk hotel budget bintang 3 di wilayah Gorontalo dengan fasilitas yang modern dan aesthetic. Bisa buat rekomendasi transformasi hotel lainnya di wilayah Gorontalo. Kamar masih belum banyak, smg bisa tambah banyak room nya. Krn pasti akan fullbook terus, area parkir masih sangat terbatas"
"28.","Nurmansyah","263","2024-12-30","5","Hotel ini terletak di pusat kota dan startegis. Mesikpun tergolong hotel yang kecil, namun pemilihan interior hotel yang pas membuat suasana hotel menjadi mewah. Kamar yang saya tempati cukup luas, penerangan pas, tempat tidur yang nyaman, fasilitas lengkap dan bersih. Staff hotel ramah dan memberikan pelayanan yang baik."
"29.","Zahra Kurniawati","13","2024-12-30","5","Had a great stay for a week for my work trip. The building is still new and fresh. The food taste is good although the choice is not that much. Mba Karin is really nice and give us the best hospitality."
