"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Devi Nurhasanah","12","2025-12-15","5","Aloft Hotel Wahid Hasyim kamar oke, bersih, fasilitas kamar lengkap. disediakan setrikaan dan meja utk setrika pakaian. mantapp lokasi stategis dekat pusat kota pelayanan super ramah 🌟🌟🌟🌟🌟💯 pas checkout, sudah di reminder dipastikan tdk ada barang tertinggal. udah yakin kalo barang semua aman. ternyata baru engeh, ketinggalan cincin! yg sempet dilepas sebelum tidur. OMG! lgsng gercep kontek via call. info kalau ada brg ketinggalan dan minta dibantu housekeeping utk cek. Alhamdulillah, aman. dan akhirnya balik lg utk pickup. terimakasih banyak staff hotel aloft wahid hasyim. pertahankan pelayanan dan kualitas 🫶🏻 next time, staycation lagi disini👌🏻❤️❤️❤️❤️"
"2.","Desy Sulistyaningrum","2","2025-12-05","5","Menginap di sini sangat cocok buat mereka yang ingin kulineran. Banyak banget tempat makan yang dekat. Kami seringnya cukup jalan kaki karena di sepanjang jalan banyaak tempat makan mau kelas atas sampai kaki lima. Bisa dibilang hotel ini ramah lingkungan Mulai dari sabun, shampoo, air minum semua pakai yang bisa diisi ulang. Tidak pakai air sekali pakai (air yang disediakan kemasan kaca yang wadahnya bisa dipakai ulang) Disediakan refill untuk isi air Disediakan sepeda juga. Bahkan tempat sampah disediakan dengan wadah terpisah untuk plastik dll (anorganik) dan juga sampah basah (organik)"
"3.","Arif Budi Prasetyo","31","2025-12-05","4","Room bersih dan cukup lengkap, hanya cukup sempit untuk hotel bintang 4. Beberapa pelayan cukup ramah hanya sedikit yg kurang senyum. Breakfast cukup lengkap dengan varian nusantara yg secara mengejutkan cukup enak rasanya apabila dibandingkan dengan hotel lain."
"4.","Faustine Gunawan","39","2025-11-05","5","Kalau ada bintang 10, aku kasih bintang 10🥹💖. Semua ada. Dari mesin es, colokan disetiap meja. Kursi” nyaman buat kerja, refill air. Posisi ditengah kota pas. Kemana mana mudah. Banyak makanan disekitar. Breakfast banyak banget menu makannya, fresh juice, jamu sampai kopi. Respon staff nya juga cepat & sangat amat membantu. Bahkan bantu untuk cari jalan supaya enggak kena ganjil genap. Staff di tempat breakfast bener” ramah & selalu tanya butuh apa lagi ga. ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️"
"5.","reza fauziah","4","2025-12-05","2","Saya menghubungi pihak hotel untuk keperluan booking ruang meeting. Namun, saya merasa proses komunikasi belum berjalan optimal. Respons yang diberikan cukup lambat, sehingga saya perlu melakukan follow-up beberapa kali sebelum mendapatkan jawaban. Informasi yang disampaikan juga masih terbatas dan kurang jelas. Saya berharap ke depannya pihak hotel dapat meningkatkan kejelasan informasi serta ketepatan waktu dalam merespons agar proses koordinasi dapat berjalan lebih efektif dan profesional. Saya yakin dengan perbaikan tersebut, pelayanan akan jauh lebih baik dan dapat mendukung pengalaman pelanggan dengan lebih positif. terimakasih"
"6.","Ivaldy Gesca Deandra","110","2025-09-05","5","Fasilitas untuk meeting sangat memuaskan, kebetulan kesini lunchnya bertemakan masakan Padang dan beberapa variasi lain. Cukup rindu dengan style masakan Sunda dan petenya"
"7.","kasamemo","1","2025-10-05","3","Makasi yaa satpamnya “ramah bangett” buat yg lagi jalan kakii😌 kesel aja padahal gw papasan dan gw berusaha aware ke dia krn yg gw tau aloft tu staff nya ramah ramahh. Dua satpam tuh melotot aja hehe bahkan kek nganggep gw gaada. Apa karna gw jalan kaki ya pake seragam tas punggung dan bawa minuman dr luar? Gembel bgt kali ya. Tp gpp mood kembali baik pas masuk pengecekan tas dan lgsg disambut staff lain nanyain mo ke ruang apa. Tengsin aja gw haha. Pertahanin buat yg ramah ramah yaa, keren bgtt yg ramah ramah ke semua yg ada di kawasan hotel. Makanan aloft jg enakkkk"
"8.","antung rj","117","2025-09-05","5","Kamar bersih, nyaman, tenang 4/5 Breakfast enak, variatif (asian, western) 5/5 Lokasi strategis di pusat kota, bisnis, transportasi umum mudah, dan tempat kuliner 5/5"
"9.","Layung Violeta","12","2025-08-05","5","Sangat senang sekali stay di Aloft Wahid Hasyim, Hospitalitynya bagus, Hotelnya nyaman, bersih, dan terasa sangat Homey... Para staff nya ramah dan sangat membantu, salah satu pengalaman saya dibantu oleh team IT Bp. Henry saat saya ingin terkoneksi ke wifi hotel... Dan satu lagi perjalanan bisnis saya berjalan lancar karena saya bisa melakukan aktifitas pekerjaan dengan koneksi internet yang luar biasa cepat dan tanpa Buffer sama sekali... Will back again to this hotel Terima Kasih Aloft dan para staffnya.."
"10.","Lerry Tutu","13","2025-07-05","5","Hotelnya OK Pelayanannya apalagi Stafnya friendly Kopi dan juice boleh take away dari tempat breakfast ke kamar Barang ketinggalan, resepsionis gercep bantu gosend Trimsss 👍👍👍👍👍"
