No,User Name,Review Count,Review Time,Rating,Review Text,Cleaned_Readable,Cleaned_NLP
1.0,Yenny Hong,6,2026-01-01,5,"Pelayanan yg sangat ramah, kamar hotel yg bersih. sekamar kami ber 3 dengan anak, di hari pertama minta extra handuk. di hari kedua dst otomatis disediakan 3 handuk tanpa request lagi. sungguh pelayanan yang baik. kami pesan 2 kamar, hanya kamar kedua ada sedikit bau rokok entah kenapa. karena kami menginap 4 malam diberikan juga complimentary makan siang. rasa makanannya enak sesuai selera. anak2 senang menginap disini. tapi syg kolam renangnya kecil dan ckp dangkal.","Pelayanan yg sangat ramah, kamar hotel yg bersih. Sekamar kami ber 3 dengan anak, di hari pertama minta extra handuk. Di hari kedua dst otomatis disediakan 3 handuk tanpa request lagi. Sungguh pelayanan yang baik. Kami pesan 2 kamar, hanya kamar kedua ada sedikit bau rokok entah kenapa. Karena kami menginap 4 malam diberikan juga complimentary makan siang. Rasa makanannya enak sesuai selera. Anak2 senang menginap disini. Tapi syg kolam renangnya kecil dan ckp dangkal.",pelayanan yg sangat ramah kamar hotel yg bersih sekamar kami ber dengan anak di hari pertama minta extra handuk di hari kedua dst otomatis disediakan handuk tanpa request lagi sungguh pelayanan yang baik kami pesan kamar hanya kamar kedua ada sedikit bau rokok entah kenapa karena kami menginap malam diberikan juga complimentary makan siang rasa makanannya enak sesuai selera anak senang menginap disini tapi syg kolam renangnya kecil dan ckp dangkal
2.0,Puteri Dwi Kusuma,274,2025-12-08,5,"Lokasinya strategis banget. Dekat dengan lokasi wisata dan stasiun kereta. Dari awal masuk, staff sudah ramah. Lobby hotel sangat nyaman, karena kursinya benar-benar banyak. Kamarnya oke, gak ada masalah. Nyaman, handuk juga bersih. Gak ada masalah. Hanya saja, kamar mandinya gak cepet kering setelah digunakan. Saya lebih suka yg kamar mandi cepat kering. Terus untuk saya, kaca pembatas antara kamar mandi dan toilet, nanggung banget. 1) perbedaan ketinggian lantai, hampir sama, cuma beda tipis 2) kaca pembatas, cuma 1/2. Jadi klo mandi, airnya bakal nyiprat ke area toilet. Mending dikasih pintu kaca sekalian buat kamar mandi. Terus utk menu makanan.. Hmmm lebih baik kalian masak, yang kira kebanyakan orang suka. Oseng pare, oseng terong (bukan terong balado ya. Cuma terong di oseng-oseng tok), oseng brokoli, menurutku masakan kalian kurang bervariasi untuk per-sayur-an dan per-lauk-kan 🥲 Mending kalau mau oseng... Oseng buncis tempe, oseng jamur, oseng jagung muda. Terong bisa kalian, balado.. Yang menggunggah selera lahhh intinya .... 🙏🙏🙏 Untuk pastry mereka lengkap. Ada roti tawar gandum, Sourdough, croissant, waffle, kue lumpur, dll Ada jenang, ada bubur","Lokasinya strategis banget. Dekat dengan lokasi wisata dan stasiun kereta. Dari awal masuk, staff sudah ramah. Lobby hotel sangat nyaman, karena kursinya benar-benar banyak. Kamarnya oke, gak ada masalah. Nyaman, handuk juga bersih. Gak ada masalah. Hanya saja, kamar mandinya gak cepet kering setelah digunakan. Saya lebih suka yg kamar mandi cepat kering. Terus untuk saya, kaca pembatas antara kamar mandi dan toilet, nanggung banget. 1) perbedaan ketinggian lantai, hampir sama, cuma beda tipis 2) kaca pembatas, cuma 1/2. Jadi klo mandi, airnya bakal nyiprat ke area toilet. Mending dikasih pintu kaca sekalian buat kamar mandi. Terus utk menu makanan.. Hmm lebih baik kalian masak, yang kira kebanyakan orang suka. Oseng pare, oseng terong (bukan terong balado ya. Cuma terong di oseng-oseng tok), oseng brokoli, menurutku masakan kalian kurang bervariasi untuk per-sayur-an dan per-lauk-kan mending kalau mau oseng.. Oseng buncis tempe, oseng jamur, oseng jagung muda. Terong bisa kalian, balado.. Yang menggunggah selera lahh intinya.. Untuk pastry mereka lengkap. Ada roti tawar gandum, sourdough, croissant, waffle, kue lumpur, dll ada jenang, ada bubur",lokasinya strategis banget dekat dengan lokasi wisata dan stasiun kereta dari awal masuk staff sudah ramah lobby hotel sangat nyaman karena kursinya benarbenar banyak kamarnya oke gak ada masalah nyaman handuk juga bersih gak ada masalah hanya saja kamar mandinya gak cepet kering setelah digunakan saya lebih suka yg kamar mandi cepat kering terus untuk saya kaca pembatas antara kamar mandi dan toilet nanggung banget perbedaan ketinggian lantai hampir sama cuma beda tipis kaca pembatas cuma jadi klo mandi airnya bakal nyiprat ke area toilet mending dikasih pintu kaca sekalian buat kamar mandi terus utk menu makanan hmm lebih baik kalian masak yang kira kebanyakan orang suka oseng pare oseng terong bukan terong balado ya cuma terong di osengoseng tok oseng brokoli menurutku masakan kalian kurang bervariasi untuk persayuran dan perlaukkan mending kalau mau oseng oseng buncis tempe oseng jamur oseng jagung muda terong bisa kalian balado yang menggunggah selera lahh intinya untuk pastry mereka lengkap ada roti tawar gandum sourdough croissant waffle kue lumpur dll ada jenang ada bubur
3.0,Muhammad Ichsan Nasution,7,2026-01-01,5,"Lokasi sangat strategis sekali dekat kemana2, air juga tersedia di dispenser semakin mudah kalau butuh air. Masukannya menu sarapannya dibuat lebih variatif lagi , contoh untuk live cooking bisa dibuat bervariasi menunya. Begitu juga dengan menu hidangan lain setiap hari tampilannya sama , bisa dibuat lebih variatif. Utk yang lainnya sudah OK !!","Lokasi sangat strategis sekali dekat kemana2, air juga tersedia di dispenser semakin mudah kalau butuh air. Masukannya menu sarapannya dibuat lebih variatif lagi, contoh untuk live cooking bisa dibuat bervariasi menunya. Begitu juga dengan menu hidangan lain setiap hari tampilannya sama, bisa dibuat lebih variatif. Utk yang lainnya sudah ok!!",lokasi sangat strategis sekali dekat kemana air juga tersedia di dispenser semakin mudah kalau butuh air masukannya menu sarapannya dibuat lebih variatif lagi contoh untuk live cooking bisa dibuat bervariasi menunya begitu juga dengan menu hidangan lain setiap hari tampilannya sama bisa dibuat lebih variatif utk yang lainnya sudah ok
4.0,frdnsyh,1,2026-01-01,5,"sangat memuaskan. kolam renangnya cukup besar dan terawat, cocok untuk relaksasi. pelayanannya sangat ramah dan profesional, early check in oleh kak April, memberikan kesan yang baik. fasilitasnya lengkap dan kamar-kamarnya bagus, bersih, serta nyaman untuk beristirahat.","Sangat memuaskan. Kolam renangnya cukup besar dan terawat, cocok untuk relaksasi. Pelayanannya sangat ramah dan profesional, early check in oleh kak april, memberikan kesan yang baik. Fasilitasnya lengkap dan kamar-kamarnya bagus, bersih, serta nyaman untuk beristirahat.",sangat memuaskan kolam renangnya cukup besar dan terawat cocok untuk relaksasi pelayanannya sangat ramah dan profesional early check in oleh kak april memberikan kesan yang baik fasilitasnya lengkap dan kamarkamarnya bagus bersih serta nyaman untuk beristirahat
5.0,Cahaya Aja,1,2026-01-01,5,"So comfy, Pengalaman menginap di hotel ini sangat menyenangkan! Kamar yang bersih dan nyaman, fasilitas yang lengkap, dan pelayanan yang ramah dan profesional apalagi mbak april. Lokasinya juga strategis, dekat dengan pusat kota dan tempat wisata. Sangat direkomendasikan untuk siapa saja yang mencari penginapan yang berkualitas!","So comfy, pengalaman menginap di hotel ini sangat menyenangkan! Kamar yang bersih dan nyaman, fasilitas yang lengkap, dan pelayanan yang ramah dan profesional apalagi mbak april. Lokasinya juga strategis, dekat dengan pusat kota dan tempat wisata. Sangat direkomendasikan untuk siapa saja yang mencari penginapan yang berkualitas!",so comfy pengalaman menginap di hotel ini sangat menyenangkan kamar yang bersih dan nyaman fasilitas yang lengkap dan pelayanan yang ramah dan profesional apalagi mbak april lokasinya juga strategis dekat dengan pusat kota dan tempat wisata sangat direkomendasikan untuk siapa saja yang mencari penginapan yang berkualitas
6.0,Zahwa Fanesa,1,2026-01-01,5,"Hotelnya bagus, kamar rapi dan bersih. Pegawai semua sangat ramah dan baik, di resto, perlengkapan, keamanan, resepsionis maupun housekeeping. Menu makanan beragam, rasa makanan oke. Terimakasih khususnya untuk pelayanan mbak April yang sangat membantu....","Hotelnya bagus, kamar rapi dan bersih. Pegawai semua sangat ramah dan baik, di resto, perlengkapan, keamanan, resepsionis maupun housekeeping. Menu makanan beragam, rasa makanan oke. Terimakasih khususnya untuk pelayanan mbak april yang sangat membantu..",hotelnya bagus kamar rapi dan bersih pegawai semua sangat ramah dan baik di resto perlengkapan keamanan resepsionis maupun housekeeping menu makanan beragam rasa makanan oke terimakasih khususnya untuk pelayanan mbak april yang sangat membantu
7.0,cindy purwaningrum,5,2026-01-01,5,"Experience yang OK punya. Lokasi strategis, dapat room di lantai 8 yang bisa lihat gn. Merapi, kamar spacious dan bersih, breakfast yang variance nya beragam dan always enak. Terimakasih kepada mbak Arvel dan team resto yang sigap banget, padahal lagi rush our di breakfast. Next, akan kembali kesini","Experience yang ok punya. Lokasi strategis, dapat room di lantai 8 yang bisa lihat gn. Merapi, kamar spacious dan bersih, breakfast yang variance nya beragam dan always enak. Terimakasih kepada mbak arvel dan team resto yang sigap banget, padahal lagi rush our di breakfast. Next, akan kembali kesini",experience yang ok punya lokasi strategis dapat room di lantai yang bisa lihat gn merapi kamar spacious dan bersih breakfast yang variance nya beragam dan always enak terimakasih kepada mbak arvel dan team resto yang sigap banget padahal lagi rush our di breakfast next akan kembali kesini
8.0,Liana Aprilianti,2,2026-01-01,5,"Hotel Harper Malioboro Yogyakarta memberikan pengalaman menginap yang sangat menyenangkan. Kamarnya bersih, nyaman, dan modern. Stafnya ramah serta responsif terhadap kebutuhan tamu. Lokasinya strategis dan mudah diakses dari pusat kota. Sarapan yang disajikan juga bervariasi dan lezat. Sangat direkomendasikan untuk perjalanan bisnis maupun liburan keluarga! Tidak lupa terima kasih atas pelayanannya Mbak April.","Hotel harper malioboro yogyakarta memberikan pengalaman menginap yang sangat menyenangkan. Kamarnya bersih, nyaman, dan modern. Stafnya ramah serta responsif terhadap kebutuhan tamu. Lokasinya strategis dan mudah diakses dari pusat kota. Sarapan yang disajikan juga bervariasi dan lezat. Sangat direkomendasikan untuk perjalanan bisnis maupun liburan keluarga! Tidak lupa terima kasih atas pelayanannya mbak april.",hotel harper malioboro yogyakarta memberikan pengalaman menginap yang sangat menyenangkan kamarnya bersih nyaman dan modern stafnya ramah serta responsif terhadap kebutuhan tamu lokasinya strategis dan mudah diakses dari pusat kota sarapan yang disajikan juga bervariasi dan lezat sangat direkomendasikan untuk perjalanan bisnis maupun liburan keluarga tidak lupa terima kasih atas pelayanannya mbak april
9.0,dhiena puspita,220,2026-01-01,5,"Kamar nyaman, makanan banyak variasi dengan rasa yg enak. Lokasi dekat kemana2..semua staff dari satpam, resepsionis, resto, ramah dan sangat helpfull. Next Pasti akan menginap lagi disini","Kamar nyaman, makanan banyak variasi dengan rasa yg enak. Lokasi dekat kemana2..semua staff dari satpam, resepsionis, resto, ramah dan sangat helpfull. Next pasti akan menginap lagi disini",kamar nyaman makanan banyak variasi dengan rasa yg enak lokasi dekat kemanasemua staff dari satpam resepsionis resto ramah dan sangat helpfull next pasti akan menginap lagi disini
10.0,Sally Marselina,4,2025-12-08,5,"I recently stayed at Harper Hotel Malioboro and it was truly a satisfying experience from start to finish. The service was exceptional — every staff member was friendly, helpful, and genuinely made me feel welcomed. The room was clean, comfortable, and spacious, with a warm ambience that made it easy to relax after a long day around Malioboro. For the price, I honestly feel the value was totally worth it — affordable, but the quality feels above the price point. One of the highlights was definitely the breakfast. They serve many options, but my absolute favorite was the bubur gudeg. Super delicious, comforting, and uniquely Yogyakarta — a perfect start to the morning! Overall, Harper Hotel Malioboro exceeded my expectations in every way. Highly recommended for anyone looking for great service, great rooms, and great food in the heart of Jogja. Will definitely come back!","I recently stayed at harper hotel malioboro and it was truly a satisfying experience from start to finish. The service was exceptional every staff member was friendly, helpful, and genuinely made me feel welcomed. The room was clean, comfortable, and spacious, with a warm ambience that made it easy to relax after a long day around malioboro. For the price, i honestly feel the value was totally worth it affordable, but the quality feels above the price point. One of the highlights was definitely the breakfast. They serve many options, but my absolute favorite was the bubur gudeg. Super delicious, comforting, and uniquely yogyakarta a perfect start to the morning! Overall, harper hotel malioboro exceeded my expectations in every way. Highly recommended for anyone looking for great service, great rooms, and great food in the heart of jogja. Will definitely come back!",i recently stayed at harper hotel malioboro and it was truly a satisfying experience from start to finish the service was exceptional every staff member was friendly helpful and genuinely made me feel welcomed the room was clean comfortable and spacious with a warm ambience that made it easy to relax after a long day around malioboro for the price i honestly feel the value was totally worth it affordable but the quality feels above the price point one of the highlights was definitely the breakfast they serve many options but my absolute favorite was the bubur gudeg super delicious comforting and uniquely yogyakarta a perfect start to the morning overall harper hotel malioboro exceeded my expectations in every way highly recommended for anyone looking for great service great rooms and great food in the heart of jogja will definitely come back
