No,User Name,Review Count,Review Time,Rating,Review Text,Cleaned_Readable,Cleaned_NLP
1.0,Martin Latifah,20,2025-12-25,2,"Masuk kamar cium aroma kamar yg jarang dipakai, kecil kamar nya, handuk warna sudah tdk putih lg, tdk tersedia air mineral didlm kamar, harus isi ulang dilorong,, parkiran mobil sempit,.. Menu sarapan yg itu itu aja, dan kurang enak...nginep 3 malam disini, kayaknya g akan balik lg kesini","Masuk kamar cium aroma kamar yg jarang dipakai, kecil kamar nya, handuk warna sudah tdk putih lg, tdk tersedia air mineral didlm kamar, harus isi ulang dilorong,, parkiran mobil sempit,.. Menu sarapan yg itu itu aja, dan kurang enak..nginep 3 malam disini, kayaknya g akan balik lg kesini",masuk kamar cium aroma kamar yg jarang dipakai kecil kamar nya handuk warna sudah tdk putih lg tdk tersedia air mineral didlm kamar harus isi ulang dilorong parkiran mobil sempit menu sarapan yg itu itu aja dan kurang enaknginep malam disini kayaknya g akan balik lg kesini
2.0,Grace tana,15,2025-12-08,5,"The staffs were really accommodating and helpful. However, I agree with the other hotel guest regarding the cleanliness of the bedding (though I just learn regarding Ibis' efforts to stay sustainable which is helpful to know). When we came into the room, we could see some stains. We later asked for a change and the staff were really accommodating in changing the bed sheet per request. Overall, it was a great stay.","The staffs were really accommodating and helpful. However, i agree with the other hotel guest regarding the cleanliness of the bedding (though i just learn regarding ibis' efforts to stay sustainable which is helpful to know). When we came into the room, we could see some stains. We later asked for a change and the staff were really accommodating in changing the bed sheet per request. Overall, it was a great stay.",the staffs were really accommodating and helpful however i agree with the other hotel guest regarding the cleanliness of the bedding though i just learn regarding ibis efforts to stay sustainable which is helpful to know when we came into the room we could see some stains we later asked for a change and the staff were really accommodating in changing the bed sheet per request overall it was a great stay
3.0,dewi agustina,1,2026-01-01,5,"Liburan 1 Minggu di Yogya terasa senang banget pokoknya. Ajak keluarga di hotel Ibis style, tempatnya nyaman, enak, ramah semua petugasnya mulai dari bagian informasi, pelayanan makanan di restorannya, pelayanan hotel, sampai juga ke security-nya yg bernama pak Kamto semuanya ramah dan baik. Next time klo ke Yogya lagi, mau menginap di sini lagi. Sukses selalu hotel Ibis Styles Jogya","Liburan 1 minggu di yogya terasa senang banget pokoknya. Ajak keluarga di hotel ibis style, tempatnya nyaman, enak, ramah semua petugasnya mulai dari bagian informasi, pelayanan makanan di restorannya, pelayanan hotel, sampai juga ke security-nya yg bernama pak kamto semuanya ramah dan baik. Next time klo ke yogya lagi, mau menginap di sini lagi. Sukses selalu hotel ibis styles jogya",liburan minggu di yogya terasa senang banget pokoknya ajak keluarga di hotel ibis style tempatnya nyaman enak ramah semua petugasnya mulai dari bagian informasi pelayanan makanan di restorannya pelayanan hotel sampai juga ke securitynya yg bernama pak kamto semuanya ramah dan baik next time klo ke yogya lagi mau menginap di sini lagi sukses selalu hotel ibis styles jogya
4.0,evita anugraini,28,2025-11-08,4,"Honestly dari sisi Servicenya bagus, breakfast menu juga okey, room juga rapi. cuma sepertinya sprei, sarung bantal, tidak diganti kalo ga request :') (di kamar mandi sih ada notified kalo ga diganti untuk mengurangi detergen dll. Tapi better pake yg detergen yg ecofriendly banyak kok) sempet tahu kalo ada noda di sprei tertutup selimut dan langsung di ganti sama housekeeper cumaa kok nunggu request kan harusnya kalo tamu sebelumnya CO langsung ganti aja ga sih 🥹 mohon dijadikan evaluasi yaa","Honestly dari sisi servicenya bagus, breakfast menu juga okey, room juga rapi. Cuma sepertinya sprei, sarung bantal, tidak diganti kalo ga request:') (di kamar mandi sih ada notified kalo ga diganti untuk mengurangi detergen dll. Tapi better pake yg detergen yg ecofriendly banyak kok) sempet tahu kalo ada noda di sprei tertutup selimut dan langsung di ganti sama housekeeper cumaa kok nunggu request kan harusnya kalo tamu sebelumnya co langsung ganti aja ga sih mohon dijadikan evaluasi yaa",honestly dari sisi servicenya bagus breakfast menu juga okey room juga rapi cuma sepertinya sprei sarung bantal tidak diganti kalo ga request di kamar mandi sih ada notified kalo ga diganti untuk mengurangi detergen dll tapi better pake yg detergen yg ecofriendly banyak kok sempet tahu kalo ada noda di sprei tertutup selimut dan langsung di ganti sama housekeeper cumaa kok nunggu request kan harusnya kalo tamu sebelumnya co langsung ganti aja ga sih mohon dijadikan evaluasi yaa
5.0,dahlia a,6,2025-12-25,3,Perlengkapan kamar tidak lengkap.kok bisa kehabisan sabun d kamar mandi padahal saya baru checkin. Apa tidak d cek terlebih dahulu saat tamu sblum ny checkout ?,Perlengkapan kamar tidak lengkap.kok bisa kehabisan sabun d kamar mandi padahal saya baru checkin. Apa tidak d cek terlebih dahulu saat tamu sblum ny checkout?,perlengkapan kamar tidak lengkapkok bisa kehabisan sabun d kamar mandi padahal saya baru checkin apa tidak d cek terlebih dahulu saat tamu sblum ny checkout
6.0,Ronald,385,2025-11-08,4,"Kamar cukup luas,hanya sayang hanya ada raining shower saja,sehingga unthk muslim agak susah untuk ambil air wudhu. Sarapan rasanya B aja (kurang berbumbu) namun hntuk variasi cukup ( gak banyak gak sedikit)","Kamar cukup luas,hanya sayang hanya ada raining shower saja,sehingga unthk muslim agak susah untuk ambil air wudhu. Sarapan rasanya b aja (kurang berbumbu) namun hntuk variasi cukup ( gak banyak gak sedikit)",kamar cukup luashanya sayang hanya ada raining shower sajasehingga unthk muslim agak susah untuk ambil air wudhu sarapan rasanya b aja kurang berbumbu namun hntuk variasi cukup gak banyak gak sedikit
7.0,1d's journey,8,2025-12-25,5,"Pelayanan yang cukup oke, hotelnya juga strategis deket dengan malioboro, jadi jalan pun juga bisaaa. Ada atm juga di deket situ. Makanannya juga enaakk, coffebreak oke, tempat jufa oke.","Pelayanan yang cukup oke, hotelnya juga strategis deket dengan malioboro, jadi jalan pun juga bisaa. Ada atm juga di deket situ. Makanannya juga enaakk, coffebreak oke, tempat jufa oke.",pelayanan yang cukup oke hotelnya juga strategis deket dengan malioboro jadi jalan pun juga bisaa ada atm juga di deket situ makanannya juga enaakk coffebreak oke tempat jufa oke
8.0,Sri widaningsih,165,2025-12-18,5,"Kamar bersih, aminities lengkap, sarapan lumayan enak. Minus nya gak dikasih air mineral dalem kamar. Oiya, sprei sama selimutnya juga kayaknya udh lama gak di ganti (baru) ya? Agak kumel.","Kamar bersih, aminities lengkap, sarapan lumayan enak. Minus nya gak dikasih air mineral dalem kamar. Oiya, sprei sama selimutnya juga kayaknya udh lama gak di ganti (baru) ya? Agak kumel.",kamar bersih aminities lengkap sarapan lumayan enak minus nya gak dikasih air mineral dalem kamar oiya sprei sama selimutnya juga kayaknya udh lama gak di ganti baru ya agak kumel
9.0,lutfi azhari,4,2026-01-01,5,"Tempat strategis dekat ke malioboro jalan kaki, ke alun2 10 menit, Terima kasih pak kamto security pelayanan dan attitudenya baik","Tempat strategis dekat ke malioboro jalan kaki, ke alun2 10 menit, terima kasih pak kamto security pelayanan dan attitudenya baik",tempat strategis dekat ke malioboro jalan kaki ke alun menit terima kasih pak kamto security pelayanan dan attitudenya baik
10.0,Deni Rahadiansyah,440,2025-12-08,5,"Ruangannya legaa, king bed, bersih, ada kulkas mini, air mineral refill ambil sendiri di galon yg disediakan. Sarapannya biasa saja cukup, lengkap. Ada minuman jahe hangat, jamu beras kencur.","Ruangannya legaa, king bed, bersih, ada kulkas mini, air mineral refill ambil sendiri di galon yg disediakan. Sarapannya biasa saja cukup, lengkap. Ada minuman jahe hangat, jamu beras kencur.",ruangannya legaa king bed bersih ada kulkas mini air mineral refill ambil sendiri di galon yg disediakan sarapannya biasa saja cukup lengkap ada minuman jahe hangat jamu beras kencur
