"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Nasa Brahma Tantra","17","2025-12-22","4","Suprisingly atmosfer ruangan kamarnya nyaman banget. Makanan cukup bervariasi dan enak-enak. Meski demikian, ada catatan-catatan tertentu: 1. Lift nya lama dan ada satu lift rusak yang gabisa pencet angka lantai tertentu. Akhirnya cuma bisa menungggu 1 lift doang kalau mau ke atas 2. Sudah diminta untuk ganti lampu di meja tapi sepertinya terlewat (dimaklumi) Kalau diminta balik lagi, pasti mau. Semoga untuk perawatan fasilitasnya diperhatikan lagi dan ditingkatkan lagi"
"2.","Alfian Fandinegara","36","2025-12-29","5","Lokasi sangat dengan dengan Simpang Lima, mudah mencari makan atau kulineran. Kamar bersih dan cukup luas, air panas kamar mandi ada, wifi lancar, breakfast menu fine. Ada self service laundry, saya sarankan mesin cuci dan dryer-nya diganti model baru yang lebih user friendly."
"3.","Wie Xsist","168","2025-12-29","5","Layanan dan lokasinya okee bangett.. hanya saja untuk kamar yang saya dapat sungguh mengecewakan, saya keep 6 kamar dengan catatan untuk ruangan tidak merokok karena ada baby dan lansia yang saya bawa. Memang betul ada tulisan untuk tidak merokok di setiap kamar. Tapi realitanya semua kamar yang saya dapatkan meninggalkan bau rokok yang sangat menyengat. Hingga meminta room service utk menyemprot pengharum ruangan di setiap ruangannya, walau pada akhirnya di sarung bantal maupun seprei masi sangat berbau"
"4.","risky","187","2025-12-22","5","Dapat hotel yang menurutku unik. Sangat difabel friendy. (Ada railing di kamar dan toilet) serta kursi untuk mandi. Sabunnya juga dove! Letak strategis dekat dengan simpang lima. Jadi kalau mau ke landmark kota semarang tinggal jalan kaki."
"5.","Adit Rahaditya","179","2025-12-05","5","Lokasi strategis di simpang lima kota Semarang. Kondisi kamar sangat bersih, terawat, dan nyaman. Suasana sunyi mestipun di tengah kota tapi tidak kedengeran berisik jalanan. Lampu kamar terang sempurna dan toilet nya dilengkapi dengan shampo dan sabun dari Dove. Sarapan dengan kapasitas tidak terlalu besar, tapi disediakan ruang meeting disebelah restoran untuk tempat makan. Kapasitas 1 meja di design untuk 4 orang membuat orang yg solo/sendiri mengisi kapasitas 4,jadi tidak efektif apalagi tipikal orang kita yang ga terbiasa berbaur berbagi semeja dalam sarapan. Padahal diluar negara kita sudah biasa jika solo/sendiri berbagi meja makan."
"6.","Arif Ramdhan Achmad","3","2025-12-05","5","Hotel 3-star dengan nuansa kamar yang nyaman dan terkesan mewah. Fasilitas kamar lengkap dan bersih. Pelayanan ramah dan helpfully. Untuk makanan standar hotel 3 star, hanya saja untuk nasi putih keras dan kering, kurang cocok untuk anak kecil. Overall sudah oke, hanya saja butuh beberapa perbaikan kedepannya."
"7.","Assyifa Reyhannisa","62","2025-12-30","5","Nice stay during holiday. Kamarnya nyaman, bersih. Seluruh staff ramah. Ada fasilitas gym 24 jam. Sarapannya juga enak enakkk❤️"
"8.","Ivah sari","2","2025-12-05","5","Nginep di Holiday Inn Express bener-bener puas banget! Kamarnya bersih, rapi, dan kasurnya super nyaman. Stafnya juga ramah semua, dari resepsionis sampai bagian sarapan semuanya helpful banget. Lokasinya strategis, deket ke banyak tempat jadi gampang banget kalo mau jalan atau cari makan. Sarapannya juga variatif dan rasanya enak. Overall, pengalaman nginep di sini tuh nyaman banget dan worth it! Kalo ke kota ini lagi, pasti bakal balik ke Holiday Inn Express tanpa mikir dua kali. 💯✨"
"9.","Hafiz Putra","1","2025-12-29","5","Staf di area sarapan yang ramah, menyapa dengan senyum, dan cepat melayani permintaan dan membuat suasana yang lebih menyenangkan. such a wonderful service from Rama on the breakfast, he's good guy"
"10.","Lynette Darwing","3","2025-12-22","5","Hospitality sangat baik, all staff ramah, kamar nyaman dan bersih, semua perlatan bersih tidak ada noda. Makanan enak. Nyaman untuk long stay"
