"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","putu sw","790","2025-12-13","5","pelayanan bintang lima di hotel ini, kamar cukup luas, ada kolam renang dan gym, ada cafe di lobi hotel. sarapan variatif mulai pukul 07.00-10.30. hari raya galungan crew tetap beraktivitas seperti biasa salut dan respek bli dan gek di sini, Terima kasih dan sukses aloft kuta"
"2.","Ebii Ebii","76","2025-09-13","5","Hotel yang letaknya strategis di kawasan beachwalk mall. Saya menginap di kamar tipe garden terrace, dengan view menghadap mall. Amenities lengkap, kamar bersih dan nyaman. Nilai tambah untuk tim housekeeping yang suka memberikan “bonus” kecil yang manis."
"3.","anton nikolas","36","2025-11-13","5","Lokasinya dekat beach mall, akses kemana mana lumayan dekat, dekat pantai, tempat hiburan. Kamarnya bersih, pelanyanannya ok. Top"
"4.","Abdul Azis","21","2025-11-13","5","Hotel paling enak, paling nyaman selama aku tinggal di bali. Staff nya ramah & sangat helpful. Aksesnya kemana-mana sangat dekat. Yang paling aku suka kamarnya itu buat nyaman banget bersih baget juga."
"5.","Lee Marvin Jordan Timothy","71","2025-07-13","5","Hotel di Kuta, tepatnya di area Beachwalk Mall. Kamar hotel nyaman dengan area cukup luas dan fasilitas berlimpah. Menu sarapan beragam dari western, asian, dan lokal. Perlu diingat area kuta cukup padat dan cenderung macet. Cukup sulit untuk pesan makanan online"
"6.","Sabbiena Mushaffaini","3","2025-12-23","5","Selama kami ada event di Aloft kuta Bali untuk Team Aloft special mba Deny dan Bli July sangat helpful n gerceeppp sekali🔥😍 BESTTTTTTT sik🔥😍"
"7.","Lanny Kusuma","2","2025-12-16","5","04 malam nginap, benar2 luar biasa,service & keramahan para staff khususnya Ms Eci & Ms Femy. Next time, nginap di sini lagi."
"8.","yolanda lahesa","98","2025-07-13","4","Rooms oke, service oke hanya saja ketika kami datang, kamarnya masih belum ready padahal sudah mendekati malam. Lokasi sangat bagus, hanya saja macet di jalan raya Kuta. Overall menyenangkan menginap disini."
"9.","Yoga Berlin","29","2025-05-13","5","Saya sudah 4 atau 5 kali stay di Aloft kuta. Good choice buat yang liburan dan ga jauh dari Bandara. Lokasi sangat strategis mengingat depan pantai Kuta dan di dalam Beachwalk Mall. Makanan okaylah tapi semoga masih lebih improve soal rasa dan pilihan : 8 Houskeeping 9/10 meski sempet minibarnya ada makanan sisa dari tamu sebelumnya kelupaan bersihin tapi cuma 1 kali dari sekian menginap. Staff 10 out of 10. Gokil semua relatif friendly dan helpfull sangat. Terutama Kak Ari Novita, she give her all best to provide what all we need in Restaurant and komunikativ. Thumbs Up. Sepertinya tiap tahun saya bakalan stay disini awal dan akhir liburan di Bali."
"10.","Fitri Yanti","4","2025-12-23","5","Layanannya luar biasa ramah n bgus,kamar juga bgus bgt,staf ramah2 sekali,lokasi strategis bgt"
"11.","Ivan Kurniawan","3","2025-08-13","5","Kamar bersih, setiap hari dikasih kejutan. Dikasih air mineral banyak setiap hari. Deny ramah. Cheft Ilham juga ramah."
"12.","Oetary Triyani","12","2025-11-13","5","kamar nyaman, layanannya apa lagi, lokasinya dekat kemana kemana di kuta, yg paling penting ada jadwal ps5nya"
"13.","Egie Jhon","15","2025-07-13","5","Pelayanan excellent, mulai dari housekeepingnya , resepsionis dan yg paling kami senang itu orang restonya ramaaahhhhhhhh sekali, sy pastikan liburan singkat yg cm 3 hari bersama aloft akan berkesan dan di ingat anak sy"
"14.","ahla seiga","96","2025-02-13","5","Saya menginap 4 hari 3 malam disini, mendapatkan kamar yang sangat bersih dengan fasilitas yang sangat baik. Hotel ini berhasil menunjukkan keramahan orang indonesia melalui greetings dan smile yang selalu ditunjukan para staff, appreciate! Ada seorang house keeping bernama dwipa yang membersihkan kamar saya dan meninggalkan sebuah note kecil yang berisikan rasa terimakasih para staf karena kami sudah menginap disini (tidak terfoto), saya rasa ini bukan perintah dari pihak hotel namun ide kreatif staf sendiri untuk menyenangkan pengunjung hotel ini. Untuk hotel dan staf saya sangat menyukainya Namun untuk resto menurut saya terlalu monoton menunya, dan agak terlalu asin untuk beberapa makanan. Saya berharap chef bisa lebih memperhatikan kualitas sarapan disini. Setelah itu mengenai lokasi, sangat menyenangkan dapat langsung pergi ke pantai kuta atau beachwalk mall. Namun ketika saya ada keperluan untuk pergi ke tempat lain, saya menghabiskan waktu yang lebih banyak hanya untuk keluar dari area pantai kuta."
"15.","Miss Escape","14","2025-01-13","5","Hallo, kali ini saya staycation di Hotel Aloft Kuta - Beachwalk Bali. Yuk di mulai.. Hotel ini ada di dalam / menyatu dengan Beachwalk Mall, dan posisi hotel ini agak ke dalam dan bisa lewat di dalam mall nya, jadi ga berasa jauh jalan menuju Aloft Hotel. *Lobby* Kapasitas lobby menurut saya cukup yah, mungkin karena saya stay nya di weekdays (tapi di Bali ga ada weekdays kayanya, weekend terus hehehe) *Check-In* Proses check-in sangat cepat, diminta untuk isi formulir dan ID Card saja. Dan tidak diminta untuk deposit yah, jadi langsung cusss aja hehe. *Lorong kamar* Lorong menuju kamar menurut saya juga sangat penting yah, yang saya suka yaitu lorongnya terang benderang, bukan remang2 atau pakai lampu kuning yg redup yah, bener2 terang banget dan saya suka sekali. Hanya saja menuju kamarnya agak memutar jauh hehe. *Kamar* Kamarnya saya pun juga sangat suka sekali, lampu pencahayaannya juga terang!! SUKA BANGETTT!!!! Tempat tidurnya juga super duper nyaman sekali. Saya mendapatkan kamar yang ada balkon nya, cm pemandangannya agak kurang, tapi overall okee lhoo. TIDAK DI PERBOLEHKAN MEROKOK DI DALAM KAMAR, tapi bisa merokok di balkon. Akses ke balkon pun tidak menggunakan kunci. Berhubung kedatangan saya kali ini honeymoon bersama suami, dan kami mendapatkan sweet note + sweet cake dari Pak Manager Sadu Putra, thank you Pak. Setiap hari kamar kami di bersihkan dengan sangat baik sekali, dan karena saya dan suami kaya “onta” minum terus, sampai kami di berikan ekstra botol mineral dari Bli Ajung dengan sweet notes nya juga (bener2 perhatiin keperluan tamu). Di dalam kamar dapat slippers juga, cuma kami tidak pakai, karena buat lecet kaki :( *Kamar Mandi* Haduh, nyaman juga ini kamar mandinya.. Air panas nya yang langsung hot saat itu juga (ga perlu nunggu lama lagi) Shampoo, Conditioner, Body Soap ini sih bener2 berbusa yah hahahaha ga kaya hotel lain yg pernah saya stay shampoo & conditioner cuma ala sekilas aja hahaha. Handuknya pun bersih dan putih banget. *Pool* Untuk kolam renangnya minimalis tapi cukup nyaman untuk kita santai2, tidak ada kolam untuk anak2 yah. Staff di kolam pun gercep sekali. Overall saya dan suami sangat puas sekali, next akan balik lagi. Semua staff sangat ramah sekali, buat hati jadi adem hahaha.. Thank you Aloft hotel untuk staycationnya. xoxo"
"16.","M Rifki Ryanto","44","2025-01-13","5","Superb experience for us. Ada beberapa hal yang membuat saya memilih hotel ini: 1. Hotel lumayan dekat dengan bandara 2. Sebelah mall langsung 3. Dekat dengan pantai kuta 4. Design interior unik dan tergolong baru 5. Chain hotel dengan Marriot Bonvoy (terjamin kualitasnya (+) Dan setelah menginap 2 malam luar biasa. Pelayanan ramah, even kalian warga lokal dan banyak yg menginap itu warga negara asing, kalian tidak di-anak tirikan 🤣 Kamar tidak luas tapi cukup, lengkap dan bersih. Masih ada balkonnya lagi. Mereka naro amenities dan air minum lebih karena tahu saya bawa bayi, without ask, keren! Dan sebelah mall yg hits di Bali, what do you expect more? 😁 (-) Kalo dapet kamar diujung itu capek banget jalannya jauh pak dari lift, ada lift lain tp ga bisa ke lantai lobby. That’s all 👍🏾👍🏾👍🏾"
"17.","Nurjannah Inka","129","2025-01-13","4","Kamar bagus, utk family bs ber4 Balkon ok Lift krg praktis, krn banyak kamar. Dr lift ke kmr jarak nya agak jauh Lokasi hotel ke jln raya n pantai, lumayan jauh Makanan krg cocok buat sy menunya 😇 Pilihan menu krg banyak Welcome drink nya unik, baru ini sy temui Ada souvenir jg 👍"
"18.","عبدالرزاق السقاف (أبو إيلان)","551","2025-01-13","5","ماشاء الله تبارك الله فندق خطير جدا بمعنى الكلمه والموقع في قلب الحدث والشاطئ جميل جدا نظافة وفخامة وروعه المنظر من الداخل والخارج والغرف ٦ نجوم موظفي الإستقبال تعاملهم جدا راقي واهتمام بالنزلاء المطعم اكله جدا ممتاز وتوجد صاله رياضية ومسبح وسونا وجاكوزي شكرا للجميع لقد سعدت جدا انا وأسرتي وأستمتعنا بالمكان Mashallah, Tuhan memberkati Anda. Ini adalah hotel yang sangat serius dalam arti sebenarnya. Lokasi berada di jantung acara. Pantainya sangat indah. Kebersihan, kemewahan dan pemandangan indah dari dalam dan luar. Kamarnya Bintang 6. Staf bagian penerima tamu sangat berkelas dan memperhatikan para tamu. Restorannya memiliki makanan yang sangat enak. Ada gym, kolam renang, sauna, dan jacuzzi. Terima kasih untuk semuanya. Saya dan keluarga sangat senang dan menikmati tempat itu"
"19.","Andy Pei","13","2025-07-13","3","Buat fasilitas, lokasi dan kebersihan perfect Tp untuk service resto bad. Sangat memprioritaskan turis dr luar. Not profesional"
"20.","Adam Kh","241","2025-01-13","5","hotelnya bersih, wangi, rapi, terawat. ada di atas mall beachwalk, tapi suasananya tenang dan gak bising. kalau mau ke pantai kuta dekat, hanya jalan kaki saja kurang lebih 10 menit. sarapannya bervariasi dan enak-enak. ada makanan lokal, western, roti, pastry, bakmie, dan lain-lain. pelayanannya sangat baik. receptionist ramah. setiap orang yang bekerja di sana juga sangat ramah dan selalu menyapa. ukuran kamar standar, tapi nyaman sekali. sabun, shampo, dan conditioner wanginya enak. luar biasa. semoga kualitas dan harga tetap terjaga. kapan-kapan menginap di sini lagi."
"21.","Freddy Sinurat","65","2024-01-13","5","HOTEL INI SANGAT MENYENANGKAN! Hotel yang sangat menyenangkan bagi kami yang menginginkan suasana Kuta yang ramai, dekat dengan pantai sekaligus Beachwalk Mal yang bagus! Resepsionis yang efisien, sediakan kamar yang sesuai harapan kami, kamar yang terawat baik, kasur yang sangat nyaman, televisi ukuran besar, kamar mandi yang sangat baik dengan shower yang kencang, panas maupun dingin, amenities lengkap dan kualitas baik, handuk-handuk semuanya baru, pembersihan kamar selalu memuaskan, tidak ada kotoran yang tertinggal, request dilayani dengan baik. Restauran menyediakan sangat banyak pilihan makanan & minuman yang enak, segar dan berkualitas baik. Para tamu pun bervariasi dari yang muda, setengah umur hingga warga senior, tamu domestik dan internasional, semua terlihat senang menikmati sarapan. Terima kasih ke Pak Era, yg menyiapkan kamar kami dengan baik setiap hari. Terima kasih kepada manajemen yang luar biasa, semoga Aloft Bali at Beachwalk senantiasa menjadi pilihan favorit pelanggan domestik dan luar negeri. Satu-satunya kekurangan hanya di masa menginap kami yang terasa kurang lama, lain kali kami ke sini lagi! Salute!"
"22.","Miko Bayuaji","50","2024-01-13","5","Hotelnya masih baru jadi semuanya terlihat sangat bagus. Nuansa hotelnya di desain untuk travellers muda. Semua penempatan fasilitas benar-benar didesain dengan baik sehingga dapat mengoptimalkan semua ruangan. Seluruh timnya juga berhasil membawa image energic dan terlihat selalu excited kepada tamu. Buffet breakfastnya juga cukup kreatif. Memang bukan yang pilihan makanannya super wow, tapi menurut saya hotel ini punya juru masak yang handal karena makanannya enak. Di buffet breakfast juga ada indomie. Oke sih buat memperkenalkan the face of indonesia ke tamu-tamu internasional. Lokasi hotel juga luar biasa strategis karena tepat berada di pusat pantai kuta dan nempel dengan kuta beach walk."
"23.","Mohammad Irwan Trimulyono","653","2024-01-13","5","*Berlokasi di complex Kuta Mall maka lokasi hotel ini super duper strategis (5/5) *Kualitas kamar sangat baik (5/5) *Kualitas pendingin ruangan sangat baik (5/5) *Kecepatan pelayanan / service = Excellent (5/5) *Friendly staff (5/5) *Harga compare kualitas menurut saya worth it (5/5) *Parking area besar dan free = Minta dicap resepsionis (5/5) *Pool di lantai 1 dan cukup menyenangkan (5/5) Aloft Bali merupakan hotel dengan harga bersahabat dengan fasilitas yang sangat luar biasa Marriott group ini menawarkan pengalaman yang tak terlupakan, dari proses chekcin hingga checkout, keramahan staffnya 10 jempol! Breakfast cukup, walau bukan yang terbaik Super recommended, wajib, must!"
"24.","Arsi Cahyani","25","2023-01-13","5","Hotelnya masih baru banget, jadi ga usah diragukan untuk kebersihan dan kenyamanan kamarnya. Semua staffnya ramah! Dan alhamdulillah dapat banyak compliments : dipasangin kids tent di kamar, pensil warna, welcome ice sticks, dipinjamkan alat makan anak waktu sarapan, juga 2 pax minuman yg bisa ditake-away. Satu aja kurangnya sarapannya ada menu pork, tapi ya memang ini di Bali 😄 tp sekaligus saya apresiasi hotel krn sudah menulis jelas menu porknya, jadi sebagai muslim jadi tau 😊 mungkin next kalau kesana lagi saya akan pilih kamar tanpa breakfast 😊 Oiya satu lagi, bath amenitiesnya wangiii semuaaaaa.. bener2 uplifting mood banget 👍🏼 Sukses selalu aloft! 👍🏼"
"25.","Lisa Nh","43","2023-01-13","5","I love this hotel. Saya menginap untuk 3 malam. Hotel ini sangat nyaman dan cocok dengan saya karena kamar sangat bersih dan sangat nyaman untuk istirahat. Aminities kamar mandinya sangat harum beda dari hotel lainnya mulai dari sabun dan shampoonya selain itu showernya the best Selain itu kamar balcon yg menghadap kolam renang pemandangannya bagus. breakfastnya tidak banyak menu tapi untuk rasa enak dan pas. Fasilitas gym cukup lengkap dan kolam renang sangat nyaman terutama view kolam yg designnya kekinian dan keren. Hotel ini sebelah mall jadi menyenangkan bisa jalan kemall untuk refreshing maupun beli kebutuhan kita. Staff sangat ramah dri staff receptionist hingga restaurant. Kekurangannya hanya belum ada layanan room service mungkin karena hotel baru. Selain itu mungkin housekeepingnya kurang teliti tidak merefill teh maupun kopi dikamar saya yang habis. Semoga hotel ini well maintened dan see you soon definitely will come back."
"26.","Ulfa Maulidya","58","2024-01-13","5","+ Bagus, nyaman, lokasi strategis di Jl Kuta, terhubung dengan beachwalk mall. + Amenities lengkap, hanya saja sandalnya kurang nyaman digunakan. + Welcome drink nya es krim 😋 + Tempat makan nyaman, view juga bagus. Makanannya enak, bervariasi. Cemilannya lumayan ada rujak dan es campur segala. + Staff hotel responsif, saat siang kurang nyaman dengan suara renovasi, cepat ditanggapi 👍"
"27.","Matt Surabaya","519","2025-01-13","5","Tamu tamu kita bermalam di hotel ini selama tiga hari dua malam. Dan hari kamis, kemaren malam adalah malam terakhir dan sekalian ada acara gala dinner di depot lantai 1. Karena letaj hotel berada di sekitar pantai, memudahkan bagi tamu yang ingin berjalan sendiri ke area pantai."
"28.","marven katamsi","69","2025-04-13","5","Hotel yang menjadi satu dengan beachwalk Kuta, untuk yang suka dengan mall keliatannya cocok langsung jalan kaki udah sampai.Thx buat Nova (housekeping)"
"29.","_sas","168","2025-01-13","5","Hotel Favorit untuk menginap di area Pantai kuta, hotel, mall dan bar jadi 1 area. Ke pantai juga cuma jalan 2 menit langsung lihat sunset.. tempat mewah nyaman. Penyambutan baik dan langsung dikasih es krim saat sedang menunggu booking hotel."
