"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Rendi Jaya Kusuma","1","2025-12-15","5","Wahh cukup lumayan puas sih dari semua pelayanannya , kamar yang nyaman, bersih dan fasilitas nya sangat lengkap ada ruang gym kolam renang yang sangat luas terlebih untuk keramahan pelayan nya di restoran terimakasih kak nazwa dan kak qilaa😍"
"2.","Dewi Firdausi","108","2025-12-05","5","Lokasinya sangat strategis, jadi mau kemana-mana dekat. Roomnya sesuai dengan yg dipesan, setiap sudut lokasi hotelnya wangi, masuknya nanti dari depan ke kanan, ke lobby perlu naik tangga, tapi ramah untuk disabilitas karena ada akses khususnya"
"3.","Shaffa Adelia","1","2025-12-05","5","Hotelnya bagus dan memiliki lokasi strategis, dekat dengan pusat kota, fasilitas umum dan juga bandara Soekarno-Hatta. Kamarnya bersih nyaman, dan memiliki fasilitas yang memadai, staff hotel ramah, pelayanannya sangat cepat dan memuaskan"
"4.","wahyu hidayat","19","2025-12-08","5","Kamarnya nyaman, makanannya enak. Fasilitasnya lengkap & lokasi strategis. Betah 5 hari nginap di sini. Rekomended untuk yang mau liburan ketika ulang Tahun Jakarta. Dekat sekali ke kawasan JI-EXPO"
"5.","Dian Novitri","20","2025-12-05","5","Keren sih.., langganan menginap kalau menghadiri SIALINTERFOOD di JIExpo. Kamar bersih dan wangi. Breakfast juga enak. Pelayanan bagus, bonus view Jakarta dari lantai 24. Disediakan shuttle gratis juga untuk ke JIExpo nya. Keren 👍🏻"
"6.","Ahmad Aryd","2","2025-12-05","5","Lokasi bagus kamarnya terjangkau, lokasi dekat dengan jiexpo kalo mau ke konser atau pameran gampang, check out dibantu masnya pesan taxi sampai naikan barang ke mobil. belum tau namanya soalnya gapake name tag. sangat rekomen hotelnya"
"7.","Nadya Aulia","1","2025-11-05","5","Saya sangat puas dengan pengalaman menginap di BW Kemayoran Hotel & Convention. Pelayanan dari staf hotel sangat ramah dan profesional, terutama di bagian housekeeping yang selalu menjaga kebersihan kamar dengan baik. Fasilitas yang disediakan juga lengkap, seperti kolam renang, restoran, dan ruang gym yang nyaman. Kamar terasa luas, bersih, dan harum. Secara keseluruhan, hotel ini memberikan pelayanan yang sangat memuaskan dan layak direkomendasikan bagi tamu yang ingin menginap dengan suasana nyaman dan berkelas."
"8.","susilowati ningsih","1","2025-12-05","5","Sudah 2x menginap di hotel ini,, selalu menjadi pilihan utama saya dan keluarga jika mampir ke jkt menginap kesini,, tempatnya strategis dekat kemana saja krn berada di pusat jakarta, kolam renang luas, makanan beragam, kamar dan resto nyaman,, pelayanan pun oke👍👍"
"9.","Alvin","4","2025-09-05","5","Hotel yang memuaskan dengan kamar nyaman dan elegan, kolam renang yang menyegarkan, gym modern untuk menjaga kebugaran, spa relaksasi untuk mengurangi stres, sarapan lezat dengan pilihan menu beragam, wifi cepat dan stabil, serta restaurant dengan hidangan autentik dan suasana hangat, Juga ada shuttle free ke jiexpo memudahkan saya untuk ke convention Jiexpo, udh gitu free lg. Pelayanan staff yang ramah dan membantu membuat hotel ini pilihan tepat untuk liburan atau perjalanan bisnis, menawarkan pengalaman menginap yang nyaman dan tak terlupakan. Dengan fasilitas lengkap dan pelayanan prima, hotel ini sangat direkomendasi oleh saya."
"10.","Ines Sukma","3","2025-11-05","5","Pengalaman menginap saya selama stay di sini sangat memuaskan dari awal datang di sambut jangan di pintu masuk sama pak gatot dan di bantu check in sama mas Jimmy kamarnya juga luas dan nyaman"
