"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","i gede ari wibawa","9","2025-12-15","1","Maaf sebelumnya saya memberikan ulasan sebagai berikut untuk satpam pada malam tanggal 12 Desember 2025 Kesalahan yang dilakukan : 1. Tidak memperhatikan mobil saat memasukin area drop off depan lobby 2. Tidak melakukan 3S terhadap tamu saya 3. Ketika mau menyebrangkan mobil saya , satpam dengan polos menyempatkan melihat HP Tolong hotel ini bagus setau saya tapi memiliki satpam seperti orang tersebut"
"2.","Siti Kusmiyatie","3","2025-04-05","5","Saya sangat puas dengan pengalaman menginap di hotel ini. Fasilitasnya lengkap, kamar yang saya tempati nyaman dan sangat bersih. Pelayanan dari staf hotel juga luar biasa—ramah dan sangat membantu. Saya ingin mengucapkan terima kasih khusus kepada Aulia yang telah membantu saya saat proses check-in dengan sangat profesional dan ramah. Terima kasih, Aulia, atas pelayanan yang luar biasa! Saya pasti akan kembali lagi."
"3.","Caramel Uchiato","217","2025-05-05","5","Satu kata untuk mengawali review sy untuk hotel ini yaitu TERBAIK..meskipun kami menginap hanya satu malam tp pelayanannya the best bgt..mulai dr staf yg melayani wa sy utk minta slice cake krn kebetulan anak sy ultah pd hr itu…resepsionis yg ramah bgt, security yg tanggap..semuanya keren deh. And yg bikin anak saya surprise bgt, ternyata bkn hy dikasih slice cake, bahkan kamar dan tempat tidur jg dihias sgt cantik..anak sy happy sekali. Thank you fairfield South Kuta for making my daughter’s birthday soooo special and memorable. Lokasi deket bandara hanya 7 menit naik mobil udh sampe bandara. Next kalau ke Bali pasti nginap disini lagi 🥰"
"4.","Kya Johan","581","2025-01-05","4","Lokasi cukup strategis, tempat parkir tersedia walau sempit, kamar sangat nyaman, bersih dan luas namun sayang tidak ada cermin yang cukup untuk dandan dan tidak bisa lihat pemandangan bagus dari kamar. Menu variasi breakfast perlu ditingkatkan dan penempatan menu perlu ditata ulang agar sistematis dan memudahkan."
"5.","Raditya Zulmahdi","49","2025-01-05","5","Seminggu full nginep disini, overall hotelnya oke, kamarnya bersih dan nyaman, lokasi strategis dkt pantai Jerman, dan pelayan hotelnya ramah especially utk di restonya. Setiap hari saat sarapan selalu disambut dgn sangat ramah. Untuk sarapannya oke, ada mie instan jugaa. Recommended for stay."
"6.","Tunggul Prabowo","136","2025-07-05","5","Lokasi tempatnya ramai sampai malam dibanding di kuta yg dekat hardrock Next klo stay di kuta pasti pilih lokasi sini"
"7.","sisbrianto wijaya guntar","63","2025-01-05","5","Kamar rapi, nyaman, bersih. Semua pelayannya ramah, walaupun beberapa seperti pegawai baru, tapi tetap ramah. Lokasi sangat berdekatan dengan resto/tempat hang out dan pantai. Makanan porsi cukup besar dan rasa enak."
"8.","yohanes haryadi","314","2025-05-05","5","Kamarnya luas, kasurnya nyaman, hanya tdk bisa buka curtain krn sebelah nya jendela kamar juga, parkiran basement hy cukup 7-8 mobil dan di area dpn hanya bisa 1 mobil..menu breakfast kurang banyak variasi..lokasi strategis kalau mau liburan tidak membawa mobil sendiri karena bisa di akses kemana mana dengan berjalan kaki namun kalau pas musim liburan wasalam macetnya.."
"9.","Vanindya Amira","1","2025-02-05","5","Kamarnya tidak terlalu besar tapi cukup nyaman, staff disini juga sangat ramah sekali. Cuma 5 menit jalan kaki bisa langsung liat pantai jerman."
"10.","Maria putri Fahira","2","2025-02-05","5","Menginap satu malam disini sangat enjoy sekali. Hotelnya dekat sekali dengan bandara dan dekat dengan circle k. Kemarin sempat ketemu sm Ka Aulia sangat membantu sekali dan ramah."
"11.","Skyla Jasmine","5","2025-01-05","4","Sebenernya oke sih tempat lokasi deket mana mana, cm pernah order makanan di room servicenya nilai 6/10. Asiiiin bgt mushroom soup plus nasi goreng kambing jg amis bgt.. selebihnya oke.. saya mau late cek out sampe jam 2 krn pesawat saya masih jam 4, saya mau late cek out dengan membayar lho tp ngga boleh hiksssss:( hotel lain yg tiap minggu saya datangi pdhl bisa... Selebihnya oke sih room oke, ac dingin bgt, minus kaca dalam kamar cm ada di kamar mandi aja.. jd klo mau dandan malas berdiri di kamar mandi hahahahahha.."
"12.","suryasatria","95","2025-01-05","5","Pengalaman yang luar biasa setiap menginap disini, dan ini sudah yg keempat kalinya saya memilih hotel ini. Kondisi kamar, kenyamanan, fasilitas, dekat pantai juga. Terutama keramahan staff di resto mba Ayu dan rekan-rekannya, baik pada saat breakfast maupun dinner 👍"
"13.","Mariah Kiptia","18","2025-01-05","5","Kalau ada bintang 6, saya kasih. - kamarnya bersih, besar, peralatan lengkap. Sabun, shampoo, conditioner bermerek. Gk bikin kulit kering. - SEMUA karyawannya ramah - SEMUA permintaan/complain ditangani dengan baik - Breakfast nya banyak macemnya. SAYA SUKA BANGET SAMA CARROT CAKE nya. - Mw go food apa2 deket. - Pengalaman menginap luar biasa sih. Terima kasih sudah sabar menangani permintaan saya yang aneh2."
"14.","Eka Natanael","756","2020-01-05","4","Hotel yang modern, kekinian, interiornya bergaya minimalis dan keren. Kamarnya bersih dan nyaman. Dilengkapi TV LED berlayar besar dan saluran TV kabel dengan saluran domestik dan internasional. Sarapan paginya juga cukup enak meski variasinya tidak sangat banyak. Restorannya juga cozy, ada pool table(meja biliar)nya. Letaknya dekat pantai, cukup berjalan kaki sekitar 5 menit. Di sekitar hotel ada beberapa toko kelontong, penyewaan sepeda motor dan restoran. Untuk ke Lippo Mall Kuta dan Mall Discovery dapat juga berjalan kaki (lebih efektif sekalian olah raga) karena bila naik mobil jalanannya selalu macet. Intinya hotel ini menyenangkan. Para staf hotel nya pun ramah, sigap dan cekatan dalam melayani para tamu."
"15.","hardii prya","366","2018-01-05","4","Hotel baru bagus bersih dan nyaman 500m dari discouvery shopping mall. Jalan tidak macet spt di jl legian atau raya kuta. Kolam rooftop spa gym dan restauran serta bar tersedia. Pilih yg ada balkonnya buat perokok. tempat tidur nyaman dan besar kamar mandi bersih pelayanan ramah .warung muslim banyak mesjid 100 mtr dari hotel dan pantai segara 200 m. Recomend sekali"
"16.","gusti prasetiawan","192","2019-01-05","5","Hotel ini lokasinya sangat strategis. Dekat dengan bandara, dekat dengan pantai kuta. Design hotel modern minimalis yang sangat keren. Fasilitas kamar sangat lengkap, tempat tidur yang luas, ruangan besar, kamar mandi yang luas, jaringan TV dan Wifi yang ngebut. Harga kamar hotel sangat masuk akal yang setara dengan pelayanan yang kita terima. Perjalanan dinas atau perjalanan pribadi di Bali pasti akan saya utamakan menginap di hotel ini."
"17.","Yuli Ani","2","2025-02-05","5","Staffnya ramah sekali, kebetulan ada staff yg dari Jawa timur jugaa. Mba Aulia suka ngasih rekomendasi pantai yg bagus"
"18.","mohamad freddy.y","54","2025-02-05","5","Nice stay, pas dapat free upgrade, staff selurihnya sangat ramah dan lokasi ya dekat kemana mana.."
"19.","Jusak Hadi","125","2020-01-05","1","Hotel gak jelas, kunci kamar bisa dimiliki lebih dari 1 tamu! Pngalaman saya tgl 3 juni 2019 di kamar 333, jam 11 malam ada tamu lain bisa lgsg masuk kamar saya dgn kartu/kunci yg sama. ketika dikomplain k resepsionis cm bilang minta maaf ada ksalahan sistem. HOTEL BURUK TAMU GAK PUNYA PRIVACY DISINI!"
"20.","Farah Annisa","62","2019-01-05","3","Tempatnya enak kamar nya bagus. Ambil yg junior suite ada bathtub nya besar dan bisa untuk berdua. Fronnt office ga ramah memperlakukan saya dengan memandang seblah mata. Seperti nya mereka hanya ramah pada bule saja. Gimana klu saya ambil kamar yg superior mngkin makin d pandang sebelah mata. Pas breakfast smpai d tnyain 3 kali dr kamar berapa padahal sebelum masuk sudah bilang dlu dr kamr 214. Untuk makanan breakfatsnya hari pertama lumayan untuk hari kedua ga enak banyak makanan yg kosong tp tidak d refill piring2 juga sudah habis tapi tidak d tambah padahal masih jan stngh 9. Untuk kebersihan kamarr okelahhh. Bersih dan semua d ganti baru. Mngkin hanya sebagian staff saja yg masih diskriminasi turis lokal dengan asing. Ada jugaa kok yg baik yaa tapi cuma bbrp sajaa.."
"21.","Akhmad Farkhanudin","263","2025-01-05","5","Kamar nyaman, lokasi strategis, staff ramah, sarapan enak, tapi kurang bervariatif. Terima kasih"
"22.","Wahyu Kresna","299","2024-01-05","5","Sempat tertukar dg Fairfield Sunset Road. Room oke sekali, cm sayang kasur nya bunyi 😂. Service oke, Resto oke. Lokasi deket banget dg Bandara & Pantai Jerman."
"23.","Korniawan Prabowo","140","2021-01-05","4","Hotelnya bagus, kamarnya bersih, dekat sekali dengan pantai, mall dan bandara. Hanya saja pengalaman pertama saya kesana kurang berkesan. Saya tidak bisa menurunkan barang-barang bawaan di lobby karena lobby sangat kecil (pada saat itu sedang ada mobil juga disana) lalu saya disuruh ke parkiran basement. Tapi tidak ada satupun staff yang mendatangi saya untuk membantu menurunkan barang-barang. Sampai saya dua kali naik untuk minta bantuan dan akhirnya security yang membantu saya."
"24.","Cheche Cheche","7","2025-01-05","3","Pelayanan sangat kurang Jika dibandingkan sama Fairfield lokasi lain yg dibali, disini paling perlu dipertingkatkan sikap kepada customer Utk shift malam karyawan berkulit hitam,kurus, (cowo)."
"25.","Chanel Idil S","43","2021-01-05","5","Tempatnya bagus, nyaman, karyawan nya juga cekatan dalam bekerja serta top dalam Protokoler Kesehatan terkait Covid-19, makanan pun bisa dipesan dan langsung diantar ke kamar hotel, tanpa uang Tips Luar biasa"
"26.","Abi Bali","22","2019-01-05","5","Hii....saya sekeluarga mengucapkan terima kasih..dua hari menginap di upgrade ke junior suite..nice, kamar bersih, dan nyaman. Makanan nya enak... recommended deh.. Tq.. Abu said a."
"27.","Ani Salju","36","2020-01-05","5","Hotel nyaman.. Menyenangkan.. Semua bersih baik kamar dn perlengkapan.. Breakfeast suka...di restoran byk spot selvi yg asyiiiikk..5 hri jdi berkesan bangettt dehhhh..."
"28.","serly nayoan","31","2019-01-05","5","Sehubungan dengan very good impression gw dengan Hotel ini.. Gak tahan rasanya untuk tidak memberikan testimoni pengalaman gw disana selama 5D4N disana (walau sudah gw share juga sih di instagram).. Ini tempatnya cozy banget.. Untuk anak yang penakut seperti gw, ini tempat tuh modern banget, jadi gak bikin takut.. Konsepnya modern minimalis, wangi disepanjang lorong hotel setelah keluar dari lift (nilai plus banget nih), kamarnya jg bersih dan wangi, live band every night (nilai plus lagi), pelayannya juga ramah2 banget, pokoknya suka banget dech.. Kalo ada yang kurang, sih cuma masalah beberapa menu breakfast yang suka keasinan.. hehe.. sisanya ok.. Next time mau banget ajak keluarga bermalam disini.."
