"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Nany Tan Elias","127","2026-01-06","5","Tdk seperti bad review yg sy baca. Menginap dsini sangat menyenangkan. Kami cek in subuh krn dtg dg mobil dr luar kota, dsambut dg sangat ramah oleh petugas FO. Mnt kmr yg d atas dpt lantai 25, shg bisa dapat good city view ... Sayang tdk ada welcome drink mgkn krn terlalu pagi. Kamar bersih, AC super dingin, Room service bagus 24 jam, semua house keeping dan pegawai sangat membantu.... Amenities yg kurang jg bisa d minta serta kirim k kmr. Kpn² mw stay d sini lagi... Tq 🙏🏻"
"2.","R Mayadevi","424","2025-11-20","4","Pertama kali tiba di hotel ini dikejutkan oleh gedungnya yg jadi satu dengan bank mayapada, jadi lobbynya terletak di lt 2 gedung. Kamarnya cukup banyak, kami dapat kamar di lt 22, lobby bersih dan nyaman, harga cukup terjangkau. Proses check in berjalan mulus, permintaan kami utk kamar connecting room bisa terwujud karena pihak hotel sudah membloking kamar sebelumnya. Kamarnya cukup luas, bersih & nyaman dengan fasilitas yg lengkap, ac central super dingin, tv channel (belum bisa netflix), shower air panas, welcome drink, kulkas, double bantal, ada amenities dan hairdryer di kamar mandi. Karena ac central yg terlalu dingin dan tidak bisa disetting sesuai keinginan akhirnya kami matikan ac nya, sayang tidak bisa di offkan di kamar ortu saya yg sudah lansia sehingga mereka kedinginan sepanjang malam. Paginya kami breakfast di lt 5, ada kolam renang dan area bermain anak diluar kafe. Menu breakfast cukup bervariasi, ada menu bubur ayam, bubur tradisional, soto, indomie, donut, croissant, toast, waffle, sosis, nasi goreng, buah2 beragam salak, jeruk, pisang, melon, semangka, pepaya. Fasilitas lengkap dan pelayanan staf sangat baik dan ramah, namun kebersihan di area parkir di B1 dan B2 harus lebih diperhatikan karena berbau pesing dan agak sempit ruangnya saat memutar sehingga mobil rawan terserempet tembok. Lokasinya di jalan besar yg sibuk sehingga sering macet. Dan jika salah jalur harus memutar cukup jauh untuk mencapai tempat ini."
"3.","Toyo Nathan","106","2026-01-06","5","pelayanan baik, sopan, ramah. harga terjangkau dgn fasilitas yg Baik. Menu Breakfast bervariatif, Expreso ice cream diracik dgn MANTAB, ada mesin Ice Cream shg tamu bisa mengambil sepuasnya. Chef nya Ramah."
"4.","Trihadi N","52","2025-12-30","5","Lokasi memang lumayan jauh dari pusat kota tetapi dekat pintu toll serta mall membuat salah satu pertimbangan untuk stay di sini. Kami sskeluarga menyukai terutama pelayanan saat makan pagi. Jempol 5 buat all team restoran. Hope can stay again ini fairfield surabaya atau lokasi lain."
"5.","Maret Leriyanto","62","2025-11-20","5","Menginap disini sangat menyenangkan, kamar bersih dan terang, restonya ok deket kolam renang, fasilitas mantapp.... ada Gym, Kolam Renang, dan fasilitas kamar juga lengkap, sayangnya lantai kamar ga pakai karpet jadi dingin bgt klo ga pakai sendal. Dan Bapak Yulius beliau sangat ramah dan memberikan informasi2 tentang kuliner surabaya, mantappp pokkknya."
"6.","Thio Arief","30","2025-12-20","1","Hotel bintang 4 yg tidak layak. Parkiran gelap dan tidak terawat, awal chreck in dapat kamar 1111, bau lembab dan kotor, lalu di pindah ke kamar 917, remote tv rusak, air tidak panas, dan wastafel bocor Breakfast sangat biasa, bibir gelas retak di sajikan saat sy di tawarkan teh oleh staff resto. Cat tembok berserakan juga tidak ada yg membersihkan, padahal sy 3 hari di hotel tersebut. Sanitizer di gym, tidak berfungsi Bangunan sangat tidak terawat. Staff hotel banyak yg trainee. Kelebihannya cuma lokasi yg strategis. Kalau harga 800k++ sangat mengecewakan."
"7.","Miftahur Rohman Habibie","18","2025-11-20","4","kebetulan dapat room yang kamar mandinya tidak bisa dikunci dan gantungan showernya rusak, jadi harus dipegangi ketika mandi. handuk juga cuma 2 biasanya ada tambahan handuk kecil untuk di kamar mandi. overall oke."
"8.","Benz Spencer Hoky","108","2025-10-20","4","Parkiran nya sumpek, hotel agak kurang bersih. Kirain Expectnya bakal bersih bgt krn nama Marriott. Tp ini dia ambil dr sharing gedung dgn mayapada. Siap siap yg mbl nya besar susa bgt ke parkiran. Sisa nya cukup OK lah. Utk harga sgini masi byk pilihan lain yang lebi bersih menurut saya."
"9.","Ri Rin","3","2025-11-20","5","Hotel bersih dan nyaman,pelayanannya baik,staffnya ramah2,breakfast jg lumayan enak,banyak pilihan,overall bagus..recomended utk staycation saat ada di kota surabaya"
"10.","Hells Shire","5","2025-09-20","3","Beberapa staff terlihat acuh dan sepertinya pilih Sama customer ya,, terutama security loby yg perawakannya kurus,, giliran yg mobilnya mahal aja di rajakan, yg mobil biasa dianggap angin.. Untung makanan enak"
"11.","apoo mech","2","2025-11-20","1","Pesan kamar ada beberapa item rusak, harus telp dlu buat perbaikan,lama pula nunggunya seperti tidak siap utk menyewakan kamar hotel sekelas marriot Perlu perbaikan manajemen dan tata kelolanya"
"12.","agtifa primadani","388","2025-08-20","5","Dua kali menginap di sini untuk business trip dengan twin bed. Bantal empuk, amenities basic di kamar mandi, sprei dan handuk bersih. Air hangat dan ac berfungsi dengan baik. Sarapan standar hotel, seperti egg station, salad counter, bubur ayam, bread & jam, ada juga jamu tradisional selain espresso enak. Service baik dan staff ramah"
"13.","Lilly Po","15","2025-11-20","3","Nginap di sini coba aja Karna Masih Marriot group. But......mengecewakan. Ya ada harga ada rupa lah.... Menurut saya not clean enough.... Service nya oke lah tp mengecewakan masalah parkir. Baru Kali ini nginap d hotel bayar parkir. Ternyata harus daftar free parking yang tidak ditawarkan/diinfokan saat check in. Service lain nya oke"
"14.","try yanuar wahyu","3","2025-07-20","5","mengesankan, 1. dateng hari sabtu/21 Juni skitar pk 15.30, ketika parkir ke B1 langsung d sambut staff keamanan yang ramah dn dg cekatan memandu kami parkir plus memastikan kondisi mobil sesuai dg ketentuan parkir (tdk rem tangan) 2. staff FO juga ramah dn langsung memberikan info scr detail ttg fasilitas kamar dn hotel, setelah itu kami langsung diberikan welcome drink. 3. Kamar hotel bersih dan semua peralatan berfungsi dg baik dn normal. 4. Kolam renang bersih dan juga nyaman untuk bermain anak kami yg usia 3 th dn juga tersedia fasilitas menggambar/mewarnai bagi anak kami. 5. staff bar yang juga ramah dan cekatan membantu mengawasi anak kami ketika sedang payment di bar. 6. menu sarapan pagi yg variatif sesuai standar hotel dibintangnya, tempat bersih juga serta ada salah satu staff resto klo tdk salah mb Yulia namanya sangat ramah dan cekatan orangnya (langsung bantu kami saat anak kami menjatuhkan barang) dan kami rasa semua ramah utk staff restonya, termasuk mbak yg pakai seragam hitam di bagian pancake sm icecream. overall hotel bagus dan pelayanan yg prima. thanks."
