"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Ahmad Subhan","19","2025-12-31","5","Ruang meeting banyak dan luas, sangat bagus buat kantor yang mau adain acara meeting, atau training. (Foto sudah hilang) Akses lift keamanan juga oke, makanan nya enak enak juga. Security sangat bersahabat dan sopan. Lokasi strategis.banget belakang MKG."
"2.","Hanny Ameena","382","2025-12-09","5","Kesekian kalinya main dan nginep disini. Experience nya selalu menyenangkan :D Thanks to bpk. Fransisco, shout out to mba Sita. Kamar bagus, bersih, nyaman. AC dingin, bisa disesuaikan juga. Air panas stabil buat mandi, suka banget ini. Ada safe deposit box di kamar, bisa buat simpan barang berharga selagi nginep. Makanannya enak2, ada tema2 juga untuk menu di resto nya. Gym nya luas, alat nya banyak. Swim pool nya juga besar, enak buat renang bolak balik ahaha.. Kalo mau ngemall tinggal mlipir kesamping aja, udah masuk MKG deh. Definitely will come back again ;)"
"3.","Susi Antolis","4","2025-12-31","5","Sudah jadi langganan di sini, hampir tiap tahun new year di sini. Hari ini dilayani oleh ka Fitri, petugas cek in nya ramah & baik, kita dikasih early check in. Sukses terus hotel Harris MKG."
"4.","Azmi Mubarok","3","2025-12-23","5","Hotelnya nyaman dan bersih, fasilitasnya lengkap. Pelayanan staf sangat ramah dan membantu, terutama mas Latif pelayanannya sangat baik dan responsif."
"5.","rizki adha ranggadeva","5","2025-12-06","5","pengalaman yang baik layanan room service atas nama yogi saputra sangat baik dalam pelayanan, komunikasi dan pekerjaan masukan utk hotel harris terkait dengan penyediaan air minum,dimana hotel lain sdh menyediakan isi ulang pakai despenser di setiap lorong hotel."
"6.","Yogi Jr","1","2025-12-16","5","Recomend bangett untuk nginep lagii disini, apalagi untuk Mas Latif pelayanan nya sangat baik, kamar dibersihkan secara menyeluruh dan orangnya sangat ramah⭐⭐⭐⭐"
"7.","Melia 14","1","2025-10-06","5","Hotel Harris Kelapa Gading sangat memuaskan! Lokasinya strategis di pusat Kelapa Gading, dekat dengan mall dan pusat perbelanjaan. Kamarnya bersih, nyaman, dan dilengkapi dengan fasilitas yang lengkap, seperti AC yang dingin, TV layar datar, dan Wi-Fi yang cepat. Kamar mandinya juga bersih dan modern, dengan shower yang nyaman dan fasilitas lainnya. Pelayanan staf hotel juga sangat ramah dan profesional, terutama Fadli dari housekeeping yang sangat rajin dan teliti dalam menjaga kebersihan kamar. Sarapan pagi yang disajikan juga lezat dan variatif. Harga yang ditawarkan juga sangat kompetitif. Saya sangat merekomendasikan hotel ini untuk liburan atau bisnis di Jakarta. 👍🏼 5/5 ⭐️"
"8.","Devita Septiarini","4","2025-12-16","5","Toilet Wanita di Lobby bersih, kering dan wangi. Mba Nur cekatan dan ramah. Terima Kasih Harris memberikan pengalaman yg bagus."
"9.","Yusuf Darmawan","3","2025-12-06","5","Selalu menyenangkan berlibur/kerja ke Jakarta dan memilih Harris sebagai tempat istirahatnya. Pelayanan yang ramah, cepat dan di dukung kamar yang selalu bersih dan rapi dan jangan lupa breakfast pagi hari yang selalu menyenangkan. Good Job Harris"
"10.","nabila bila","2","2025-12-06","5","sangat puas dengan pengalaman menginap di hotel ini. Pelayanannya sangat baik, ramah, dan sigap dalam membantu setiap kebutuhan tamu. Secara khusus, saya ingin mengapresiasi Mas Latif yang memberikan pelayanan luar biasa selama saya menginap. Good Job mas latif"
"11.","Agoy Yusuf","1","2025-12-06","5","secara keseluruhan, kombinasi pelayanan yang ramah terutama dari Mas Latif dan kebersihan kamar yang sangat baik membuat hotel ini layak direkomendasikan Terima kasih untuk pengalaman menginap yang menyenangkan.."
"12.","Muhammad Fachry","138","2025-12-06","5","Hotel bintang empat yang terhubung dengan mall Kelapa Gading 5. Hotelnya luas, nyaman, dan pelayanan ramah. Disini terdapat fasilitas lobby, restoran, meeting room, gym, kolam renang, dan layanan kamar. Area parkir untuk motor dan mobil juga tersedia luas disini."
