"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","jovi8331","2","2025-12-29","5","Hotelnya nyaman, kamar bersih, untuk breakfast banyak opsi dan pelayanan hotel ini cepat. lokasi kalau dari pintu tol Pasteur sangat strategis. Makasih kepada waiter namanya Natasya sudah bantu orang tua saya saat penyajian Kopi saat breakfast"
"2.","eksa irawaty","7","2025-12-22","4","Kemarin setelah CI saya langsung ke kolam renang dan duduk di resto sambil nunggu anak-anak berenang, mungkin disangka bukan tamu, jadi rada dicuekin, pas order juga kurang gimana gitu, baru setelah diinfo nomor kamar jadi rada ok. Keluarga suami cukup sering menginap disini, karena deket rumah. FO ramah & helpful. CS di chat Whatsapp juga sangat informatif. Tadi anak saya naik ke kamar gak bawa kunci dibantu karyawan hotel. Menurut saya ok sih, 4 dari 5. Terima kasih."
"3.","Alya Humaira","1","2025-12-29","5","Meeting package yang ditawarkan hotel ini cukup memadai untuk kebutuhan kegiatan bisnis. Ruang meeting bersih, nyaman, dan tertata rapi. Peralatan pendukung seperti proyektor dan sound system berfungsi dengan baik. Konsumsi yang disediakan sesuai standar meeting dan pelayanan dari staf cukup responsif terutama bu megah indoureen yg serta membantu selama kegiatan berlangsung. Secara keseluruhan, meeting package ini dapat menjadi pilihan yang baik untuk pertemuan kerja."
"4.","ferani Alphasa","8","2025-12-29","5","Pelayanannya memuaskan, kamar bersih. Makanan enak sarapan beragam, banyak menunya. Mba indri as waiters sangat membantu dan melayani tamu. Thankyou mba"
"5.","Muhammad Gilang","2","2025-12-15","5","Pengalaman menginap yang sangat memuaskan. Kamar bersih, fasilitas lengkap, dan pelayanan staf sangat ramah serta sigap membantu. Lokasi hotel strategis sehingga memudahkan akses ke berbagai tempat penting di kota. Sarapan yang disajikan bervariasi dan kualitas makanannya sangat baik. Sangat direkomendasikan untuk perjalanan bisnis maupun liburan"
"6.","beril untari","7","2025-12-29","5","Walau hotelnya lagi full tapi pelayanan staffnya above and beyond bgttt, makanannya beragam dari kemarin dan sangat enak2, pelayanannya cepat dan ramah, customer service oriented terutama staff Indri yang sigap dan cekatan dalam membantu. We have a great time here."
"7.","Firly Septian","5","2025-12-15","4","Saat saya checkin, terdapat kendala pendingin kamar rusak. Dari pihak hotel sangat membantu saya dengan memberikan penggantian kamar dan diberikan layanan complementary dan itu sangat bagus. Hanya saja minta tolong untuk dapat dilakukan pengecekan ruangan sebelum diberikan ke pelanggan. Selain itu lainnya sudah bagus, baik dari segi sarapan, pembersihan kamar, dan layanan pendukung seperti fitness dan spa."
"8.","Rini Sulistyowati","5","2025-12-15","5","Menginap di Holiday Inn Bandung benar-benar pengalaman yang menyenangkan. Pelayanannya ramah dan responsif, dari proses check-in sampai check-out semuanya terasa smooth dan profesional. Kamarnya bersih, rapi, dan nyaman, dengan housekeeping yang konsisten menjaga kebersihan setiap hari. Tempat tidurnya empuk, kamar mandi bersih, dan overall bikin istirahat jadi maksimal. Untuk makanan juga jadi highlight. Pilihan menu cukup beragam, rasanya enak, dan kualitasnya terjaga. Sarapan paginya lengkap dan fresh, cocok buat mulai hari dengan nyaman. Overall, Holiday Inn Bandung sangat recommended untuk staycation maupun perjalanan bisnis karena kenyamanan, pelayanan, dan kualitas makanannya."
"9.","Fitri Y","14","2025-12-15","5","Lokasi strategis dekat pintu tol pasteur. Rekomended untuk yang bawa keluarga. Banyak wahana anak dan permainan. Pegawai hotel ramah2 dan murah senyum terutama Mba Aiko. Menu sarapan enak2 seperti hotel bintang 5 sakin banyaknya belum sampe cobain semua 😅 Insya Allah klo jalan2 ke bandung lagi mau nginep disini lagi. Sukses Holiday Inn dan terima kasih atas pelayanannya 🥰"
"10.","Anastasia Rozalia Sigit Safitri","10","2025-12-05","5","⭐️ 100/10 — HOTEL TERBAIK, TITIK 😍🔥 Dari awal masuk sampai pulang, hotel ini bikin aku senyum terus 😭✨ Kamarnya bener-bener bersih, wangi, dan super nyaman. Tempat tidurnya empuk parah, lighting kamarnya aesthetic banget, dan setiap sudutnya keliatan dirawat. Rasanya masuk kamar langsung pengen rebahan seharian 😴💖 Staff-nya? GILA SIH RAMAH BANGET 😭❤️ Pelayanan cepat, helpful, dan selalu senyum. Bener-bener bikin ngerasa dihargai sebagai tamu. Mau minta apa pun, langsung di-handle tanpa ribet 🤩👌 Fasilitasnya juga lengkap dan semuanya keliatan terawat. Pokoknya vibes hotel ini tuh “tenang, nyaman, dan bikin betah LEVEL DEWA” 😆🙌 Singkatnya: HOTEL INI DEFINISI PERFECT. 100/10. Ga ada debat. Bakal balik lagi tanpa mikir dua kali 💯✨🏨 Kak Natasya"
"11.","Aura","27","2025-12-29","5","kemarin book kamar yg smoking room tapi sukaa bgt room gak bau rokok alias bersih bgt dan ada terasnya gituu. pas breaksfast banyak bervariasi, disini bisa berenang dan disebelah kolam ada billiard. bisa akses gym jugaa yg cukup banyak alat dan lumayan luas, trs bisa lanjut sauna—special thanks to kak nia, yg banyak bantu pas stay disini ✨"
"12.","Dinna Anastasya","12","2025-12-29","5","Kamarnya luas…tempatnya cozy banget, nyaman utk anak”…sarapannya lengkap, fasilitasnya lengkap, ada fitness, spa, billiar dan pingpong jg ada, bakal jadi hotel langganan kyknya, hehehe"
"13.","Lucky 999","2","2025-12-29","5","View sunset dari kamar lt 7, cakep. Tapi sunrisenya lebih cakep lagi. Sarapannya bervariasi, tidak ada yang membosankan. Bahkan wedang rondenya juga sangat menyegarkan. Amazed dgn mampirnya mas Jeremy ke meja kami just to say hello and give warmest greeting... Very friendly. Good job ..."
"14.","Dewi Nastiti","2","2025-12-29","5","HOTELNYA BAGUSSSS BANGETTT makanannyaa enak enakk variannya banyak kamarnya baguss cocok banget buat liburan bareng keluargaa!!! Pelayannya juga okee bangett +++ Kak Natasya BESTT SIHH super ramahh dan membantu banget BESTT HOTEL EVERRR"
"15.","Oktavia Aline","5","2025-12-15","5","Makanannya enak², sangat bervariatif, staf nya ramah². Kamarnya luas, bersih, fasilitas lengkap dan seneng banget donk dpt upgrade kamar gratis. Next klo ke bdg menginap disini lg.. ❤️"
"16.","Ida (Ida)","14","2025-12-22","5","Pelayanannya restaurant bagus dan ramah ramah, makanannya enak enak, pelayanan resepsionis juga bagus, kamar jug bersih. Ada acara bikin kue juga untuk anak-anak free, Next nginep lagi di sini, recommended 👍"
"17.","Wiguna Nugraha","1","2025-12-29","5","Pengalaman menginap di Holiday Inn sangat memuaskan, terutama dari segi makanan dan pelayanannya. Menu makanan yang disajikan sangat beragam, rasanya enak, dan kualitasnya terjaga dengan baik. Pelayanan dari seluruh staf juga ramah, cepat tanggap, dan profesional. Thank you Mas Yogi sangat membantu, komunikatif, dan memberikan pelayanan yang membuat kami merasa nyaman."
"18.","Cipong Korwil78","1","2025-12-22","5","Bagus banget hotelnya nyaman buat meeting dan juga menginap makanan enak dan komplit, pelayanan ramah dan sangat membantu apalagi saat dibantu oleh kak Lyla yang baik hati serta cantik juga... Makasih ya holiday mau deh Dateng ke sini lagi"
"19.","Grace Valentina","7","2025-12-15","5","Kamarnya bagus, nyamannn, sarapannya enakk2 banyak pilihan, pelayanan ramah, semua gercep minta sesuatu lgsg dibantu, pokoknya pilihan terbaik kalo ke bandung ya nginep di holiday inn"
"20.","Ema dheRusti","53","2025-12-22","5","Overall dari segi pelayanan, kenyamanan dan fasilitas bagus, bersih dan menyenangkan. Ramah dan helpfully semua petugasnya.... Sedikit masukan untuk tissue di kamar sebaiknya disesuaikan dengan tempat tissue yang digunakan. Terimakasih. Sukses selalu. Tingkatkan terus kualitas pelayanannya ya...."
"21.","reii","4","2025-12-22","5","Lokasi hotel cukup strategis dan mudah dijangkau. Sarapan pagi memiliki pilihan menu yang beragam dan rasanya enak. Fasilitas hotel juga terawat dengan baik, membuat pengalaman menginap semakin menyenangkan. Secara keseluruhan, Holiday Inn bandung sangat direkomendasikan untuk liburan."
"22.","Rahma Aulia","1","2025-12-29","5","pelayanannya bagus ramah makanan nyaa jugaa lengkap enak kamar room aman fasilitas oke menarik bagus pelayanan nyaa dilayani oleh kak Nisa terimakasih yah ❤️"
"23.","Salma Nabila","1","2025-12-22","5","Hotel yang bagus dan nyaman, dengan suasana christmas yang sangat bagus. meskipun saya islam tapi saya suka bgt hihihi, staff nya juga ramah ramah, saya di tawarin roti roti an gitu di resto saat breakfast dan enak sekali. Mba reception nya juga cantik baik dan ramah. saat ini saya dibantu Leysha dari GRO🤗"
"24.","Aprilia Shafira","13","2025-12-29","5","Makanan: makanannya banyak pilihan, stafnya standby dan sangat membantu, rasanya juga enak2 semua. Pelayanan: Indria, mbanya baik dan membantu melayani customer hotel, ramah2 juga."
"25.","Lastrie Mayawidhya","2","2025-12-15","5","Hotel yang sangat nyaman, kebersihannya juara dari kamar, kamar mandi, perlengkapan mandi sangat lengkap. Untuk mene sarapan sangat bervariasi dan rasanya tidak perlu diragukan lagi. Staff yg sangat membantu. Sangat direkomendasikan"
