"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Muh 03","292","2025-12-05","5","Holiday Inn Express Bali Sunset Road... Berada dijalan Jl. Sunset Road No.99X, Kuta, Kec. Kuta, Bali, masuk langsung dengan parkir yang di depan hotel, tidak begitu banyak lahan parkirnya. Lokasi juga dekat untuk ke bandara, tidak sampai 30 menit (jika tidak macet). Saat masuk akan terlihat lobby yang konsepnya terbuka tidak tertutup. Jika sudah memesan akan sangat mudah melakukan check in, tidak tahu kalau check in dilakukan on the spot (masih tersedia kan kamar). Kamar yang besar dan langsung di depan kolam renang dan dekat dengan resto atau pintu masuk dan keluar hotel, sangat membantu karena dapat kamar hotel yang dekat. Untuk breakfastnya bervariasi, dihari tentu akan ada menu spesial yang di sediakan (seperti hari Kamis ada Mie rebus soto ataupun kari, tinggal pilih). Makanan yang tersedia juga enak. Mudah-mudahan bisa kembali lagi dengan keluarga untuk berlibur. Sehat selalu... Sukses terus..."
"2.","Aki Baihaki","217","2025-11-05","3","Saya sudah setahunan pilih ini karena lokasi yang cocok untuk kerjaan dan juga karena IHG. Satu bintang saya remove karena desain kolam renang bikin lantai basah konstan, tidak nyaman jalan dan alas kaki basah. Satu lagi bintang saya cabut karena pastry yg saya foto ini sudah setahunan rasanya sama: tengik. Jangan hidangkan pastry kedaluwarsa ke pelanggan. Makanan fresh lainnya OK, varian tidak banyak dan rasanya biasa banget. Biasanya saya skip breakfast (walau termasuk dalam rate). Air panas juga tidak konsisten."
"3.","Lauw Siu","10","2025-08-05","5","Dapat privilege menghuni pool access room… tempat yg nyaman tenang , kamar bersih cukup luas , tersedia terminal listrik untuk charge dan juga charger yg tertanam langsung jadi yg lupa bawa charger tdk perlu bingung… service baik dan ramah…. Bisa dikembangkan utk menu breakfastnya trus tempat gym gak perlu luas tapi alat dirawat… dan resto n cafe open hour nya bisa ditambah buar bisa nongkrong santai .. tapi keseluruhan sangat puas menginap di sini -toppp…"
"4.","afie luckyman","6","2025-09-05","1","Air shower mandinya parah abis disana itu, sebentar panas banget, sebentar malah jadi dingin, berubah2 terus temperatur air shower untuk mandinya itu, susah mau mandi di kamar mandinya itu, ada sekitar 3 atau 4 kamarnya kami periksa satu persatu dgn resepsionisnya itu semua sama saja air showernya tidak bisa konstan atau tetap temperatur air showernya tsb. Terus kalau dicomplain ke resepsionisnya itu bilang, iya akan kami cek dan perbaiki lagi, tapi hasilnya sama saja, temperatur air showernya tetap naik turun terus dgn sendirinya pada waktu kami mandi. Keran westafelnya juga sangat keras untuk bisa diputar on/off nya. Ini hotel ternyata hotel lama yg direnovasi dan diganti menjadi nama baru hotelnya itu."
"5.","abe p","1","2025-11-05","5","Hotel bersih nyaman, lokasi tidak jauh dari kuta dan kota. Pelayanan sangat ramah khususnya saat breakfast"
"6.","Egi","199","2025-06-05","5","Lokasi sangat strategis banget dikelilingi pusat perbelanjaan dan kuliner, kesehatan. Dekat dengan minimarket granlucky, TSM, depanya ada spa . Hotel baru gedung lama, arsitek bagus dalamnya serba putih seperti santorini. Ukuran kamar kecil sekitar 15-18sqm, tapi nyaman semua berfungsi baik. Air lancar, ac dingin well good karena barang baru. Untuk kamar pool access itu kolamnya airnya terlalu tinggi saat ada yg mandi pasti airnya jatuh dan masuk ke kamar bisa banjir"
"7.","Marta Gisella","9","2025-09-05","1","Menginap tanggal 25-29 juli 2025, suhu air waktu mandi berubah” , beberapa detik hangat setelah itu berubah lagi beberapa detik ke dingin, bahkan sudah di setting ke bagian lumayan panas pun beberapa detik kemudian berganti ke dingin, dan setelah itu berubah sangat panas , di komplain info pihak receptionist akan di cek dan di perbaiki tapi dari awal check in sampai check out tidak ada perubahan."
"8.","erlina ariputri","27","2025-10-05","4","Lantai wc kamar mandinya licin, itu bahaya sih apalagi kalo anak2, gampang tergelincir"
"9.","Elizabeth W.","281","2025-07-05","5","Kamar bersih dan nyaman. Air panas stabil dan lancar. Semua fasilitas dalam kamar berfungsi dengan baik. Menu sarapan cukup variatif. Staf ramah."
"10.","Kevin Vindiesel","1","2025-07-05","5","Kamar nya bagus.pelayanan nya sangat bagus.petugas nya ramah2..terima kasih ya atas pelayanan nya..by anak Kalimantan Utara yg cek out tgl 1 juli 2025."
"11.","Lie 13","5","2025-04-05","1","Pelayanan perlu ditingkatkan. Parkir mobil sembarangan.hotel okupasi full, Mobil diparkir pararel tapi tidak di valet dan Kunci juga tidak dibawa pihak hotel. Jadi orang mau keluar parkir tidak bisa.harus tunggu lama sekali. Krn yg punya mobil juga tidak ada kesadaran untuk turun cepat dan memindahkan mobil nya. Saluran air mampet. , house keeping diminta bersihkan kamar tidak dibersihkan , besok nya bersihkan kamar, sampah tidak dibuang, telp 2x juga tetap tidak dibuang sampah saya. Sarapan sedikit dan rasanya biasa saja. Plus nya cuma hotel baru dan sebelahnya grandlucky supermarket. Saya tamu kamar 120 untuk 30 maret-2april 2025"
"12.","Sarita Sharchis","35","2025-07-05","5","Stay 1 malam di sini, kamar bagus dan luas langsung area kolam renang. Kurangny di rasa makanan saat sarapan"
"13.","Made Darmayasa","3","2025-09-05","5","Lokasi strategis sekali dengan kamar yang nyaman. Dan layanan yang istimewa"
"14.","veny indra","2","2025-10-05","5","Bagus, rapih, nyaman, teramg, dan yang penting sebelah hotel banget ada grandlucky."
"15.","Risma Amelia","1","2025-09-05","5","Pelayanannya mantap, kalau ke bali lagi sih wajib nginep disini lagi 😁"
"16.","Susan Limowa","73","2025-03-05","5","Proses check in yang mudah dan menyenangkan, terima kasih pak martin sudah memberikan pelayanan yang terbaik… kamar nya bersih dan luas dengan fasilitas pool dan gym 24h serta free breakfast… recommended♥️"
"17.","viky mahendra","65","2025-04-05","5","Pelayanan staf dihotel ini sangat ramah-ramah dari security, reception, restaurant sampai dengan housekeeping. Rekomendasi kalo liburan bersama keluarga"
"18.","TIO CATO","1","2025-09-05","5","Lokasi hotel yang strategis dan pelayanan staff ramah"
"19.","surya enambelas","45","2025-06-05","1","Koreksi untuk satpamnya,, tidak ramah sekali,, beda dengan yang di pantai segara madu."
"20.","Siti Aisyah","10","2025-01-05","5","Recommend buat yg mau ke Bali.... Pelayanan.. Makanan... Kamar.. Semuanya the best... Next balik ke sini lagi aaah Chef Sandy"
"21.","Francesca N. Liman","5","2025-01-05","5","Good location, dekat supermarket dan jalan besar Kamarnya cukup nyaman."
"22.","Moch Riduwan","4","2025-03-05","5","Hotel baru, staff ramah. Makanan oke Dan kamar bersih"
"23.","Nofia Meysha","8","2025-01-05","5","Sangat bagus pelayanan tidak mengecewakan semua staf ramah, harga makanan di resto masih ramah d kantong"
"24.","E 01 A. A. Made Putra Sanjaya","3","2025-09-05","5","lokasi strategis, staff ramah😍"
"25.","way2go","255","2025-01-05","3","masih dalam pembangunan. akan review kalo sudah bisa menginap. sekarang rating standar dulu aja."
"26.","zara nzwr","1","2025-01-05","5","sarapan nya enakkk dibuat oleh chef shandy, recommended."
"27.","atha artha","1","2025-01-05","5","kamar bersih dan besar breakfast enak.. tx for helping.. @mba triva"
"28.","Berlin Premium","10","2025-11-05","5","Lokasi bagus di jalan besar"
"29.","Ruby Best Massage","4","2025-12-05","5","Sangat bagus untuk keluarga"
"30.","D I R","22","2025-01-05","4","Hotel lama di re branding. Bocor dimana2 tapi OK aja"
"31.","ADITYA PRAYATNA PUTRA GANTENG","3","2025-07-05","5","Tempat yang sangat nyaman dan layanan yang ramah2"
"32.","Feerzet Achmad","317","2025-01-05","5","Perlu promo supaya rame hotelnya"
"33.","Tung Pirnan","667","2025-04-05","4","baru renov kondisi msh bersih 👍👍"
"34.","erma lerian","3","2025-09-05","5","Lokasi yang strategis 👍"
"35.","Ahmad Saifullah","2","2025-09-05","5","Luar biasa"
"36.","Foodis Nusantara","17","2025-01-05","5","Loker nya nih Gan"
"37.","Budi Harta","137","2025-07-05","5","Ya ada saja"
