"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","黄merissadian","98","2025-12-29","4","Nice , clean, spacious room Good hospitality Tapi harus cek kalo JIE EXPO ada acara musik, dah pasti ga bisa tidurrrr di bawah jam 12 malem, musik jedam jedum kaca getar sampe kayak mau pecah Management kudu mikirin gimana biar lebih quiet, pakai peredam atau apa .. bawa anak dan lansia sangat tidak disarankan kalo ada acara musik disana. Letak strategis."
"2.","Mustika Nurdiati","287","2025-12-05","5","Pesan kamar yang biasa tapi waktu check in diupgrade ke suite. Senang sekali! 😊 Kamarnya luas, di lantai yang cukup tinggi jadi pemandangan ke Jiexpo nya bagus. Ada kolam renang di lantai bawah tapi menurutku terlalu terekspos orang yang berlalu lalang jadi kurang nyaman. Menu sarapannya banyak tapi rasanya biasa saja. Overall hotelnya nyaman dan sangat puas dengan kamarnya yang indah."
"3.","Danu Dwi","2","2025-12-22","5","Good service pelayanan nya bagus hotelnya bagus banget kebersihannya juga oke dibantu Pak Rizki HousekeepingG gercep ada kolam renangnya lagi best buat holiday in express kemayoran👍👍👍"
"4.","karyn sem","6","2025-12-05","5","Hotel ini uda kaya rumah kedua kalo pas ada event di JIEXPO ❤️ Semua crew ramah, juga cepat tanggap, full senyum, makanannya juga oke dan house keepingnya jg satset kebetulan yg saya sempat ketemu namanya Merry B. Cekatan handal dan ramah. Sukses selalu hotel kesayangan"
"5.","Ronny Ramadhan","125","2025-12-05","5","Salah satu rekomendasi hotel yg dekat dengan Jiexpo, akses ke area Jiexpo sangat mudah tinggal berjalan kaki lewat pintu belakang hotel yg terhubung dengan area Jiexpo. Saya menginap di kamar dengan tipe standar dan itu sangat nyaman dan luas. Menu sarapan beragam dan enak-enak."
"6.","Chandra Kristanto","3","2025-12-22","5","Bgt masuk disambut sm resepsionis. Bu Listi klo tdk salah. Service attitude bintang 5. Dpt kamar 300an ac central luas. Free breakfast. Ditggu kedtangan sy lg klo ke jakarta. Thx"
"7.","Shadiqa Imanina","2","2026-01-02","5","Great place to stay selama di Jakarta. 5 star buat servicenya, semua ramah dan sangat helpful, banyaj dibantu sama Kak Helen✨ Sangan recommended untuk nginep disini."
"8.","Cece Cece","3","2025-11-05","5","Hotel ini sangat amanah sekali.2bulan yang lalu kehilangan dompet di hotel ini holiday iin,semalam aku coba tanya ke scurity dn respsion .ternyata mereka yg menemukan dan di simpenin selama 2bulan itu ...sangat amanah sehat2 kalian, Sukses terus holiday inn terimakasih banyak ya"
"9.","anisa jasni","3","2025-12-22","5","Selama ada exhibition di jiexpo, staff nya sangat membantu, resepsionis namanya kak lesti sangat ramah, karena datang sedikit lebih awal kami dibantu check in lebih awal , ini membantu sekali karena perjalanan dari beda pulau langsung bisa istirahat, barang yg dititipkan juga aman banget Terus untuk fasilitas hotel kayak laundry, dan self service untuk setrika jg ada, membantu sekali Kamarnya bersih dan enak , saya nginap 5 hari disini sangat menyenangkan, beberapa kali dapat surprise dari staff cleaning lucu lucu handuknya , jadi saya kasih tip sedikit hihi Good job holiday inn !"
"10.","Nur Aliyah Santoso","1","2025-11-05","5","first time menginap disini karena ada konser di jiexpo theatre, lokasinya deket banget tinggal jalan kaki udah sampe dannn fasilitasnya juga oke nyamannn poll🫰🏻"
"11.","EfixDS174","49","2025-08-05","5","Lokasi hotel berada di parkiran JI Expo,dekat gate G. Fasilitas kamar bagus,ada teko listrik,hair dryer,Smart TV,kulkas mini,teh/kopi/teh//gula/kremer/air mineral, hand wash soap/shampoo/body wash/handuk/sandal/hanger. Kamar cukup luas, menu breakfast banyak pilihan dan rasanya enak. Free parking untuk tamu hotel,air panas mengalir lancar dan begitu kran diputar langsung panas. Staff front office,restaurant,house keeping sangat ramah. Sangat memuaskan,hotel pilihan terbaik bagi kalian yang akan mengunjungi atau berkegiatan di PRJ. Salut buat manajemen hotel yang memberikan servis yang terbaik."
"12.","Fitriysn 07","3","2025-09-05","5","9-10 agustus 2025. First time menginap di hotel ini, resepsionis nya ramah & baik, ternyata sangat bagus & luas, pemandangan kamar indah, kasurnya bersih bantal nya pun empuk sangat nyaman. Ada 4 bantal yg sangat empuk & nyaman bersih, kamar mandinyapun bersih, sabun sampo nya harum bermerk dove bukan kaleng2 hand wash nya pun bermerek dove. Ada water heater juga, masih sangat berfusi dengan baik. Ada kulkasnya juga tp sayang tidak berfungsi sangat di sayangkan. Overalls semuanya okey. Sarapannyapun lumayan enak apa lg bubur ayamnya enak bgt, sangat worth it untuk harga segitu menginap di ibu kota jakarta. Next mau menginap disana lg bersama anak & suami tercinta🫶🏻🥰"
"13.","Fitri ysn","1","2025-09-05","5","First time menginap di hotel ini, ternyata sangat bagus & luas, pemandangan kamar indah, kasurnya bersih bantal nya pun empuk sangat nyaman. Ada 4 bantal yg sangat empuk & nyaman bersih, kamar mandinyapun bersih, sabun sampo nya harum bermerk dove bukan kaleng2 hand wash nya pun bermerek dove. Ada water heater juga, masih sangat berfusi dengan baik. Ada kulkasnya juga tp tidak dingin sayang sekali. Menu sarapannyapun enak semua dengan harga segitu worth it sih sangat recommended 👍🏻👌🏻"
"14.","Liza Munthe","2","2025-12-05","5","Saya mau mengucapkan terima kasih banyak untuk hotel ini atas kerjasamanya, terimakasih untuk handling tim kami terutama mba ully. Aku sangat terbantu oleh beliau! Sukses selalu untuk hotel holiday in express🔥"
"15.","Mumu Aloha","34","2025-08-05","5","Nginep di hotel ini karena mau ke Jakarta Fair. Lokasi hotelnya ada di lingkungan JIExpo Kemayoran. Klo lagi ada acara konser atau pameran di situ, nginep di hotel ini sangat memudahkan. Tapi di luar alasan praktis itu, hotel ini ternyata mengasyikkan sekali sebagai tempat liburan. Fasilitas hotel lengkap: ada kolam renang yang bersih dan luas dan area bersantai di sekitarnya. Harganya pun relatif murah dengan kamar yang luar, bersih, nyaman dan memiliki view yang mengesankan --sepertii sedang tidak berada di jakarta. Pada musim penyelenggaraan jakarta fair, hotel ini sangat ramai tapi proses check in dan check out cepat. Lobi dan area2 santai juga selalu penuh orang. Puncaknya waktu sarapan, crowded dan agak kacau. Tapi secara keseluruhan hotel ini oke banget dan bikin kita pengen menginap di sini lagi."
"16.","Hendra Tjhang","20","2025-10-05","1","Tolong ya untuk security yg bertugas d 3 okt pkul 17:57 pakai otak klw kerja jangan dongo2 amat. Security tersebut menolak d titipin makanan dy blg krna udh da grab locker pdhal sy udh blg org nya gak mw pakai grab locker tetap maksa bwt d taruh grab locker dengan muka songong!! Emng d situ ada grab locker tp klw dy beliin makanan bwt org lain gmn dy mw scan tuh mesin??? Klw dy mw kirim ke org tua nya yg sedang menginap d sini dan org tua nya gaptek tdk ngerti cara pakai grab locker gmn mw kebuka tuh pintu?? Jgn mentang2 ada grab locker lo jd nolak bwt d titipin makanan. Kerja pakai otak jangan dongodan gak usah songong"
"17.","Yahay Uy","1","2025-08-05","5","Holiday inn express JIExpo Kemayoran Deket banget ama PRJ, Tinggal jalan kebelakang hotel, nginep di sini memang maen ke PRJ Suasana yg nyaman n ada loundryan self service Lokasi laundry bersebelahan dgn area Gym, jadi bisa dtinggal nge gym sambil nyuci., butuh waktu 90 menit utk cuci kering. Dan dbuka 24 jam. Utk kamarnya lumayan luas dan bersih, lobby hotel dan restroom nya bersih dan wangi, terimakasih kepada mba zahra nadira yang selalu sabar dan ramah"
"18.","dewi listiani","11","2025-08-05","5","B'fast sangat Crowded sampe ga kebagian tempat duduk Menu Nothing special, egg corner ngantriii... Tapi, Staf nya ramah dan Friendly... Terutama bagian House keeping Miss Hellen, Baik, Ramah dan Friendly ketika Make Up our room sangat cepat dan cekatan. Tidak butuh waktu lama kamar sudah bersih dan segar kembali... Thank You Miss Hellen🥰"
"19.","Yuliandaru Jr","577","2025-08-05","5","3 tahun terakhir selalu kesini ketika ada event Jakarta Fair. Tempatnya cukup enak, dan strategis dengan lokasi event. Hanya punya beberapa kali pengalaman kurang enak dari security dan kehilangan barang, tapi yasudahlah. Untuk kamarnya cukup rapih dan bersih, tata ruangnya lumayan walau agak sempit. Semuanya cukup komplit. Harga cukup bersaing."
"20.","Kayla Aura","1","2025-11-05","5","Pelayanan sangat baik,menginap 2 hari disana sangat puas, lokasi nya sangat dekat dengan JI-Expo, semua staff nya sangat ramah terutama mbak Nadira housekeeping terimakasih atas pelayanan nyaa"
"21.","SUI BIN SBUX","1","2025-11-05","1","Satpammu aau ga bisa berikan solusi jangan malah menyulut api orang, attitude macam apa, ga cocok untik kerja di dunia service. Satpam jam 19:00 pecat aja!"
