"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Ni Putu Hanum Saraswati","11","2025-11-05","5","Cafe semi-outdoornya sangat nyaman untuk bersantai, ditambah lagi dengan live musicnya yang diadakan setiap hari rabu. Tempatnya juga strategis, jadi satu dengan Emporium Pluit Mall. Menu makanannya berganti setiap hari dan ada promo minuman seasonalnya yang sangat sangat menyegarkan. Pasti akan balik lagi ke sini"
"2.","Shabrina Junarto","1","2025-11-05","5","Lokasinya strategis banget! Satu area sama mall empo, aksesnya jd enak cocok kl mau stay d daerah utara. Samaaaa ada cafenya!! enak buat nongki malem2 & ada live musiccc hihi"
"3.","Rafli Abraham","34","2025-12-05","5","Hotel dekat empo ini guys.. Bila berkunjung di jakut..(jakarta utara daerah pluit ) Hotel ini jadi rekomendasi buat traveler Dengan budget yang 500-700rban. Bersih , nyaman. Dan sangat dekat dengan mall emporium."
"4.","Ka vina","187","2025-08-05","5","Kalau bicara lokasi, ini emang bagus lokasinya. Kalau secara Room oklah, Bersih juga. View jendelanya tergantung dapat view mana. Ada fasilitas gym gratis juga. Untuk breakfastnya ramai banget. Rasanya biasa juga. Overall cukup lengkap. Mau cari taxi atau apa mudah karna gabung dengan Mall Emporium."
"5.","Ahmad Yus","3","2025-12-05","5","Setiap kejakarta selalu nginep di sini dan selalu konfrmasi ke mas yitno minta di siapkan kamar dekat lift dan selalu di prepare dengan baik akann selalu nginep di sini terus kamar bersih dan wangi sarapan juga enak terimakasih"
"6.","william hendry","2","2025-12-05","2","Baru kali ini nginep di holiday inn service pelayanan restaurant di mintain tolong buat ice coffee pelayannya menolak, jauh diluar standar holiday inn yg biasa saya menginap"
"7.","Celine","11","2025-10-05","5","Untuk kamar standart, hanya saja ac nya tidak bgtu dingin. lokasi sangat baik dan dekat dengan bandara. Pelayanan staff baik, terutama staff rahmat cepat, sopan dan ramah."
"8.","Ria Wulandari","24","2025-12-05","5","Menyenangkan sekali menginap disini! Kamarnya nyaman, staff check in juga ramah! Makanannya jg enak-enak!"
"9.","Natania Saputra Wijaya","2","2025-12-05","5","Pelayanannya ramah, tempatnya nyaman, makanannya enak! Udah paket lengkap bgt, ditambah dengan lokasinya yang strategis, pasti bakal balik lagi sih kesini"
"10.","Shinta Yosefina","71","2025-07-05","3","Lobby ada di lantai 10, jadi di lantai dasar tidak ada orang hotelnya sama sekali, turunin barang sendiri, dorong troli sendiri naik lift. Lift yang berfungsi hanya 1 dari 4 lift. Sampai lantai 10 juga melewati lorong tanpa AC dulu, baru tiba di lobby nya. Dan ternyata kata resepsionis memang semua self service, jadi naikkin barang ke kamar pun dorong troli sendiri. Saya kebetulan bawa 2 anak menggunakan stroller, sulit sekali menghadapi proses check in nya ini. Untuk parkiran juga sangat sulit karena gabung dengan parkiran Mall Emporium, dan lantai yang terhubung dengan hotel hanya lantai 5 & lantai dasar. Hari pertama saya parkir di P7 karena P5 nya full, jadi harus turun parkiran jalan kaki 2 lantai. Untuk breakfast menunya sedikit, rasanya sangat standar, saya memang tidak berekspektasi gimana2 sih untuk hal ini, sangat dimaklumi. Kelebihannya krn nempel dengan Mall, ya lumayan cari makan mudah, jalan2 belanja jg gampang. Playground juga ada playtopia, funworld, timezone."
