"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Akhmad Arie","212","2025-12-15","5","LOKASI nya JUARA, - Nyebrang ke Sarinah - 200m ke Sabang - 800m ke Grand Indonesia Pelayanan Front Desk nya Ramah, dan Helpfull. Menu dan rasa sarapan SNI Parkiran Tertutup muat 8 Mobil, terbuka pun ada didepan. Satpam pa CI tidak membamtu Parkir, tapi ketika CO dipandu sampai keluar Hotel."
"2.","Fajar Asri","8","2025-12-05","5","Staff ramah + selalu mengucapkan salam, perlengkapan sholat lengkap + Al Qur'an sudah tersedia tanpa diminta, adzan selalu berkumandang di 5 waktu sholat, menu breakfastnya enak, berasa bumbunya, belum lagi lokasinya yg super strategis. Sukses dan berkah selalu, Dafam"
"3.","wilanda ayu","84","2025-09-05","5","Lokasi bener2 strategis, jalan kaki ga sampe 5 menit udh sampe stasiun MRT bundaran HI, klo hari minggu beneran jalan depan hotel udh mulai CFD, tepat sebrangan banget sama sarinah. Fasilitas kamar juga cukup oke, tersedia mini fridge, air hangat berfungsi, kamar bersih, breakfast juga udah oke harga segitu lumayan variatif dan ada mesin kopinya seneng bgt nemu hotel gini Service jgn ditanya, ramah dan helpfull 👍👍 Minusnya cm kamarnya agak sempit, tp dgn segala kelebihan lain masihh bisa dimaklumi bgt. Cm catatan aja gabisa bawa barang banyak2"
"4.","Shela Azizah","2","2025-11-05","2","Sebenarnya kamar bagus, lokasi strategis, staff lain termasuk satpam shift pagi pun ramah namun saya benar2 mengalami pengalaman tidak menyenangkan dengan satpam shift malam tersebut. Saya baru sampai hotel pukul 02.00 pagi karena penerbangan delay. Minta tolong resepsionis dibuka-kan pintu, sudah crosscheck nama pemesan & nomor kamar, resepsionis pun sudah meminta satpam untuk mengantar saya dengan memberikan kunci cadangan namun satpam yang mengantar saya tidak mau membuka-kan pintu dengan alasan “prosedur” berkali kali dia mengetuk pintu kamar hingga teman saya terbangun, saya tegur dia malah nyolot dan tetap tidak membuka-kan pintu dengan alasan “takut salah kamar”"
"5.","Ali Akbar","12","2025-12-22","5","Hotel sangat strategis untuk trip di Jakpus. Strong recomended bwt mereka yg cari bersih, syari & low budget di kelas nya.."
"6.","Lia Perdana","47","2025-08-05","4","Check in smooth pk. 14.00 tp petugasnya yg perempuan (gak liat namanya) jutek syekaleee *high expectacy klo hotel syariah petugas akan ramah2 🫣 Lokasi sih yg oke bgt, sangat2 strategis di down town dekat kemana2. Kamar luas, tp exhaus kamar mandi berisik & saluran pembuangan kamar mandi bau. Kebersihan okelah 7,5/10 Pilihan menu sarapan kebanyakan karbo, minim protein hewani. Extrabed (incl BF) tergolong mahal pdhl kamarnya sendiri lumayan murah utk di daerah se-strategis itu. Petugas saat check out (check out jg smooth) jam 10.30 yg laki2 ramah. Maybe would be back kalo lg di daerah Thamrin. Thanks Dafam"
"7.","inu","13","2025-09-05","1","gatau apa bedanya kamar deluxe sama superior, bener2 dari segala sisi sama (luasnya pun sama) beda diharga aja (jelas lebih mahal deluxe) jadi jangan mau ke tipu, enak ambil superior aja sekalian. dan makannya bener2 tamplate ayam nasgor gitu aja. (pelayanan bagus, ramah, tapi sistemnya perlu diubah) lokasi ok bgt"
"8.","Carund","1","2025-11-05","4","Semua bagus.. dan relate juga sama ulasan pengunjung lainnya disini. Hanya saran aja untuk lantai kamar mandinya perlu diperhatikan maintenance nya karena sangat licin, kasihan kalau ada orang yang Uda cukup berumur yang nginap disitu dengan kondisi lantai kamar mandi yang begitu licin, saya yang masih muda aja sangat takut kepleset dan harus ekstra hati-hati kalau masuk ke kamar mandi nya. Saya kira itu aja🙏🏻"
"9.","Ranty Purnama Sari","4","2025-09-05","5","Hotel yg strategis, dekat kmna2 ke sarinah tinggal nyebrang aja. Acara cfd didpn hotel. Harga jg terjangkau. Recomend dehh. Pastinya bakal nginep dsni lg kalo ke jakarta."
"10.","Ann Qanita","29","2025-12-08","5","Kamar nyaman, makanan banyak pilihan..pelayanan ramah sangat, deket banget sama Sarinah dan total buah...😍😍"
