"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Bibaa Fadillah","1","2025-12-15","5","Puas sekali menginap disini, pemandangan kota nya bagus, pelayan oke staff gercep dan ramah sekali, makanannya enak-enak pula. puas bgt pokonya, terimakasih bapak GM Pak Roy Amazon, sudah menjamu dengan ramah🙏 juga kepada tim housekeeping - bagas M yang sudah membantu menyiapkan semua kebutuhannya. Semoga Hotel Dafam selalu menjadi tempat yang nyaman untuk pulang, see you🫶✨️"
"2.","Jafar Sodiq Assegaf","187","2025-12-05","5","Catatan: saya pesan lewat Traveloka Hotel yang lebih cocok untuk transit atau menginap dalam urusan bisnis/pekerjaan. Pelayanannya no complain, tapi fasilitas dan kamar menurut saya sangat perlu diperbaiki. Pertama: furnitur yang dipakai cukup jadul dan rentan rusak terutama laci meja dan bed side table. Kedua: colokan di dekat kasur minim padahal fasilitas entertainmentnya juga minim. Tv tidak berfungsi dengan baik bahkan sangat sulit untuk sekadar mengakses Youtube apalagi yang lain. Menginap di sini sangat mengandalkan hiburan dari hape. Ketiga: setting AC antara dingin sekali atau tidak dingin, susah cari settingan ac yang sedang apalagi jika kamar ditinggal ac kembali mati dan harus dihidupkan lagi Keempat: kebisingan dari luar masih sangat terasa terutama jika ada acara di simpang lima, karna saya menginap pas ada check sound dan suaranya terdengar sangat jelas."
"3.","chocolate cake","4","2025-12-29","5","Awalnya sedikit kecewa karena pas booking sudah kamar non smoking namun kamar yg tersedia sisa smoking ternyata kesalahn dr tiket dot com, untungnya staffnya sangat bagus atensinya setelah saya komplain langsung menyediakan kamar non smoking untuk 2 malam karena saya bawa anak kecil, dan pas ada kendala ac ga dingin lapor langsung di cek dan diselesaikan permaslaahannya. Mantap ga jadi mengecewakan karena pelayanannya cekatan"
"4.","Galih St","2","2025-12-05","2","ac dibatasi 25 sudah diturunkan suhunya tetap naik lagi, tv suara auto turun sampai tidak terdengar , tv keliatan lama dan kecil, sarapan makanan tidak enak. Tidak ada kolam renang . Untuk bintang 4 menurutku tidak sesuai"
"5.","Mia Jumiati","7","2025-12-15","5","Kamar dan pelayanannya luar biasa, nyesel bgt cm satu hari stay dsini. Kamarnya bersih dan Rapi, good work Mas Bagas. Terimakash jg atas sambutan yg Hangat dari GM Pak Roy Amazon. Berasa rumah pdhl lg liburan 🥰😍"
"6.","kevin gitrianda","4","2025-12-29","5","overall kamar bagus, service bagus, satpam sopan dan helpful improvement stop kontak perlu diperbaiki, handuk juga perlu peremajaan kembali"
"7.","Salzabilla","27","2025-12-15","1","pelayanan kamar sangat buruk brankas tidak bisa dibuka, telfon ke respsionis tapi ga dateng juga petugasnya sampe 30 menit bad service"
"8.","Siska anis","6","2025-12-15","5","The best! Nginep disini gataunya lagi mens. Minta pembalut di kasi free, terus ada kemeja tertinggal langsung gercep di info! Thankyou dafam masyaallah sukses selalu🙏"
"9.","Fikky Febryan Abu Haura","28","2025-08-05","4","Hotel yang overall cukup baik. Saya menginap untuk business trip, ada tugas kantor. Area resepsionis unik dan estetik. Instagrammable enough. Kamar bersih, nyaman. AC cukup dingin. Satu kekurangan di fasilitas coffee maker yang ternyata tidak bisa dipakai. Saya pikir hanya di kamar saya saja yang tidak bisa, di kamar lain yg ditempati rekan kerja pun tidak bisa. Lokasi agak lumayan dari area keramaian/kuliner. Jadi perlu naik kendaraan lagi (grab/gocar/blue bird). Menu sarapan so so. Tapi cukup worth it with the price. Ngga terlalu banyak pilihan menu. Free shuttle ke bandara. Overall recommended, thanks."
"10.","Fauzan Kautsar","69","2025-12-05","3","kesini bukan nginep tapi ada acara, beberapa kali layar error, yang paling parah fasilitas musholla kotor banget, itu karpet isinya debu doang. makanan standar"
"11.","Dea Alberta","175","2025-11-05","5","Kamar nya bersihhhhh, kamar mandi jugaa bersih,, tdk bau ampek Minum nya air putih bs refil Disediakan di deket lift Sangat membantu bgt u/ yg minum nya banyak Aminits jg komplit, ada hairdyer Nginep dafam krn ada acara lari bareng mantan sbg pacer Kamar nya di hias di kasur nya Bapak Nova ada card nya Thank u pak Staff nya ramah sat set jg Pelayanan ramah"
"12.","Mario Bilvas","25","2025-11-05","1","Air minum isi sendiri di Dispenser sedangkan dapat kamat paling ujung, minta tlg ga bisa harus ambil sendiri. Beli air mineral di di hotel , alasan resto tutup. Jadi disuruh tamu kehausan atau jalan jauh ambil air sendiri. Receptionist yg malam benar2 pemalas. Colokan kabel banyak yg ga berfungsi"
