"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","kcx project2","65","2025-12-19","5","Sudah 2x menginap disini Pelayanan staff masih sama baiknya selalu tanggap dan ramah kepada tamu. Menu sarapan variatif dan enak. Fasilitas Gym n Pool ada walau di gedung berbeda. Cuma ada yang sedikit mengganggu ketika masuk kamar posisi listrik mati, begitu buka pintu pasti aroma pembuangan saluran air tercium sangat menyengat. Kamar saya dilantai 10 nomer 5. Mohon untuk diperbaiki, kalo saya sih aman aja yg penting aroma itu hilang sendiri setelah ac dinyalakan. Tapi saya yakin tamu tamu selanjutnya nanti suatu saat akan komplain masalah aroma menyengat ini."
"2.","Layla Nugraha","1","2025-12-19","5","Hotel yang worth it. Dekat dengan pusat belanja tanah abang dan thamrin city. Harga oke, fasilitas oke. Staff ramah, cepat dan tanggap dalam melayani request. Saya minta dibawain iron ga sampai 5 menit langsung datang. Ramah mas nya, sampai nanya ada yang bisa dibantu lagi ga.. 5 star top. Makasih mas evan. Kamar bersih juga cukup luas lah. Sesuai harga. Recommended pokoknya."
"3.","ashary muh","2","2025-12-19","5","Menunya makanan enak, banyak pilihan , dan berubah rotasi menunya disetiap harinya jadi tidak membosankan Kamar tidur oke. Trimakasih banyak Mbak Salsa atas pelayan ramah dan sangat membantu saat di restoran. Kalo ke jakarta jangan lupa nginap di hotel ibis styles jakarta tanah abang."
"4.","Ruru Kim","1","2025-12-19","5","Suka banget sama pelayanan para stafnya ramah dan responsif, terutama sama miss Astrid! Cekatan dan teliti sekali saat bantu bereskan kamar, dan bersih pekerjaannya. Peka juga dgn hal yg cust butuhin, thanks miss Astrid dan staff lainnn.."
"5.","Nurul Huda Mulyawati","2","2025-12-02","5","selama menginap di Ibis Style Jakarta Tanah Abang nyaman sekali dengan pelayanannya. lokasinya yang strategis. proses check in yang cepat dibantu mba Nabila 😍 tim hotel sungguh murah senyum dan ramah tidak segan untuk sigap membantu. di kamar tempat tidur yg luas, lantai dan perlengkapan tidur yang bersih. oia di kamar hotel hening sekali cocok untuk istirahat. kamar mandi yang wangi dan lantainya cepat kering. sarapan yang enak sertu menu yang beragam tentu saja ada kids cornernya menu nugget homemade enakk 😍 oia terima kasih juga untuk mba Dhipta karena sudah menemani putri saya mewarnai 😘 saya ucapkan terima kasih untuk pengalaman menyenangkan menginap di hotel Ibis Style Jakarta Tanah Abang. sampai bertemu dilain waktu. 🙏🏼🫶🏼"
"6.","Mutiarasari Syah","1","2025-12-19","5","Kolam renangnya besar keren dan nyaman 😎 Lalu sy di antar dan didampingi oleh ka Septi baik sekali membantu anak2 dan humble sekali good luck ibis style🥰"
"7.","Candra Halim Ong","569","2025-12-26","3","Kamar terlalu sempit untuk ukuran hotel berbintang 4, makanan kurang variasi untung tertolong oleh pelayanan yang sangat baik, staf juga ramah, sangat banyak membantu"
"8.","niko saputra","1","2025-12-02","5","Sarapannya enak menu nya jga banyak, Pelayanannya sgt ramah dan cekatan, kamarnya nyaman, bersih dan housekeepingnya mas rizal sangat peka sekali dan membantu sy memindahkan koper. Sy sangat puas dengan pelayanannya yg sgt baik, sukses sll mas rizal…👍🏻👍🏻👍🏻"
"9.","Krisna Vidya","132","2025-12-02","5","Sarapannya variatif, ada menu untuk anak-anak di kids corner, enak-enak semua terutama mac n cheese. kami sekeluarga dibantu oleh mba hanifah untuk set table ber-6, terima kasih mba hanifah"
"10.","Metanucci Hubbia","26","2025-12-02","5","Sudah ke beberapa kali menginap di Ibis Styles Tanah Abang, service nya luar biasa baiknya. Terutama Kak Dhipta yang siap nemenin anak-anak main di Kids Corner. Kamar bersih, nggak ada bau aneh atau gak enak. Breakfast lengkap banget jenisnya. Kids cornernya bener-bener bikin anak betah. Ambiance nya family friendly banget. Dan di kamar ada guling! Jarang banget hotel ada gulingnya."
"11.","Rizky Amalia N Aini","7","2025-12-02","5","Baru pertama kali menginap, hotelnya rapi banget warna warni. Jogging ke monas deket.. makanannya enak banget, pelayanan kamar nya juga cepet banget,, makasih mbak Astrid bagian laundry yang ramah banget, syuka banget sama parfum laundrynya.... next ke Jakarta kayake bakal pasti ngnep disini lagi"
"12.","Kirana Nurnovianti","1","2025-12-27","4","Sarapannya Ok. Makannya krg refill kl habis. Cukup varian. Enak ada tempat games dan main anak...kids friendly drh"
"13.","Hanif Andi","4","2025-10-02","5","Kamar nya bagus sekali ya sangat mengakomodir kebutuhan saya selama menginap disini, ya setara sama hotel 5star yg lain . Kebutuhan basic sudah tersedia di kamar. Breakfast nya menu nya enak2 yg paling aku suka disini sauted creamy mushroom nya enak banget . Lokasi nya juga strategis sekali ya Deket sama kantor ku juga , dan akses ke beberapa spot daerah yg banyak kuliner nya juga dekat ya , breakfast nya ada indoor dan outdoornya untuk smoking. Pelayanannya juga top semua , staff nya ramah2 semua dan sangat helpful ketika kita meminta bantuan apapun"
"14.","Alifa Ratu Tria","2","2025-11-02","5","pelayanannya bagus, kamar nya juga nyaman, buat menu sarapan sama makan malemnya juga banyak dan enak-enak, pelayanan disini sangat ramah disini ada mbak chika yang selalu membantu!"
"15.","Novia Iskandar","11","2025-12-02","5","Makanan nya enak banget, ruangannya bersih, ada tempat main buat anak.. Service Mba Dhipta sangat membantu kami, apalagi saya yg membawa anak... Mba Dhipta mau menemani, ngajak ngobrol anak saya..."
"16.","rabiatul adawiyah","11","2025-12-02","5","Lokasi strategis dan dekat dengan office sudirman, kamar bersih dan nyaman, aku suka kamar nya..luas. walau cuma sndiri buat aku sih worth it banget utk prjlnn bisnis..dan staff nya ramah, ada live music nya klo malam, jd aku ckup mnikmati istrht di hotel dgn hiburan smbil mkn malam, asik ga tuhh.. Ga jauh2 utk nikmati live music krn di hotel sdh tersedia."
"17.","Iony Suprayogi Official","3","2025-12-02","5","Kamar nya nyaman , breakfast juga menu nya enak2 , kakak pelayan yg namanya kak dhipta juga ramah banget , sangat Helpfull . Recomended sekali nginap di sini"
"18.","awal nurjamil","10","2025-11-02","5","Service nya luar biasa.. kebetulan pas lagi nginep disini sy sakit di bantu dianterin ke rumah sakit.. such a nice service.. Terus pas lagi sarapan juga sy di layanin mba Hanifah buat ambil makanan minuman.. mantap pokoknyaa.. dan satu lagi harganya affordable banget nginep disini.. laundry nya juga wangi banget.."
"19.","Billy Jah","397","2025-12-02","5","Hotel Ibis Styles menawarkan pengalaman menginap yang modern dan nyaman! Kamarnya bersih, rapi, dan stylish. Fasilitas lengkap, staf ramah dan sigap membantu. Suasana hangat dan lokasi strategis membuatnya cocok untuk bisnis maupun liburan."
"20.","Koji Kojiro","1","2025-12-12","5","Hotel nya nyaman pelayanan nya ramah banget,staff housekeepingnya ramah, baik, enak diajak ngobrol,humble terima kasih mas iqbal sudah bikin kamar saya seperti baru lagi , bersih wangi dan rapi."
