"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Akmal","2","2025-12-22","5","Sangat puas dengan pelayanan driver hotel Ibis Styles Batam, khususnya Pak Irfan yang menjadi driver kami. Dari penjemputan hingga pengantaran, semuanya berjalan sangat profesional. Pak Irfan sangat punctual, tepat waktu sesuai jadwal yang dijanjikan. Kendaraan dalam kondisi bersih, terawat, dan sangat nyaman untuk perjalanan. Yang paling berkesan adalah sikap Pak Irfan yang sangat ramah, sopan, dan komunikatif. Beliau dengan senang hati memberikan rekomendasi tempat makan enak, lokasi wisata menarik, dan info-info berguna lainnya tentang Batam. Cara mengemudinya juga smooth dan aman, membuat perjalanan terasa nyaman. Pelayanan seperti ini yang membedakan pengalaman menginap biasa menjadi pengalaman yang berkesan dan memorable. Driver hotel adalah first impression dan last impression dari sebuah hotel, dan Ibis Styles Batam benar-benar excels di bagian ini berkat profesionalisme Pak Irfan. Terima kasih banyak Pak Irfan atas servisnya yang luar biasa. Highly recommended untuk siapa pun yang menginap di sini. Keep up the excellent work! 🌟"
"2.","Winner Manurung","3","2025-11-05","4","Beberapa waktu lalu bawa group ke hotel ini, tapi waktu check in alamak receptionist nya macam tak welcome.. Apa susahnya sapa dulu, senyum keh, bilang tunggu sebentar.. Sebusy apapun pls jangan pernah cuekin tamu yg hendak c/i. Perlu di training lagi soal hospitality.. Berikutnya, dah lah jauh hari booking non smoking room dan dah confirmed pula.. Eh pas cek in dia kata non smoking room fully booked. Kesal banget.. Jd kami minta double treatment. Ok kata staff nya. Pas kita lihat keatas.. Trnyta hnya disemprot pewangi saja..gak tau kali arti double treatment ya.. Akhirnya kami jelasin yg mau stay di kamar itu ada bayi jadi minta divacum ulang.. Kemudian di hari kedua, kami keluar dan sudah info ke receptionist agar kamar group kami di bersihkan tpi yg kami dapatkan ketika malam hari kembali kamar masih sama seperti yg kami tinggalkan pagi nya. Kecewa donk. Jawabannya karna di kamar tak diberi tanda make up room. Tak semua tamu paham soal itu, that's why kami pesan kan ke Front Office, ini group loh. Bukan per orangan. Akhirnya kita complain ke manager, hari itu ada pak Lukman yg incharge. Beliau sangat ramah dan welcome, serta paham banget tentang hospitality dan pelayanan yang diperlukan group kami saat itu. Then alhamdulillah semua settled dgn beliau. Terimakasih pak Lukman. Mohon staffnya, khususnya receptionistnya perlu di training lg dech..Sayang bgt kalo kamarnya bagus tpi pelayanannya kurang."
"3.","Adik Apriliyadi","382","2025-11-05","3","Menginap di Ibis Styles Nagoya Batam terasa seperti hotel ini belum lama menerima tamu dalam jumlah besar — beberapa layanan tampak belum sepenuhnya siap menghadapi keramaian. Ruang pertemuan di lantai satu sebenarnya cukup luas, namun kehadiran tiang di tengah ruangan cukup mengganggu pandangan peserta rapat. Jumlah pegawai tampak terbatas, sebagian besar justru siswa SMK yang sedang praktik kerja industri. Meskipun mereka ramah dan berusaha melayani dengan baik, koordinasi dan kecepatan layanan masih bisa ditingkatkan. Dari sisi makanan, pilihannya tergolong standar, tetapi ada nilai plus karena setiap pagi selalu tersedia Indomie dan mi ayam — cukup menyenangkan bagi tamu yang ingin sarapan ringan. Namun, pihak hotel terasa terlalu hemat, terutama dalam penyediaan air mineral saat kegiatan rapat. Koneksi internet yang lambat dan tidak stabil juga cukup mengganggu kenyamanan, terutama saat digunakan untuk rapat daring atau presentasi online. Lokasinya masih tergolong strategis dan mudah dijangkau. Salah satu nilai tambah hotel ini adalah tersedianya kendaraan jemputan berupa Hiace, yang memudahkan mobilitas tamu dari dan ke lokasi kegiatan atau bandara. Sayangnya, tata ruang kamar — khususnya desain kamar mandi — terasa kurang nyaman dan agak menyulitkan. Secara keseluruhan, hotel ini memiliki potensi dan fasilitas dasar yang memadai, tetapi masih perlu pembenahan dalam hal pelayanan, fasilitas, dan kenyamanan agar pengalaman tamu menjadi lebih baik."
"4.","Ferik Antoni","128","2025-12-05","5","Menginap di hote Ibis Style memang tidak pernah mengecewakan. Dari lobby kita sudah disambut dengan interior cantik dan menarik. Pelayanan staf nya sangat ramah dan helpfull. Kamarnya cukup luas, kasurnya sangat nyaman, toilet terpisah untuk mandi dan buang air, fasilitas di dalam kamar juga sudah lengkap. Fasilitas hotel ada tempat gym dan kolam renang, parkir cukup luas dan juga ada restoran. Menu sarapan jangan ditanya lagi, variatif dan rasa tidak diragukan. Lokasinya memang bukan di pusat keramaian tapi cukup dekat kemana-mana"
"5.","Sheilla Tan","5","2025-10-05","1","Best believe I will never stay in this hotel ever again! 1. Wifi sucks 😌 2. Bagaimana ceritanya hotel ga punya concierge untuk menerima kiriman barang dari luar?ojol saya mengantar obat untuk saya ke receptionist LAYAKNYA PROSEDUR NORMAL SEORANG OJOL INI BERNALAR TAROH BARANG SAYA KE RECEPTIONIST DAN DI TOLAK RECEPTIONIST NYA DISURU BALIK KE POST SATPAM!!! Ojolnya sampai bingung telpon saya dan dia bilang saya gabisa taro barangnya di receptionist, saya di info ojolnya untuk ambil di POST SATPAM!! Konyol! Ya ampun super konyol. 3. Lift lu 2 biji, yang fungsi cuma 1. Saya dapat kejadian tidak mengenakkan di hari pertama, saya terjebak di lift 🤭 traumatized sekali walaupun cuma 5 menitan KARENA liftnya sedikit terjatuh. Saya sangat syok. 4. Telpon receptionist minta air minum karena every day dapet ya, saya ditanyain pertanyaan yang super bodoh “check out kapan bu?” Ya ampun i’ll stay for 5 days lho, kok bisa lu tanya saya check out kapan?mbok sebelum tanya anda check dulu itu saya bakal check out kapan?? 5. As a gold member of ACCOR I really not happy with this hotel 🤭"
"6.","Septi Maulanasari","22","2025-12-29","4","Kamarnya lumayan luas, ada kursi santainya juga cuma kemarin ga ke foto. Karena kemarin extend jadi dapet kue."
"7.","ellasier peach","1","2025-10-05","4","Saya menginap di hotel ini merasa kurang puas. Hal yang paling menonjol adalah senyum dan keramahan staff receptionis terutama ibu yohana dan deby yang melayani saya ketika check-in sampai merekomendasi tempat wisata yang menarik untuk saya, hingga petugas kebersihan, semuanya sangat sopan, cepat tanggap, dan membantu. Sayangnya, fasilitas hotel jauh dari harapan. Kamar bagus namun, dengan perabotan lama dan beberapa di antaranya rusak. AC tidak cukup dingin. Air panas di kamar mandi sering tidak stabil, dan handuk yang disediakan terlihat kusam. Selain itu, Wi-Fi sangat lambat dan sering terputus, padahal ini sangat penting bagi saya yang perlu bekerja selama menginap. menurut saya hotel ini cocok jika kita ingin mencari pelayanan yang ramah dan staf yang profesional. Namun, jika mengutamakan kenyamanan dan fasilitas, mungkin perlu mempertimbangkan pilihan lain. Untuk pelayanan staffnya perlu diapresiasi karena mereka sangat membantu."
"8.","Putri Laila Komari","2","2025-12-22","5","nginap 3 hari. bgus kmarnya. layanannya ramah sekali. restonya enak. di resto dilayani oleh mas syahrul sangat ramah, sopan, baik. tolong tambahkn bonusnya mas ini.."
"9.","Dapepsky 381","2","2025-12-22","5","Suasana nya nyaman,sarapan nya juga enak Pelayanan dan kebersihan kamar terjaga Driver antar jemput juga ramah,tidak ugal ugalan dan on call"
"10.","Bang Kindul","1","2025-12-22","5","Suatu kebanggan buat saya sudah pernah berkunjung dan menginap di hotel,hotelnya bersih dan pelayanan sangat baik,driver dan security nya sangat ramah"
