"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Andri Basuki","422","2025-12-19","4","Acara fullboard kantor kali ini di hotel ini, di jadwalkan menginap 2 malam tapi saya hanya memakainya 1 malam aja. Karena besok ada jadwal lain dgn rekanan di kantor. Fasilitas kamar, luas nya termasuk sempit. Makanan lumayan lah..."
"2.","mochamad nurdiansyah","5","2025-12-02","5","First time menginap disini, lokasinya cukup strategis dan lumayan dekat dari tempat tinggal saya. Ada satu kendala yaitu ac kamarnya bermasalah, dari check in kamar tidak fresh dan sejuk,kami pikir mungkin krn faktor cuaca juga yg sedang panas terik diluar. Namun sampai malam justru semakin panas dan pengap, akhirnya kami beritahu pihak hotel dan pelayanannya sangat responsif. Kamar kami ditukar dgn tipe yg sama dan akhirnya kami bisa lebih nyaman tidur sampai pagi. Untuk breakfast juga cukup enak2 dan variatif jenisnya, sesuai mulai utk anak2 hingga org dewasa. Overall dari segi pelayanan semua sudah baik,semuanya ramah dan terima kasih jg untuk bpk Rasyid utk pelayanannya saat kami sarapan tadi. Dipertahankan dan ditingkatkan lagi supaya lebih baik kedepannya. Semangat dan sukses utk semuanya."
"3.","UUL Nurul","58","2025-12-19","5","Hotel budget yang memiliki pelayanan yang sangat baik. Terutama para staf resto nya, ka felicia, head chefnya, dll, mereka memberikan pelayanan yang sangat ramah. Meski jam kerjanya panjang,mereka tetap semangaat memberikan pelayanan prima. Lokasi strategis deket pintu tol dan LRT. Kamar cukul nyaman"
"4.","amirudin yusuf","37","2025-12-02","1","Pengalaman Menginap Kurang Memuaskan Saya dan rombongan menginap di Hotel Ibis Styles Jatiasih selama 6 hari. Sayangnya, pengalaman kami jauh dari harapan. Air minum di kamar tidak diisi ulang selama kami menginap. Beberapa makanan yang disajikan terasa kurang higienis — bahkan beberapa dari kami mengalami diare setelah sarapan. Handuk yang disediakan sangat tipis dan kurang nyaman dipakai. Staf hotel juga kurang ramah ketika kami berinteraksi langsung. Mungkin terlihat seperti hal-hal kecil, namun untuk masa tinggal yang cukup lama, hal-hal ini cukup mengganggu kenyamanan. Kami berharap pihak manajemen bisa memperbaiki kualitas layanan dan kebersihan agar tamu lain tidak mengalami hal serupa."
"5.","Project Department","1","2025-12-26","5","kamarnya oke banget, semua pelayanannya juga baik dan ramah2 apalagi mba Shella di bagian receptionist sangat ramah dan friendly sekali. pasti bakalan nginep lagi disini🥰"
"6.","Malik Soeoed","5","2025-12-02","5","Kamar luas di 1511, bersama keluarga kami nyaman. Puas sebagai accor plus member , dapat slice cake saat check in. Karyawan cukup ramah. Parkiran cukup luas , ternyata sampai Basement 2 . Cari makanan di luar banyak di sekitar hotel. Akan kembali lagi menginap disini."
"7.","prelovesai 2017","20","2025-10-02","3","I had terrible experience staying in this hotel! Hotelnya sendiri cukup strategis, kamar nyaman, dan bersih. Fasilitas lengkap sesuai dengan rate harganya. Yang menjadi kendala adalah pelayanan yg sangat buruk/mengecewakan. Mau check in nunggu urusan berkas cukup lama, dibiarkan menunggu berdiri, tidak dipersilahkan duduk let alone dikasih welcome drink. Saat check in saya kesulitan menyalakan AC. Saya coba telfon ke resepsionis butuh waktu 5x telfon baru diangkat🙃 setelah itu masih perlu menunggu 30 menitan untuk teknisi AC datang. Mau pinjam mukena juga mesti nunggu lama sekali, telfon tidak diangkat, sampai saya perlu turun ke bawah untuk bicara langsung. Udah turun masih juga lama, dan ternyata mukena dibawakan cuma atasannya aja😢 setelah itu masih butuh waktu sekitar 1 jam untuk mukena betul2 diantarkan. Selain itu, perlu petugas untuk mengecek aapakah air dalam dispenser bersih atau tidak. Krn rasa airnya tidak menyenangkan dimulut seperti kondisi dispensernya sudah kotor/air terlalu lama."
"8.","Debra Tendean","6","2025-12-02","5","Proses check in mudah. Pelayanan cepat dan simple. Agak sulit cari taxi . Kondisi kamar superior cukup nyaman dan dapat mon smoking di lantai atas. Terima kasih sudah kasih yang king size bed. Saya suka kolam renang nya. Next time akan kembali stay saat ke Bekasi"
"9.","Shella Novelia","3","2025-12-02","5","kamarnya oke banget bersih dan wangi. untuk makanannya enak2 banget banyak variasi. untuk pelayanannya juga ramah2, saya puas sebagai accor member saat menginap disini brg keluarga🥰🥰"
"10.","wenaldi safanto","2","2025-12-02","5","Oke juga Kamar nya bersih dan rapih. Dapat di lantai 15 non smoking sesuai saat booking. Ternyata TV belum bisa nonton YouTube. Pelayanan oke di resto, sarapan cukup variatif walau sekelas Ibis hotels. Cukup puas menginap disini ."
"11.","af","2","2025-12-02","5","suasana restonya enak,area juga bersih dan nyaman ,makanannya okee, minumannya juga seger seger ,barnya bersih dan oke banget,kamarnya bersih dan wangi ,kalau kesini wajib banget coba kopi caman enak bangett...pelayanan resto ramah banget apalagi sama mba Kesya cantik dan wangii... terimakasih atas pelayanannya"
"12.","Harun Al rasyid","4","2025-12-02","5","Proses booking online mudah, proses check in lumayan cepat , tidak perlu menunggu . Anak Saya suka kolam renang nya nyaman dekat resto. Sarapan lumayan enak2 menu nya. Terutama soto ayam dan bubur ayam nya. Recommended hotel di Bekasi"
"13.","Billy Jah","397","2025-12-05","5","Hotel ini menawarkan kamar yang bersih dan nyaman dengan fasilitas lengkap. Suasananya tenang, staf ramah, dan area lobi tertata rapi. Lokasinya strategis di Bekasi Jatibening, memudahkan akses ke pusat kota dan transportasi, sehingga pengalaman menginap terasa praktis dan menyenangkan, baik untuk bisnis maupun liburan."
"14.","Erika Febriyanti","8","2025-12-02","5","Kondisi kamar bersih dan luas sesuai harapan. Proses booking hotel mudah by online platform accor member. Makanan saat sarapan oke juga sekelas Ibis. Ternyata dekat LRT station dan banyak penjual Makanan sekitar hotel."
"15.","Restya Vidya","4","2025-12-02","5","hotelnya nyaman dan kamar bersih, sarapannya enak banget. ada kolam renang dan gym. staff restaurant dan receptionist ramah ramah. oke banget next akan stay lagi klo ke bekasi."
"16.","Lulu Lulu","1","2025-11-02","5","Kamar hotel nyaman , staff nya ramah ramah dan helpful, tinggal selama 12 hari , sarapan pagi nya banyak variasi hanya di breakfast buffet tidak pernah ada ikan sama sekali selama menginap di sana, itu yang membuat kurang menyenangkan, Akan tetapi staff (Mas Rasyid ) merespons dengan baik dan menghidangkan ikan ke meja saya . Mas Rasyid sangat attentive, sangat di perlukan staff seperti beliau ( exceed guest expectations)Terima kasih"
"17.","Novita Sari","5","2025-12-02","5","Tempat nya bagus, cuma untuk pintu kamar mandi nya agak kurang efisien ya karena model sliding jadi kurang rapat menutup kalau sedang tidak di gunakan. Makanan lumayan enak"
"18.","Dwi Jurni","20","2025-11-02","5","Semua makanannya enak2, lezat, dan lengkap serta variatif. Semua karyawannya ramah2, Fast Respons, dan Pelayanannya luar biasa terutama Kak Silvi, Kak Keysa, Pak Parlin, Pak Rizki (FO), dan Pak Rasyid. Ibis Styles Jati Bening is The Best and Recommended. Kami akan kembali kesini lagi"
"19.","Athila Kristi","9","2025-12-05","5","Hotel nya strategis, kamar deluxe nya luas banget, layanan super bagus! Next time kalo ada kesempatan pasti balik kesini lagi"
"20.","Inggit Meilani","6","2025-12-12","5","Pelayanan sangatt amat baikk, staff yang ramah. Saya di layani dengan baik dengan kak rastya, beliau sangat ramah dan murah senyum. Sukses terus ibis style hotel"
"21.","luky supratikno","8","2025-12-02","1","kamar ac ga dingin, dipanggil lama yaudah lah krn udah capek males mau komplen, remote tv ga ada, tv nyala mulu, kamar mandi tergenang, si staff udah minta late check out krn ada urusan di ok in malah disamperin ke kamar, terus di telpon terus, worst ibis hotel ever buat manpowernya dan fasilitas kamarnya"
"22.","Lena Novita Sari","3","2025-12-02","5","Senang liburan disini. Dekat ke mana mana. Gampang cari makanan. Kamar deluxe luas dan bersih. Kolam renang luas dan bagus. Sarapan enak juga. Cocok buat pilihan liburan keluarga."
"23.","Sri Mulfaini","5","2025-12-02","5","Rekomendasi kamar luas dan nyaman Suka banget masuk Ibis aroma terapi yang menenangkan langung menyambut kita . Makanan juga enak2"
"24.","Ary Putra","444","2025-09-02","4","Kamarnya nyaman dan bersih, sprei juga wangi. Di setiap lantai tersedia dispenser air, jadi bisa refill air minum sendiri. Shower nya selain hand shower, ada rain shower juga which is great. Cuma waktu itu ada sedikit kendala di dispenser sabunnya yang keluarnya kecil banget. Bener bener tiap pencet keluarnya cuma setetes kecil padahal saya buka cover dispensernya, isinya masih ada. Selain itu, drain cover di wastafel juga rusak.. posisi cover jadi agak tertutup sehingga air wastafel menggenang karena lama mengalirnya. Kalau utuk staff, ramah dan helpful semua. Bahkan untuk welcome drink bisa dianter ke kamar, sepengalaman saya di hotel accor lain hanya bisa dikonsumsi di tempat. Ada fasilitas kolam renang. Lokasi dekat dengan stasiun LRT dan tol becakayu."
"25.","doni lutfil haqim","6","2025-12-02","5","Pertama menginap disini oke juga Kamar bersih. Pelayanan oke cepat. Sarapan oke , terutama main course nya. Bisa ke mall dekat Bekasi dengan mudah. Parkiran Mobil luas."
"26.","Retiara Jenie","4","2025-12-02","5","Kamar oke bersih, harga terjangkau. Dekat stasiun LRT dan mall di Bekasi. Pelayanan oke ramah, dan Saya suka variasi menu sarapan nya."
"27.","Wasri Surya Lesmana","4","2025-11-02","5","Saya dua kali stay disini dan merasa sangat nyaman karena pelayanannya yang konsisten terutama di resto dilayanin sama mas shidqi yang ramah banget selalu humble ke tamu tamu"
"28.","opang hernandez","2","2025-10-02","1","Tote bag isi 1 stel pakaian ketinggalan di ruang rapat diamond (lt.3) masa ga ada yang menemukan aneh sekali ini hotel. Sudah lapor sales dan resepsionis ga ada hasil. Kalo barang berharga lain nya gimana ini.?"
"29.","Melinda","1","2025-12-02","5","tempat nyaman, deket stasiun, sama makananya enak pelayannya juga ramah , asik deh. pengen balik lagi ke sini"
"30.","Khori Serabihijau","33","2025-09-02","5","Ke hotel Ibis ini dalam rangka menghadiri training marketing Allia tour & travel umroh dan haji.. jadi gak bisa ksih rating buat kamar nya.. karena gak nginap Gak nyangka juga sih dipinggir kota Bekasi ada hotel bagus .. walau bbrp kali melewatinya tp gak ngira bagus jg di dalam nya. Walau terlihat kecil dr luar"
"31.","danisha uyy","3","2025-12-12","5","Rekomendasi klo stay dibekasiii kamar bersih pelayanan lengkap, breakfast kg makanan enak2 dan banyak pilihan"
"32.","PANDWAN JASA BAGINDA MAHAPUTRA","2","2025-12-26","5","Istirahat di ibis jatibening nyaman banget, apalagi yang sambut ramah banget namanya mba shella. Cantik lagi hehe"
"33.","Ayunda Budisetia","121","2025-08-02","5","Lokasi hotelnya sangat strategis di deket jalan raya, banyak tempat makan juga sekitar hotel. Aada bioskop disebrang hotel. Akses jalan dan transportasinya banyak bisa dijangkau oleh kendaraan pribadi ataupun kendaraan umum seperti transportasi online. Pelayanan ramah. Interior dan penerangan di kamrnya ok. Disediakan toileter lengkap, handuk dan ada meja, kursi juga. Toiletnya bersih. Akses parkir cukup untuk kendaraan bermotor."
"34.","GITA GARLIANI SUPARDAN","5","2025-11-02","5","First time nginep karena dkt dgn lokasi nikahan sodara , group accors slh satunya ibis ga perlu diragukan lagi deh harganya terjangkau fasilitas kolam renang ada kalo bawa bocil,dkt ke mall ,tmpt mkn, alfa dll tetap pertahankan front office yg sangaat ramah"
"35.","Adel","1","2025-12-19","5","Makanan di Ibis Style Bekasi Jatibening sangat enak dan lezat. Terimakasih untuk pak Apriwan U.S (Executive Chef)"
"36.","MEELIIA 1618","161","2025-10-02","5","Menu sarapan dan makan siang nya lumayan byk..masakannya enak Ruang meeting nya dingin..nyampan deh..sayang musolahnya d campur.. perempuan dan pria"
"37.","Eka Yuliyanti","3","2025-12-02","5","Kamar bagus, makanan enak, pelayanan ramah murah senyum Next mau kesini lagi ♥️♥️"
"38.","siska andi koirunisa","5","2025-12-02","5","Kamar cukup nyaman, trendy, lokasi dekat dengan LRT Cikunir 1, pelayanan oke dengan staf Kak Kia ramah"
"39.","Penny Madaf","8","2025-12-02","5","Pelayannya ramah ramah,kamarnya bersih,dingin ,nyaman,untuk restorannya makannya enak2 semua,bersih juga pelayannya juga ramah banget palagi dengan mbak keysia"
