"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","zilka widya","16","2025-12-30","3","Ibis aku mw kasih masukan.. Receptionist cewek sombong.. beberapa x nelusuri hotel krn sering dinas keluar kota basic banget untuk sapa senyum dan kasih penjelasan gak rugi juga.. krn itu garda terdepan dan mood pelanggan di awal.. ini enggak.. haha sombong bgt ga ada senyum sdktpun... boleh contoh ibis di bogor pajajaran sepanjang jalan ketemu sama kryawan hotel yaAllahh ramahh bangettttt semua sapa pelanggan pagi ibuuu siangg ibuu.. ekspetasi aku ketinggian aku kira emang semua IBIS sama.. Yg kedua.. Sarapannya ya ampunn.. hari rame tauu loo masa lauk aja cuman ada ayam semur 1 macem doang... ya elahh.. ini hotel bintang 3 loo.. makan nunggu telur omlete lama bgt.. krn semur ayam ga ada.. indomie pun jadilah wadah prasmanan nya masih gede wadah dirumah aku.. lauk2 dikeluarin dikit2.. padahal tamu natalan banyak bgt.. minimal makanan di variatifin atau di banyakin qty nya..parah siih!! Jd lama sarapan nungguin selesai Yg ketiga.. Plusnya desain bagus cozy kamar luas bersih.. desain kontemporer kerenn.. ac dingin poolll.. desain hotel okee bgt.. detial kecil diperhatiin jg.. Yg keempat.. Satpamnya ramah2 dan sopan.. gud job Tolong ibis perbaiki latih lagi 1. karyawannya terutama receptionist yg cewek 2. Makannnya juga lebih di perhatiin jangan sepele gt.."
"2.","Bramanti Kusuma Yuwono","4","2025-12-05","1","Menginap di saat kota Medan terkena banjir. Lift tidak bisa digunakan karena basement banjir. Oke, dimaklumi meskipun harus naik tangga manual ke lantai 9. Sampai kamar mau mandi, handuk tidak ada. Alasannya kondisi banjir jadi banyak barang belum masuk. Oke, dimaklumi juga. Pesan room service untuk 1 porsi nasi goreng di jam 8 malam. Jam 9 makanan belum diantar. Telepon ulang, katanya akan dicek. Jam 10 juga belum diantar, telepon ulang katanya akan dicek. Setengah jam kemudian masih belum diantar. Telepon ulang katanya akan dicek lagi. Saya tunggu hasil pengecekkannya. Malah ditanya pesan apa. Saya tegur pesanan saya tidak dicatat, ngakunya sudah. Kalo memang sudah dicatat kenapa tanya lagi? Setelah marah-marah baru disebutkan pesanan saya dan janji di antar 3 menit. Alasannya tadi banyak pesanan. Janjinya juga meleset. Padahal sengaja memilih menu nasi goreng yang simpel. Ketika datang, makanan tidak sesuai di menu. Tidak ada telur, acar, dan sayuran. Sudah malas komplain lagi. Saya tahu kondisi sedang banjir. Tapi menunggu 2,5 jam dengan respon seperti itu sangat mengecewakan. Lebih baik dikatakan dari awal pesanan lama dan estimasinya berapa lama. Benar-benar kecewa dengan pelayanan kali ini."
"3.","Alala Muliba","420","2025-12-22","5","Rekomendasi kalau nginep di Medan. Hotelnya tidak terlalu besar tapi berhasil memaksimalkan setiap sudut ruangnya. Kamarnya rapi, bersih dan pas ukurannya. Kamar mandi juga oke dan bersih. AC dan water heater nyala dan stabil. Makanan sarapan juga enak. Pelayanan ramah. Lokasinya juga di pusat kota, jadi dekat kalau mau kemana mana. Cuman kalau parkir mobil mesti hati hati karena mepet ruangnya. Overall oke, Monggo dicoba."
"4.","dedy cahyadi","53","2025-12-15","3","Kamarnya enak, luas & cozy. Tapi makanannya kurang variatif, selada ga segar, rasa cenderung flat. Alat fitnes sepertinya tidak pernah di maintenance."
"5.","Novanta Br Sitepu","92","2025-12-22","3","Kalau anak lebih dari 5 tahun sudah dikenakan cash utk sarapan Baru ini ketemu hotel seperti ini Kami bawa 2 anak, Satu anak usia 5 tahun free breakfast, tapi satu lagi anak usia 8 tahun sudah kena cas Hati-hati"
"6.","Jimmy Saragih","10","2025-12-05","4","Kamar 1005 mampet saluran air kamar mandinya. Wastafel juga mampet, akhirnya saya buka sendiri tutupnya. Parkiran juga cukup terbatas ya. Selain itu sudah OK sih. Keep up the good work guys!"
"7.","bambang priantomo","2","2025-12-15","1","Saya nginap 8 hari kamar 201 cukup nyaman, sayangnya layanan receptionist saat check out tidak professional, tidak ada inisiatif utk mengembalikan uang deposit, terima kunci kamar sudah gitu saja tanpa ucapan apapun. Kalo saya lupa, uang deposit akan tertinggal. Kemudian saya teringat tapi memang tanda terima tidak ketemu. Harus berdebat panjang agar uang deposit saya dikembalikan. Padahal bisa memastikan dengan kartu identitas saya, memberikan kembali uang deposit, dan saya akan sign menerima kembali uang tsb. Kok repot mengembalian uang deposit hak pelanggan? Seharusnya justru inisiatif mengembalikannya."
"8.","Valensia Manik","5","2025-12-22","5","Kamar nyaman , pelayanan reception ramah Breakfast bervariasi dan sangat enak Wifi kencang Terutama kamar juga bersih dan nyaman , ac dingin"
"9.","Tri Ardiani","2","2025-11-05","5","Hotel yang nyaman, bersih, sarapan enak. staff ramah2 dan cepat tanggap. mau mau lagi nginap disini, karna anak2 saya happy, kolam renang indoor dan lengkap ada kids corner nya."
"10.","Mita Sartika","3","2025-11-05","2","Gak recommended saya booking check In jam 2 siang tapi kamarnya ready jam 15.30, saya menunggu 1 setengah jam dan tidak ada diberi kelonggaran waktu check out sebagai gantinya, fasilitas kamar juga kurang memadai, untuk menu breakfast juga variannya sangat kurang dan untuk anak anak hitungannya diatas 5 tahun dikenakan charge. Cukup 1 kali saja menginap di hotel ini."
