"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","EGGG YAMADA","167","2025-12-05","1","Ada beberapa hal yang membuat saya kecewa menginap di hotel ini : 1. Hotel ini memiliki lokasi strategis jika Anda menginginkan hotel di Simpang Lima. Tetapi menjadi mimpi buruk, karena HOTEL INI TIDAK DISERTAI PEREDAM SUARA. SUARA KENDARAAN yang ramai lalu lalang, terdengar SANGAT JELAS dari dalam kamar. Kamar saya berada di lantai 3. Anda pernah dengar JINGLE TAHU BULAT? Iya, yang diputar berulang ulang oleh pedagangnya. Tahuuu Bulat....digoreng dadakan bla bla bla. Pedagang Tahu Bulat yang mangkal dan menggelar lesehan di trotoar depan lobby, sepanjang mulai berjualan dari jam 8 malam hingga jam 1 pagi menyalakan jingle itu dan ITU TERDENGAR SAMPAI KAMAR. Sudah bukan lagi menjadi mimpi buruk. Tetapi FATAL. Bermimpi pun tidak sempat. Karena semalaman tidak bisa tidur. Apalagi lantai 3 dekat restaurant. Suara geret2 kursi meja terdengar. Sepanjang malam tidak bisa tidur. Niatnya mau istirahat dengan nyaman, malah jadi ronda sampai pagi. SEKALI LAGI, TIDAK ADA PEREDAM KAMAR = FATAL. 2. Beberapa kali ke lobby, termasuk saat petama kali datang, TIDAK ADA SATUPUN SECURITY. Yang seharusnya memberikan salam, mengarahkan tamu harus bagaimana untuk parkir, dll. Tamu harus cari tahu sendiri. Akses dari parkir mobil ke reception, hanya ada tangga. Jadi pastikan sudah menurunkan koper terlebih dahulu di lobby sebelum parkir. 3. Penampilan area reception, terkesan kosong. Interior buruk. Tidak ada welcome drink. 4. Terkesan saklek, mengenai check in jam 2. Saya juga tau peraturan hotel check in jam 2. Kebetulan saya datang jam 1 siang. Dari awal staff seperti kekeuh mengenai check in time jam 2. AC di kamar juga perlu sekitar 15 menit untuk proses pendinginan. 5. Toiletries disediakan sabun shampoo dalam dispenser, slipper, toothbrush, laundry bag. Selain itu by request. Tidak ada hairdryer. TIDAK ADA EXHAUST DI KAMAR MANDI. Di kamar disediakan pitcher untuk mengambil air di lorong. Saya paham, banyak hotel juga sudah melakukannya, karena mengurangi sampah plastik botol. Tapi kok ya disini kopi, teh dan gula juga tidak mau menyediakan yang sachet. Pakai jar kecil. Kelihatan tidak higienis, kopi dan teh juga kehilangan aromanya. Diingatkan juga untuk tidak dibawa pulang. Ya elah, siapa juga mau bawa. Terkesan hotel chain yang NGIRIT DAN PELIT."
"2.","ARDHY MC","13","2025-12-22","5","Hai Ibis Styles Simpang Lima Semarang, Well 4 Hari 3 Malam yang sangat berkesan menginap disini karena : 1. Kamar begitu nyaman dengan View Simpang Lima, bisa buat ngelamun hehe. Selain itu Bersih, Wangi dan Lumayan Luas. Amenitis nya lengkaaaapp pollll. Apalagi Shower nya paling aku suka gembrojok. 2. Akses ke semua destinasi lengkap dan terjangkau. 3. Makanan enak bgt, 4. Pelayanan dari Satpam, FO sampai dengan Room Services nya sangat membantu dan Ramah. 5. Auhhh Bu GM nyaaaa Best juga sangat informatif dan humble. Terima kasih Ibis Styles Simpang Lima Semarang. Tahun depan bobok sana lagi yeaaayy!!"
"3.","Atif Andrian","432","2025-12-22","5","Dari lokasi deket banget sama Simpang Lima, kebetulan dapat kamar yg langsng menghadap ke simpang lima, keren abis. Rerepsionisnya juga ramah, sy request sarapan jam 5 krn jam 05.30 mesti ke Salatiga, besoknya udh disiapin. Top banget pelayanannya"
"4.","M Arief Rahman","381","2025-11-05","5","1. Lokasi Strategis: Terletak tepat di jantung Kota Semarang, hotel ini hanya beberapa langkah dari kawasan Simpang Lima yang ikonik. Akses ke pusat perbelanjaan, kuliner, dan transportasi umum sangat mudah sehingga memudahkan tamu yang datang untuk urusan bisnis maupun liburan. 2. Desain Modern dan Nyaman: Konsep interior bergaya modern chic khas Ibis Styles memberikan suasana ceria dan segar sejak pertama kali masuk. Setiap ruangan dirancang dengan warna-warna menarik dan tata cahaya yang hangat, menciptakan kenyamanan tersendiri bagi tamu. 3. Pelayanan Ramah dan Profesional: Staf hotel sangat responsif, sopan, dan sigap membantu kebutuhan tamu. Proses check-in dan check-out berlangsung cepat, sementara kebersihan kamar dan fasilitas publik selalu terjaga dengan baik. 4. Fasilitas Lengkap dan Fungsional: Tersedia fasilitas gym, restoran dengan menu beragam, area parkir luas, serta koneksi Wi-Fi yang stabil di seluruh area hotel. Kamar dilengkapi fasilitas lengkap seperti smart TV, safe deposit box, coffee/tea maker, dan tempat tidur yang nyaman."
"5.","rexy mo","35","2025-12-05","4","Pertama kali datang, kamar kurang bersih masih banyak sisa rambut dan serpihan tisu di kamar. Sudah minta dibersihkan, namun tidak ada perubahan. Secara view OK persis di depan simpang lima. Ac dingin, toilet bersih namun tidak ada ex haust. Keluar CO telat lima 5mnit kartu hotel sudah deactivated. Harus minta aktifin lg ketika mau beres2 check out. Kamar kurang kedap, kamar sebelah masih nyaring terdengar bunyi flush toiletnya. Semoga semakin berbenah"
"6.","Santosa Santosa","88","2025-11-05","3","Tinggal disini untuk 1 malam di 11 okt, untuk kebersihan ok sesuai standar Accor. Tetapi ada beberapa hal yang kami alami yang perlu jd perhatian untuk yang akan stay disini: 1. Saat weekend mulai pukul 5.30 pagi dari family room suara dari car free day sdh sangat mengganggu,suara sound horeg dari sound system lapangan simpang lima sudah sangat mengganggu apabila kita berencana bangun siang. 2. Untuk kopi dan teh di kamar menggunakan kopi bubuk dan teh celup yang disimpan dalam toples kecil, sehingga wangi kopi dan teh sangat berkurang. 3. Untuk yang memesan room dengan type family dengan breakfast via Accor/offline/travel online, harap dipastikan bahwa pemesanan breakfast adalah untuk pax sesuai jumlah bed. Saya pesan type family (3 bed) ternyata sarapan hanya untuk 2 pax. Sehingga terkena additionax BF pax yg lebih mahal saat onsite daripada book di accor.com. Untuk sarapan cukup ok, menu beragam dan dengan kualitas yang baik."
"7.","Natalia","143","2025-12-05","4","Kamar nya kurang bersih sih, ada gumpalan rambut d lantai kamar kmd sarung bantalnya pada bau apek gak kering. Tolong lebih d tingkatkan untuk standar kebersihannya. Breakfast lumayan, design hotel modern."
"8.","Triwahyuni Wulandari","15","2025-12-05","3","Lokasinya startegis, parkir luas krn bekas mall tapi dgn harga kmr Rp. 1.050.000 di weekday sih kecewa tdk sesuai ekspetasi 1. Meja koper hanya bisa dipakai dlm keadaan tertutup utk buka koper hra di lantai 2. Keset hrs diminta 3. Basement tdk ada lift utk bawa koper jd repot 4. Teh dan kopi dlm toples payah sih ini 5. Jalan menuju ke kmr hrs melewati dapur resto 6. Suara aktifitas dilorong dan suara pintu buka tutup kmr lain terdengar keras tdk kedap suara Minum air putih refill dari dispenser Utk pelayanannya standard ... ga lagi sih nginep disini"
"9.","Ahmad Haidzir","11","2025-12-05","3","saya menginap pada tanggal 27-29 oktober 2025 dengan memesan kamar superior double bed with city view, pada aplikasi traveloka saya lihat foto ruangan sangat lega, terdapat meja bundar dan sofa disamping jendela yang menghadap ke luar, tetapi yang saya dapatkan kamar yang sangat sempit bahkan untuk mencari posisi untuk shalat sangat sempit, ranjang yang berdempetan dengan tembok dan jendela, pada foto tampak ada meja bundar dan sofa, nyatanya zonk tidak sesuai foto. bahkan antara ranjang dan tv terdapat meja mini bar sangat tidak sesuai dengan foto. kemudian untuk breakfast harus dipastikan saat pemesanan untuk 1 person / 2 person"
"10.","Ardiana Putri","21","2025-12-05","5","Pelayanan lumayan bagus. Tapi sayang di dalam kamar tidak tersedia hair dryer. Sekalinya minta gak ada angin nya 😢. Semoga kedepan nya bisa memberi fasilitas lebih."
"11.","Rachmat Mulyono","73","2025-12-05","5","Beberapa kali transit Semarang nginepnya disini, Kamar bagus dan bersih. Cari makanan juga gampang, tinggal keluar hotel banyak warung tenda depan Simpang Lima. Tempat parkir mobil lumayan cukup di basement."
"12.","chandra donni","7","2025-09-05","5","Hari ini adalah hari ke 8 saya menginap di Hotel Ibis Style Simpang 5 Semarang. Untuk Ruangan, Makanan dan Minuman menurut saya cukup enak. Namun dari sisi pelayanan saya sangat mengapresiasikan sekali, karena selama saya menginap di sini sedang ada Demo dan dari sisi Hotel dengan baik menginfokan kita agar tidak berlama di luar Hotel untuk menghindari terjebak di kerumunan Demo. 1 lagi poin positive, selama saya menginap di banyak hotel dengan durasi yang cukup lama, tidak pernah ada service / pelayanan yang di tawarkan oleh pihak Hotel, namun di Ibis Style Simpang 5 saya mendapatkan pelayanan untuk makan Pagi dengan bebas memilih makan sesuai ke inginan kita dan tidak harus mengikuti makanan yang di sudah di siapkan oleh Hotel dan aku pun dapat VIP Treatment Longstay dari pihak Hotel. Terima kasih untuk pelayanan nya team Ibis Style Simpang Lima Semarang."
"13.","Linda Ernawati","39","2025-10-05","5","Tidak diragukan kualitasnya. Kamar bersih, tv lebar dan berfungsi. View dari lantai 5 cukup menyenangkan, tidak terlalu bising meskipun sebelah jalan raya. Ada air hangat yang berfungsi dengan baik. Sekitar hotel banyak sekali penjual makanan, kalau malam ingin jalan jalan mencari street food sangat menyenangkan juga. Tidak mengecewakan sama sekali"
"14.","inayah aulia","11","2025-10-05","5","Saya menginap 5 hari di hotel ini, lokasinya strategis sekali, kondisi kamar semua oke bagus tidak ada yang kurang, menu sarapannya bermacam2 dan enak tapi ketika dihari terakhir saya menginap bubur ayamnya terasa asin sekali."
"15.","Leonardus Gunardi","520","2025-10-05","5","Lokasi hotel ini terletak di area strategis kota Semarang, dekat dgn fasilitas umum n komersil juga kantor Pemprov, Kepolisian dan lainnya, kamar sangat ideal dengan konfigurasi 3 bed, pelayanan housekeepingnya harus ditingkatkan sebab kebersihan & pembersihan ruangan adalah nilai dlm mengelola hotel dibawah Accor. Terima kasih"
"16.","Buuk Jabrig","1","2025-07-05","1","Service lebih utara dari BURUK. Tahun 2023 saya pernah menginap di sini dan komplen soal layanan kepada operation managernya, tahun ini kejadian sama dan komplen juga kepada operatio manager yang sama. Tidak membaik malah semakin parah. Check in pukul 10 malam dengah harapan dapat beristirahat dengan nyaman, namun mendapat kamar di 520 dan 519 yang berhapit dengan staff room dan ruang room service, sepanjang malam beberapa kali pintu sebelah kamar ditutup tanpa ditahan sehingga membentur kusen yang menyebabkan bunyi cukup keras membuat tidur beberapa kali terbangun. Belum lagi jam 7 pagi, staff cleaning membersihkan lorong menggunakan vacum dengan suara yang cukup keras. Konformasi GMnya ternyata prosedur seharusnya vacum harusnya jam 8 pagi. Hal luar biasanya lagi, pukul 10 lebih malam meminjam hair dryer hanya diberikan waktu 2 jam yang artinya harus dikembalikan di tengah malam. Konfirmasi GM harusnya utk peminjaman hair dryer di malam hari dapat dikembalikan di pagi hari. Lalu sandal hotel, sudah jelas booking for 2 adult, sandal hanya diberikan 1 pasang, apa memang di Ibis Style Simpang Lima sandal dipeuntukan 1 pasang utk 2 orang jadi 1 orang pakai ½ pasang?? Semoga kedepannya bisa lebih baik dan bahasa kami akan memperbaiki bukan hanya karena pita suara bergetar dan komat kamit bibir tanpa bahasa kiasan yang kesannya indah. Karena pada dasarnya hotel ini berlokasi di daerah sangat strategis dan kamar dan interior pun cukup baik. Jika anda tahu nama saya, tolong tidak menyebut nama saya pada respon anda."
"17.","iswah yudi","38","2025-11-05","1","dengan alasan ac nya inverter. harus nunggu 15 menit untuk ac bekerja. dan itu saya baru check-in dalam keadaan kepanasan dari luar. harus nunggu didalam kamar kepanasan. karena harus nunggu ac inverter ini nyala🔥🔥🔥. klo udah tau ini ac akan membutuhkan waktu untuk bekerja. mbok ya jangan pake kartu akses buat electricitynya. aneh bgt harus tamu yg maklum dg ac inverter"
"18.","Djoko Julianto","129","2025-08-05","4","Lokasi hotel sangat strategis bagi traveller yg ingin mengeksplorasi Simpang Lima. Namun bagi yg berharap kamar yang lapang, hotel ini bukan pilihan yg tepat. Bagi yang hendak bepergian di Minggu pagi, mungkin ini mushibah Anda. Anda harus berjalan dan membawa barang bawaan untuk menjangkau taksi atau online service lainnya. Jalanan ditutup atau tidak dapat diakses pada Minggu pagi. Pertimbangkan dan antisipasi jadwal bepergian Anda di Minggu pagi. Bila Anda menginginkan kamar dengan jendela yang memperoleh sinar matahari, tanyakan dahulu kepada petugas, karena bisa jadi Anda akan memperoleh kamar dengan jendela yang menghadap dinding/tembok sisi dalam hotel. Terdapat beberapa pilihan menu untuk sarapan. Harap berhati-hati. Informasi tentang apa yg disediakan di kamar sangat terbatas."
"19.","Lydia Susanto","5","2025-09-05","3","Awalnya excited milih hotel ini. Tapi setelah check in Kecewa bgt sama AC nya. Baru baca tamu lain review 15 menit baru adem. Saya ud nunggu 20 menit ga adem adem. Complain ke reception diminta tunggu 45 menit baru adem. Parah. Ud capek mau istirahat. Harus panas di dalam kamar. Setelah 1 jam, Ganti kamar ternyata AC emang begitu. Padahal paginya ditanya tiba jam brpa. Sy sudah info jam 14 tiba. Saran saya Kalau perlu 1 jam sebaik nya dinyalain dulu AC nya. Jadi tamu ga menderita apalagi setelah perjalanan jauh perlu istirahat. Biasanya di hotel Ibis style kota lain saya nyaman. AC dingin."
"20.","Dwi Novria Ambarwati","114","2025-11-05","5","1. Kamar bagus, new interior design 2. Toilet bersih dan nyaman 3. Lokasi strategis depan simpang lima 4. Makanan ok, tapi walaupun ada pemanas makanan namun tidak digunakan sehingga sayur dan makanan lainnya dingin"
