"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","M Nur Rahmatullah","24","2025-12-29","5","Hotel Mewah dengan harga yang terjangkau. Wangi, bersih, Staff Ramah dan Helpful, Fasilitas Ok, ada Hairdryer juga dan towelnya ada yg kecil juga mgkn buat bersihin muka, Smart TV layar besar mgkn diatas 40 Inci, amenities lengkap, bantal besar dan dapat 2 di masing² bed (Saya pesen Twin Bed), AC dingin, sarapan lumayan 8,5/10, kolam renang Ok dan ada afternoon snack nya. Betah pokoknya berlama² dikamar Alhambra. Satu hal minus yang saya dapat waktu check in tgl 25 Des kemarin di salah satu kamar yang saya pesan sepertinya bagian house keeping lupa bersihkan tempat sampah kamar yang mgkn sblmnya ditempati tamu lain tapi pas dikasih tau staff disana gercep langsung dibersihkan...kesimpulannya Alhambra Hotel diluar ekspektasi Kami dan sangat berkesan..Semoga Kami bisa kembali merasakan kehangatan dan pelayanan terbaik dilain waktu..Sukses selalu buat Alhambra Hotel & Convention ⭐️⭐️⭐️⭐️⭐️👍👍👍👍👍"
"2.","Agung DP","425","2025-12-29","5","Hotel terbaik di kota singaparna. View langsung gunung Kamar luas, bersih + Sarapan bnyk variasi + Toilet kamar + Parkir luas n bnyk + Ada sky coffe di atap, free teh,kopi,jus + cemilan (welcom drink) + Akses ramp parkir sempit - Kurang keliatan klo dr jln raya, tdk ada plang yg gede di sisi ujung spbu - Tambahan saja kasi ramp kecil entrance lobby lift parkir . Agar bawa koper ga perlu angkat... Over all puas disini."
"3.","Resti Vidia Putri","12","2026-01-05","5","Kalau mau staycation atau liburan ke tasik rekomen nginepnya mending disini .. kamarnya luas bersih, ac dingin, makanan ENAKENAK !! Ada menu kebulinya juga sampe minuman sehatpun ada cuco khaan 👌🏻 dilain kesempatan nanti kalo ke tasik nginepnya pasti disini"
"4.","Annisaa Nurhayati","31","2025-12-12","5","Beberapa kali menginap disini untuk perjalanan bisnis. Kamarnya okee, sudah ada smart tv dgn netflix dan youtube, jika ada kendala teknis, teknisi sigap membantu. Suka dekorasi dari hotel ini ❤"
"5.","Aris unggul prasojo","18","2025-12-15","5","Pengalaman menginap menyenangkan bersama klg. Kenyamanan kamar, layanan & menu breakfast ok, desain interior hotel jg detail . Saran pintu kmr mandi kmr 711 sulit utk ditutup rapat mungkin krn material pintu dri kayu lembab shg mengembang .overall ok. Insyaallah klo k tasik bisa jdi pilihan utama utk menginap lgi."
"6.","Rany Anggraeny","5","2025-11-12","5","Saya menginap di hotel ini sdh 2 kali, pertama di bulan November 2024. Lalu di Bulan ini (October 2025). Satu2nya hotel di Singaparna yg mnurutku harga nya masih affordable tp service yang oke bgt. Dengan konsep arabian. Kamarnya luas. Kasur nya empuk, makananan enak, breakfast byk macamnya. Amenities lengkap, Parkir luas. Dekat dengan SPBU. Btw.. thank you for your hospitality Alhambra.. Keep it up yaa 👍 I’ll definitely be back for my next visit"
"7.","Nina Resdiana","2","2025-12-12","5","Senang sekali ada Hotel mewah di Singaparna Tasikmalaya, karena cukup sulit mencari Hotel yang bagus di Singaparna. Hotel masih baru dan dirawat dengan baik, pelayanan ramah, Interior sangat cantik. Akan kembali lagi ke Alhambra"
"8.","Muni Anisa","4","2025-11-12","4","Pelayanan ok, ramah dan full service. Lokasi dekat perkantoran PEMDA Tasikmalaya dan di pinggir jalan. Makanan lumayan dari rasa dan varian. Hanya pernah dapat kamar yang jetwashnya tidak berfungsi. Semoga sudah diperbaiki ya. Oh iya, kalau boleh saran tolong disediakan sejadah di setiap kamar ya. Masih akan balik lagi kok, in syaa Alloh 🥰."
"9.","Wida Yanti","14","2025-10-12","5","Hotelnya bagus.. bersih... unik... Pelayanannya ramah2.. mau marketingnya, fo nya.. keamanannya juga... Fasilitas di kamar lengkap.. toiletnya juga.. Rooftop nyaa asiik apalagi klo menjelang sore... Next pasti nginep lagi disana"
"10.","Hendra Ramdani","2","2025-12-12","5","Saya menginap dengan keluarga sangat senang, kolam renang nya jernih view nya sangat cantik, di kamar AC dingin maknyos bersih rapih mantap pokonya.. keren"
"11.","Agus Gunawan","306","2025-08-12","4","Kamar lumayan luas. Pelayanan mantap, fasilitas bagus. Baru datang dapat welcome drink di lobby, sore hari ada afternoon tea lengkap dengan snack di rooftop dekat kolam renang. Hotel ini cocok untuk keluarga. Kekurangannya cuma satu: aktifitas kamar mandi tetangga terdengar, entah dari tetangga sebelah atau atas."
"12.","Finny Fisher","6","2025-10-12","5","Kemarin booking 3 kamar tipe deluxe karena ajak keluarga karyawan q yang asli tasik..Alhamdulillah betah banget nginep di sini, semua nya oke, kebersihan, makanan, fasilitas, staf nya juga ramah ramah, tiap sudut di hotel ini estetik semua, kapan kapan pasti balik lagi 🥰. Sukses terus ya buat Alhambra Hotel🙏🏻"
"13.","Rosa Tih","1","2025-11-12","5","Massallah Tabarakallah......bermalam di Hotel ini,benar benar memuaskan, Nyaman Sekali, dikelilingi pemandangan yang indah, untuk menu sarapan pagi.. Sangat berfarian"
"14.","uci indriani","3","2025-12-22","5","Hotelnya oke banget, semua bersih, service nya oke, deket banget sama wisata gunung galunggung, klo kesana wajib nginep disini sih"
"15.","Elvi Rahmi","7","2025-11-12","5","Hotel nyaman, pemandangan pagi ke arah gn galunggung dr skylonge mempesona. Kurangnya, kalo dapet kamar yg menghadap depan dibagian tengah kehalangan ornamen gedung. Jd tidak puas menatap langit🤭"
"16.","Yunza Bryma","2","2025-09-12","5","3 hari lalu menginap di alhambra Staf ramah,kamar bersih,view kamar seger lngsung ke arah persawahan,dekat sma keramaian,gak jauh juga dari alun alun Singaparna, recommended buat yang mau cari hotel di daerah Singaparna."
"17.","Anenda Fitria Anwariyani","6","2025-11-12","5","Secara keseluruhan ini tempat yang nyaman untuk menginap ... Pelayanan nya baik ... Fasilitas komplit ... Pegawainya ramah - ramah ... Hanya saat malam hari air panas nya agak kurang panas ... Dan ukuran harga murah di banding hotel yang memiliki fasilitas sama dengan hotel ini ... Dalam smooking room mohon sediakan asbak ..."
"18.","REJA SENJAYA HUSEN","18","2026-01-05","1","Pelayanan kamar lama... Breakfast gak ada kesepakatan awal... Harga mahal untuk didaerah kabupaten"
"19.","Ulpi Megananda","3","2025-12-29","5","Kamar nya nyaman dan bersih, breakfast juga enak. Pelayanan ramah"
"20.","ASTRI TESTIANDINI","7","2026-01-05","5","Semua perfect kecuali smart tv nya yang tidak bisa connect selama menginap"
"21.","Esta Maya adistin","10","2025-09-12","5","3x nginep di hotel ini dan selalu memuaskan, pelayanannya ramah2 poll fasilitasnya semuanya berfungsi dengan baik makananya juga enak breakfast nya bisa diantar ke kamar pokoknya saya nobatkan ini menjadi hotel terbaik setasikmalaya."
