"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Achi TM","24","2026-01-05","4","Ini pengalaman pertama saya di Aston Bogor. Saat pertama kali keluarga saya turun, tidak ada yang membantu ambil barang padahal banyak staff. Ya, barangkali memang sedang ramai tamu. Saya check in lebih awal dan untungnya staf di resepsionis ramah-ramah. Saya pesan 2 kamar superior. Saya pikir ruangannya kecil, tapi ternyata cukup besar. Menariknya ada balkon buat duduk-duduk. Sayang balkonnya kurang bersih, saat duduk di kursi balkon, badan saya gatal-gatal dan merah digigiti serangga. Lemari baju juga agak berdebu. Tapi spreinya bersih dan wangi. Kasur juga nyaman sekali. AC kamar saya tidak dingin, cenderung panas, kamar anak saya malah adem banget. Pantas mereka tidurnya pulas. Sorenya saya order cake, terjadi kesalahan mengenai pesanan cake. Saya komplain, diberikan free cake sesuai pesanan tapi pelayannya jadi judes ke saya. Rasa cakenya pun kurang enak. Satu hal yang saya tunggu-tunggu di hotel Aston adalah breakfast-nya, kata review BF nya mantap banget. Saya ulas sedikit apa yang saya makan kemarin : nasi goreng anyep, mie goreng ga ada rasa (tamu lain juga banyak yg tidak habiskan ini), ikan dori tepungnya keras. Lontong sayur opor ayam enak banget, brownies enak, apalagi dipadu dengan es krim, croissant nya mantap, saya nambah dia kali, omeletnya biasa saja, spageti juga biasa, bubur ayam hambar, donat biasa aja, gulai daging terlalu manis dan dagingnya tidak empuk. Jadi tidak semua menu oke, sih. Mungkin karena kemarin rameee banget, banyak staf yang sudah kewalahan sehingga jadi kurang senyum dan kelelahan. Barangkali bisa ditambah staffnya supaya pelayanan lebih maksimal. Karena dapat kamar dekat jalan raya, jadi agak ribut sama lalu lalang motor. Kalau dapat kesempatan menginap di sini lagi saya mau coba kamar yang menghadap sungai dan terletak di tower 3, kayaknya sepi dan adem. Foam partynya seru, anak-anak saya nampak senang sekali bermain busa. Saya sudah 3x menginap di Aston Pasteur bandung mengambil family room, sekali di Aston purwokerto, tapi masih berpikir ulang untuk menginap di sini lagi. Karena di Aston Pasteur saya dapat pelayanan yang ramah dan menyenangkan, di Aston bogor kurang terasa ramah. Bahkan saya sempat tanya tempat ke salah satu staff dan dia menjawab dengan malas-malasan. Sejujurnya, saya sedang berduka, setelah 2 bulan mama saya meninggal ini adalah kali pertama staycation saya. Saya memilih Aston karena selama ini selalu dapat pelayanan prima dari Aston, tapi sayang di sini kurang. Barangkali karena memang sedang peak season tapi saya harap ini jadi perhatian untuk Aston Bogor ke depannya. Setidaknya saya dapat free photo box dan ini menyenangkan buat kami sekeluarga, thx. Overall anak-anak saya senang menginap di sini. Terima kasih."
"2.","wisnu erlina","76","2025-12-29","5","Pertama kali menginap di aston bogor bersama keluarga di liburan nataru 2025. Perjalanan dari keluar tol bogor ke lokasi 45menit krn macet bogor saat weekend. Saya beberapa kali staycation hotel di bogor tapi baru kali ini mau check in antri. Petuga counter ada 3, lamanya krn hrus scan Qris check in, saran jika terlihat antri ada petugas yg mendatangi pengunjung utk scan lebih dulu shg stlh depan counter hanya ambil kunci. Tiba di hotel jam 14.40 banyak keluarga ygliburan pada saat itu. Saya pesan kamar superior dari Traveloka dgn kamar One bed ranjang besar, lucky me kamar di upgrade ke condotel one bed room oleh resepsionis Kak echa.. Terima kasih kak echa, tau aja pengunjung yg sdh kelelahan dijalan & harus antri cek in..🤭 Kamar tipe condotel : bersih, wangi, ac dingin, ada microwave,kulkas,meja makan 2 org, meja tamu, balkon.. viewnya belakang hotel namun menghadap gunung. Fasilitas yg diberikan saat libur anak sekolah worth it, ada foam di kolam,cooking class,movie night. Alat di tempat gym terawat & bersih. Tdk banyak tapi cukup utk latihan 1 jam Menu sarapan banyak variasi & enak. Yang terpenting semua staff ramah sampai ke cleaning services dan security. Hotel ini jauh dari mall dan keramainkota, benar2x tempat utk istirahat dengan semua fasilitasnya yg buat betah dan extend. Terima kasih aston,"
"3.","Mh Anazily","1","2026-01-05","5","Pengalaman makan di restoran ini sangat menyenangkan. Terutama buat kak hali ,Pelayanannya ramah, sigap, dan profesional. Pesanan datang dengan cepat dan sesuai. Suasana restoran juga nyaman dan bersih. Terima kasih atas pelayanan yang sangat baik, benar-benar membuat pelanggan merasa dihargai.”"
"4.","Eka Suhada","61","2025-12-29","1","Keamanannya jelek sekali, dikasih kamar didalamnya masih ada tamu lain. Kalau gitu gampang banget orang asing masuk kamar dengan kunci diduplikat. Dari front desk juga prosesnya lama untuk cari kamar pengganti. Kondisi kamar banyak berjamur di horden dan kulkas, furniture juga sudah usang dan mulai rusak. Harga dan kualitas hotel tidak sebanding."
"5.","Raisah Sarah","94","2025-12-29","5","Resepsionis dan para staf ramah dan murah senyum, proses check in dan check out juga ringkas satset, menyenangkan. Internet selalu on bahkan di area kolam renangnya. Kami menginap di kamar tipe Condotel 1 bedroom, tower 3 , kamar 3507. Kamar bersih dan nyaman juga lega. Ada area dapur kecil dengan wastafel, 1 kulkas uk sedang, 1 microwave. Ada meja makan kecil, ada sofa + meja dan tv. Tempat tidur ada di ruangan kamar, ada tv juga lemari. Kamar mandi dengan shower dan wastafel juga hairdryer, area toilet terpisah jadi lantai terjaga keringnya. Ada area balkon denga kursi dan meja juga. Dari kamar kami bisa terlihat Gunung Pangrango dan matahari terbit. Menu sarapan bermacam pilihannya. Prasmanan nasi dan lauk sayur, pasta dan pelengkapnya, bubur ayam, lontong sayur opor, nasi uduk dkk, roti kue dan donat, dll. Untuk rasanya cukup OK. Ada event untuk perayaan natal dan tahun baru saat kami menginap, ada event kolam busa yang seru."
"6.","Aneke Tumilaar","129","2026-01-05","5","Hotel nya sangat bagus dan sangat nyaman sekali. Jadi di dalam Kamar itu ada Tempat tidur dua, ada balkon, lemari, TV untuk saya menonton, dan kamar mandi. Di dalam Kamar mandi itu ada shower dilengkapi Sabun buat badan dan Sampoo buat rambut, Wastafel, Toilet, Handuk, dan Bak Mandi. Di Kamar ada 2 Pintu, Pintu buat Balkon luar dan Pintu buat Kamar sebelah sagat unik sekali. Saat aku lihat pemandangan sangat bagus sekali ada banyak kolam renang luas sekali, Taman, dan Juga ada Air Sungai deras mengalir. Saat aku di Restoran makanya sangat enak sekali. Dan Hotel ini banyak fasilitas lengkap sekali mulai dari memberi makanan ikan, kelinci, dan Burung ada tempat golf, Mini Card, dan party foum di kolam renang, dan lainya. Aku suka tempat ini karena seru dan menyenangkan."
"7.","Vivin Alianto","6","2026-01-07","5","Servicenya mantab. Fasilitas jg sgt lengkap buat anak2 dan org dewasa, shg tdk ragu bawa anak2 staycation di sini. Makanan sarapan lengkap dan enak. Penting jg ini, ada bbrp water station dan toilet bersih. Jd nyaman bgt stay di sini. Nice!"
"8.","Kresna Adipura","43","2026-01-10","5","Hotelnya ramah anak, pemandangannya cakep, lokasinya dibelah oleh sungai yang bagus viewnya. Pelayanan resto yg diberikan oleh staff bernama varissa sangat membantu dalam memilih makanan sesuai dengan selera pengunjung."
"9.","FDV Wulansari","5","2025-12-29","5","Sarapan enak, variasi banyak, rasa oke. Kamar tipe condotel di tower 2 cukup jauh dari lobby, hanya ada 1 dispenser di koridor. Suara kendaraan lalu lalang terdengar jelas dari kamar di lantai 7. Kamar bersih tapi model lama, ada kulkas ukuran sedang dan microwave, ada sofa, TV, dan meja makan di ruang tengah. Lokasi sekitar 20 menit dari pusat keramaian. Check in via link online di lobby. Kolam renang cukup luas."
"10.","Puspa","62","2026-01-05","5","Bermalam di ajak ananda..bagus kamar dan fasilitas nya .. standard.sebuah hotel, sesuai dgn klas nya. Cukup bagus dan nyaman. Overall aman n nyaman, Yg perlu di perhatikan adalah ada berapa pelayan di restoran yg harus di drill,lebih cepat tanggap dan pelayan yg sudah agak berumur agak sedikit lebih ramah lagi."
