"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Devita DA","85","2025-12-12","5","Libur tanggal merah awal September staycation di sini. Sebenarnya Cirebon bukan jadi tujuan utama, tapi karena cari hotel/villa mepet dan di hotel ini masih bisa booking, akhirnya kami sekeluarga menginap di sini. Saya pesan via website, pesan 3 kamar tipe superior. Kalau pesan di website bisa dapat disc untuk makan di restonya dan free voucher untuk kegiatan anak melukis/membatik (dgn catatan jangan lupa waktu book di website, masukkan jumlah anak yg ikut menginap). Kami juga sekalian request 2 complimentary untuk 2 kamar (bday dan baby moon)via website. Di hari H kami datang sebelum waktu checkin, karna hotel penuh jadi tidak bisa early checkin. Selagi menunggu disediakan welcome drink dan bisa sekalian menikmati fasilitas yg ada. Fasilitasnya sendiri banyak dan sangat kids friendly. Buat orang tua yg ajak anak staycation di Cirebon, hotel ini bisa jadi pilihan utama. Nggak perlu cari-cari tempat wisata, di hotel aja udah cukup. Selagi menunggu, anak-anak bisa diajak ke halaman luar hotel, ada kolam renang, lapangan basket, taman bermain dan mini zoo (free). Kamar hotelnya sendiri cukup luas, kamarnya bersih. Begitu masuk disuguhi complimentary cake sesuai request. Kolam renangnya sendiri ada sekitar 4 kolam. Kolam renang di sore hari cukup ramai, bisa sewa floaties juga (tapi karena angin sore besar, sering bgt floaties kebawa angin dan agak mengganggu orang yg benar-benar ingin berenang). Sore hari di kolam renang juga ada kegiatan aerobik bersama dalam air (ada instrukturnya juga) di salah satu poolnya. Malamnya di taman dekat kolam renang ada acara nonton film bareng. Disediakan beberapa bean bag, ada meja kursi panjang untuk makan, ada warung jajanan mini juga di area situ. Beberapa orang juga bawa snack sendiri untuk menonton film. Karena outdoor, malam hari dan lokasi hotelnya di area pantai (bukan yg dekat banget sih), tapi anginnya kencang banget dan dingin (wajib bawa jaket). Menu sarapan di hotel sangat bervariatif ada menu luar dan lokal, ada tempat makan khusus anak juga. Tempat makan sendiri indoor dan outdoor dengan view kolam renang. Rasa makanannya juga enak. Selesai makan bisa langsung lanjut aktivitas lain di hotel, gym, renang dll. Anak-anak lanjut melukis/mewarnai (bisa pilih melukis di gerabah celengan/boneka gipsum, tas, dll). Karena kami pesan di website jadinya free. Di hotel bisa menunggangi kuda juga, main panahan, main di taman dan bisa feeding animal juga. Komplit deh anak-anak senang. Overall, puas bgt nginep di sini, anak-anak happy. Pelayanannya oke, semua happy"
"2.","Teh Rahma","1","2026-01-05","5","Saya baru saja kembali dari menginap di Aston Cirebon Hotel dan saya harus mengatakan bahwa pengalaman ini benar-benar luar biasa! Dari saat saya check-in hingga check-out, saya merasa sangat puas dengan pelayanan dan fasilitas yang disediakan. *Kelebihan:* - Kamar yang bersih dan nyaman dengan pemandangan yang indah. Saya sangat suka jendela besar yang memberikan cahaya alami dan pemandangan kota yang spektakuler. - Pelayanan staff yang ramah dan responsif. Mereka selalu siap membantu dan menjawab pertanyaan saya dengan senyum. - Sarapan yang lezat dan variatif - Lokasi yang strategis dan mudah dijangkau. Hotel ini terletak di pusat kota, sehingga saya bisa dengan mudah mengakses tempat-tempat wisata dan restoran. Saya sangat merekomendasikan Aston Cirebon Hotel untuk siapa saja yang mencari tempat menginap yang nyaman dan berkualitas di Cirebon. Pelayanan yang luar biasa dan fasilitas yang lengkap membuat saya ingin kembali lagi. Saya juga ingin memberikan apresiasi kepada staff hotel yang luar biasa, terutama kepada Mas Zidan yang membantu saya dengan sangat baik orangnya ramah selalu senantiasa membantu. Terima kasih atas pelayanan yang luar biasa nya mas Zidan👍"
"3.","Yuanita Rahayu","34","2025-12-29","4","Beberapa kali ke Aston untuk driving golf, pertama kalinya kemarin menginap di hotelnya. Ambience dan kids activity nya menarik, worthed untuk stay. Service nya ya standar hotel Aston. Tapi ada yang buat saya cukup disappointed. Service dari gate keeper nya tidak mencerminkan service hotel bintang 4. (Oke karna ini 4, bukan 5, saya turunkan ekspektasi). Saya mau keluar hotel, dan sebelumnya di receptionist sudah saya tanyakan apakah perlu kartu akses untuk bolak balik. Dijawab ga perlu, karna nopol nya udah direcord. Pas di gate, Instead of menjawab “baik ibu, mohon tunggu sebentar, dan boleh dikonfirmasikan kembali ke receptionist terkait akses keluar masuk hotel” sembari saya mundurin mobil gitu. Karna saya juga dah mau sabar mundurin buat urus. Tapi staff nya bilang “coba siapa nama receptionistnya yang bilang boleh tanpa print barcode akses, tanpa ini gate ga bisa dibuka”. Kok kesannya kayanya ngedebat, karna saya ga hapalin juga nama mbak receptionistnya Bukannya fokus ke solusi. Dan akhirnya apa, bisa dia buka itu gate. Jadi maksudnya apa staff ini challenge pernyataan saya? Seolah saya ngadi-ngadi. Mohon di train lagi, how to handle case2 kaya gini."
"4.","Meta Alfitamae","77","2025-12-29","5","Pertama kali ke sini dan kesan pertama, kaget. Kaget karna rameee banget yg ternyata baru tau kalo ada 2 event berbarengan. Kaget karna pas pulang, di depan gerbang disambut oleh demo buruh. Kaget karna ternyata hotelnya sebagus ini. Dari kamar dulu, luas banget dan ada sofa. Amenitis lengkap, minibar lengkap. AC adem, view oke karna pas hadap kolam. Resto, oke sih. Makanan enak semua dan varian jamunya lumayan lengkap. Di bagian kukusan selain ada polo pendem, ada juga cilok. Ada sedikit kurang di egg stattion, saya minta 2 telur rebus yg direbus selama 3 menit, sampe saya selesai makan sekitar 40 menit belum ada 😁 Tapi gapapa, tertutupi oleh makanan lainnya. Kolam renang bersih dan ada 3 macam kolam. Ada mini zoo, ada area khusus untuk anak2, ada tempat untuk panahan. Lengkap. Parkiran mobil juga gede dan luas. Overall 9/10"
"5.","Nasywamaraya Natakusumah","2","2026-01-05","5","Nginep di Aston Cirebon overall nyaman banget. Kamarnya bersih, rapi, wangii. Staff-nya ramah semua dari check-in sampai check-out terutama kak maulid hihihi💗😬. Lokasinya juga strategis, deket ke mana-mana. Sarapannya paling aku suka, selain variatif pilihannya banyak tp rasanya ok banget."
"6.","Doran Ferdinan Sinaga","12","2026-01-05","5","Hotel Aston sangat direkomedasikan untuk tujuan bisnis dan liburan keluarga. Hotel ini ramah anak anak. Ada jadwal event yg bisa diikuti oleh anak anak dan gratis seperti lomba memghias kue, banyak trmpat bermain anak seprtilapangan bola basket , bila kaki dan juga ada mini zoo."
"7.","Wiwik Astuti","6","2025-12-29","5","Hotelnya sangat nyaman dan banyak kegiatan yang bisa di lakukan di dalam hotel. Kolam renangnya luas dan bersih. Dan bisa mencoba driving golf dengan fasilitas voucher yang diberikan saat check in. Next bila berkunjung ke cirebon, akan kembali, in shaa Allah. Terima kasih Aston Cirebon"
"8.","Ade Irma Suryani","7","2026-01-05","5","Proses Check-in disini sangat mudah dan pelayanan nya cepat, dan menu sarapan enak2 bangeeet serta lengkap. Acara malam tahun baru seru, cuma berbeda dari tahun2 sebelum nya aja.... Selalu ok menginap disini Aston Cirebon, terima kasih mbk Ririn🙏🏼🙏🏼"
"9.","Helen Mel","13","2025-12-29","5","Saya memesan 2 kamar dengan konekting room dan diberikan sesuai request. Krn ke cirebon menggunakan kereta, saya request di pick up di stasiun dan dijemput tepat waktu, begitu juga saat pulang diantar shuttle pihak hotel. Begitu jg ke mal ada shutter gratis dari pihak hotel. Hotel sangat kids friendly juga banyak aktivitas anak. Menurut saya ini salah satu hotel terbaik di kota cirebon. Krn saya pernah menginap di beberapa hotel lain di kota cirebon belum ada yg sebaik aston."
"10.","Fuchiyo Tan","1","2026-01-05","5","View and vibesnya chill banget, kamernya juga luas and sangat cocok for spend time with family Overall makanan dari setiap event or breakfast dinner cocok bangett Dan pelayanannya ramah sekali @evi"
