"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Elce Fintari","15","2026-01-05","2","Menginap di sini rasanya kenna prank.. Mulai dari room nya dan restaurantnya yang saat sarapan makanannya habis... Gak mampu lagi saya mendefenisikannya...1 lagi liftnya tunggu lebaran baru bisa turun ke lobby First impression kacau banget kamar yang kotor dan berdebu di tambah lagi toilet yang bau pesing. Keesokan harinya sarapannya gak jelas pada habis semua dan refilnya lama Meja yang kotor dan sepertinya staffnya juga bingung mau beresin dari mana problem solving stafnya kurang saat mendapatkan komplain,aku bener bener tidak nyaman dan semalam itu gak murah loh di high season order nya. OmG gak bakal ku ulang lagi dah"
"2.","Monica Deswina","5","2025-12-22","1","definitely not a 4 stars hotel. 1. nunggu kamarnya ready kurang lebih 25 menit, di lobby pun sofanya sangat berdebu dan bau. orang tua saya yang sensitif dengan debu langsung bersin2. 2. setelah nunggu kamarnya ready, dikasih access card untuk lift, tetapi access cardnya juga tidak berfungsi dan saya harus balik lagi ke resepsionis untuk tukar kartu. 3. kamarnya sangat luas, tetapi kamar sangat tua. kamar bau, sprei seperti tidak diganti, bantalnya per ranjang dikasih 2, tetapi 1nya warna KUNING benar2 kuning. 4. toilet sangat bau, bau pipa/ bau got. 5. saya sempat telepon resepsionis untuk meminta sendok, tetapi baru kali ini saya mendengar resepsionis seperti tidak ditraining SOPnya 😅 resepsionis seperti lg ngobrol sama teman nongkrong. 6. suasana seram & lokasinya sangat tidak friendly untuk traveler, lokasi berada di dalam gang gelap, jadi jangan harap keluar hotel bisa jalan2 cari makanan dengan enak."
"3.","Fendy Rakhmat Ardiansyah","22","2025-12-29","1","Pengalaman pertama saya Menginap di Hotel Bintang 4 di Jakarta yang paling tidak nyaman, Bangunan Tua dengan Pelayanan yg buruk saya ngegym tanpa sepatu langsung di tegur lewat Microphone dan langsung naik satpam nya, saya pernah menginap di Mercure Simatupang gak gitu juga cara mengingatkan nya, saya mungkin dari Kampung yaitu Kalimantan, tapi saya bukan yg pertama nginap di hotel"
"4.","Anisa Ashari","35","2025-12-29","5","Disini karena ada acara Kunjungan Industi, 2 Bed untuk 3 orang, mantep sih, luas banget kamarnya, fasilitas lengkap, dekat juga sama warung / minimarket.. Nyaman bangetttt"
"5.","Efa Widyastuti_Sukoharjo","5","2025-12-12","4","Rooms bersih, tapi nuansa coklat agak berasa bagaimana begitu. Kalau naik harus bantuan dari operators. Jadi kurang fleksibel. Pelayanan bagus ramah. Resto masakan enak. Spesial chef kimiko... Thank u for Ur kindness. So humbleee..."
"6.","Aries Wijaya","22","2025-12-29","5","Wooow GK ada yg d ragukan lgi dah udh cocok buat staycation disini tempat ny kamar bersih ,pelayanan ny bagus makan ny smua enakk 🥰🥰🥰"
"7.","Caitlin Maddie","1","2025-10-12","5","Pengalaman yang sangat memuaskan bisa menginap di best western mangga dua hotel ini. Saya mengetahui info penginapan ini dari tiktok. So far semua oke mulai dari pelayanan yang ramah, lobby yang luas dan kamar juga luas. Untuk sarapan variatif dan akses untuk kemana kemana juga deket bgt sih. Dengan harga terjangkau sangat worth it ya untuk staycation bisnis atau liburan."
"8.","Ilham","1","2025-11-12","5","Selama stay disini saya merasa nyaman bgt seperti rumah sendiri. Pelayanan staff yang ramah, makanan enak dan variatif, kamar luas dan view nya cakep bgt. Suasana sekitar juga tenang, cocok buat staycation sambil kerja hehe . Best bgt deh pokoknya"
"9.","beny bs","5","2026-01-05","5","Kamar luas double queen bed.. Good service.. Thanks to Chef Kalimi buat sushi nya.. langsung dibikinin euy.. mantap crunchy"
"10.","Glazzy","2","2025-08-12","5","Ku pesen lewat traveloka. Staffnya helpfull, aksesnya mudah, pesan kamar deluxe king dikasihnya executive krn lg ramai katanya. Air panas dan minibarnya oke banget. Ada freeparking. Staff di resto yg jaga stall waffle ramah sekali, namanya lupa huruf depannya bapak K kelihatan seperti chef senior, staff lainnya jg ramah kok. Klo nyari nyaman dan lg ada acara di ancol/jiexpo ini oke banget menurutku. Cuma minusnya liftnya lama dan colokan dikamarnya sedikit sekali, dan untuk makan besar breakfasnya kurang bervariasi."
"11.","NMahendra official","2","2025-10-12","5","Kamar luas dan bersih. Breakfast beragam dan staff ramah banget. Untuk fasilitas lain juga Oke banget. Walaupun hotel nya sudah lama tapi kebersihan semuanya sangat terjaga. Thankyou best Western mangga dua"
"12.","Rudy Fridian","8","2025-09-12","4","pesen room king executive, ac kurang dingin padahal ada dua, yg di plafon sama ac split, pintu kamar mandi yg sliding, tp goyang2 gitu seperti mau copot, sempet kejadian gabisa di buka."
"13.","khoirunnisa","1","2025-12-12","5","Hotel nya oke, chef nya lebih oke. Suka banget sama chef kalimi karena ramah sekali, apalgi kita dikasih pembelajarann untuk buat sushii, terima kasih yaaa chef kalimi ⭐️⭐️⭐️⭐️⭐️⭐️⭐️"
"14.","Peroza Puja","1","2025-10-12","5","Hotel nya strategis dekat akses belanja dan wisata. Kamar oke bersih dan nyaman. Lobi luas dan bersih serta staff yg ramah dan makanan saat sarapan bervariasi"
"15.","Rahmadil Taufiki","2","2025-09-12","5","Pengalaman menginap yang luar biasa! Dari saat saya tiba hingga saat saya check-out, setiap anggota staf ramah dan membantu. Kamar bersih dan nyaman, dan fasilitasnya sangat baik. Saya pasti akan merekomendasikan hotel ini kepada siapa pun yang mengunjungi daerah ini."
"16.","michael chandra","1","2025-12-12","5","Overall best service here, kids friendly banget. Ada kids event acara masak bersama chef Kalimi, petugas2nya jg ramah. Top services"
"17.","Kolat Feka","1","2025-10-12","5","Pengelmaan yg luar biasa setelah nginap bersama keluarga di hotel ini,pelayanan staf sangat Rama dan sopan,makananya berferiasi,kamarnya bersih dan Nyaman.. BEST WESTERN MANGGA DUA HOTEL IS THE BEST..👍"
"18.","shiyas Shiyas","1","2025-07-12","5","Liburan yang sangat berkesan stay 3 malam,kamarnya luas dan best view,sarapannya enak dan banyak menunya juga,kolam renang di lantai F1 dan bagus juga view-nya ada tempat buat anak anaknya juga.check in cepat dan sesuai bookingan.terima kasih Best Western Hotel"
"19.","Yuli Anti","2","2025-09-12","5","Kamar luas dan bersih. View nya kelihatan bgt karena kamarnya di lantai atas semua. Lokasi strategis dan dekat dgn pusat perbelanjaan. Recomended👍"
"20.","Felis Ivana","2","2025-09-12","5","datang udah capek krna abis jalan seharian, pas sampai hotel disambut ramah security dan resepsionis. Kamarnya wangi, rapi, dan bersih. Air panasnya stabil, nggak drama. Sarapannya ada kopi yang enak, bikin melek seharian. Worth it banget sih buat harga segini. Huhu bakal balik lagi kesini. Pertahankan servis nyaa 😊 😊"
"21.","Avenih","8","2025-12-12","1","Akses lantai naik, harus mintantolong resepsionis. Ac kamar jg rusak... Seringbmati sendiri, susana lorong kamar horror, kursi kamar debuan"
"22.","Fitrah Nur Mukharobin","3","2025-11-12","5","Hotel kids friendly setiap Minggu ada kelas memasak, dan saat ini dapat materi membuat sushi, chief nya langsung dari yg punya pengalaman sekolah di japan"
"23.","Setiawati Wati","1","2025-11-12","1","Peristiwa terjadi hilang sepatu di apartemen bestwestern mangga dua abada kamar lt 16 no 32 telah hilang sepatu sport sneakers wanita ukuran 40 dgn harga 500ribu dicuri oleh petugas orang dalam itu"
"24.","Dessy Waty","1","2025-10-12","5","Pelayanan top bgt. Lobi luas dan bersih bgt. Kamar nya cakep, rapi, bersih pokoknya good deh. Untuk SPA nya juga bersih banget dan rapi. Recommend untuk yg bawa keluarga deh"
"25.","Bangun Budi Utomo","1","2025-12-29","5","Cheff nya ramah, Mr. Khalimi keren, kasih hadiah ke ank2, humble, termasuk tim restonya"
"26.","Fachly Ardhian Nazar","2","2025-08-12","5","Tiap ke jakarta utara selalu balik lagi ke Best Western Mangga Dua dari 2023 karena satu satunya hotel yang aku dan keluargaku percaya, best service dari all staffs mulai dari front desk, restaurant, dan housekeeping. Terimakasih untuk best servicenya, keep it up and we'll be back!"
"27.","Azkia Salsabila","7","2025-11-12","5","Pelayanan bagus dan mewah, trus juga staff helping banget, lokasinya sih cukup enak cuma sekitarnya kurang strategis aja tp so far good"
"28.","ratu zharra","6","2025-07-12","5","Kamar luas dan bersih dengan view yg indah. Pelayanan ramah dan kolam renang sangat luas. Gym nya juga lengkap banget. Dan akses wisata juga dekat, aku kemaren ke Ancol cuma 7 menit aja 🥰 Terimakasih best western mangga dua, jumpa lagi dilain waktu."
"29.","jaya Pura","1","2025-12-22","4","saya menginap disini pas kunjungan industri baru sadar tenyata ga ada amunites nya dan perlengkapan kamar mandi rugi banget tenyata jujurrrrr"
"30.","Nurul Kamila","3","2025-08-12","5","Secara keseluruhan, saya cukup puas dengan pengalaman menginap di Hotel BW Mangga Dua. Hotel ini memiliki lokasi yang strategis, kamar yang nyaman, dan fasilitas yang cukup baik. Jika Anda mencari hotel yang nyaman dan terjangkau di Jakarta, Hotel BW Mangga Dua bisa menjadi pilihan yang baik."
"31.","Gabriela Yohana C Lubis","2","2025-11-12","5","Good services, kids friendly, ada cooking class for kids tiap minggu. Chef yg ngajarin cooking class ramah banget"
"32.","Andriansyah chanel","1","2025-10-12","5","Kamar luas bersih dan rapih AC sangat sejuk pelayanan sangat ramah cocok untuk keluarga liburan dekat ke ancol dan kota tua"
"33.","Elgina Asyifani","3","2025-12-29","5","Tempat stategis, sarapan enak, staff hotel ramah2 dan kids friendly 🌟🌟"
"34.","Sergi Aditya Putra","67","2025-11-12","5","Lagi nyari hotel dkt pusat belanja, nemu Best Western ini. Gk nyesel sama sekali! Lokasi mantap, mau ke mall tinggal nyebrang. Malamnya sempet nongkrong di lobi karena cozy, staff juga nyapa😅👍🏻"
"35.","Dimas Dwi Kurniawan","6","2025-08-12","1","Walaupun sudah menggunakan pakaian renang, anda tetap disuruh buka baju renang anda, sedangkan yang menggunakan t shirt biasa tidak dikomen, tidak rekomen untuk menginap disini, pantesan sepi pengunjung"
"36.","Vita","1","2025-12-12","5","Menu nya enak chef dan staf nya ramah semua, terutama chef kalimi Oh iya, View disini juga bagus bangett"
"37.","afra basha","5","2025-07-12","1","Manajemen nya jelekkkkk banget banget banget. Ga pernah sekecewa ini nginep di hotel. Pas ke resepsionis, kamarnya belum siap, pelayanan lamaaa bangettt, dan pas aku masih di resepsionis tiba2 datang orang2 yg komplain bahwa gaada handuk, sabun, dan toileteries lainnya. Tolong ditingkatkan yah, ini ga profesional banget."
"38.","wira sanjaya","1","2025-12-12","5","Setiap ke Jkt nginap di Best Westrn, stafnya ramah-ramah, makanannya enak kokinya Andal....muantal."
"39.","Revi Zahra","2","2025-08-12","5","Pengalaman menginap di hotel Best Western mangga dua Jakarta sangat mengesankan pelayanan nya sangat puas dari kedatang disambut oleh mas Revi staff yang ramah & Sopan. Hotel nya bersih & luas."
"40.","Ivon Sandya","21","2025-06-12","4","Hanya menginap semalam. Dan besar kemungkinan tidak akan kembali menginap lagi disini 😅 Hotelnya bener2 gabung apartment. Nunggu lift ke kamar lantai 31 lumayan lama jg. Check-in sekitar jam 18-an hbs perjalanan 4 jam, kondisi cape. Lalu menemukan kamar banyak semut, meja kotor, ac tidak dingin. Mau komplain keburu cape duluan tidur."
"41.","Arnoldus Bramantyo","49","2025-04-12","5","Kamarnya lumayan bagus, fasilitas ok, breakfastnya banyak macamnya walau ada beberapa yang kosong atau dingin, tapi bisa dimengerti karena nginep pas bulan puasa. mungkin kebetulan sedikit tamu yang ga puasa, jadi agak susah manage kualitas dan strategi refill nya.. in overall masi bagus banget kok.. di sisi fasilitas, MUNGKIN kebalikannya, waktu menginap pas bulan puasa, jadi ga banyak yang berenang dan ke gym. tapi hotel ini fasilitasnya sharing dengan apartemen, jadi ada kemungkinan sehari2nya bisa ramai di hari biasa(?) kalo mau liat videonya bisa ke youtube saya, di sini posting fotonya aja ya"
"42.","Andri Ansyah","1","2025-10-12","5","Pelayanan staf hotel sangat memuaskan dan kebersihan kamar sangat bersih dan rapih, AC nya sangat sejuk kamar sangat luas"
"43.","Sinta","12","2025-12-29","5","staff nya baik semua, apalagi chef kalimi bintang 5 ⭐️"
"44.","Gelar Elsya Aprillia Monica","1","2025-12-12","4","Breakfast nya overall enakkk semuaa, makanan indo western adaa, mantap🔥✨"
"45.","Leny kd","4","2025-07-12","5","kamar nya luas, swimming pool nya bagus, hotel nyaman utk klrga, dkat kalau mau ke area ancol, breakfast enak bnyak variant, pelayanan oke, nice 👍🏻"
"46.","Andi Bastian","78","2025-07-12","5","Hotel ini memiliki akses jalan masuk yang agak sempit karena tidak berada pada jalan utama.namun hotel ini istimewa karena lumayan megah dengan 33 tingkat.separuhnya adalah apartemen dan sisanya adalah kamar hotel.suasananya nyaman dengan pelayanan yang ramah.staff resepsionisnya ramah dan sangat membantu apabila tamu mengalami kendala.check in juga sangat fleksibel karena dapat segera menempati kamar yang dipesan sebelum jadwal check in resmi.saya waktu itu dapat segera ke kamar pesanan jam 12.00 padahal chek in harusnya jam 14.00 wib.saya sangat mengapresiasi hal tersebut."
"47.","Bhakti Prambanan","1","2025-07-12","5","Check in 30 Juni 2025, dapet kamar yg good view di 3209 Salah satu kamar superior alhamdulillahnya dapet bathub dan pemandangan nya kamar ini kaca semua pas malem2 bener bagus sih anak sya suka banget Pagi2 kita berenang dan kolam renang nya ramah bgt buat yang punya anak kecil Kedalaman nya ada yg 40 cm dan 60 cm Cocok banget buat berenang keluarga kecil yg lagi liburan sekolah"
"48.","Rian Leonardo","1","2025-07-12","5","Perjalanan bisnis saya sangat memuaskan karena Hotel Best Western Mangga Dua, kamar sangat nyaman dan luas, sarapan yang variatif dan enak. Resepsions sangat membantu apabila saya butuh sesuatu. Harga tidak mahal sesuai dg fasilitas"
"49.","Kalimi Kalimi","3","2025-02-12","5","Saat pertama check in di best western mangga dua .. disambut dengan ramah oleh staff FO ,, Di beri info tentang fasilitas hotel seperti : Swimming pool di lantai F1 . Gym di lantai F2. Kids corner dilantai F1 . Spa dilantai 30, no 35 . Jam Breakfast hari Senin - Jumat Mulai dari jam 06.00 - 10.00. Hari Sabtu & Minggu Mulai Jam 06.00 - 10.30. Suasana kamar bagus terutama, Kebersihan Kamar baik . AC nya dingin . Kamar mandi juga bersih . Meja bersih . Wife juga bagus sinyalnya. Kebetulan dapat view kamar pemandangan yang meriah dan dengan lampu yang indah pada malam hari . Restoran staff nya ramah sekali . Kebersihan restoran sangat baik . Setiap tamu datang di sambut dengan senyum. Ada staff yang menyambut dengan bahasa jepang sangat luar biasa. Breakfast menunya sangat variatif . Ada cooking live seperti . 1. Stall egg corner. 2. Stall Wafel & Pan cake. 3. Stall noodle / Indomie. 4. Serta Stall Japanese sushi yang tidak semua hotel ada pada saat breakfast . Untuk stall Japanese chef sangat ramah sekali sampai anak saya setiap mau liburan selalu ingin ke best western mangga dua ingat selalu di sajikan menu Temaki Cranchi rasanya kriuuuk dan enak sekali . Disamping itu juga dekat dengan Ancol , Kota Tua dan Monas. Serta ada cooking class bersama chef Kalimi . Setiap Hari Minggu Jam 10.00. Ada swimming pool cocok sekali untuk anak -anak dan keluarga juga sangat senang . Saya sangat terkesan dengan pelayanan Best western mangga dua. Semua staff ramah dan tanggap setiap ada permintaan tamu . Alias gercep. Dari mulai check in sampai check out sangat luar biasa. Best western mangga dua is the best ."
"50.","Arizal Firmansyah","3","2025-09-12","5","Mantap sekali, pelayanan sangat ramah, ruangan serba bersih dan rapi. Sarapannya enak. Pegawainya sopan banget"
"51.","Jeslin Kartika Putri","7","2025-07-12","5","Sangat memuaskan menginap disini. Staff helpfully dan ramah. Area lobby yang luas, restoran dengan makanan yang variatif dan enak semua. Kamar nya juga bagus, bisa liat city light malam hari😍 next time akan mampir kesini lagi❤️"
"52.","Safita Putri","1","2025-10-12","5","sarapan enak kamar bersih semua makanan enak enak dan lobby nya luas banget all staf ramah semua"
"53.","Diana Carolina","2","2025-07-12","5","Lobi sangat luas dan bersih, receptionis sangat membantu dan ramah, kamar luas dengan harga yg tidak mahal, bersih juga. Oh iya menu sarapan banyak dan enak. Rekomendasi dg harga yg tidak mahal"
"54.","Achmad Solmi","1","2025-10-12","5","Pelayan sangat memuaskan, kamar luas, rapih dan bersih cocok untuk keluarga berlibur"
"55.","doni wiedyananto","5","2025-07-12","5","Yayyy...kembali lagi menginap di Best Western Mangga Dua Hotel. Kali ini lebih merasa seperti rumah sendiri, pas nginep dapat tulisan welcome di mirror, serasa diulangtahunin sama dapat welcome cookies. Kamar yang saya tempatin luas dan AC nya mantapp dingiinn sejukk, tidur nyenyak bangett apalagi udara jakarta lumayan panas. Kamar bersih dan pas minta setrika, cepat banget datangnya. Excellent service!!! Thank you Best Western Mangga Dua..."
"56.","Ajeng Suci Rahayu","2","2025-09-12","5","bagus recommends banget buat acara keluarga yg mau ke ancol, staf nya jga pada oke💥❤️‍🔥💞💖💖🩵🤙🏻"
