"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Nedya Hestika","183","2025-10-12","1","Ga cocok untuk jadi bintang 4. Kalau interior jadul tapi terawat sih ok. Tapi ini ga terawat. Check in jam 3an. Dapat kamar sekitar jam 4 sore. Masuk kamar 1705 panas banget ky' di sauna, sampe sesak nafas rasanya. Padahal udah ada kartu kunci yg terpasang sebelum masuk. Ditunggu beberapa menit masih panas. Tekhnisi masuk untuk benerin. Ternyata perlu waktu lumayan lama. Telp ke recepsionis minta ganti kamar, diminta menunggu konfirmasi. Sampao 3x telpon jawabannya masih sama. Padahal sudah 30 menitan dibenerin Tekhnisi itu AC masih bermasalah. Akhirnya milih turun ke lobby. Masih diminta menunggu juga. Sudah jam 5 sore. Saya dan teman saya milih keluar hotel dulu. Sampai hotel lagi jam 6 lewat, dikasih kamar 1703. Itu kamar pas di depan kamar yg tadi. Kenapa ga dari awal aja coba dipindah. Selain AC, TV juga pilihan tayangannya terbatas, ga ky' bintang 4. Air di kamar mandi berbau, tidak fresh. Dikamar ada kulkas mini yg tidak langsung dinyalakan. Ada tulisan untuk telp recepsionist kalau mau dinyalakan. Saya telp, eh diminta nyalain sendiri pasang colokannya di belakang kulkas. Jam 8 malam turun mau titip ice gel di freezer hotel (karena kilkas dikamar tidak ada freezernya). Ke lobby sambil rencana mau keluar hotel makan malam. Sampai di lobby staffnya cuma 1 orang. Terus katanya antar ke lt.7 saja. Muka saya udah terlalu masam dan makin kesal jadi nada bicara saya udah ga enak waktu saya bilang saya mau keluar hotel, ribet banget harus ke lt7 dulu. Akhirnya di ambil sama recepsionis dan dibuatkan tanda penitipan. Lokasi sih strategis, ada minimarket di samping lobby, ada AW dan mie gacoan di dekat hotel. Tapi pengalaman nginapnya bikin saya ga berminat untuk balik lagi ke hotel ini."
"2.","muky muky","6","2025-12-29","5","Menginep disini sangat menyenangkan, kamar bersih, fasilitas: parking, pools and gym, pelayanan sangat bagus, lokasi strategis. Oh ya, pas kedatangan dapat welcome drink dan complementary cake pas sampe kamar. Very Worthed."
"3.","gea:]","48","2025-12-22","5","Suka sekali menginap di hotel ini, sudah 3 kali menginap di hotel ini. Lokasinya cukup strategis dekat dengan byk tempat makan, di sebelah lobby hotel ada A&W restaurant, alfamart dan coffee shop, sebelah hotel ada mie gacoan dan fore. Mall jg tidak jauh dari hotel, tampak pula masjid agung dari hotel yg dapat ditempuh hanya dengan berjalan kaki sekitar 30 menit. Kamar di hotel ini bersih, air hangat lancar, kolam renang bersih yang berada di lantai 8 dengan view kota yang cakep dan yang tidak ketinggalan layanan dari staff yang ramah. Untuk sarapan menu cukup bervariasi dan enak juga."
"4.","Arby Winton","73","2025-12-15","4","Menginap dari tanggal 8-10 Desember 2025, menggunakan kamar non smoking tapi ada asbaknya (bingung), untuk ruang kamar cukup luas dengan tambahan sofa, AC kamar juga dingin, dapat minta sajadah, air panas juga cepet, ada pool juga dan menu sarapan cukup banyak dan cukup enak, oia disini dapatnya 1 pax ya bukan 2 pax, jadi tolong pastiin yang mau menginap dapat 1 atau 2 pax, berbeda dengan hotel lainnya, untuk lokasi dibawah ada resto AW, ada alfamart, sebelah ada fore, counter samsung dan ada mie gacoan, namun untuk ke tengah kota cukup jauh sekitar 8-10 kilometer."
"5.","Lia Khanifa","19","2025-12-29","5","Kamar kurang kedap suara, soalnya kedengeran gedebak gedebuk dari kamar sebelah Lantai licin, kalau kekuar kamar mandi harus bener2 kering kaki nya Kebetulan AC kamar kita kemarin mati dan panas, tp gercep waktu laporan kendala AC, bapak2 tehnik nya juga lsg benerin, cuma ruang AC nya masuk ke dalam kamar jadi agak ga nyaman aja, soalnya lumayan lama benerinnya"
"6.","Defa","24","2026-01-05","5","Kamar sangat nyaman, layanan terbaik, lokasi yang sangat mudah untuk dikunjungi, cocok untuk tempat istirahat setelah melakukan perjalanan bisnis dengan view kota surabaya"
"7.","Widia Devi","60","2025-12-29","5","Resepsionisnya ada satu cewek yang biasa aja ngga begitu ramah. Kamar lumayan oke cuma viewnya aja ke sawah. Saya pingin yang view ke jalan raya."
"8.","MOCH JASIN","90","2025-12-29","5","dengan harga segitu, fasilitas memuaskan. Suatu saat akan menginap disini kembali. Ada cake selamat datang. Di dekat lobi ada minimarket dan resto fast food"
"9.","Brainer Last","184","2025-12-12","5","Saya menginap di hotel ini saat menghadiri acara di Surabaya. Awalnya saya salah memilih tanggal check-in, dan baru menyadarinya ketika tiba di hotel. Namun, seluruh staf sangat membantu dan ramah dalam menangani situasi tersebut. Saya sebenarnya memesan kamar dengan single bed, tetapi karena kesalahan tadi, kamar tersebut sudah penuh dan saya dialihkan ke kamar twin bed (sesuai informasi aplikasi). Beruntungnya, staf hotel segera membantu dan akhirnya saya tetap mendapatkan kamar dengan single bed seperti yang saya butuhkan. Pelayanannya cepat, ramah, dan sangat profesional. Saya merasa aman dan nyaman selama menginap di sini. Hotel ini benar-benar recommended!"
"10.","Erry Afiliandi","219","2026-01-05","5","Lokasinya strategis dan pelayanannya bagus. Bisa lihat view kolam renang yang menghadap ke jalan raya a. Yani surabaya"
