"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","tama pratama","1","2025-11-12","5","Hotel strategis dkt dengan makan lokal, hotel sangat luas kamar ok bersih dan clean, untuk staff sangat ramah , saat check in disambut dengan receptionis wanita baik"
"2.","albert satria","78","2025-09-12","1","Sebetulnya hotel lama yg bagus cma sayang bgt lift semuanya rusak. Yg bawa koper repot bgt. Perlu diperbaiki management waktunya"
"3.","Merly Brando","1","2025-11-12","5","Kamar luas, lokasi strategis banyak makanan disekitar hotel,dekat pantai & airport"
"4.","Ida ayu Candra kirana","3","2025-08-12","5","Puas banget nginep disini,all stafnya ramah,harga terjangkau,menu breakfast nya enak,kamarnya nyaman,depan banyak tempat belanja,dan dekat ke pantai Kuta.next kalau ke Bali bakal nginep disini lagi 🥰🥰 thanks best western resort Kuta 🙏🏻💕"
"5.","Lings Fashion","3","2025-11-12","5","Best hotel in the kuta area😍 Hotel nya bersih dan nyaman, akses kemana-mana dekat, resepsionis nya ramah terutama yang perempuan Best lah pokok hotel ini😍😍"
"6.","Minimi Official","1","2025-11-12","5","Lokasi yang sangat strategis untuk liburan, hotelnya sangat bersih dan nyaman, staff nya sangat ramah🥰"
"7.","E Ar","6","2025-05-12","5","Excellent hospitality, great service, friendly staff 👏🏼 highly recommend Sudah dua kali stay disini dan tiap stay bisa seminggu dan tidak pernah kecewa. Waktu check in waktu masuk kamar sudah ada welcome gift nya di meja. Terima kasih banyak pak Ivan.. 🙏 Kamar bersih dan dibersihin tiap hari. Sprei, bedcover dan sarung bantal tiap hari diganti. Tiap pesan makanan yang sesuai request selalu disediakan. Tiap ketemu dengan humble dan warmly selalu disapa GM - Pak Ivan & Pak Weldi. Dari FO sampai Kitchen - Restaurant staff semuanya ramah. Makanan yang disediakan juga bervariasi, (best) western dan Indonesia. Menu sarapan paling favorit selama stay disana omelette, buah, multigrain dan Kaffee Latte. Tiap selesai sarapan anak senangnya langsung berenang, santai sampe siang. Tidur siang anak pun nyaman dan nyenyak karena tidak berisik. Abis berenang bisa pesan makanan room service. Menu paling favorit chicken parmigiana ❤️❤️❤️. Anak saya puas banget makannya. Senang bisa habiskan waktu liburan disini. Semoga liburan selanjutnya masih bisa disambut dengan hangat oleh Pak Ivan dan Pak Weldi dan staff-staff yang lain."
"8.","Tuu Dika","22","2025-11-12","5","Hotel nyaman kolam sangat besar, lokasi dekat dengan bandara hanya 10menit"
"9.","Reena Olala","29","2025-07-12","5","Lokasi deket pantai kuta, tinggal nyebrang aja, mau ke mall juga dekat bisa jalan kaki juga. Kamar bersih bgt, pelayanan oke, makananjuga enak2, keamanan sangat terjaga."
"10.","Anix Handiki","9","2025-11-12","5","Breakfasnya kurang sate ,pdhal satenya enak bgt pdhal lngganna tiap minggu nginep dsni"
"11.","miftahhulhuda hulhuda","48","2025-08-12","5","Pernah disini 2015 liburan bersama keluarga 7 hari . Menu Sarapan yg berkesan.. trimakasih.."
"12.","martinus kim","907","2025-04-12","5","Lokasi dekat bandara ngurah rai hanya 10 menit dgn kondisi lalu lintas lancar ya.Reception cekatan jadi proses check in lebih cepat,kamar nya cukup luas,ac dingin,tv cable,ranjang ok,kamar mandi toileties lengkap,ada bidet dan ketle buat masak air dgn dilengkapi kopi/teh dan gula. Ada kursi bis buat santai juga,harga sesuai. Sarapan menu,pastry,salad,beberapa pilihan kopi,omlette cukup enak."
"13.","Lisda Handayani","9","2025-01-12","5","Hotel nya cukup nyaman, pilihan breakfast nya juga lumayan. Kami dtg malam hari pas hr hujan ,saya diberi kamar paling ujung yg terlihat sangat gelap banget, komplen ke staf resepsionis nya , di tanggapi dgn wajah dan kata2 yg gak ramah sama skali. Untung nya pak ivan manager hotel nya sangaaaat ramah dan baik ke stiap tamu hotel, dia menyapa kami distiap pagi ketika kami sarapan. Dan kami di antar oleh pak ivan sendiri ke bandara di hari yg hujan dia berbasah2 memberikan service yg terbaik untuk kami. Makasih ya pak ivan. 🌹"
"14.","Diah Radhita","5","2025-01-12","5","Nginep disini berasa damai, ga berisik, padahal deket sama jalan raya. Buat kamarnya luas, enak dan tentu selalu bersih. Fasilitasnya lengkap, AC dingin, wifi kencang, air panas selalu ada. View-nya juga enak, kebetulan saya yang ngadep kolam renang. Stafnya Ramah, selalu disapa kalo lagi papasan. Pokoknya pelayanannya 10/10 Makanannya Enak, Tapi... Makanannya lumayan enak, tapi pilihannya agak terbatas. Favorite saya fuyung hai😋✌🏻"
"15.","Nafikah Kurnia (Fika)","1","2025-01-12","5","Best Western Resort Kuta: Sebuah Oasis Tenang di Tengah Kemeriahan Best Western Resort Kuta menawarkan pengalaman menginap yang menyenangkan dengan sentuhan kemewahan di tengah hiruk pikuk Kuta. Lokasinya yang strategis, hanya beberapa langkah dari pantai, memudahkan akses ke berbagai atraksi dan pusat hiburan. Keunggulan: - Kamar yang Nyaman: Kamar-kamarnya luas dan bersih, dengan desain modern dan fasilitas yang lengkap. Balkon pribadi menawarkan pemandangan indah ke arah laut atau taman, menjadi tempat yang ideal untuk bersantai dan menikmati suasana tropis. - Kolam Renang yang Menyegarkan: Kolam renang outdoor yang luas dan bersih menjadi tempat yang sempurna untuk berenang, berjemur, atau sekedar bersantai di tepi kolam. - Sarapan Lezat: Menu sarapan yang beragam dan lezat, dengan pilihan hidangan lokal dan internasional, akan memanjakan selera Anda. - Pelayanan Ramah: Staf hotel yang ramah dan profesional siap membantu Anda dengan segala kebutuhan. Kekurangan: - Lokasi yang Ramai: Lokasinya yang strategis di tengah kota juga berarti ramai dan bising. - Fasilitas Terbatas: Beberapa fasilitas seperti gym dan spa mungkin tidak selengkap hotel bintang lima lainnya. Kesimpulan: Best Western Resort Kuta adalah pilihan yang tepat bagi Anda yang mencari hotel nyaman dan strategis di Kuta. Hotel ini menawarkan pengalaman menginap yang menyenangkan dengan harga yang relatif terjangkau. Saran: - Jika Anda mencari ketenangan, sebaiknya pilih kamar yang menghadap ke taman. - Manfaatkan waktu luang Anda untuk menikmati fasilitas kolam renang dan spa. - Cobalah untuk mencicipi hidangan lokal di restoran hotel."
"16.","Johanes Dominggus","6","2025-04-12","5","Ambil paket nyepi. Suasana hotel enak, seperti di rumah, bukan di hotel. Staf yg ramah. Kamar besar utk kami yang 2 dewasa, dan 2 anak. Sukses terus"
"17.","luh gede","7","2025-01-12","5","Hotel yg sangat bagus, nyaman, manajer n para kru staf sangat baik n ramah , makanannya sngat enak , swasana seperti rumah sendiri,,, senang x sy masih bisa kembali menginap di best Western resort kuta,,, terimakasih banyak atas semua servisnya selama sy menginap,,, akan sllu menjadi pilihan untuk sy staycation"
"18.","erry watie","13","2025-01-12","3","Hotel yg sdh terlihat tua. Ada bbrp part yg perlu maintenance supaya ga terkesan kotor dan berdebu. Ken bangunan tua 'aura' nya agak gimana.. gitu apalagi klo lewat lorong malem2. Sdh 2 mlm menginap, selalu ga ada handuk dan keset d kamar. Emang setiap bersihin kmr ga langsung diganti yg baru apa. Line telp d kmr ga berfungsi. Sdh komplain trs, bilangnya akan dicek. Tp fa dibenerin jg... kalo emang ga ada better bilang aja. Drpd telp jd pajangan aja. Klo mo telp resepsionis hrs pke hp telpon k front service"
"19.","Rendi Herdiansyah","4","2025-01-12","5","Pengalaman pertama saya menginap di hotel ini bareng keluarga saya, tempat nya tenang , sarapannya banyak pilihan, kamarnya luas dan bersih. Pelayanan nya bagus sekali , staf nya juga sangat ramah. Overall okee bangett dehh👍"
"20.","Tips Receh","11","2025-01-12","5","Kami menginap tgl 21 Februari 2024. Dapat kamar deluxe view kolam. Tiap kamar ada balkon. Suasana hotel cukup tenang. Untuk breakfast, menu dan rasanya standard untuk lidahku. Kolam renang cukup luas dan nyaman. Pelayanan super ramah dan akrab. Bagi yg Muslim, ada cukup banyak tempat makan halal dekat hotel."
"21.","Yanuar Putri","21","2025-01-12","5","hotelnya bagus, bersih, nyaman, pas dikamarku AC nya ga bisa yg duingin gitu tapi tetep nyaman, kolam renangnya juga bersih, menu breakfast enak, deket indo sama alfa, recommended nginep disini, overall nginep 3 malam disini nyaman bgt👍🏻"
"22.","Nuna Mulia","3","2025-03-12","5","Selama 6 hari Room 💯⭐ Setiap hari diganti selimut dan handuk pelayanan pegawai ramah semua bagus✅ Lokasi 💯⭐ Lokasi strategis dekat kemana2 semua lengkap Alfa mart Indomart Jajanan Jakarta Tempat oleh2 dekat semua✅ F&B 💯⭐ Yang bikin mau balik lagi karena setiap mau sarapan disapa ramah hangat oleh Pak Ifan Makanannya enak semua dan lengkap✅ OVERALL service memuaskan 💯💯💯⭐⭐⭐ Terimakasih banyak Best Western Resort Kuta Sehat2 Pak ifan sukses terus dan berkembang Best Western Resort Kuta"
"23.","Leonardo Deodatus","5","2025-02-12","5","Very pleasant hotel to stay!! Tempatnya bersih, nyaman, dan di tambah pemandangan indah kota Bali. Mantep deh pokoknya"
"24.","SURYA DINATA","7","2025-03-12","5","Hotel dengan fasilitas memadai dengan pelayanan yang cepat, ramah dan harga terjangkau Terutama Bpk Pande , dia melayani bukan karena kerja, tapi melayani dengan hati Semoga kedepan bisa dipertahankan"
"25.","Andrew Leonardo","159","2025-01-12","4","Lokasinya di kuta, dekat sama bandara. Parkirannya tersedia luas dan bisa nampung banyak, terletak dijalan yang lumayan besar. Depannya banyak kulineran dan 3 minimarket. AC nya dingin, kamarnya luas, pelayanan dari semua staffnya bagus. Bathupnya kurang berfungsi dengan baik, dan dispenser sabunnya juga kurang berfungsi dengan baik. Hanya ruang makannya yang sedikit sempit jadi terkadang kita ga kebagian tempat saat ingin sarapan."
"26.","Nina Keris Dinasari","8","2025-02-12","1","Dibilang resort sepertinya bukan Ga ada lahan parkir Bangunan model lama Paling takut kalo kamar mandi ada Bath up nya Sabunnya habiss😂 malas bilang karna cuma transit saja Lantainya basah tidak langsung di pel Sampai hotel jam 1.30 posisi staf cuma 1 orang Alhamdulillah bli-nya ramahhhh Untuk pegawai ramah2 Untuk sarapan lumayan"
"27.","Gabriel Rizkiawan","78","2025-01-12","3","Ketika kami datang posisi cuaca sangat panas, tidak ada staff yg datang membantu sekedar menurunkan barang. Security hanya melihat saja dari tempat teduh. Kamarnya cukup luas tetapi ada suara ac outdoor yg cukup mengganggu tidur malam kami. Sarapan cukup standar saja Lokasi sangat strategis Sisanya ya hanya untuk hotel transit saja"
"28.","Choir Nisa","19","2025-02-12","4","tempatnya nyaman, kamar luas tp syg AC nya krg dingin, makanan enk banyak variasi nya ada kolam renang bersih"
"29.","YanS 17","1","2024-01-12","5","Kamarnya luas dan nyaman. AC nya dingin, walaupun pada awalnya tdk terasa dingin, namun ketika diinfokan, petugas hotel segera merespon dengan baik dan cepat.. Kamar mandi luas namun pada saat kami datang, tdk ada handuknya karena menurut petugasnya, handuk masih di Laundry.. Pelayanannya ramah dari awal datang sampai akhir pulang.. Breakfast lumayan banyak pilihannya, hanya untuk rasanya mohon diperhatikan kembali.. Semoga tahun depan bisa berkunjung kembali ke Best Western Resort Bali.. Semoga ke depan lebih baik lagi.. Terima Kasih Banyak 🙏.."
"30.","Yasfi Syawaludin","1","2025-01-12","5","hotel nya sangat bagus cocok untuk ketika berliburan, staff nya sangar ramah dan sopan, kamar sangat luas dan bersih du rekomendasi banget untuk tinggal di hotel ini keren suasana nya sejuk pemandangan yang indah"
"31.","Syafira Mutiara","5","2025-01-12","5","Hotel yang nyaman dan staffnya terbilang ramah.. untuk hotel ini makanannya pun enak... mungkin kalau balik kesini bisa menginap disini lagi... harganya pun masih termasuk range ok👍🏻"
"32.","Violen Ong","1","2025-01-12","5","Dekat sama discovery mall meskipun harus lewati kampung tapi kalo jalan deket . Kamarnya bagus meskipun hotel tua jadi kurang msalah colokan listrik masih krg rapi . Tapi kamarnya luas banget . Intinya kalo udah nginap di sini pasti bakalan dtg lagi ."
"33.","Verdi Busra","140","2024-01-12","5","Hotel lama tapi masih tetap bagus, kamarnya besar, lengkap dengan mini kulkas dan kursi besar serta meja di kamar. AC dingin. Kamar mandi dengan bath tube yg besar. Kolam renang bagus. Lokasi strategis di daerah kuta. Banyak penjual makanan dan mini market di sekitar hotel. Cuma parkiran mobil tidak begitu banyak. Untuk sarapan pagi standar hotel dengan rasa yang enak. Overall puas nginep disini.."
"34.","d chandrasari","83","2024-01-12","2","Dalam 1 mlm pindah kamar 3x,baru di kmr terakhir menemukan kondisi kamar bersih dari debu dan SC nya dingin. Awal datang diupgrade kmrnya udah seneng...pas masuk...di lantai 3,kamar bau debu dan panasss...nyalakan AC dalam 5 menit ga kuat...udah mulai kecewa,buat saya yg alergi debu terasa bgt kmrnya gak nyaman. Minta ganti...diksh kamar di lantai 2 yg AC nya jg ga dingin...tp ga sepanas yg pertama...debu msh kerasa disana sini...berusaha bertahan dan siap istirahat...tp ga kuat panasnya dan hawa debunya,minta ganti lagi...setelah menunggu akhirnya dpt kamar yg begitu masuk sudah terasa bedanya...bersih dari debu dan AC nya dingin...hadeuuuh bintang 4 padahal ini... Untung aja staff dan teknisi yg diminta bantuan cek AC ramah jd aja nggak emosi jiwa.😆. yg jadi catatan juga...kamar mandi bersih,flush toilet ga masalah tp jet shower toilet baunya ampun deh...berasa bau septic tank,smoga bisa buat perhatian kedepannya... di dpn hotel ada alfamart,indomaret dan circle K..."
"35.","putri widarta","76","2024-01-12","4","Menginap nyaman, tenang, enak, kamar luas trus sarapannya sumpah enak banget. Untuk masakannya enak keliatan ga asal-asalan masak. Menu standard yg biasa di stiap hotel selalu ada tp ini beda. Kaget Nasi gorengnya enak bgt lembut rasa enak ga keras trus gurih sama kwetiawnya mantap👍, kalau menu yang lain nya rasa biasa lah oke aja. Hanya maaf saya nilai bintang kurang 1 karena dikamar 2114 di lantai balkon selalu basah karena tetesan AC yg bocor dan kabel telpon lepas mulu saat digunakan. but overall saya suka menginap di sana, terima kasih."
"36.","yusak edward","5","2025-01-12","5","Kamar nyaman, bersih cuma kwalitas kasur perlu ditingkatkan. Hotel juga bersih dan nyaman, makanan untuk sarapan enak-enak dan banyak pilihan dari menu Indonesia sampai barat, pegawai ramah-ramah. Cuma lahan parkir yang kurang diperluas sehingga bisa menampung lebih banyak mobil tamu yang menginap."
"37.","Tia FitriaWD","5","2025-01-12","5","Overall pelayanannya super menyenangkan Kamar nyaman dan bersih, Cita rasa masakannya lezat, Staf hotel ramah&fast respon👌 Big thanks to pak ivan&mb monica atas kerjasama baiknya ya, Semoga hotel BW makin sukses kedepannya."
"38.","Poppy Joenada77","53","2025-01-12","4","Hotelnya bersih, pelayanan baik, ac kamar sy ga dingin, mereka cepet tanggap lgsg ganti dgn kamar suite. Sarapan lengkap, ga trlalu ketat mengawasi, ga pelit, pokoknya puas."
"39.","fera afriyanti","12","2024-01-12","4","Tempat menginap di Bali yg dekat dgn bandara. akses kendaraan mudah. waktu nyampe kesana pelayanan baik malah kamar kita di upgrade ke yang lebih besar. ruanga cukup bersih tapi sempat tidak ada sabun dan sampo. tapi setelah di konfirmasi ke receptionis langsung di isi sabun dan sampo nya. kamar mandi dan sarung bantal kurang wangi. kolam renang cukup bersih dan nyaman, dan ada kolam dangkal untuk anak2. suasana malam hari aga remang2, tapi kalo siang hari oke."
"40.","Kartika","8","2024-01-12","5","Lokasi dekat dari Bandara. Pakai google map langsung ketemu. Kamar luas banget. Fasilitas komplit, ada TV, dan mini kulkas juga👍. Bed nya gede, nyaman. Kamar mandinya bersih dan besar (sy dapat yg ada bathtub nya). Dan ada hair dryernya (ini favorit sich ☺️) Di dalam kamar ada sofa n meja yg bisa dipakai kerja. Meja riasnya juga big, jelas happy mah ini kalo cewek 😍. Dan yg paling penting, AC nya dingin 👌. Kolam renang besar, bersih. Breakfast enak. Aproved ✅️"
"41.","aditya waelan 87","3","2025-04-12","5","Staff ramah,makanan enak,lokasi hotel mudah dijangkau..pokoknya mantap sajan.."
"42.","Yovitha MKasih","131","2025-01-12","1","Resort vintage yang kurang terawat. Saat Saya check in, lantai kamar Kotor, handuk di kamar mandi kumal Dan lusuh. Warna sudah pudar. Bed sheets juga lusuh Dan banyak bekas noda. Slippers kamar tidak tersedia."
"43.","Atr Official","1","2025-01-12","5","Pertama menginap di BW resort Kuta sangat menyengakan,dari di FO,kamar besar,bersih makanan enak, trimakasih buat staf BW terutama buat Pak Ivan ramah,melayanin dengan baik sangat humble beliau👌"
"44.","Joko","32","2024-01-12","5","Kemarin menginap 2 hari disini, kamar sangat luas dan dapet upgrade kamar yg ada bathtub, ya walaupun terlihat seperti hotel tua tapi tetep terasa bukan hotel budget. Saran bagian kamar mandi khususnya wastafel dan kaca mungkin bisa di bersihkan menggunakan obat jamur kaca dll biar kinclong lg, sekarang kesannya seperti hotel tidak terurus. Untuk yg bawa mobil agak susah parkir apa lg pas weekend. Tempat parkir mungkin hanya bisa menampung 6 mobil."
