"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Rio Putratama Achmad F","39","2025-08-09","5","Saya tinggal di Bali sudah 7 tahun dan selama 7 tahun saya sudah rutin menginap di hotel2, khususnya di Bali Selatan. Obviously Courtyard menjadi salah satu yang terbaik. Saya datang kesini untuk merayakan wedding anniv saya dengan istri. Saya sempat req untuk decor towel. And guess what? They gave more!! Ada decor towel, kartu ucapan, cake, dan ucapan yang tertulis di cermin. Wah luar biasa effortnya. Kamar super bersih, super spacious dan harum. Anak2 senang bgt disini. Stafnya semua ramah dan helpful. Kolam renang lagoonnya terbaik!! Definately i will come back for sure sihh Thank you Courtyard 💙"
"2.","irene suhapna","20","2025-08-09","5","Stay di room 1207. Disiapkan cake untuk birthday anak & mirror words juga. Pas kamarnya di bersihkan jg tbtb ada gajah di kasur gemas sekali . Daann service mbak Eka di resto saat breakfast sangat ramah & baik sekali. 2 hari breakfast dan request dengan mbak Eka sangat berkesan & menyenangkan . Oh iya saat breakfast yg seharusnya bukan smoking area ada salah satu customer yg nge-vape. Setelah komplain 3 kali akhirnya di tegur, terimakasih sudah tegas dengan rules hotel karna saya bawa anak kecil dan sangat tidak nyaman dengan orang yg merokok . Sangat berterimakasih sudah tegas melarang orang merokok yg bukan sedang berada di area rokok. Rekomen sekali untuk family & anak anak Thank you untuk : - Eka (restaurant) 👍🏻👍🏻 - Naldo, Ari, P. Rahmat (GRO) - Rahmat Yusri ( GR Supervisor) - EOY (Housekeeping)"
"3.","Henry Putra","252","2025-11-09","1","Parah banget.....kapok.....never ever menginap disini lagi.....pengalaman terburuk saya menginap dihotel bintang 5"
"4.","Dwi Yenuaquarianto","7","2025-09-09","1","Saya sudah sering jemput tamu disini, Tapi pagi ini perlakuan security kurang mengenakkan, Saya sudah biasa parkir depan lobby sambil nunggu tamu, Tapi tadi saya disuru pindah kebawah dengan alasan banyak kendaraan datang, Klo memang banyak kendaraan datang,oke saya maklumi/yg baru datang tamunya sudah siap, Lah ini mobil datang jga markir depan lobby, Masak yg duluan datang yg disuru parkir dibawah, padahal saya sdh bilang kalau tamu saya sdh cek out dan jam penjemputan sdh dekat, Akhirnya saya parkir dibawah, Baru keluar dari mobil dan sdh jalan kaki menuju lobby, saya dipanggil2 klo tamu saya sdh diatas, Nyusahin orang ga itu namanya,"
"5.","Riin Vv","1","2025-11-09","5","Saya kesana bawa barang, penjaga didepan ada 3 yang 2 ramah yang satu mukanya marah lalu aku hanya bertanya karena tidak tau jalan seketika bapak yang satu itu marahin aku , seperti aku ini salah besar bertanya, waktu itu hati saja sakit lalu menangis, karena hati saya tidak sekuat itu☺️"
"6.","Konsultan Reumatologi","127","2025-08-09","5","Hotel yang tepat bagi sahabat yang mencari berbagai kemudahan untuk berlibur, berwisata, ambience yang unique, asri dan menenangkan. Dekat ke semua fasilitas yang kita butuhkan: pantai, medium, store, konferensi dll. Layanan excellent? Menu resto variatif, segar dan taste nya sangat memanjakan lidah siapapun"
"7.","Blaaa 24","11","2025-08-09","1","Staff sangat amat tidak sopan, menerima complaint dengan cara menutup telp dan tidak diangkat lagi , staf sangat2 tidak membantu , kamar juga tidak memuaskan , wastafel rusak , telp sudah tidak layak , service lambat , area bermain wajib berhati2 di pasir ada kotoran kucing yg sangat berbahaya untuk anak2 bermain , not recommended at all"
"8.","Iva","10","2025-02-09","5","Pengalaman yang menyenangkan selama kami menginap disini. Hal yang paling kami sukai dari hotel ini : - Anak di bawah 11 tahun inklusif menginap tanpa tambahan biaya termasuk breakfast - Kids club yang menyenangkan dg berbagai kegiatan yang terjadwal ditemani dg aunty2 yang sangat friendly terhadap anak2 - Kolam renang yang sangat luas dan terdapat beberapa area. Ada area kolam arus, kolam untuk bermain voli, bermain bola,dll - Adanya kegiatan olahraga bersama untuk orangtua - Kamar yang luas, interior update, suasannya homey tidak menyeramkan hehe - Kamar mandi yg luas, terdapat retractable clothesline sehingga kami bisa menjemur baju renang usai berenang, dan adanya shower bench dapat memudahkan bagi lansia atau pun saat memandikan anak - Saya memilih kasur twinbed yang mana setiap kasurnya ukurannya sangat lebar. Tidak sempit ketika kita tidur bersama anak. - Mempunyai privat beach, meskipun harus keluar dulu dari area hotel, tapi tidak masalah karena ada shuttle khusus dari hotel - Menu breakfast yg beragam. Namun harus hati2 bagi muslim, Krn adanya menu pork dan non halal lainnya. Jika ragu lebih baik booking tanpa breakfast ya - Semua staff sangat ramah, dari frontliner, waiters, housekeeper, serta swimming pool guard. Harapan saya, semoga kedepannya adanya resto khusus bagi muslim yg mana tidak menyatukan menu non halal dalam satu area & kitchen. Terima kasih sudah memberikan kesan yang baik selama kami menginap disini. Semoga bisa mempertahan pelayanan yang baik ini. Salam sejahtera"
"9.","Lisa Mastarani","14","2025-05-09","4","Ke dua kalinya nginep disini setelah sekian lama, dari segi Tempat ; lokasi nya sudah jelas nyaman,karna terletak di nusa dua Suasana ; tenang,cenderung sunyi dari beberapa resorts di nusa dua lainnya. Makanan ; breakfast nya lumayan,banyak jenis saya lebih suka pastry nya. Yg jadi kurang hanya akses pantai, harus mengunakan minubus untuk menuju kesana,dan ada setiap 1 jam. Sebagai orang yg suka pantai , dari 7 hari liburan,memang vibes nya kurang untuk posisi pantai. Pantai ; super duper kotor,sayang sekali tidak ada pembersihan dr resort . Mungkin karna pantai tdk ter intregasi langsung, jd bisa di bilang pantai umum."
"10.","roy coastrio //RC//","6","2025-02-09","3","Saya menginap bersama keluarga 24 - 28 januari 2025. Pengalaman kami ada beberapa hal yg gak enak: 1. Hari sabtu, 25 januari 2025 anak2 pingin renang, ya saya antar renang, kebetulan ada kids pool, eh pas istri saya masuk kamar mandi d sebelah kids club dapat jackpot, ada kotoran manusia yg menjijikkan dalam kondisi setengah kering, dan tidak ada petugas kebersihan satupun di lokasi kamar mandi. 2. Kami menginap 4 malam d hotel ini, makanannya itu2 saja, pdhl biasanya kalau bintang 5 yg lain makanannya ganti2 lho tiap harinya. 3. D hari senin, 27 januari, pagi hari sy sudah pesan utk membersihkan kamar, seperti hari2 sebelumnya. Sebelumnya sih bersih ya, akan tetapi di hari terakhir ini setelah pulang jalan2 kami malah mendapati kamar kami gak dibersihkan seperti biasa, sprei tdk diganti, bahkan gak dirapikan sama sekali, hanya dihamparkan gitu aja d kasur, Kemudian gelas2 tidak diganti, bahkan ada gelas yg bekas minum teh anak saya, tidak diganti akhirmya semut memenuhi meja tempat gelas. Air minum jg tdk diganti baru. Semoga lebih baik lagi, mengingat ini bukan hotel kelas tempe, room rate mahal, katanya jg standar bintang 5, harusnya lebih baik dari ini. Berikut sy kirim foto2 kamar waktu tgl 27 januari, supaya jadi perhatian. Utk foto kamar mandi tempat istri saya dapat jackpot tdk sy sertakan ya, karena pasti menjijikkan."
